Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;299,40;299,50;300,20;301,40;298,40;299,30;299,729;952843;285592864,3;3477;
2022-04-06;299,40;299,60;303,60;303,70;295,20;298,70;298,218;1170233;348968420,6;5223;
2022-04-05;304,50;304,70;309,00;311,70;304,50;305,60;307,293;794785;244156725,81;3698;
2022-04-04;309,90;310,20;307,10;310,30;300,30;310,30;305,814;686830;210057132,1;3256;
2022-04-01;306,90;307,10;305,10;308,40;303,30;306,80;306,745;924223;283507300,75;3559;
2022-03-31;304,80;305,10;304,00;307,40;303,50;305,70;305,305;1036647;316460799,5;3789;
2022-03-30;304,10;304,30;314,20;315,50;303,00;303,70;306,096;1015473;310823875,1;4351;
2022-03-29;313,60;313,70;319,00;319,40;309,40;314,20;313,067;1257017;393524485,55;4181;
2022-03-28;317,30;317,50;314,30;319,10;313,90;317,30;316,326;671221;212320211,9;2708;
2022-03-25;319,90;320,10;328,00;328,10;318,90;319,90;321,877;942766;303411096,1;3063;
2022-03-24;323,10;323,30;332,40;333,40;322,60;323,50;325,518;907457;295392360,2;3557;
2022-03-23;331,80;332,00;333,50;334,50;328,50;332,10;331,465;756364;250696235,8;2618;
2022-03-22;332,50;332,70;331,90;333,80;330,40;332,60;332,329;599083;199093864,9;2300;
2022-03-21;333,20;333,40;330,80;334,00;330,00;333,00;332,398;745440;247739255,6;3003;
2022-03-18;330,10;330,30;333,40;334,10;328,10;330,00;329,925;1546334;510173529,95;5315;
2022-03-17;330,00;330,20;327,90;331,40;327,10;330,00;329,456;1201177;395714579,7;4218;
2022-03-16;325,10;325,20;325,00;326,60;322,10;325,90;324,753;1383095;449166465,65;5203;
2022-03-15;318,00;318,20;318,50;320,10;312,00;318,10;316,622;1087363;344277334,4;4152;
2022-03-14;320,90;321,10;322,90;325,20;320,40;321,10;322,769;1457321;470364113;5837;
2022-03-11;320,00;320,30;318,00;324,80;318,00;319,90;321,702;1691927;544400917,85;5890;
2022-03-10;316,20;316,60;323,70;325,50;316,00;317,00;320,486;1866570;598404275,1;5968;
2022-03-09;319,70;320,10;324,00;324,70;316,20;320,40;320,47;1720140;551269008,7;7656;
2022-03-08;314,40;314,60;303,20;319,80;303,20;315,10;315,194;1565124;493325704,3;5633;
2022-03-07;310,70;310,80;302,20;312,20;298,60;309,60;305,26;3120989;952789546,8;9139;
2022-03-04;313,00;313,20;319,60;323,60;310,70;311,40;314,597;1566325;492729352,65;4607;
2022-03-03;323,60;323,80;323,50;327,40;321,80;323,00;323,955;884900;286676086,9;3488;
2022-03-02;324,40;324,90;315,00;325,50;312,00;323,50;319,008;1353776;431881864,45;4468;
2022-03-01;319,80;320,10;321,10;326,10;316,10;319,40;320,925;1095606;351595945,4;4541;
2022-02-28;320,80;320,90;311,30;321,10;310,40;320,40;316,058;1201616;379794246,65;5190;
2022-02-25;315,10;315,30;312,00;315,50;309,50;315,20;312,618;1557640;486940446,95;5142;
2022-02-24;310,10;310,20;301,10;310,90;299,30;310,00;304,33;2589968;788176906,25;9659;
2022-02-23;313,50;313,70;315,50;320,80;312,80;313,00;315,969;934464;295271268,6;3517;
2022-02-22;315,90;316,10;311,00;318,40;310,10;315,60;315,532;1085327;342491391,65;4418;
2022-02-21;318,40;318,60;322,50;323,90;315,30;317,80;319,284;1515559;483893259,95;5038;
2022-02-18;323,10;323,30;323,00;324,50;321,70;322,70;323,13;1639592;529802400,05;4790;
2022-02-17;324,10;324,30;326,00;328,10;323,80;323,80;325,693;1155890;376571242,65;3271;
2022-02-16;325,50;325,70;324,70;326,70;322,80;325,60;324,937;1159683;376883977,25;3215;
2022-02-15;323,90;324,10;317,00;326,30;316,40;323,20;324,02;1145084;371051375,65;3816;
