Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;0,474;0,484;0,473;0,50;0,473;0,474;0,484;234382;113468,19;96;
2022-04-06;0,47;0,473;0,485;0,509;0,472;0,473;0,485;399347;193555,85;118;
2022-04-05;0,478;0,485;0,46;0,509;0,46;0,485;0,479;957133;458832,06;164;
2022-04-04;0,46;0,465;0,467;0,47;0,459;0,46;0,463;159362;73779,15;66;
2022-04-01;0,465;0,466;0,472;0,478;0,463;0,467;0,469;185258;86864,56;61;
2022-03-31;0,472;0,48;0,48;0,48;0,464;0,472;0,47;158890;74720,43;58;
2022-03-30;0,467;0,48;0,48;0,489;0,466;0,48;0,473;202499;95855,7;74;
2022-03-29;0,46;0,477;0,48;0,48;0,459;0,48;0,469;176658;82828,86;82;
2022-03-28;0,462;0,47;0,46;0,47;0,447;0,47;0,458;279206;127874,63;84;
2022-03-25;0,46;0,46;0,459;0,46;0,451;0,46;0,459;356336;163525,13;81;
2022-03-24;0,45;0,458;0,455;0,46;0,442;0,457;0,454;197506;89730,47;39;
2022-03-23;0,448;0,454;0,46;0,46;0,442;0,455;0,45;259370;116621;65;
2022-03-22;0,44;0,454;0,442;0,46;0,44;0,46;0,451;350757;158022,03;64;
2022-03-21;0,449;0,456;0,46;0,46;0,443;0,458;0,451;313241;141274,57;56;
2022-03-18;0,448;0,459;0,45;0,46;0,441;0,46;0,447;362977;162407,9;83;
2022-03-17;0,44;0,449;0,44;0,457;0,44;0,45;0,446;399011;177791,48;76;
2022-03-16;0,432;0,44;0,43;0,44;0,42;0,44;0,431;572077;246542,7;71;
2022-03-15;0,417;0,42;0,40;0,426;0,40;0,424;0,409;459508;188009,91;78;
2022-03-14;0,421;0,426;0,43;0,45;0,421;0,426;0,428;349988;149874,04;106;
2022-03-11;0,421;0,429;0,415;0,458;0,41;0,43;0,431;1275608;550135,39;227;
2022-03-10;0,406;0,412;0,415;0,415;0,405;0,41;0,411;324370;133244,7;66;
2022-03-09;0,406;0,413;0,40;0,414;0,40;0,414;0,407;648945;264341,32;107;
2022-03-08;0,39;0,393;0,39;0,41;0,39;0,39;0,401;849086;340098,16;151;
2022-03-07;0,395;0,40;0,398;0,40;0,363;0,39;0,39;1080222;420744,05;151;
2022-03-04;0,40;0,405;0,427;0,43;0,40;0,40;0,41;355691;145746,38;112;
2022-03-03;0,42;0,426;0,45;0,45;0,416;0,427;0,426;1034631;440511,83;129;
2022-03-02;0,42;0,437;0,459;0,463;0,355;0,45;0,401;4781347;1918305,5;341;
2022-03-01;0,454;0,467;0,47;0,482;0,452;0,459;0,458;347506;159204,79;77;
2022-02-28;0,462;0,473;0,46;0,478;0,45;0,473;0,462;657132;303485,56;83;
2022-02-25;0,46;0,464;0,448;0,477;0,448;0,464;0,459;790623;362911,7;125;
2022-02-24;0,45;0,451;0,47;0,475;0,433;0,451;0,45;1540758;693139,07;222;
2022-02-23;0,47;0,484;0,50;0,535;0,465;0,485;0,483;371769;179507,17;108;
2022-02-22;0,487;0,495;0,47;0,498;0,451;0,487;0,467;591344;275918,47;143;
2022-02-21;0,475;0,48;0,49;0,50;0,47;0,48;0,48;368008;176525,01;115;
2022-02-18;0,49;0,498;0,508;0,508;0,49;0,49;0,497;386941;192174,43;94;
2022-02-17;0,50;0,503;0,50;0,51;0,498;0,50;0,501;329260;165099,22;89;
2022-02-16;0,505;0,51;0,512;0,525;0,502;0,51;0,514;461692;237469,66;111;
2022-02-15;0,502;0,512;0,508;0,515;0,48;0,512;0,51;206371;105237,86;62;
2022-02-14;0,503;0,506;0,51;0,525;0,48;0,507;0,499;1122481;559764,35;168;
2022-02-11;0,52;0,525;0,51;0,525;0,506;0,525;0,516;511383;263930,21;89;
2022-02-10;0,513;0,516;0,518;0,518;0,501;0,51;0,511;400937;204896,5;87;
2022-02-09;0,503;0,508;0,518;0,52;0,50;0,518;0,511;541874;276756,35;117;
2022-02-08;0,511;0,524;0,51;0,532;0,51;0,513;0,519;398144;206511,95;87;
2022-02-07;0,512;0,513;0,522;0,523;0,503;0,517;0,515;441740;227673,31;103;
2022-02-04;0,522;0,527;0,53;0,55;0,511;0,522;0,519;814803;422475,23;150;
2022-02-03;0,525;0,53;0,533;0,547;0,522;0,524;0,532;795084;423273,52;170;
2022-02-02;0,525;0,534;0,527;0,536;0,521;0,533;0,529;527360;279201,44;152;
2022-02-01;0,52;0,531;0,528;0,556;0,513;0,513;0,531;696957;369930,66;149;
2022-01-31;0,522;0,529;0,522;0,532;0,511;0,529;0,52;301530;156649,72;127;
2022-01-28;0,51;0,522;0,527;0,556;0,509;0,522;0,52;845039;439736,47;182;
2022-01-27;0,513;0,527;0,52;0,528;0,511;0,524;0,52;382550;198819,38;137;
2022-01-26;0,526;0,53;0,511;0,558;0,511;0,525;0,532;1253607;666965,88;220;
2022-01-25;0,509;0,51;0,50;0,529;0,49;0,51;0,509;1097254;558838,05;239;
2022-01-24;0,507;0,516;0,547;0,547;0,503;0,507;0,52;1037771;540101,05;266;
2022-01-21;0,536;0,549;0,56;0,57;0,534;0,547;0,549;1625157;892694,14;256;
2022-01-20;0,541;0,546;0,541;0,549;0,54;0,541;0,542;564663;305884,62;115;
2022-01-19;0,546;0,549;0,56;0,56;0,541;0,549;0,547;698048;381672,93;139;
2022-01-18;0,559;0,574;0,591;0,591;0,55;0,567;0,562;1332339;748447,83;267;
2022-01-17;0,581;0,59;0,625;0,625;0,572;0,59;0,594;1852439;1099438,43;428;
2022-01-14;0,60;0,61;0,60;0,76;0,60;0,608;0,663;17173416;11381379,58;2213;
