Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;23,50;23,70;23,55;23,95;23,35;23,70;23,60;5802;136924,55;26;
2022-04-06;23,50;23,65;24,10;24,10;23,30;23,50;23,654;17874;422792,7;56;
2022-04-05;23,85;24,00;24,50;24,50;23,15;24,00;23,913;49809;1191089;107;
2022-04-04;23,80;24,50;23,65;24,50;22,85;24,50;23,362;16903;394895,4;55;
2022-04-01;22,95;23,30;23,50;23,50;22,85;23,30;22,975;7248;166522,3;25;
2022-03-31;23,20;23,50;23,05;24,10;22,70;23,50;23,421;41353;968538,9;66;
2022-03-30;23,10;24,00;23,65;23,90;22,40;23,60;23,226;11891;276179,15;53;
2022-03-29;23,60;23,80;23,55;25,35;22,60;23,60;23,636;37378;883481,1;127;
2022-03-28;22,90;23,35;22,85;23,30;22,75;23,05;23,013;9988;229851,85;38;
2022-03-25;22,50;22,85;23,00;23,15;22,50;22,85;22,885;32977;754681,3;82;
2022-03-24;22,35;22,50;22,25;23,00;21,75;22,70;22,414;28177;631547,1;69;
2022-03-23;22,25;22,50;22,30;22,90;22,20;22,25;22,332;20423;456082,05;44;
2022-03-22;22,40;22,65;22,70;22,70;22,10;22,40;22,396;38004;851131,45;108;
2022-03-21;21,55;22,45;22,55;22,55;21,55;22,55;21,75;19066;414684,4;49;
2022-03-18;22,30;22,75;22,35;22,75;22,15;22,15;22,328;27955;624169,5;76;
2022-03-17;21,10;22,00;22,00;22,35;21,65;22,00;21,982;31245;686816,9;61;
2022-03-16;21,70;22,00;21,30;22,85;21,30;22,00;21,969;21354;469132,3;66;
2022-03-15;20,80;21,00;21,95;22,05;20,55;21,00;20,897;28629;598245,6;74;
2022-03-14;21,00;21,30;22,00;22,00;20,95;21,35;21,209;11935;253130;51;
2022-03-11;20,40;20,60;20,05;21,00;20,05;20,60;20,604;55134;1135993,5;106;
2022-03-10;19,34;19,78;19,70;20,25;19,04;19,80;19,655;18853;370545,55;52;
2022-03-09;19,50;19,80;19,50;19,90;19,28;19,60;19,531;26326;514176,26;55;
2022-03-08;19,02;19,28;19,00;19,74;18,12;19,28;19,095;91286;1743132,48;179;
