Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;1,196;1,232;1,248;1,26;1,17;1,194;1,228;167071;205163,41;99;
2022-04-06;1,182;1,25;1,16;1,28;1,16;1,248;1,232;697203;858771,67;175;
2022-04-05;1,12;1,16;1,126;1,16;1,11;1,16;1,125;68349;76861,74;47;
2022-04-04;1,126;1,16;1,14;1,16;1,11;1,126;1,122;62424;70006,93;51;
2022-04-01;1,118;1,14;1,14;1,14;1,112;1,14;1,134;22045;24989,95;41;
2022-03-31;1,124;1,14;1,15;1,15;1,112;1,14;1,132;9004;10192,54;24;
2022-03-30;1,13;1,138;1,12;1,138;1,12;1,138;1,124;11545;12980,04;23;
2022-03-29;1,136;1,15;1,152;1,152;1,12;1,138;1,131;78348;88576,85;40;
2022-03-28;1,14;1,16;1,146;1,17;1,106;1,162;1,144;23805;27220,13;39;
2022-03-25;1,13;1,148;1,146;1,146;1,122;1,146;1,13;91791;103680,01;42;
2022-03-24;1,102;1,146;1,202;1,202;1,10;1,146;1,13;191121;216015,19;62;
2022-03-23;1,146;1,202;1,20;1,23;1,144;1,202;1,173;243640;285735,62;54;
2022-03-22;1,18;1,224;1,184;1,23;1,124;1,182;1,186;89817;106536,59;51;
2022-03-21;1,184;1,198;1,098;1,198;1,098;1,184;1,146;62534;71680,93;65;
2022-03-18;1,154;1,186;1,16;1,234;1,15;1,184;1,176;12549;14762,85;50;
2022-03-17;1,16;1,186;1,166;1,198;1,148;1,16;1,166;61761;72016,97;57;
2022-03-16;1,166;1,20;1,218;1,242;1,05;1,166;1,156;866093;1000865,78;258;
2022-03-15;1,20;1,21;1,102;1,23;1,102;1,21;1,182;431965;510749,39;210;
2022-03-14;1,092;1,10;1,174;1,29;1,098;1,10;1,172;375243;439944,95;144;
2022-03-11;1,114;1,174;1,12;1,28;1,08;1,174;1,159;287881;333638,02;87;
2022-03-10;1,10;1,12;1,138;1,14;1,078;1,12;1,118;198085;221486,95;106;
2022-03-09;1,10;1,146;0,94;1,288;0,94;1,146;1,101;500622;551333,77;179;
2022-03-08;0,94;0,95;0,95;0,95;0,926;0,94;0,935;139900;130791,38;53;
2022-03-07;0,95;0,96;1,00;1,00;0,95;0,95;0,955;66607;63577,31;65;
2022-03-04;0,951;1,00;1,00;1,02;0,951;1,00;0,977;167048;163200,87;60;
2022-03-03;0,99;1,002;1,02;1,02;0,971;0,99;0,996;250313;249405,25;65;
2022-03-02;1,016;1,02;1,07;1,07;1,01;1,02;1,019;202563;206477,95;53;
2022-03-01;1,01;1,068;1,03;1,088;1,00;1,068;1,022;111332;113792,63;58;
2022-02-28;1,03;1,086;1,03;1,084;0,934;1,03;0,992;59562;59106,37;52;
2022-02-25;1,03;1,04;0,99;1,05;0,99;1,03;1,035;64107;66321,72;55;
2022-02-24;0,95;0,99;1,02;1,02;0,884;0,99;0,941;350536;329923,93;163;
2022-02-23;1,026;1,04;1,02;1,05;1,02;1,026;1,036;105637;109471,84;40;
2022-02-22;1,01;1,02;1,01;1,05;1,00;1,02;1,021;202942;207207,22;83;
2022-02-21;1,05;1,07;1,072;1,082;1,05;1,05;1,062;207724;220571,84;74;
2022-02-18;1,07;1,088;1,09;1,108;1,072;1,072;1,083;76499;82851,56;66;
2022-02-17;1,09;1,116;1,112;1,126;1,07;1,09;1,085;169406;183811,47;53;
2022-02-16;1,102;1,112;1,128;1,13;1,08;1,112;1,105;177977;196590,88;63;
2022-02-15;1,12;1,126;1,148;1,158;1,102;1,126;1,129;51360;57957,41;44;
2022-02-14;1,084;1,088;1,12;1,146;1,086;1,098;1,108;163783;181418,84;94;
2022-02-11;1,12;1,124;1,132;1,132;1,12;1,12;1,125;45180;50843,91;48;
2022-02-10;1,132;1,14;1,18;1,18;1,13;1,132;1,143;221227;252784,54;113;
2022-02-09;1,14;1,188;1,136;1,338;1,13;1,19;1,194;925434;1105105,26;290;
2022-02-08;1,13;1,136;1,16;1,16;1,102;1,136;1,127;149768;168772,17;72;
2022-02-07;1,138;1,156;1,114;1,172;1,114;1,156;1,143;54429;62209,78;60;
2022-02-04;1,136;1,138;1,144;1,144;1,116;1,136;1,132;95224;107744,32;50;
2022-02-03;1,138;1,144;1,132;1,174;1,13;1,144;1,155;134224;155086,39;81;
2022-02-02;1,144;1,15;1,148;1,18;1,134;1,144;1,16;100171;116148,71;79;
