Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;183,60;184,00;182,10;186,40;181,00;183,40;183,58;99238;18218106,6;736;
2022-04-06;181,30;181,50;188,00;189,00;179,50;181,50;182,718;97211;17762181,4;908;
2022-04-05;188,20;188,60;194,90;195,20;187,90;188,40;190,824;84727;16168409,7;721;
2022-04-04;193,80;194,10;195,00;195,20;191,20;194,90;194,058;54065;10491751,4;526;
2022-04-01;193,30;193,70;190,30;194,20;189,00;194,20;192,834;177871;34299299;744;
2022-03-31;189,20;189,50;192,30;194,00;189,20;190,00;190,701;204650;39027971,41;978;
2022-03-30;191,50;192,00;198,00;198,00;190,80;192,30;192,868;284983;54963668,5;1868;
2022-03-29;197,00;197,40;191,80;199,10;191,80;197,60;196,229;142762;28013255,3;1378;
2022-03-28;190,80;191,20;188,10;191,80;188,10;191,80;190,536;244123;46510950,6;1133;
2022-03-25;186,60;187,00;192,00;192,00;185,70;187,60;188,629;160188;30215968,3;1297;
2022-03-24;187,20;187,50;193,00;193,30;184,90;187,70;187,637;180438;33856742,1;1365;
2022-03-23;186,90;187,50;189,00;192,90;185,30;187,60;188,166;133025;25030742,2;1005;
2022-03-22;191,90;192,20;195,20;195,20;191,30;192,00;193,31;141064;27268958,6;1316;
2022-03-21;194,10;194,40;195,50;196,20;191,30;194,80;193,594;156881;30371172,8;1054;
2022-03-18;194,90;195,20;191,60;195,20;189,80;195,20;193,674;846861;164014566,05;2195;
2022-03-17;191,60;192,00;191,90;193,50;188,70;191,60;192,046;449470;86319000,35;1467;
2022-03-16;191,10;191,30;188,10;193,10;187,00;191,00;190,63;265824;50674205,3;1554;
2022-03-15;183,90;184,60;186,40;187,50;182,10;183,60;184,291;259653;47857692,4;1863;
2022-03-14;187,10;187,50;180,40;190,40;180,40;187,10;185,426;321493;59616116,7;2176;
2022-03-11;179,50;179,80;174,00;181,90;174,00;179,50;178,89;212205;37960552,3;1736;
2022-03-10;173,60;174,00;179,30;179,30;172,50;173,40;173,888;202505;35213166,3;1520;
2022-03-09;175,30;175,80;167,70;176,40;167,70;175,40;173,209;857283;147382291,35;1825;
2022-03-08;164,20;164,50;158,90;169,10;158,40;164,80;166,122;341174;56802154,95;1900;
2022-03-07;163,50;164,10;162,00;168,20;152,00;163,00;161,002;345742;55447443,35;2039;
2022-03-04;163,40;163,60;169,70;170,20;162,60;163,90;165,78;225385;37326008,57;1775;
2022-03-03;169,70;169,90;173,50;174,60;169,00;169,80;171,326;132052;22623892,45;1165;
2022-03-02;173,00;173,50;171,00;174,10;167,80;173,50;172,065;254139;43421970,99;1457;
2022-03-01;172,40;172,80;177,00;181,00;172,30;172,40;174,71;262067;45785759,7;1641;
2022-02-28;181,20;181,50;182,80;182,80;177,20;181,40;180,288;248300;44764557,2;1404;
2022-02-25;180,30;180,60;179,00;183,20;176,80;179,90;179,483;186672;33504514,2;1082;
2022-02-24;178,50;178,80;172,80;179,50;171,90;178,20;176,663;351711;62134113,35;2047;
2022-02-23;182,60;182,80;186,80;189,40;182,20;182,20;184,182;200421;36940323,8;1516;
2022-02-22;186,40;186,80;182,80;188,90;181,00;186,30;187,205;664869;124471192,05;2078;
2022-02-21;187,70;188,10;190,60;191,20;184,90;187,60;187,895;269550;50646478,05;1804;
2022-02-18;190,60;190,80;191,10;193,10;189,70;190,60;190,851;225932;43155755,2;1338;
2022-02-17;191,20;191,50;193,00;194,50;191,10;191,10;192,506;991379;190447401,85;1421;
2022-02-16;192,00;192,60;194,70;196,60;191,10;193,00;192,874;204034;39353167;1361;
2022-02-15;194,40;194,80;190,00;195,50;189,60;194,70;194,438;366098;71183175,85;1053;
2022-02-14;191,00;191,50;192,30;192,30;186,20;190,80;189,513;287884;54556388,5;2143;
2022-02-11;197,30;197,50;197,50;199,50;196,10;197,20;197,927;96368;19074119,3;832;
2022-02-10;199,80;200,20;200,60;202,00;197,00;199,00;199,174;236509;47104995,55;1392;
2022-02-09;200,00;200,40;194,40;203,00;194,40;201,00;199,785;371697;74265902,9;1863;
2022-02-08;193,70;194,00;197,50;198,70;192,30;193,10;194,337;325885;63321450,3;1895;
2022-02-07;196,80;197,40;201,00;202,00;191,60;196,70;196,486;339120;66635150,75;2678;
2022-02-04;200,00;200,80;203,00;206,40;193,90;200,00;199,322;534524;106596373,85;3117;
2022-02-03;207,40;208,60;214,00;214,20;207,40;209,80;210,715;597095;125815000;2352;
2022-02-02;212,80;213,40;210,40;215,00;210,40;212,60;212,081;1167478;247603986,6;1705;
2022-02-01;207,40;207,80;211,00;211,80;206,60;207,80;209,43;356163;74586668,4;1081;
2022-01-31;207,00;207,40;205,80;209,40;204,20;207,60;206,989;189788;39283412,1;1320;
2022-01-28;203,60;204,00;206,00;206,40;200,80;202,60;202,664;172076;34873412,6;1161;
2022-01-27;205,40;205,80;205,00;206,00;202,40;206,00;204,321;277452;56682754,62;1490;
2022-01-26;207,00;207,60;210,00;210,80;206,40;207,80;208,006;383763;79827903,8;1810;
2022-01-25;204,40;205,00;208,40;210,80;202,60;205,00;205,426;158268;32513444,8;1583;
2022-01-24;206,00;206,60;214,40;214,40;203,60;205,60;206,311;141515;29195639;1386;
2022-01-21;214,60;215,00;218,80;219,40;210,80;214,40;214,318;161538;34626116,3;1581;
2022-01-20;219,80;220,40;223,20;223,20;219,00;220,60;220,814;260884;57606757,5;1263;
2022-01-19;221,00;221,40;219,00;224,60;216,80;221,00;221,408;260007;57569333,6;1588;
2022-01-18;221,00;221,20;223,20;223,60;218,20;220,80;220,411;106992;23581578;994;
2022-01-17;224,00;224,40;224,40;225,20;220,60;223,20;223,181;150138;33512809,6;793;
2022-01-14;224,80;225,00;233,00;233,00;224,20;224,20;227,235;102270;23240794,6;1020;
2022-01-13;233,40;233,60;235,00;237,60;232,30;234,00;234,631;72673;17049750,7;643;
2022-01-12;236,20;236,40;238,00;241,00;233,20;236,20;236,687;83243;19700113,9;844;
2022-01-11;236,00;236,40;232,00;236,40;230,20;234,80;234,153;215751;50513965;1097;
2022-01-10;231,60;232,00;244,00;244,00;229,60;231,00;234,512;151061;35414162,7;1412;
2022-01-07;244,00;244,40;250,00;250,00;241,00;243,20;243,888;188964;46086358,9;1918;
2022-01-05;254,00;254,20;258,20;259,00;253,80;254,60;256,054;28221;7226103,4;368;
2022-01-04;257,80;258,40;257,60;261,20;257,40;258,40;258,888;68376;17701717,5;742;
