Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;317,30;317,50;316,40;319,80;314,20;317,70;317,335;643610;204187262,65;2811;
2022-04-06;314,10;314,30;322,00;325,80;309,30;315,00;315,006;1202553;378797991,15;5155;
2022-04-05;322,80;322,90;325,00;328,70;321,40;322,50;324,649;695335;225735679,35;3823;
2022-04-04;324,30;324,40;327,50;327,80;310,90;324,40;320,459;1303222;417584980,45;6865;
2022-04-01;329,20;329,40;325,60;330,70;323,10;328,30;327,62;576108;188742729,75;3553;
2022-03-31;325,40;325,60;320,80;326,10;320,50;325,30;324,358;966618;313518340,5;4590;
2022-03-30;316,90;317,30;322,60;322,70;311,60;317,70;316,353;1042158;329687070,45;3835;
2022-03-29;321,20;321,50;314,00;323,40;314,00;321,70;320,143;1128781;361360730,8;5532;
2022-03-28;309,40;309,50;304,30;311,10;304,30;310,00;309,436;793039;245388206,9;3783;
2022-03-25;303,80;304,00;316,30;317,80;302,90;302,90;306,03;769412;235562044,8;3758;
2022-03-24;316,90;317,40;319,80;320,70;314,60;317,20;317,323;727249;230907027,1;3493;
2022-03-23;319,00;319,20;317,40;319,70;314,30;319,00;317,075;861960;273254624,45;3728;
2022-03-22;318,50;318,70;319,50;320,10;315,20;317,50;317,892;712339;226462299,35;3777;
2022-03-21;318,60;318,70;320,00;320,10;314,00;318,70;316,907;612312;194050947,4;4094;
2022-03-18;319,90;320,10;320,80;322,50;315,70;320,50;319,911;1070530;342513975,45;5008;
2022-03-17;320,20;320,40;330,60;332,20;316,60;319,30;322,063;983758;316822815,35;6333;
2022-03-16;329,60;329,90;319,00;330,00;317,90;328,80;325,751;1170083;381057187,55;6061;
2022-03-15;312,40;312,60;310,60;315,60;305,00;312,00;311,893;769681;240071903,2;4774;
2022-03-14;313,00;313,20;315,40;317,40;308,10;313,50;312,829;1128341;352965052,55;7072;
2022-03-11;312,10;312,30;305,40;316,10;304,90;312,00;311,54;1120350;349030012,75;6235;
2022-03-10;304,50;304,90;306,90;307,40;296,00;304,30;303,435;1418661;430477189,3;8569;
2022-03-09;304,50;304,90;308,00;313,20;303,20;305,00;306,301;1365537;418300304,9;7938;
2022-03-08;299,60;299,80;295,00;305,60;293,80;299,10;300,666;1418041;426384021,25;8949;
2022-03-07;301,20;301,30;281,00;306,60;281,00;299,60;296,347;2193849;649785232,7;13461;
2022-03-04;292,00;292,20;301,70;303,80;289,70;290,60;294,635;1423622;419292267,56;8158;
2022-03-03;307,00;307,20;312,30;316,70;304,80;306,40;308,252;862819;265995331,7;5132;
2022-03-02;316,40;316,60;300,10;317,30;299,40;315,10;310,696;1327037;412229978,1;7342;
2022-03-01;303,80;304,00;309,50;312,70;301,70;303,80;306,104;1226511;375468510,85;7057;
2022-02-28;308,50;308,80;297,10;310,00;295,10;310,00;305,814;1609046;491909472,45;7781;
2022-02-25;303,60;303,70;293,40;303,80;291,60;302,50;300,391;1166475;350494575,1;5739;
2022-02-24;288,90;289,10;276,40;290,30;275,20;290,30;286,33;2114403;605002801;9383;
2022-02-23;290,90;291,10;292,00;297,50;290,00;290,30;292,95;814996;238789732,85;4384;
2022-02-22;292,00;292,30;282,00;299,50;279,90;291,40;292,525;1407146;411674203,5;7104;
2022-02-21;288,10;288,30;294,70;295,60;282,70;288,30;288,055;713333;205596442,85;3721;
2022-02-18;293,30;293,50;292,80;295,50;291,70;293,90;293,694;738206;216807094,65;3822;
2022-02-17;292,10;292,20;295,00;298,00;291,50;292,80;293,825;649473;190869704,25;3653;
2022-02-16;294,60;294,80;295,60;300,20;293,00;294,60;296,279;672596;199290762,2;3819;
2022-02-15;294,90;295,00;284,00;295,10;283,30;294,50;292,868;1166570;341562715,9;5005;
2022-02-14;283,80;283,90;282,00;288,00;279,30;284,00;284,028;1404598;398923934,9;9082;
2022-02-11;289,40;289,50;288,50;292,50;288,00;289,50;289,818;704026;204052180,5;4615;
2022-02-10;292,40;292,60;297,30;297,60;291,40;291,40;293,04;793943;233077884,1;4124;
2022-02-09;295,20;295,70;291,00;296,50;290,80;294,90;294,346;603234;177541965,1;3209;
2022-02-08;288,90;289,10;293,70;295,10;287,40;288,40;289,653;763396;221183363,1;4595;
2022-02-07;293,90;294,10;298,70;298,70;292,60;294,40;294,286;628113;184845874,8;4437;
2022-02-04;295,40;295,60;305,30;307,90;294,10;295,40;297,954;989937;295038112,35;6223;
2022-02-03;304,30;304,50;307,00;313,10;302,90;304,10;305,056;809332;246885078,6;5836;
2022-02-02;312,20;312,40;314,30;319,80;302,00;313,00;309,986;2138824;662929750,85;14022;
2022-02-01;318,10;318,30;313,90;321,10;313,90;317,30;317,609;677877;215313766,2;5044;
2022-01-31;311,80;311,90;315,00;315,20;310,40;311,50;312,131;712912;222538866,35;3874;
2022-01-28;309,70;309,90;313,30;313,30;304,80;309,70;309,028;696336;215181043,55;4374;
2022-01-27;313,30;313,60;307,90;315,50;305,20;314,10;312,804;738177;230897484,72;4785;
2022-01-26;314,00;314,20;309,10;315,30;308,90;313,70;313,355;563849;176679712,6;3582;
2022-01-25;306,50;306,60;309,20;313,10;305,80;306,80;308,288;879484;271259798,2;6324;
2022-01-24;308,60;308,80;316,40;317,60;303,30;307,50;308,27;889080;274898375,4;6288;
2022-01-21;319,20;319,30;319,30;321,80;315,90;318,70;318,504;629163;200390685,75;3873;
2022-01-20;325,80;325,90;324,90;327,80;321,30;324,80;324,74;568905;184745678,6;3417;
2022-01-19;324,70;324,90;318,00;327,20;315,50;324,10;322,764;790000;254977685,25;4738;
2022-01-18;323,00;323,20;327,70;327,70;318,30;322,90;321,972;778682;250666513,2;4881;
2022-01-17;329,90;330,10;330,80;334,40;327,40;329,30;329,971;833983;275294026,85;5192;
2022-01-14;333,90;334,00;335,00;340,20;331,80;333,40;334,475;753201;251928300,95;5459;
2022-01-13;339,50;339,60;341,00;343,20;336,30;338,90;339,082;824055;279431412,85;5208;
2022-01-12;341,70;341,90;343,00;344,10;335,40;341,70;340,881;712544;242883231,65;4878;
2022-01-11;339,00;339,10;340,20;349,60;337,60;338,60;341,507;993847;339427088,85;6434;
2022-01-10;339,40;339,60;363,60;364,60;337,20;338,40;343,253;1284145;440937460,75;7318;
2022-01-07;362,00;362,20;371,20;371,20;357,60;360,20;362,759;1600841;580729435,9;10679;
2022-01-05;378,60;378,80;386,00;386,90;376,90;376,90;379,296;414678;157310386,65;2328;
2022-01-04;382,00;382,20;369,50;383,20;368,70;382,70;379,842;810487;307842499,65;5644;
2022-01-03;367,80;368,00;364,00;369,70;363,50;367,20;367,349;399098;146607858,05;2585;
2021-12-30;364,90;365,10;365,80;367,50;364,40;364,40;365,159;342379;125026246,25;2102;
2021-12-29;366,10;366,20;366,00;367,70;364,90;365,80;365,946;240920;88163562,75;1787;
2021-12-28;366,80;367,00;363,00;370,70;362,00;366,80;367,549;373080;137130201,4;3117;
2021-12-27;363,80;364,00;358,00;364,20;357,80;363,50;362,059;280129;101428594,5;2495;
2021-12-23;361,00;361,10;356,20;362,50;354,50;360,40;358,79;463010;166092199;4217;
2021-12-22;354,00;354,20;350,00;354,80;350,00;354,80;353,359;408671;144407899,95;3192;
2021-12-21;348,50;348,70;345,80;351,40;344,50;349,00;348,78;930662;324601317,85;5923;
2021-12-20;341,10;341,20;333,50;343,30;330,60;341,50;339,963;657711;221819111,3;4449;
2021-12-17;342,20;342,40;342,90;343,80;339,00;341,80;341,478;819941;279976995,5;5227;
2021-12-16;343,60;343,80;350,00;352,50;342,50;344,00;345,85;931976;322322368,15;6307;
2021-12-15;343,40;343,50;345,50;346,20;337,40;343,90;341,911;940363;321496274,6;6321;
2021-12-14;345,50;345,60;356,80;360,20;345,30;345,80;349,194;659924;230635522,5;4219;
2021-12-13;354,50;354,70;357,20;362,40;354,50;354,70;356,674;483931;172618528,6;2977;
2021-12-10;356,10;356,30;355,00;358,10;353,10;355,80;355,967;541227;192660860,2;2947;
2021-12-09;356,40;356,60;361,00;362,90;354,50;357,40;357,591;557758;199457292,35;3378;
2021-12-08;359,10;359,20;360,70;370,10;357,20;359,70;361,82;885950;320753584,9;5596;
2021-12-07;363,10;363,30;351,20;363,40;351,20;360,80;359,879;724233;260639554,95;4350;
2021-12-06;348,30;348,50;348,10;351,00;342,60;348,10;346,97;851223;295349010,8;5384;
2021-12-03;343,20;343,40;348,30;353,70;342,30;343,60;346,001;1063012;367850664,75;7469;
2021-12-02;355,80;355,90;355,80;358,10;348,10;356,10;354,137;901958;319360912,8;6395;
2021-12-01;360,20;360,40;355,00;360,80;352,60;360,20;357,457;717696;256521666,95;4949;
2021-11-30;349,40;349,70;357,80;358,70;349,00;350,10;351,168;1816070;637779255,6;8678;
2021-11-29;361,60;361,80;358,70;366,40;358,70;361,60;361,571;643295;232580471,75;4819;
2021-11-26;354,60;354,90;359,90;360,40;351,40;354,70;356,817;1049355;374478728,08;8003;
2021-11-25;373,30;373,50;371,80;376,50;371,80;373,10;373,567;371471;138770611,65;3201;
2021-11-24;371,40;371,60;380,00;384,30;370,20;370,90;372,852;734983;274081790,1;5697;
2021-11-23;371,80;372,00;374,80;377,60;370,00;371,10;372,712;573137;213627316,9;3775;
2021-11-22;378,60;378,80;377,20;381,60;377,10;377,50;378,413;710048;268374556,35;4247;
2021-11-19;376,40;376,60;384,00;385,10;375,90;376,80;378,26;890422;336828701,8;5742;
2021-11-18;381,40;381,50;387,40;390,80;380,00;382,30;383,922;678970;260690861,75;5086;
2021-11-17;386,80;387,00;388,40;389,20;383,10;387,40;386,685;759892;293846743,3;5252;
2021-11-16;389,20;389,40;388,00;390,80;384,80;388,80;388,301;385592;149724379,25;3168;
2021-11-15;386,80;387,00;385,80;388,30;384,10;386,40;385,851;271440;104732027,2;2329;
2021-11-12;385,70;385,90;379,80;386,30;377,40;386,30;383,366;421309;161533727,45;3419;
2021-11-11;381,10;381,30;374,50;381,60;373,70;380,60;379,291;409449;155248991,25;3456;
