Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;270,40;271,40;262,00;271,80;258,20;271,60;269,158;475706;128020606,1;1582;
2022-04-06;266,80;267,60;278,20;278,40;261,80;267,00;267,943;140909;37752491,2;1561;
2022-04-05;278,80;280,20;280,20;287,60;276,40;278,40;280,947;216724;60947234,7;1570;
2022-04-04;279,00;280,20;277,00;284,20;271,40;279,60;279,878;142829;39975495,5;1231;
2022-04-01;275,20;275,80;263,40;277,40;262,80;275,00;272,454;71446;19465413,6;801;
2022-03-31;263,00;264,00;270,00;276,20;263,00;263,20;267,201;235121;62830442,6;1632;
2022-03-30;268,40;269,20;267,00;272,20;261,40;269,80;266,257;237588;63286070,5;1117;
2022-03-29;265,00;265,40;256,60;267,00;254,20;266,00;257,984;693172;178893100;1492;
2022-03-28;249,20;250,00;252,00;254,80;245,80;250,40;250,075;225512;56422099,8;1055;
2022-03-25;249,20;250,00;265,00;265,00;238,60;250,00;251,127;135393;34002221;994;
2022-03-24;249,40;250,20;259,60;261,00;248,20;249,60;251,852;213954;53887022,5;1455;
2022-03-23;258,40;258,80;263,00;267,00;256,00;259,60;259,755;110172;28615348,3;903;
2022-03-22;261,40;262,00;266,80;267,00;257,80;263,00;262,365;206736;54240072,6;1779;
2022-03-21;265,40;266,40;264,00;266,60;258,60;266,60;262,141;254481;66711244,4;1011;
2022-03-18;265,40;266,00;253,40;266,40;253,20;265,40;261,261;173039;45207333,4;2102;
2022-03-17;253,20;254,20;250,20;258,60;250,20;253,40;253,266;550152;139333597,4;2208;
2022-03-16;247,60;248,60;236,60;248,80;235,00;247,80;240,42;489503;117686298,6;1326;
2022-03-15;229,80;230,20;232,00;235,60;225,00;230,80;230,739;456819;105414505,6;1733;
2022-03-14;239,20;240,00;230,00;248,80;229,80;239,80;239,756;386892;92762336,2;1882;
2022-03-11;231,60;232,20;231,60;236,60;225,60;230,20;231,326;217006;50198764,1;1381;
2022-03-10;231,40;232,60;236,40;242,80;230,80;232,20;237,424;585138;138782360,3;2140;
2022-03-09;230,00;230,60;217,00;233,00;215,80;231,40;227,09;290455;65960062,7;2320;
2022-03-08;214,00;214,40;201,20;226,00;201,20;213,20;217,953;420399;91630473,1;2372;
2022-03-07;214,80;215,40;210,80;217,00;199,80;215,00;212,087;370000;78468629,3;2410;
2022-03-04;215,20;216,00;213,00;222,40;212,20;215,40;216,089;276624;59772819,1;2144;
2022-03-03;217,40;218,20;223,60;223,80;215,80;217,60;218,627;167878;36700214,65;1370;
2022-03-02;220,40;220,80;215,60;221,00;208,80;219,20;217,272;214815;46673064,3;1620;
2022-03-01;218,20;219,00;216,20;220,20;209,00;218,00;214,794;218795;46996086,3;1620;
2022-02-28;216,40;217,20;207,60;217,20;205,60;217,20;213,643;248471;53112514,21;1685;
2022-02-25;210,40;211,20;203,00;212,40;198,20;210,00;205,978;303350;62500936,55;2092;
2022-02-24;198,80;199,40;184,80;200,20;183,00;199,20;192,851;389405;75094831,9;2838;
2022-02-23;200,40;201,40;201,80;207,00;199,30;200,20;201,128;328389;66049177,42;2122;
2022-02-22;199,80;200,40;186,00;202,20;185,10;200,80;198,793;501947;100392524,4;1946;
2022-02-21;191,70;192,40;195,00;197,90;186,70;192,00;191,498;252790;48408135,35;1949;
2022-02-18;193,80;194,50;204,00;204,20;191,70;194,10;197,796;394319;78544607,05;2392;
2022-02-17;203,40;204,60;222,00;222,00;203,80;204,00;210,824;533030;112485733,2;2640;
2022-02-16;216,60;217,00;216,80;219,60;211,60;217,20;216,453;315394;68274430;2308;
2022-02-15;216,60;217,20;207,00;217,20;205,20;217,20;213,459;376791;80433332,4;2013;
2022-02-14;206,20;207,00;205,80;207,20;198,30;205,60;202,508;422886;85637247,3;3652;
