Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;102,80;103,40;103,00;104,40;102,00;102,00;103,249;13075;1349981,2;198;
2022-04-06;103,20;103,80;105,00;105,80;102,60;103,80;103,866;15685;1629136;209;
2022-04-05;105,60;106,00;108,60;108,60;105,20;105,40;106,917;14266;1525282,4;176;
2022-04-04;106,20;106,40;105,40;106,60;105,00;106,20;105,742;11501;1216133,8;161;
2022-04-01;105,00;105,60;105,60;107,60;105,00;105,20;106,151;17786;1888009,2;193;
2022-03-31;105,20;105,80;105,40;106,00;105,00;105,60;105,323;28405;2991706;236;
2022-03-30;104,00;104,60;108,00;108,00;103,80;105,40;105,228;27961;2941506;213;
2022-03-29;106,40;106,80;105,40;107,60;102,80;106,80;106,523;31129;3315055,4;208;
2022-03-28;105,40;106,20;105,00;106,20;103,40;105,40;104,868;28308;2968534,4;225;
2022-03-25;103,80;104,40;109,00;109,00;103,60;103,60;104,747;35316;3700548,8;276;
2022-03-24;106,00;106,20;107,60;108,40;105,60;107,00;106,873;32622;3486396,2;247;
2022-03-23;105,00;105,60;103,60;105,60;102,80;105,60;102,935;1789169;184167548,1;306;
2022-03-22;105,00;105,40;108,80;108,80;104,80;104,80;106,15;9415;999405,8;132;
2022-03-21;107,20;107,80;105,00;109,00;105,00;107,80;107,579;13537;1456303;150;
2022-03-18;108,60;109,00;107,80;109,00;107,00;108,80;108,184;11836;1280462,2;123;
2022-03-17;108,20;108,60;108,20;111,60;107,40;108,20;109,622;41831;4585576,4;290;
2022-03-16;108,20;108,60;106,20;108,80;106,20;108,00;107,506;395196;42485757,6;176;
2022-03-15;103,80;104,40;107,40;111,60;103,20;104,60;104,87;29663;3110719,8;210;
2022-03-14;106,80;107,40;101,60;107,80;101,60;107,20;106,024;33979;3602675,2;211;
2022-03-11;102,80;103,40;103,40;104,40;102,20;102,80;103,098;65670;6770463,8;301;
2022-03-10;102,80;103,00;105,20;105,20;101,40;103,40;103,326;57225;5912773,4;468;
2022-03-09;104,00;104,20;102,80;105,60;102,60;104,00;104,471;60818;6353717,4;334;
2022-03-08;103,00;103,60;104,00;111,80;102,60;102,80;104,30;542600;56592859,5;388;
2022-03-07;103,40;103,80;105,80;105,80;99,40;102,80;101,604;521163;52952371,9;573;
2022-03-04;102,60;103,40;108,80;108,80;102,00;102,80;102,985;41767;4301297,6;313;
2022-03-03;105,60;106,20;107,60;108,00;105,20;105,80;106,575;30914;3294631,2;239;
2022-03-02;106,20;106,80;105,60;107,20;104,00;106,20;106,186;60168;6389025,6;306;
2022-03-01;106,40;106,80;105,60;109,00;104,80;106,60;107,571;569697;61283013,1;446;
2022-02-28;108,00;108,40;100,00;108,60;100,00;108,00;105,958;59794;6335687;275;
2022-02-25;103,40;104,00;104,40;105,20;102,60;103,80;103,704;60068;6228096,5;346;
2022-02-24;103,20;104,20;100,00;104,60;99,00;103,40;102,26;59944;6129599,4;443;
2022-02-23;105,00;105,60;104,60;106,80;104,60;105,40;105,557;25189;2658875,4;228;
2022-02-22;106,00;106,40;106,40;108,80;104,80;106,00;106,809;24739;2642284,7;245;
2022-02-21;107,40;107,60;109,40;109,40;106,20;107,00;107,146;44660;4785165,6;283;
2022-02-18;109,20;110,00;111,20;111,60;109,20;109,40;109,824;45807;5030692,7;292;
2022-02-17;110,80;111,20;115,20;115,20;110,60;111,20;112,516;90352;10166034,8;446;
2022-02-16;114,80;115,20;114,60;116,00;113,80;114,80;115,059;57629;6625846,3;270;
2022-02-15;114,40;114,60;110,40;115,40;110,40;114,60;114,179;52728;6020418,2;315;
2022-02-14;112,40;113,00;110,60;113,60;108,00;112,20;110,899;467215;51813500;569;
2022-02-11;113,20;114,00;114,80;114,80;109,00;114,00;111,60;132879;14829313;816;
2022-02-10;116,00;117,00;112,60;116,80;109,00;116,60;113,632;104932;11922185,2;733;
2022-02-09;106,80;107,00;105,40;109,00;105,40;107,40;107,506;73215;7871074,2;532;
2022-02-08;104,80;105,40;105,20;105,80;103,80;105,40;104,675;25578;2678312;234;
2022-02-07;105,20;105,80;103,60;105,80;103,60;105,20;105,019;20737;2177771,2;176;
2022-02-04;104,40;104,80;107,00;107,00;103,80;104,40;104,974;21773;2285601,8;213;
2022-02-03;106,40;107,00;108,20;108,40;106,20;107,00;107,191;19838;2126764,1;172;
2022-02-02;108,60;109,20;109,80;110,00;108,20;108,80;109,134;24226;2643890;215;
2022-02-01;108,20;108,60;106,20;109,40;106,20;108,00;108,085;40076;4331612,8;309;
2022-01-31;106,00;106,60;105,80;107,20;105,80;106,20;106,504;25119;2675284,2;138;
2022-01-28;104,80;105,40;104,00;105,60;103,40;104,40;104,209;98398;10253989,8;194;
2022-01-27;105,20;105,80;105,20;106,40;103,20;105,20;105,284;11683;1230027;146;
2022-01-26;105,40;106,00;104,20;106,00;102,60;105,20;105,025;147588;15500452,6;229;
2022-01-25;102,00;102,80;102,40;104,20;101,80;102,20;102,789;35822;3682108,4;275;
2022-01-24;102,20;102,80;106,20;106,20;101,80;102,40;103,249;128505;13267953,2;604;
2022-01-21;106,00;106,20;107,60;107,60;105,20;106,80;106,626;19888;2120583;160;
2022-01-20;106,80;107,60;108,00;108,40;106,40;107,60;107,076;176438;18892303,3;257;
2022-01-19;106,80;107,20;104,60;107,40;104,60;107,00;105,863;63605;6733882,3;224;
2022-01-18;105,00;105,40;105,80;105,80;104,00;105,40;104,562;167268;17490549,7;507;
2022-01-17;105,60;106,20;106,00;107,80;104,00;106,40;105,067;71106;7471857,7;304;
