Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;678,00;678,20;689,00;702,20;676,20;677,80;687,418;267882;184151035,7;4319;
2022-04-06;687,20;688,00;699,00;701,40;678,60;686,80;687,54;207508;142658589,6;3145;
2022-04-05;699,40;700,00;727,40;730,00;698,20;699,40;711,679;212819;151519433,4;3416;
2022-04-04;728,80;729,40;718,00;730,40;712,60;728,00;723,731;150076;108610235;2738;
2022-04-01;714,20;714,80;721,00;731,80;713,20;716,00;723,13;193829;140177445,6;3162;
2022-03-31;720,80;721,40;718,40;724,40;710,20;721,60;717,637;228929;164286558,1;3116;
2022-03-30;725,80;726,40;755,00;755,00;725,00;726,00;732,636;201383;147544765;3392;
2022-03-29;751,80;752,20;723,20;763,80;721,20;753,20;744,653;481425;358497631,1;7500;
2022-03-28;724,60;725,20;724,40;734,00;721,20;724,00;727,199;114969;83607647,2;2071;
2022-03-25;725,00;725,40;723,00;733,80;719,00;725,60;725,53;127402;92436933,8;2317;
2022-03-24;732,40;732,80;721,60;736,00;721,00;733,00;728,898;127276;92752564,2;2255;
2022-03-23;732,80;733,40;730,00;736,80;721,80;734,40;728,911;132243;96376201;1934;
2022-03-22;732,60;733,20;735,60;740,00;723,40;732,60;732,515;170160;124646968,7;2553;
2022-03-21;737,00;737,80;740,00;744,20;729,60;736,00;735,698;179146;131796013,8;2297;
2022-03-18;728,40;728,80;733,00;734,60;704,60;730,00;721,422;265294;191365642,9;4527;
2022-03-17;724,00;724,40;754,40;759,20;722,40;725,60;731,10;375787;274761472,7;6703;
2022-03-16;754,80;755,20;740,20;763,60;734,20;754,40;748,261;346153;258942365,4;5736;
2022-03-15;729,00;729,60;714,80;742,80;710,20;729,20;728,211;255289;185881220,3;4024;
2022-03-14;722,20;722,60;725,80;737,80;719,60;721,40;727,785;242521;176499385,2;3929;
2022-03-11;716,00;716,80;717,00;724,00;701,40;714,80;713,658;332956;237593383,8;5900;
2022-03-10;713,40;714,00;724,20;729,00;688,20;712,40;707,357;466353;329878345,8;8296;
2022-03-09;742,20;742,80;737,60;751,80;726,80;742,60;741,491;412219;305475532,3;5777;
2022-03-08;710,00;710,60;701,80;725,20;700,00;710,80;710,113;543232;385840585,7;8785;
2022-03-07;723,40;724,00;729,00;749,60;702,80;722,40;725,349;424427;307878873,5;7222;
2022-03-04;764,00;764,60;771,80;776,40;733,60;763,40;758,815;571318;433466248,9;9517;
2022-03-03;773,60;774,20;799,20;806,00;771,60;772,60;784,169;524945;411664396;9789;
2022-03-02;799,20;800,00;785,00;802,20;770,00;799,40;791,005;434721;343879098,7;8358;
2022-03-01;787,20;787,60;824,60;844,40;785,40;786,00;807,658;380176;307050753,2;7459;
2022-02-28;845,60;846,20;842,20;846,40;806,40;846,00;829,357;325562;269969874,9;5591;
2022-02-25;861,20;861,80;855,60;862,40;836,80;862,40;852,472;461081;393046520,6;8085;
2022-02-24;846,80;847,00;860,00;873,00;836,00;847,40;850,102;549837;467372270,3;9701;
2022-02-23;904,00;904,40;904,80;918,80;897,80;903,20;906,507;197983;179537234,5;3234;
2022-02-22;907,40;908,00;895,00;918,20;892,40;908,60;907,68;182226;165387592,4;3873;
2022-02-21;912,20;912,80;940,00;943,60;899,80;910,40;914,70;134244;122808108,1;2226;
2022-02-18;937,60;938,40;939,00;946,80;931,60;939,00;939,419;196068;184188285,8;3460;
