Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;119,00;119,60;118,20;122,40;118,20;118,40;121,089;9050;1095717;87;
2022-04-06;120,00;121,40;118,00;126,20;117,80;119,00;119,65;21903;2620701,2;210;
2022-04-05;119,80;120,00;126,60;130,00;116,60;118,20;122,315;13485;1649418,4;252;
2022-04-04;129,60;129,80;132,60;137,80;123,00;126,00;130,025;13190;1715035,4;209;
2022-04-01;132,20;132,40;138,40;138,40;124,00;132,60;131,067;5085;666477,4;168;
2022-03-31;137,00;138,40;149,80;149,80;128,60;138,60;137,616;4926;677897,2;128;
2022-03-30;149,20;149,80;149,20;154,00;149,00;149,80;151,988;5605;851893;69;
2022-03-29;148,60;149,80;149,20;161,80;148,40;149,80;151,752;2942;446403,4;41;
2022-03-28;148,40;148,80;149,00;149,00;142,00;148,40;146,209;1485;217120,4;55;
2022-03-25;149,60;152,80;157,00;166,80;145,00;149,00;153,825;9957;1531636,4;230;
2022-03-24;157,00;159,80;202,00;202,00;151,60;155,40;173,745;56589;9834924,6;573;
2022-03-23;219,00;223,00;199,80;231,00;197,00;221,50;220,519;29607;6534310,6;244;
2022-03-22;195,40;197,00;193,00;197,00;192,60;197,00;195,136;6882;1342363,3;127;
2022-03-21;191,80;193,00;187,60;195,00;187,20;191,80;191,589;3222;617300,4;62;
2022-03-18;187,00;187,60;186,00;187,60;183,00;187,60;186,583;1338;249647,4;32;
2022-03-17;185,40;186,00;187,20;187,80;183,20;185,40;185,852;2411;448089,4;53;
2022-03-16;178,80;181,60;178,80;182,00;173,80;181,80;177,685;3706;658499,8;71;
2022-03-15;176,00;180,60;177,60;177,60;171,80;174,00;174,301;4403;767446,6;58;
2022-03-14;172,20;173,60;177,80;177,80;170,00;173,60;172,814;3995;690390;50;
2022-03-11;172,00;174,80;174,60;177,40;172,00;172,00;175,924;4435;780221,8;59;
2022-03-10;173,80;175,60;174,20;175,00;173,00;173,80;173,842;1150;199918,2;46;
2022-03-09;170,40;172,00;172,00;173,40;170,00;170,40;171,784;9399;1614599,4;280;
2022-03-08;167,00;169,80;169,00;174,60;167,00;169,40;168,04;14591;2451871,2;84;
2022-03-07;168,00;169,40;170,00;172,60;166,00;168,20;168,703;20860;3519145;129;
2022-03-04;172,40;176,40;183,00;183,00;172,00;176,40;176,072;3565;627694,8;78;
2022-03-03;179,20;180,40;176,00;181,80;176,00;179,20;179,739;22066;3966121,4;69;
2022-03-02;172,00;173,80;176,00;176,00;171,00;172,00;172,538;2762;476550,2;60;
2022-03-01;173,00;176,60;178,20;178,20;172,00;176,00;173,549;1743;302496,2;40;
2022-02-28;177,40;180,20;184,20;187,00;174,00;178,20;180,707;2927;528928,2;70;
2022-02-25;182,80;184,20;170,20;185,80;162,40;184,20;172,349;7339;1263504,6;93;
2022-02-24;170,40;174,20;170,00;174,20;170,00;170,20;170,767;3654;623982,8;85;
2022-02-23;179,40;186,40;187,60;187,60;177,00;180,00;180,78;1532;276954,6;26;
2022-02-22;178,80;180,80;168,20;190,00;165,20;180,40;179,128;7358;1317719,1;92;
2022-02-21;171,20;173,00;173,00;173,00;168,20;171,20;170,834;17529;2994710;107;
2022-02-18;173,60;174,00;182,60;185,80;170,80;173,60;177,328;7193;1275523;113;
2022-02-17;188,20;189,60;195,40;198,60;187,20;187,20;194,871;5969;1163187,6;96;
2022-02-16;196,60;199,80;202,00;202,00;196,20;199,80;200,248;2747;550783,2;58;
2022-02-15;201,50;203,50;199,80;204,50;199,80;202,50;201,191;3571;718451,4;60;
2022-02-14;195,60;199,80;204,50;204,50;195,00;199,40;199,651;3777;754079,8;69;
2022-02-11;205,50;206,50;204,50;207,50;204,50;205,50;205,409;2139;440243;30;
2022-02-10;204,00;204,50;204,00;206,00;204,00;204,00;204,715;2199;450291,5;49;
2022-02-09;205,00;206,00;204,00;207,00;203,00;206,00;204,34;1516;309779;41;
2022-02-08;203,00;205,00;204,00;206,00;203,00;203,00;204,39;2085;426073,75;105;
2022-02-07;203,50;206,00;205,00;205,50;203,00;205,50;204,176;2267;462868;28;
2022-02-04;203,00;204,00;202,00;204,00;202,00;203,00;203,114;3640;739346,5;61;
2022-02-03;200,00;201,50;198,60;204,00;198,60;202,00;201,231;4864;978788,5;40;
2022-02-02;198,20;199,80;196,80;205,00;195,00;197,60;198,692;10333;2053489,8;101;
2022-02-01;196,60;196,80;196,20;200,00;196,20;196,80;197,663;2437;481704,2;51;
2022-01-31;196,80;200,50;195,00;201,00;195,00;196,00;195,93;4858;951828,8;54;
2022-01-28;194,00;198,60;194,60;201,50;191,00;199,60;196,012;2902;568827;57;
2022-01-27;192,80;194,60;184,80;199,20;183,80;194,60;193,687;3227;624520,8;60;
