Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;47,40;47,70;47,52;48,78;47,22;47,36;47,936;110321;5287652,29;526;
2022-04-06;47,42;47,52;47,68;47,90;46,42;47,46;47,051;142744;6716206,94;551;
2022-04-05;47,58;47,68;49,60;49,60;47,36;47,68;48,194;107589;5185089,54;475;
2022-04-04;49,40;49,52;48,60;49,94;48,30;49,40;49,302;117264;5781374,22;432;
2022-04-01;48,28;48,40;47,86;48,60;47,28;48,18;48,119;143310;6895903,32;587;
2022-03-31;47,68;47,80;47,36;48,62;47,36;47,88;47,896;167966;8044916,45;518;
2022-03-30;47,88;48,02;47,80;48,04;46,76;47,94;47,414;118078;5598472,41;517;
2022-03-29;47,80;47,92;47,50;48,36;47,24;47,80;47,783;181763;8685240,48;585;
2022-03-28;46,78;46,88;46,46;47,32;46,14;46,92;46,892;113127;5304493,92;444;
2022-03-25;46,30;46,40;45,24;47,42;45,24;46,64;46,615;134786;6283052,2;462;
2022-03-24;45,46;45,58;47,00;47,08;45,18;45,24;45,572;335435;15287352,24;543;
2022-03-23;46,74;46,86;47,96;48,74;46,18;47,00;46,973;191979;9014503,5;823;
2022-03-22;47,84;47,94;49,82;50,20;47,82;48,00;48,75;278496;13573902,84;903;
2022-03-21;49,80;49,92;51,35;51,35;48,98;49,80;49,33;482829;23819519,68;623;
2022-03-18;50,00;50,15;49,60;50,30;48,80;50,00;49,46;1107056;54708386,11;956;
2022-03-17;49,56;49,68;49,76;50,10;49,00;49,58;49,555;276007;13680114,59;855;
2022-03-16;48,76;48,92;50,10;50,10;47,80;48,54;48,213;548505;26457611,85;763;
2022-03-15;48,32;48,42;48,80;49,26;47,96;48,20;48,548;307344;14919990,51;1007;
2022-03-14;48,80;48,88;49,10;50,25;47,68;48,80;48,756;634632;30942375,03;873;
2022-03-11;48,80;48,90;48,00;50,15;48,00;48,52;49,145;246058;12092834,63;638;
2022-03-10;48,26;48,36;49,00;50,35;48,22;48,22;49,253;528026;25817937,87;1024;
2022-03-09;49,48;49,60;47,42;50,25;47,42;49,84;49,501;623184;30848031,69;878;
2022-03-08;47,72;47,80;45,74;48,14;45,00;47,94;47,367;707345;33431516,72;1154;
2022-03-07;45,60;45,74;45,00;46,80;42,92;45,82;44,943;310227;13942438,35;929;
2022-03-04;45,78;45,98;46,46;46,84;45,62;45,70;46,064;128720;5929767,7;505;
2022-03-03;46,50;46,64;48,76;49,06;46,20;46,50;47,209;192876;9105559,1;584;
2022-03-02;48,62;48,82;47,82;49,50;46,52;48,62;48,36;232151;11226882,88;599;
2022-03-01;48,28;48,36;49,90;50,00;47,46;47,80;48,342;293149;14169964,24;842;
2022-02-28;50,15;50,30;48,58;50,65;47,82;50,65;49,894;316313;15769982,87;676;
2022-02-25;48,08;48,28;46,92;48,52;46,44;48,02;47,551;324295;15416446,1;872;
2022-02-24;46,22;46,34;44,00;47,06;42,06;46,44;44,435;1099444;48729024,26;1622;
2022-02-23;44,50;44,72;45,60;46,00;44,34;44,74;44,925;265918;11946539,32;746;
2022-02-22;44,62;44,72;43,92;45,20;43,34;44,86;44,591;291969;13020717,06;894;
2022-02-21;44,32;44,46;44,40;45,62;43,94;44,50;44,829;211712;9491011,22;806;
2022-02-18;45,22;45,34;46,98;46,98;44,90;45,22;45,755;242208;11084244,3;618;
2022-02-17;46,74;46,82;49,56;49,56;46,62;46,70;47,488;137712;6540966,7;511;
2022-02-16;49,06;49,30;48,26;49,90;48,26;49,32;49,393;261490;12915825,01;813;
2022-02-15;49,38;49,52;47,14;49,56;46,72;49,44;48,602;393039;19102275,09;807;
2022-02-14;47,22;47,32;49,00;49,00;46,60;47,14;47,326;717230;33943261,68;1420;
2022-02-11;49,70;49,86;49,68;50,45;48,60;49,96;49,619;370092;18363786,96;1373;
2022-02-10;49,80;49,88;51,00;51,70;49,58;49,74;50,482;342994;17307741,28;1206;
2022-02-09;51,00;51,40;50,80;52,40;49,00;50,80;50,555;1007274;50923862,88;1864;
2022-02-08;51,75;52,05;51,70;52,60;51,25;51,65;51,793;112524;5827627,25;481;
2022-02-07;51,90;52,05;50,50;52,35;50,50;52,00;51,824;225648;11690149,82;430;
2022-02-04;50,75;50,95;52,55;52,65;50,50;50,50;51,016;479991;24487980,83;1421;
2022-02-03;52,55;52,70;52,35;53,40;51,80;52,55;52,688;190530;10038602,1;663;
2022-02-02;52,20;52,35;53,60;53,75;52,05;52,30;52,449;259190;13594060,47;945;
