Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;29,05;29,15;28,60;29,40;28,60;29,05;29,115;10933;318318,65;105;
2022-04-06;28,90;29,15;29,30;29,80;28,50;28,50;29,152;17606;513240,95;140;
2022-04-05;29,25;29,35;29,95;29,95;29,00;29,30;29,337;15026;440813,65;162;
2022-04-04;29,85;29,95;29,50;30,05;29,00;29,95;29,524;11435;337600,8;102;
2022-04-01;29,25;29,45;30,00;30,35;29,10;29,45;29,478;24085;709982,8;146;
2022-03-31;30,05;30,25;30,30;30,65;29,90;30,00;30,244;10087;304872,95;100;
2022-03-30;30,15;30,30;30,00;30,35;29,45;30,30;29,98;28557;856123,7;119;
2022-03-29;29,75;29,95;29,40;30,00;29,20;29,95;29,504;328113;9680775,45;114;
2022-03-28;29,50;29,65;29,00;29,85;29,00;29,50;29,393;20563;604409;94;
2022-03-25;29,20;29,35;29,50;29,95;29,20;29,20;29,42;23709;697522,75;116;
2022-03-24;29,35;29,50;29,95;31,00;29,35;29,50;29,53;7544;222775,85;58;
2022-03-23;29,70;29,95;30,25;30,55;29,05;29,95;29,886;24878;743507,35;116;
2022-03-22;30,20;30,45;30,20;30,90;30,20;30,20;30,334;9395;284992,15;69;
2022-03-21;30,45;30,50;30,90;31,25;30,45;30,45;30,673;25180;772309,49;126;
2022-03-18;30,65;30,70;30,70;31,50;30,55;31,15;30,831;35983;1109455,3;159;
2022-03-17;30,85;31,05;30,75;31,55;30,75;31,05;30,992;31042;962474,23;101;
2022-03-16;30,45;30,80;30,45;31,25;30,40;30,45;30,774;27590;849498;123;
2022-03-15;30,35;30,70;31,30;31,30;30,25;30,35;30,495;31840;970967,85;128;
2022-03-14;31,40;31,60;31,00;32,20;30,75;31,35;31,327;26992;845582,75;173;
2022-03-11;30,75;30,95;29,50;30,95;29,50;30,75;30,451;22076;672232,25;108;
2022-03-10;29,35;29,70;30,10;30,40;29,35;29,40;29,888;17152;512639,1;116;
