Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;401,50;403,00;400,50;405,00;396,50;402,00;401,895;40037;16090309,5;605;
2022-04-06;400,00;401,50;405,50;407,00;395,00;400,50;399,735;22892;9150738,75;518;
2022-04-05;403,00;404,50;404,00;417,00;402,50;405,50;408,297;41668;17014270;883;
2022-04-04;401,50;403,50;387,50;407,50;386,50;403,50;400,235;21075;8434849;442;
2022-04-01;388,00;389,50;385,50;390,50;382,00;387,50;386,78;12378;4787563;306;
2022-03-31;386,00;387,00;382,00;391,50;381,00;385,50;385,452;19699;7593180;384;
2022-03-30;380,50;382,50;378,00;382,50;372,00;382,50;379,566;15815;5997541,5;272;
2022-03-29;377,50;378,50;362,00;383,50;357,50;378,00;375,58;21998;8262004,5;519;
2022-03-28;362,50;363,50;351,50;365,00;348,50;362,00;360,066;50198;18074645;858;
2022-03-25;354,00;356,50;350,50;360,00;347,50;354,50;354,075;28446;10072146,75;401;
2022-03-24;349,00;351,00;353,50;359,50;343,00;350,00;349,157;51515;17986721;658;
2022-03-23;359,00;360,00;372,00;374,00;356,00;359,00;359,578;23480;8442907;345;
2022-03-22;371,50;372,50;380,00;380,00;365,00;371,00;370,898;16956;6288702,25;350;
2022-03-21;375,50;376,50;369,50;379,50;360,00;374,00;372,255;42081;15665058;789;
2022-03-18;383,00;383,50;386,00;386,00;367,00;369,50;369,973;835464;309172751,25;1457;
2022-03-17;376,00;377,00;379,00;386,00;371,50;377,00;378,994;243836;92410907,5;867;
2022-03-16;376,00;378,00;372,00;378,50;363,50;378,50;368,463;115874;42691197;1079;
2022-03-15;350,00;352,00;363,50;363,50;349,00;353,50;354,982;32385;11495833,25;847;
2022-03-14;363,50;365,00;367,00;376,50;363,50;363,50;366,787;677117;244284064;1399;
2022-03-11;365,00;366,50;378,00;381,50;357,50;365,50;369,099;88806;32779362,25;1688;
2022-03-10;362,50;363,50;367,00;376,00;362,00;362,00;367,182;37858;13900736;867;
2022-03-09;365,00;366,50;350,50;370,50;350,50;367,00;362,982;46761;16975538;901;
2022-03-08;347,00;348,50;361,00;374,00;344,50;350,00;359,395;117056;42405604,75;1106;
2022-03-07;361,50;363,00;360,00;364,00;345,00;363,00;354,993;122171;43365566,25;1528;
2022-03-04;361,50;364,00;381,50;381,50;361,00;363,50;369,704;31092;11494563,25;765;
2022-03-03;379,00;380,50;385,50;392,00;377,00;381,00;384,797;26793;10310283,25;648;
2022-03-02;384,50;387,00;378,00;390,00;371,50;385,50;380,883;92320;35161116;1313;
2022-03-01;376,50;377,50;378,50;381,50;369,00;377,00;377,071;31668;11938041,5;771;
2022-02-28;380,00;382,00;379,50;389,00;367,00;381,50;378,681;43323;16417815,25;899;
2022-02-25;389,00;390,00;385,00;397,00;368,50;390,00;383,397;60921;23338025,75;1224;
2022-02-24;384,00;385,50;348,00;386,00;348,00;384,00;371,752;46515;17282481;1039;
