Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;1,002;1,026;1,042;1,07;0,994;1,026;1,023;1686277;1725306,71;596;
2022-04-06;1,032;1,046;1,14;1,178;1,02;1,04;1,081;6167897;6666522,65;1770;
2022-04-05;1,124;1,128;1,168;1,448;1,07;1,13;1,182;25848707;30540310,64;5956;
2022-04-04;0,816;0,82;0,80;0,90;0,775;0,82;0,82;1359351;1114057,18;316;
2022-04-01;0,755;0,774;0,712;0,788;0,704;0,775;0,735;757097;556233,03;123;
2022-03-31;0,693;0,709;0,73;0,75;0,692;0,71;0,731;144398;105505,53;99;
2022-03-30;0,719;0,729;0,70;0,749;0,68;0,729;0,711;549107;390400,09;122;
2022-03-29;0,691;0,70;0,688;0,73;0,688;0,691;0,706;486849;343820,27;99;
2022-03-28;0,726;0,732;0,73;0,749;0,726;0,726;0,732;98988;72496,58;42;
2022-03-25;0,713;0,725;0,756;0,77;0,713;0,726;0,755;458645;346320,4;127;
2022-03-24;0,734;0,748;0,72;0,769;0,72;0,748;0,745;259502;193397,46;129;
2022-03-23;0,703;0,711;0,73;0,73;0,70;0,703;0,707;307944;217701,21;78;
2022-03-22;0,731;0,751;0,74;0,753;0,685;0,73;0,726;783865;568691,21;163;
2022-03-21;0,734;0,74;0,697;0,75;0,687;0,74;0,733;652149;477706,12;134;
2022-03-18;0,689;0,697;0,671;0,70;0,671;0,697;0,686;462777;317496,8;159;
2022-03-17;0,671;0,677;0,596;0,68;0,596;0,671;0,657;1638779;1075826,32;374;
2022-03-16;0,595;0,596;0,551;0,61;0,535;0,596;0,568;2737449;1554760,07;172;
2022-03-15;0,551;0,556;0,556;0,556;0,521;0,551;0,545;232388;126612,36;51;
2022-03-14;0,536;0,54;0,53;0,559;0,53;0,544;0,555;170759;94729,84;58;
2022-03-11;0,527;0,54;0,526;0,53;0,52;0,53;0,529;267515;141465,33;56;
2022-03-10;0,52;0,526;0,533;0,535;0,515;0,526;0,522;392164;204800,19;57;
2022-03-09;0,521;0,533;0,501;0,559;0,50;0,533;0,51;1375901;701030,35;178;
2022-03-08;0,50;0,53;0,576;0,579;0,50;0,50;0,522;1940948;1013768,05;302;
2022-03-07;0,55;0,576;0,597;0,599;0,491;0,576;0,539;1120814;604328,82;211;
2022-03-04;0,586;0,596;0,588;0,623;0,575;0,597;0,60;143358;85978,73;79;
2022-03-03;0,583;0,609;0,629;0,632;0,583;0,60;0,609;273691;166787,6;85;
2022-03-02;0,601;0,629;0,637;0,637;0,598;0,629;0,609;616479;375366,88;157;
2022-03-01;0,637;0,645;0,679;0,68;0,631;0,637;0,669;194916;130378,14;69;
2022-02-28;0,677;0,68;0,661;0,68;0,64;0,68;0,652;239802;156312,09;103;
2022-02-25;0,664;0,672;0,655;0,68;0,613;0,673;0,662;411590;272606,84;110;
2022-02-24;0,613;0,656;0,682;0,699;0,601;0,656;0,637;1081943;689543,46;295;
2022-02-23;0,701;0,71;0,672;0,875;0,672;0,705;0,779;2303052;1794123,06;772;
2022-02-22;0,661;0,67;0,69;0,739;0,65;0,65;0,676;414791;280505,95;87;
2022-02-21;0,667;0,689;0,719;0,73;0,665;0,69;0,688;255747;175835,6;103;
2022-02-18;0,70;0,72;0,74;0,74;0,70;0,719;0,71;147121;104449,74;62;
2022-02-17;0,707;0,739;0,714;0,75;0,703;0,74;0,733;517251;378944,04;89;
2022-02-16;0,717;0,746;0,719;0,759;0,701;0,714;0,735;140108;103033,41;81;
2022-02-15;0,72;0,744;0,738;0,744;0,651;0,719;0,725;355965;257903,05;73;
2022-02-14;0,738;0,748;0,758;0,76;0,65;0,744;0,731;240231;175687,62;107;
2022-02-11;0,746;0,76;0,761;0,761;0,745;0,76;0,75;64396;48267,84;42;
2022-02-10;0,759;0,76;0,76;0,77;0,758;0,761;0,765;132420;101317,1;63;
2022-02-09;0,75;0,758;0,767;0,767;0,745;0,758;0,751;189456;142319,46;72;
2022-02-08;0,761;0,769;0,76;0,79;0,746;0,767;0,764;206707;157871,07;82;
2022-02-07;0,76;0,768;0,744;0,78;0,744;0,76;0,76;630684;479209,44;113;
2022-02-04;0,73;0,744;0,737;0,759;0,73;0,744;0,745;195534;145622,59;71;
2022-02-03;0,737;0,738;0,738;0,75;0,704;0,737;0,727;474615;345037,3;127;
2022-02-02;0,73;0,738;0,733;0,743;0,70;0,73;0,726;367740;266960,91;151;
2022-02-01;0,721;0,733;0,732;0,754;0,72;0,733;0,736;203101;149522,13;130;
2022-01-31;0,731;0,739;0,774;0,799;0,73;0,732;0,759;448661;340390,12;238;
2022-01-28;0,74;0,77;0,72;0,78;0,72;0,77;0,755;596115;449893,51;249;
2022-01-27;0,72;0,721;0,731;0,772;0,71;0,72;0,753;907448;683623,81;349;
2022-01-26;0,723;0,73;0,65;0,82;0,65;0,73;0,74;1436785;1063451,37;635;
2022-01-25;0,642;0,65;0,65;0,651;0,621;0,641;0,645;377434;243258,32;109;
2022-01-24;0,631;0,651;0,697;0,697;0,61;0,651;0,656;859262;563819,23;180;
2022-01-21;0,691;0,696;0,711;0,716;0,689;0,697;0,70;435303;304505,89;167;
2022-01-20;0,711;0,726;0,748;0,769;0,703;0,711;0,738;497172;367105,52;154;
2022-01-19;0,747;0,755;0,72;0,79;0,72;0,747;0,746;636692;475027,79;225;
2022-01-18;0,721;0,736;0,763;0,789;0,71;0,72;0,757;750310;568165,2;283;
2022-01-17;0,754;0,76;0,709;0,79;0,709;0,754;0,755;1016865;768124,11;420;
2022-01-14;0,709;0,72;0,702;0,717;0,702;0,708;0,708;270167;191322,66;130;
2022-01-13;0,698;0,702;0,696;0,72;0,691;0,702;0,708;256843;181867,41;157;
2022-01-12;0,691;0,696;0,69;0,72;0,686;0,696;0,701;390095;273478,57;166;
2022-01-11;0,698;0,70;0,744;0,747;0,686;0,69;0,709;759736;538528,15;227;
2022-01-10;0,731;0,747;0,82;0,827;0,72;0,72;0,767;1162580;891231,36;375;
2022-01-07;0,793;0,795;0,79;0,835;0,77;0,795;0,808;1735744;1402991,41;627;
2022-01-05;0,757;0,76;0,823;0,834;0,726;0,778;0,784;1264607;991012,86;385;
2022-01-04;0,813;0,82;0,782;0,89;0,782;0,82;0,849;4872809;4137846,75;1457;
2022-01-03;0,763;0,77;0,634;0,942;0,633;0,781;0,833;7150278;5953107,31;2276;
2021-12-30;0,63;0,637;0,625;0,649;0,601;0,637;0,631;634559;400528,03;171;
2021-12-29;0,61;0,619;0,589;0,619;0,588;0,619;0,606;806883;489150,02;190;
2021-12-28;0,586;0,59;0,604;0,609;0,585;0,588;0,599;745834;446883,99;152;
2021-12-27;0,60;0,604;0,599;0,613;0,588;0,604;0,599;265491;158980,81;100;
2021-12-23;0,599;0,602;0,601;0,606;0,599;0,599;0,602;327671;197273,83;59;
2021-12-22;0,592;0,597;0,614;0,614;0,59;0,597;0,597;334379;199506,76;92;
2021-12-21;0,603;0,609;0,567;0,61;0,565;0,61;0,598;435630;260269,76;108;
2021-12-20;0,583;0,59;0,562;0,60;0,52;0,59;0,557;673580;375484,86;125;
2021-12-17;0,543;0,557;0,551;0,569;0,519;0,559;0,536;674811;361699,83;98;
2021-12-16;0,546;0,552;0,557;0,56;0,52;0,552;0,547;248993;136251,37;67;
2021-12-15;0,548;0,556;0,57;0,57;0,54;0,557;0,562;378228;212379,61;71;
2021-12-14;0,571;0,578;0,56;0,57;0,55;0,57;0,558;310339;173181,9;89;
2021-12-13;0,559;0,56;0,58;0,587;0,559;0,56;0,57;692513;394510,79;123;
2021-12-10;0,572;0,58;0,58;0,58;0,561;0,58;0,575;333361;191786,68;73;
2021-12-09;0,576;0,579;0,579;0,591;0,574;0,58;0,58;273687;158755,04;83;
2021-12-08;0,58;0,591;0,609;0,616;0,55;0,591;0,588;557846;327713,69;139;
2021-12-07;0,603;0,609;0,608;0,609;0,597;0,609;0,601;701544;421574,73;123;
2021-12-06;0,60;0,607;0,601;0,632;0,595;0,608;0,614;609323;373994,87;145;
2021-12-03;0,596;0,599;0,689;0,709;0,584;0,595;0,621;2828955;1756206,2;356;
2021-12-02;0,676;0,688;0,696;0,717;0,67;0,689;0,686;294281;201726,13;85;
2021-12-01;0,696;0,699;0,696;0,70;0,682;0,695;0,693;130006;90035,35;67;
2021-11-30;0,696;0,699;0,73;0,73;0,681;0,696;0,702;757300;531324,77;121;
2021-11-29;0,722;0,73;0,75;0,75;0,72;0,73;0,738;154511;113980,34;122;
2021-11-26;0,737;0,739;0,728;0,745;0,70;0,70;0,715;467593;334275,01;139;
2021-11-25;0,735;0,737;0,728;0,764;0,728;0,732;0,749;785517;588637,32;172;
2021-11-24;0,732;0,74;0,762;0,765;0,728;0,728;0,742;303598;225230,85;98;
2021-11-23;0,749;0,761;0,765;0,765;0,746;0,762;0,755;117175;88405,11;50;
2021-11-22;0,748;0,764;0,759;0,765;0,745;0,765;0,756;149612;113154,09;72;
2021-11-19;0,755;0,76;0,767;0,773;0,75;0,76;0,755;129707;97945,8;70;
2021-11-18;0,754;0,767;0,767;0,784;0,752;0,767;0,772;186907;144224,65;76;
2021-11-17;0,756;0,767;0,777;0,779;0,751;0,767;0,763;163914;125033,36;77;
2021-11-16;0,774;0,777;0,78;0,78;0,751;0,777;0,761;152584;116049,74;74;
2021-11-15;0,76;0,767;0,779;0,78;0,755;0,78;0,762;141007;107493,99;69;
2021-11-12;0,77;0,777;0,758;0,777;0,758;0,776;0,769;116243;89388,76;58;
2021-11-11;0,758;0,768;0,754;0,77;0,753;0,758;0,757;198736;150529,56;66;
2021-11-10;0,754;0,769;0,777;0,777;0,754;0,754;0,763;146095;111520,82;61;
2021-11-09;0,77;0,777;0,781;0,786;0,764;0,764;0,774;221865;171627,92;75;
2021-11-08;0,775;0,781;0,77;0,783;0,769;0,781;0,772;80108;61826,96;49;
2021-11-05;0,768;0,775;0,781;0,781;0,767;0,769;0,776;15265;11844,41;15;
2021-11-04;0,77;0,781;0,775;0,781;0,762;0,781;0,771;146552;112970,81;54;
2021-11-03;0,775;0,785;0,788;0,789;0,761;0,785;0,781;15895;12408,06;31;
2021-11-02;0,761;0,783;0,766;0,793;0,76;0,788;0,773;212880;164561,56;78;
2021-11-01;0,766;0,78;0,77;0,804;0,765;0,766;0,774;568260;439611,73;95;
