Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;16,56;16,61;16,75;16,95;16,47;16,47;16,649;1480122;24642598,5;1354;
2022-04-06;16,76;16,86;16,82;17,21;16,68;16,82;16,889;2232562;37706211,56;1908;
2022-04-05;16,87;16,94;17,19;17,41;16,83;16,89;17,128;1731272;29654389,3;1416;
2022-04-04;17,21;17,22;17,16;17,49;17,01;17,16;17,252;1264155;21812352,39;1278;
2022-04-01;17,14;17,20;16,80;17,26;16,33;17,16;16,762;3513474;58894489,9;2261;
2022-03-31;16,90;16,95;16,86;17,13;16,65;16,90;16,911;1682905;28459461,11;1380;
2022-03-30;17,24;17,31;17,05;17,39;17,00;17,33;17,232;2258007;38909013,9;1694;
2022-03-29;16,90;16,97;17,12;17,90;16,31;16,94;17,005;5796515;98528740,84;4226;
2022-03-28;16,91;16,98;17,27;17,44;16,84;16,86;17,10;1899489;32484632,13;1778;
2022-03-25;17,52;17,58;17,60;17,69;17,09;17,57;17,334;1835985;31827281,09;1741;
2022-03-24;17,63;17,67;18,00;18,24;17,60;17,60;17,879;2419840;43264595,25;2241;
2022-03-23;18,14;18,20;17,96;18,36;17,91;18,27;18,158;2767566;50255086,9;2225;
2022-03-22;17,92;17,98;18,25;18,63;17,70;17,96;18,084;3286539;59435716,21;2842;
2022-03-21;17,98;18,04;17,52;18,27;17,40;18,09;17,907;3771570;67537098,49;3409;
2022-03-18;17,08;17,14;16,90;17,68;16,69;17,13;17,205;3308091;56908520,02;3305;
2022-03-17;16,70;16,78;16,36;16,85;16,13;16,81;16,59;2623957;43531151,27;2318;
2022-03-16;16,31;16,40;16,91;17,31;16,10;16,29;16,47;2683619;44198988,5;2361;
2022-03-15;16,74;16,80;16,39;16,87;15,81;16,78;16,173;4495507;72700212,92;3708;
2022-03-14;16,99;17,00;17,55;17,64;16,70;16,91;17,07;4461797;76156172,8;3892;
2022-03-11;18,01;18,05;18,00;18,45;17,73;18,08;18,035;2621072;47268500,23;2559;
