Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;292,50;294,50;296,00;308,00;290,50;292,50;297,204;2209;656524,5;82;
2022-04-06;295,00;297,50;302,50;302,50;290,00;296,50;298,736;17529;5236550,5;115;
2022-04-05;301,00;303,00;308,00;315,00;300,00;302,50;310,216;12562;3897573,5;175;
2022-04-04;306,50;308,00;299,00;308,00;297,00;308,00;303,487;2495;757200,5;106;
2022-04-01;298,00;300,00;294,00;302,50;294,00;298,00;299,223;2915;872234;155;
2022-03-31;293,50;297,50;287,50;299,50;287,50;293,50;294,177;11011;3243129,25;205;
2022-03-30;281,50;282,50;280,50;287,00;278,00;281,50;282,05;4072;1148485,25;131;
2022-03-29;282,00;284,00;281,00;286,50;280,00;280,50;283,538;2872;814321;100;
2022-03-28;280,00;281,00;268,00;285,00;268,00;281,00;278,721;17549;4891269;246;
2022-03-25;271,00;274,00;282,00;285,00;270,50;273,50;276,712;5230;1447205;193;
2022-03-24;282,00;284,50;280,50;286,50;280,50;282,00;283,037;5472;1548777;175;
2022-03-23;287,00;288,00;287,50;291,50;281,50;288,50;286,714;6819;1955104,5;163;
2022-03-22;285,00;288,00;300,50;301,00;282,00;287,50;289,994;14128;4097033;483;
2022-03-21;301,50;302,00;298,00;304,50;297,00;300,00;301,456;11040;3328071,5;290;
2022-03-18;295,00;295,50;283,00;296,00;283,00;295,00;290,693;7104;2065081;170;
2022-03-17;285,50;290,00;282,00;290,50;280,50;284,50;284,978;11132;3172372,5;228;
2022-03-16;277,50;278,50;276,00;278,50;271,50;277,50;275,661;5986;1650107;168;
2022-03-15;267,00;269,00;265,50;271,50;261,00;267,00;265,72;3201;850568;107;
2022-03-14;272,50;274,50;268,00;276,50;268,00;275,00;273,436;3961;1083079;134;
2022-03-11;268,00;269,50;256,00;273,50;244,00;268,00;267,854;6951;1861854;167;
2022-03-10;259,50;261,00;267,00;273,50;260,00;261,00;266,197;5793;1542080,5;176;
2022-03-09;261,50;266,00;250,50;268,50;250,50;266,50;260,099;4489;1167583,5;176;
2022-03-08;250,50;252,50;248,00;260,00;248,00;250,00;254,789;7266;1851297;208;
2022-03-07;250,00;252,00;254,50;255,50;243,50;250,00;247,896;22475;5571343,5;495;
2022-03-04;256,50;258,00;265,00;265,00;255,50;256,50;258,89;8554;2214542,5;299;
2022-03-03;261,50;265,00;268,00;275,50;263,00;266,50;269,548;11419;3077973,5;277;
2022-03-02;268,50;270,00;255,00;272,00;253,00;268,00;263,426;9056;2385582;252;
2022-03-01;260,00;262,00;268,00;272,50;260,00;260,00;263,18;3799;999820;137;
2022-02-28;268,00;272,50;260,00;272,50;254,50;268,00;261,675;6565;1717897,5;207;
2022-02-25;262,50;266,00;258,00;268,50;254,00;264,50;260,901;3189;832012;165;
2022-02-24;257,50;259,50;255,50;261,00;249,00;258,00;253,914;18648;4735039;462;
2022-02-23;259,50;260,50;270,50;275,00;259,50;259,50;265,023;8122;2151913,75;222;
2022-02-22;268,50;269,50;262,00;276,00;256,00;270,50;267,806;7128;1908919,5;216;
2022-02-21;266,50;267,50;281,50;282,00;266,50;266,50;271,058;13506;3660914,5;479;
2022-02-18;281,00;284,00;288,00;288,00;277,00;281,00;280,04;7142;2000046,5;238;
2022-02-17;288,00;289,00;275,50;295,00;275,50;288,00;287,37;21240;6102937,25;414;
2022-02-16;288,00;291,00;290,50;291,00;285,00;288,50;287,842;6156;1771954;162;
2022-02-15;289,50;292,50;289,00;291,00;281,00;290,50;285,811;7795;2227896;303;
2022-02-14;280,50;289,50;286,00;289,50;279,50;289,50;282,379;15351;4334801;441;
2022-02-11;297,00;298,00;300,00;302,00;295,00;297,00;298,956;2404;718689;120;
2022-02-10;302,50;304,50;299,00;304,00;294,50;301,50;299,115;3499;1046602;128;
2022-02-09;297,50;298,50;298,00;306,00;295,00;299,00;298,224;45886;13684325;167;
2022-02-08;295,50;298,50;301,00;301,00;293,50;298,50;297,996;3993;1189897,5;169;
2022-02-07;299,50;301,00;303,50;305,00;297,50;301,00;300,68;7188;2161285;148;
2022-02-04;301,50;303,50;307,00;312,00;300,00;303,50;302,857;4832;1463407;164;
2022-02-03;307,00;308,00;311,00;317,00;306,00;307,00;309,699;5220;1616628,5;150;
2022-02-02;309,50;312,00;314,00;315,00;309,00;311,00;312,381;6024;1881781;145;
2022-02-01;309,50;311,50;307,00;312,50;306,00;312,00;310,232;3879;1203388,5;166;
2022-01-31;301,50;303,00;300,00;307,00;298,00;301,00;301,906;6183;1866683,5;207;
2022-01-28;298,00;301,00;299,00;301,50;291,50;296,00;295,187;5852;1727052,5;211;
2022-01-27;299,00;300,00;302,00;306,50;295,50;299,00;300,576;3755;1128664,5;166;
2022-01-26;301,50;303,00;292,00;305,00;292,00;301,50;300,392;4520;1357770;158;
2022-01-25;291,00;292,00;300,00;300,00;288,00;291,00;292,125;11929;3484761,5;291;
2022-01-24;289,00;290,50;299,50;301,00;284,00;289,50;291,003;14984;4360389;450;
2022-01-21;299,00;300,50;308,00;308,00;296,00;300,00;300,964;6430;1935196,5;246;
2022-01-20;308,00;309,00;313,50;317,00;303,50;308,00;308,515;7495;2312322;250;
