Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;12,86;12,98;13,14;13,14;12,80;12,86;12,891;74185;956329,82;203;
2022-04-06;12,78;12,96;13,14;13,14;12,62;12,96;12,876;335197;4317634,92;403;
2022-04-05;12,88;12,96;13,14;13,14;12,86;12,96;12,994;86499;1123683,2;230;
2022-04-04;12,96;13,10;12,76;13,14;12,56;13,14;12,889;387139;4989934,16;393;
2022-04-01;12,70;12,76;12,52;12,76;12,30;12,76;12,519;15250072;193630581,52;293;
2022-03-31;12,50;12,62;12,68;12,88;12,32;12,50;12,587;154550;1945375,82;245;
2022-03-30;12,68;12,76;12,80;12,90;12,62;12,68;12,73;103949;1323216,28;268;
2022-03-29;12,80;12,90;12,74;12,90;12,60;12,76;12,808;136469;1747862,36;243;
2022-03-28;12,70;12,80;12,68;12,88;12,68;12,70;12,798;112684;1442156,86;231;
2022-03-25;12,76;12,88;12,96;13,00;12,66;12,66;12,782;139765;1786414,62;306;
2022-03-24;12,72;12,84;13,08;13,12;12,70;12,84;12,897;290819;3750635,38;529;
2022-03-23;12,86;13,00;12,36;13,00;12,28;13,00;12,738;505696;6441366,44;380;
2022-03-22;12,36;12,44;12,60;12,76;12,34;12,36;12,484;194298;2425602,82;309;
2022-03-21;12,58;12,66;12,90;13,12;12,54;12,58;12,79;237886;3042526,24;325;
2022-03-18;12,82;12,88;13,06;13,06;12,70;12,90;12,794;304188;3891899,7;400;
2022-03-17;13,00;13,06;13,68;13,68;12,70;13,08;13,104;416055;5451865,16;835;
2022-03-16;14,00;14,10;13,78;14,20;13,78;14,00;14,011;487991;6837142,14;527;
2022-03-15;13,70;13,86;14,22;14,48;13,54;13,68;13,813;499455;6899097,82;688;
2022-03-14;13,72;13,74;13,78;14,18;13,54;13,66;13,852;482684;6686113,4;655;
2022-03-11;13,38;13,74;13,32;13,80;13,32;13,38;13,513;561344;7585583,98;583;
2022-03-10;13,36;13,40;13,06;13,62;13,06;13,30;13,283;299457;3977660,22;311;
2022-03-09;12,92;13,00;12,70;13,04;12,70;13,00;12,879;239471;3084219,96;366;
2022-03-08;12,78;12,88;12,94;13,18;12,68;12,68;12,855;289137;3716935,62;364;
2022-03-07;12,96;12,98;13,20;13,28;12,10;12,96;12,665;323921;4102661,34;606;
2022-03-04;13,20;13,26;13,60;13,88;13,18;13,20;13,312;190718;2538884,24;405;
2022-03-03;13,48;13,60;13,62;14,06;13,34;13,60;13,566;223795;3036090,66;385;
2022-03-02;13,50;13,60;13,24;13,74;12,80;13,60;13,275;281644;3738690,58;444;
2022-03-01;13,24;13,34;13,60;13,78;13,02;13,24;13,481;193004;2601867,06;351;
2022-02-28;13,62;13,68;13,86;13,94;13,34;13,70;13,614;183880;2503335,34;487;
2022-02-25;13,82;14,00;12,58;14,30;12,58;13,86;13,881;328465;4559515,36;500;
2022-02-24;13,50;13,64;13,72;13,72;13,32;13,50;13,488;433316;5843195,23;530;
