Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;81,20;81,40;81,00;81,75;76,25;81,15;79,999;713386;57100511,32;2022;
2022-04-06;84,20;84,35;83,65;84,40;82,95;83,85;83,723;756535;63338725,33;1007;
2022-04-05;83,80;84,10;82,00;84,15;81,65;83,65;83,171;490352;40784513,48;1010;
2022-04-04;81,65;81,85;80,60;82,30;79,75;81,80;81,482;305054;24857428,56;935;
2022-04-01;80,60;80,75;79,80;81,45;79,15;80,60;80,559;1524013;122875568,98;971;
2022-03-31;80,25;80,35;80,40;80,80;79,20;79,80;79,833;485642;38769672,43;1014;
2022-03-30;80,25;80,45;79,45;80,50;78,20;80,40;79,553;263125;20932307,1;1145;
2022-03-29;79,35;79,55;77,00;80,70;76,85;79,45;78,752;661956;52137477,86;1685;
2022-03-28;76,10;76,30;75,00;76,75;73,80;76,35;75,546;481483;36359246,26;1413;
2022-03-25;75,15;75,25;75,70;77,30;74,20;75,25;75,83;388678;29473173,78;1501;
2022-03-24;76,20;76,35;78,50;79,65;75,60;76,25;77,31;558989;43127332,02;1372;
2022-03-23;77,95;78,05;81,00;81,20;76,75;77,85;78,142;1042423;81446106,51;2872;
2022-03-22;79,85;80,00;85,50;85,50;78,95;79,70;80,419;1559170;125419232,45;3803;
2022-03-21;85,85;85,95;85,75;86,45;84,25;86,00;85,239;737858;62900265,36;1733;
2022-03-18;85,55;85,65;83,50;86,15;83,15;85,75;85,222;766194;64952265,95;1233;
2022-03-17;83,75;83,85;84,00;84,85;83,20;83,50;83,886;425575;35698913,98;1475;
2022-03-16;82,75;82,90;82,10;82,95;81,65;82,65;82,335;631064;51951784,25;1259;
2022-03-15;80,85;80,90;81,40;81,40;78,35;81,00;80,211;509853;40896458,21;1504;
2022-03-14;81,90;82,10;80,05;82,60;78,00;81,85;80,614;438709;35347558,9;1340;
2022-03-11;79,60;79,70;78,30;85,55;77,10;79,70;79,693;679409;54143851,21;1770;
2022-03-10;78,10;78,20;78,40;79,55;77,25;78,30;78,266;545134;42662506,95;1401;
2022-03-09;78,55;78,70;77,85;79,15;76,40;78,55;77,723;441329;34271758,29;1419;
2022-03-08;76,85;77,05;76,75;80,35;76,25;77,00;78,015;481645;37575594,43;1705;
2022-03-07;78,90;79,15;78,00;79,85;75,60;78,75;77,813;786764;61225987,24;2648;
2022-03-04;79,85;80,00;78,10;80,65;77,70;79,70;79,448;737628;58603636,78;2277;
2022-03-03;79,20;79,30;81,15;81,55;78,30;78,85;79,573;397458;31626155,08;1270;
