Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;22,80;23,50;24,50;24,50;22,40;23,245;22,965;18185;417612,96;109;
2022-04-06;22,75;23,65;23,50;23,50;22,50;22,75;22,759;21241;483430,09;122;
2022-04-05;23,50;23,765;23,80;25,00;23,455;23,50;24,413;49925;1218833,75;236;
2022-04-04;23,50;23,80;22,51;24,735;22,51;23,80;24,175;105039;2539292,12;539;
2022-04-01;22,35;22,60;22,25;22,65;21,85;22,35;22,426;29760;667384,05;107;
2022-03-31;21,65;21,85;22,15;22,15;21,55;21,85;21,824;16063;350553,8;88;
2022-03-30;22,05;22,10;21,05;22,20;21,05;22,10;21,956;20132;442017,65;126;
2022-03-29;21,05;21,45;21,90;21,90;21,00;21,00;21,575;21130;455887,55;109;
2022-03-28;21,10;21,45;19,90;21,45;19,90;21,45;20,689;49111;1016047,8;174;
2022-03-25;19,84;19,90;20,30;20,30;19,84;19,90;20,028;5923;118624,51;45;
2022-03-24;19,92;20,30;20,60;20,60;19,92;20,25;20,174;3760;75855,46;24;
2022-03-23;20,60;20,85;21,70;21,70;19,70;20,60;20,447;61043;1248137,05;182;
2022-03-22;21,00;21,40;21,70;21,70;21,00;21,40;21,236;34794;738895;129;
2022-03-21;20,50;21,00;20,45;21,55;20,40;21,00;21,023;25414;534274,55;118;
2022-03-18;20,20;20,45;19,60;20,45;19,50;20,45;19,876;25585;508535,83;87;
2022-03-17;19,50;19,88;19,62;19,82;19,46;19,52;19,581;6429;125886,38;33;
2022-03-16;19,62;20,00;19,32;19,98;19,32;19,62;19,593;5491;107586,88;22;
2022-03-15;19,40;19,50;19,60;19,60;18,94;19,32;19,194;10997;211074,84;26;
2022-03-14;19,40;19,68;19,00;19,68;18,88;19,66;19,329;16569;320264,58;64;
2022-03-11;19,68;19,78;19,18;19,76;19,18;19,68;19,52;13050;254739,76;41;
2022-03-10;19,18;19,20;19,38;19,80;19,18;19,18;19,407;15315;297222,26;59;
2022-03-09;19,00;19,20;18,00;19,24;18,00;19,00;18,676;13442;251046,04;42;
2022-03-08;18,00;18,38;17,38;18,50;17,38;18,00;17,966;22078;396651,2;68;
2022-03-07;17,38;17,98;18,36;18,36;17,02;17,38;17,557;38677;679056,62;169;
2022-03-04;18,34;18,40;19,46;19,46;18,08;18,40;18,489;27784;513709,7;99;
2022-03-03;18,98;19,40;19,74;19,74;18,72;19,46;19,045;22036;419677,84;101;
2022-03-02;19,36;19,74;19,00;19,74;18,48;19,74;18,845;33620;633583,36;135;
2022-03-01;19,20;19,96;19,36;19,78;18,42;19,00;19,158;89111;1707180,6;257;
2022-02-28;19,38;19,70;19,00;20,00;18,86;19,36;19,352;19133;370256,34;100;
2022-02-25;19,00;19,16;18,06;19,38;18,06;19,00;18,682;20657;385912,82;109;
2022-02-24;18,22;18,32;19,50;19,50;18,00;18,32;18,361;45058;827313,28;228;
2022-02-23;20,00;20,55;20,55;20,75;20,00;20,00;20,345;14122;287308,4;44;
2022-02-22;20,20;20,55;20,15;21,00;19,54;20,25;20,283;21872;443626,31;84;
2022-02-21;19,80;20,55;21,10;21,40;20,00;20,15;20,483;40073;820819,4;156;
2022-02-18;20,45;21,10;20,65;21,75;20,45;21,10;21,144;58006;1226449,85;212;
2022-02-17;20,30;20,70;21,25;21,30;20,65;20,65;21,008;10739;225604,2;55;
2022-02-16;21,10;21,70;21,05;21,75;21,05;21,25;21,528;20428;439771,4;74;
2022-02-15;21,05;21,45;20,35;21,45;20,35;21,05;20,941;17952;375924,3;66;
2022-02-14;20,75;20,80;21,00;21,00;19,88;20,80;20,333;75546;1536055,73;239;
2022-02-11;21,20;21,55;21,20;21,75;21,20;21,25;21,458;20075;430763;87;
2022-02-10;21,15;21,50;20,55;21,60;20,55;21,20;21,265;22839;485669,2;95;
2022-02-09;20,45;20,55;20,70;21,10;20,45;20,55;20,671;24476;505933,85;70;
2022-02-08;20,65;21,10;21,35;21,50;20,30;20,70;20,904;19848;414897,1;101;
2022-02-07;21,05;21,35;21,60;21,85;20,65;21,35;21,114;29883;630955,6;144;
2022-02-04;21,25;21,60;20,85;21,60;20,85;21,60;21,245;15698;333509,7;73;
2022-02-03;21,00;21,40;21,90;21,90;20,85;21,35;21,241;22332;474362,85;114;
2022-02-02;21,30;21,95;21,30;22,00;20,80;21,50;21,568;54752;1180883,5;255;
2022-02-01;21,00;21,05;20,90;21,30;20,85;21,00;21,03;40273;846937,55;142;
2022-01-31;20,85;20,90;19,80;20,85;19,80;20,85;20,265;43195;875361,41;187;
2022-01-28;19,06;19,54;20,00;20,55;19,06;20,55;19,456;7265;141344;63;
2022-01-27;19,70;19,84;19,66;20,05;19,48;20,00;19,709;18120;357125,62;73;
2022-01-26;19,66;19,76;19,60;19,76;19,22;19,66;19,446;48765;948277,54;139;
2022-01-25;19,20;19,62;19,02;19,72;19,02;19,60;19,39;31675;614173,96;154;
2022-01-24;18,72;19,06;21,00;21,15;18,62;18,70;19,423;83619;1624162,98;351;
2022-01-21;20,50;21,00;20,10;21,00;19,62;21,00;19,999;33604;672057,96;113;
2022-01-20;20,15;20,55;21,00;21,10;20,05;20,15;20,302;18635;378325,8;114;
2022-01-19;20,40;20,70;21,15;21,20;20,00;20,70;20,518;81914;1680705,75;223;
2022-01-18;21,15;21,50;21,00;21,65;21,00;21,15;21,261;74710;1588379,55;289;
2022-01-17;20,80;21,10;20,70;21,15;20,45;20,80;20,845;62058;1293608,45;288;
2022-01-14;20,45;20,55;19,40;20,55;19,38;20,50;20,11;41039;825279,65;195;
2022-01-13;19,60;20,00;19,64;20,00;19,60;19,60;19,882;20456;406697,76;90;
2022-01-12;19,64;19,84;20,00;20,00;19,30;19,64;19,668;29703;584210,58;107;
2022-01-11;19,66;19,82;19,14;19,90;19,14;19,86;19,50;12461;242987,02;86;
2022-01-10;18,90;19,20;19,94;20,00;18,90;18,90;19,678;28546;561714,74;112;
2022-01-07;19,90;19,92;20,00;20,10;19,68;19,92;19,881;34093;677790,27;152;
2022-01-05;20,00;20,20;18,84;20,20;18,82;20,00;19,817;48793;966915,75;215;
2022-01-04;18,62;18,84;19,18;19,60;18,64;18,84;19,241;37617;723788,06;141;
2022-01-03;19,18;19,30;18,66;19,38;18,62;19,18;19,028;55625;1058409,24;193;
2021-12-30;18,56;18,62;17,72;18,66;17,72;18,62;18,422;37662;693793,36;144;
2021-12-29;17,70;18,00;18,00;18,00;17,30;17,80;17,726;38093;675252,22;112;
2021-12-28;17,58;18,00;17,00;17,98;16,92;17,98;17,492;28094;491418,44;89;
2021-12-27;17,00;17,20;17,00;17,28;16,76;17,00;17,166;17114;293773,64;62;
2021-12-23;16,70;16,90;17,00;17,02;16,60;16,90;16,716;20910;349527,74;60;
2021-12-22;16,84;17,12;16,70;17,00;16,70;17,00;16,805;15568;261615,42;38;
2021-12-21;16,58;16,90;16,90;16,98;16,70;16,90;16,867;41883;706443,88;56;
2021-12-20;16,86;16,90;17,52;17,52;16,84;16,90;17,012;12724;216457,1;55;
2021-12-17;17,20;17,54;17,12;17,20;17,00;17,20;17,067;20082;342734,3;32;
2021-12-16;17,12;17,30;17,30;17,32;17,04;17,20;17,17;6033;103585,32;12;
2021-12-15;17,00;17,18;17,38;17,38;17,00;17,00;17,124;7689;131665,38;26;
2021-12-14;17,24;17,38;17,62;17,62;17,08;17,38;17,316;28508;493644,28;47;
2021-12-13;17,54;17,84;17,40;17,84;17,40;17,70;17,726;20595;365071,58;39;
2021-12-10;17,06;17,42;17,28;17,42;17,02;17,40;17,305;6250;108156,14;31;
2021-12-09;17,26;17,32;17,84;17,90;17,24;17,26;17,708;19288;341560,24;45;
2021-12-08;17,80;17,88;17,44;18,00;17,44;17,80;17,807;34633;616698,64;93;
2021-12-07;17,26;17,50;16,70;17,34;16,70;17,34;17,042;37935;646483,68;84;
2021-12-06;16,50;16,70;16,80;16,98;16,50;16,70;16,644;25600;426086,36;69;
2021-12-03;16,70;16,80;16,70;16,84;16,48;16,80;16,653;6124;101983,44;52;
2021-12-02;16,44;16,70;16,70;16,90;16,46;16,70;16,783;30687;515024,3;48;
2021-12-01;16,42;16,70;17,02;17,02;16,42;16,70;16,659;48346;805398,96;125;
2021-11-30;17,02;17,48;16,52;17,50;15,78;17,02;16,129;64200;1035479;179;
2021-11-29;16,52;16,70;17,32;17,32;16,46;16,70;16,749;36431;610164,68;147;
2021-11-26;17,12;17,40;17,78;17,78;16,88;17,40;17,19;31723;545307,82;95;
2021-11-25;17,70;17,78;17,78;17,78;17,60;17,74;17,762;11673;207335,56;56;
2021-11-24;17,70;17,78;17,76;17,78;17,44;17,78;17,76;10708;190174,32;48;
2021-11-23;17,48;17,78;17,78;17,80;17,40;17,76;17,528;14469;253605,9;55;
2021-11-22;17,60;17,78;17,98;17,98;17,50;17,78;17,702;25178;445692,82;90;
2021-11-19;17,60;18,00;17,86;18,20;17,42;17,94;17,698;22034;389947,86;48;
2021-11-18;17,50;17,82;17,90;17,90;17,26;17,82;17,529;25681;450154,34;87;
2021-11-17;17,72;17,92;18,20;18,20;17,72;17,92;17,934;21788;390754,56;95;
2021-11-16;18,12;18,20;18,34;18,34;18,02;18,20;18,196;21853;397632,32;69;
2021-11-15;18,20;18,36;18,98;18,98;18,20;18,34;18,433;31095;573160,68;109;
2021-11-12;18,58;18,98;19,20;19,20;18,42;18,98;18,686;16533;308932,26;114;
