Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;44,80;45,80;45,95;46,00;44,80;45,80;45,937;2114;97111,6;8;
2022-04-06;45,50;46,00;47,95;47,95;45,35;46,00;45,815;2810;128739,2;34;
2022-04-05;48,05;48,95;47,90;49,25;46,95;47,95;47,666;1814;86466,3;10;
2022-04-04;47,15;47,90;47,90;47,90;46,05;47,90;47,66;2019;96225,15;18;
2022-04-01;45,95;47,90;48,00;49,25;45,40;47,90;47,129;1164;54858,2;25;
2022-03-31;47,05;47,75;48,80;48,80;48,00;48,00;48,078;443;21298,4;3;
2022-03-30;46,90;48,80;48,80;48,80;48,80;48,80;48,80;1454;70955,2;8;
2022-03-29;47,05;48,80;49,00;49,00;47,50;48,90;48,83;1596;77933,25;19;
2022-03-28;45,25;47,30;47,50;47,50;45,35;47,30;46,385;1045;48472,7;14;
2022-03-25;46,10;47,50;47,00;47,50;44,50;47,50;45,648;15716;717397,5;31;
2022-03-24;46,05;46,90;48,00;48,00;47,00;47,00;47,208;1599;75485;7;
2022-03-23;46,65;46,90;46,90;46,90;46,65;46,65;46,801;2033;95147,2;7;
2022-03-22;46,45;46,90;47,00;47,00;44,95;46,90;46,788;1537;71912,75;19;
2022-03-21;45,95;47,00;46,45;47,00;43,95;47,00;46,312;3241;150098,6;19;
2022-03-18;45,50;46,45;46,50;46,50;45,45;46,45;46,223;1574;72754,75;15;
2022-03-17;46,40;47,00;45,90;47,00;43,50;47,00;45,237;4388;198500,4;36;
2022-03-16;44,15;45,90;43,85;45,90;43,20;45,90;44,231;4442;196472,05;36;
2022-03-15;43,25;43,90;43,20;44,20;43,05;43,90;43,584;652;28416,9;11;
2022-03-14;43,20;44,00;45,95;45,95;43,20;43,20;44,312;4562;202151,4;60;
2022-03-11;46,45;46,80;46,80;46,80;44,65;46,80;46,576;947;44107,1;17;
2022-03-10;44,70;46,80;45,85;46,85;43,25;46,85;45,063;811;36546,25;18;
2022-03-09;44,25;45,80;44,95;45,85;41,30;45,85;44,759;3472;155401,95;28;
2022-03-08;43,05;44,90;43,00;44,95;42,65;44,95;43,574;3308;144143,9;22;
2022-03-07;41,25;41,75;41,10;43,95;40,00;42,80;41,462;27517;1140911,25;90;
2022-03-04;43,00;44,90;45,00;45,00;42,80;44,90;44,057;345;15199,65;19;
2022-03-03;43,95;44,40;45,50;46,60;43,95;45,00;44,651;4650;207626,3;36;
2022-03-02;45,75;46,00;46,50;46,50;45,65;46,50;45,815;8570;392632,6;26;
2022-03-01;45,25;46,80;47,00;48,35;44,40;46,85;46,948;4346;204035,15;19;
2022-02-28;45,40;47,00;44,00;47,75;44,00;47,00;45,923;15494;711524,4;44;
2022-02-25;46,75;47,55;44,20;49,85;44,00;47,75;47,399;2575;122051,1;31;
2022-02-24;44,20;44,95;44,00;47,25;42,20;44,20;44,194;5324;235286,05;38;
2022-02-23;43,10;44,90;44,20;46,00;43,10;44,90;45,192;7328;331168,8;31;
2022-02-22;45,00;45,95;44,05;46,00;43,20;46,00;44,398;3342;148378,3;31;
2022-02-21;44,05;44,20;47,00;47,00;44,00;44,20;44,595;9728;433818,7;64;
2022-02-18;44,90;46,95;47,00;47,00;43,60;46,65;45,041;43749;1970488,65;170;
2022-02-17;48,15;50,00;50,00;50,00;48,15;50,00;49,061;2546;124908,4;22;
2022-02-16;50,20;50,50;50,60;50,60;47,60;50,60;48,622;3737;181702,05;12;
2022-02-15;49,45;50,60;49,05;50,60;47,15;50,60;49,171;1012;49760,8;23;
2022-02-14;49,10;49,95;48,15;50,50;46,50;49,95;48,279;3983;192295,45;26;
2022-02-11;49,80;50,50;50,50;51,00;50,50;50,50;50,548;673;34019;12;
