Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;255,20;255,40;254,50;257,90;252,50;255,60;255,466;1376627;351681962,75;3362;
2022-04-06;252,80;253,00;258,90;261,00;250,40;253,50;254,899;1980466;504882404,25;5091;
2022-04-05;260,00;260,10;258,50;262,00;258,00;260,20;259,979;1288402;334961170,7;3918;
2022-04-04;259,90;260,10;256,20;260,40;253,30;259,50;258,318;1297426;335108861,25;3593;
2022-04-01;257,20;257,30;254,40;257,40;252,60;256,10;255,606;1081930;276550479,8;3540;
2022-03-31;254,20;254,40;258,90;261,60;254,10;254,90;255,389;2165599;553089924,3;4445;
2022-03-30;256,80;257,00;258,90;258,90;251,30;256,50;256,348;1531002;392487803,97;4511;
2022-03-29;258,20;258,40;258,80;260,90;255,10;258,90;258,468;1372131;354610556,85;4003;
2022-03-28;256,40;256,60;252,00;258,00;251,50;256,90;256,065;1621146;415074634,35;5036;
2022-03-25;251,60;251,80;255,60;256,90;249,60;250,90;252,013;1403187;353625215,15;5202;
2022-03-24;256,60;256,80;265,50;266,20;256,40;256,40;258,038;1508854;389409758;4157;
2022-03-23;265,70;265,90;266,10;268,10;262,60;266,20;265,835;1341931;356735026,55;4128;
2022-03-22;264,20;264,40;265,50;266,00;260,90;264,20;264,005;1403768;370600682;4553;
2022-03-21;264,40;264,60;266,80;266,90;262,80;264,60;264,787;1215186;322307816,5;3409;
2022-03-18;265,90;266,10;265,80;266,80;261,00;266,80;265,582;2129805;565511988,9;5383;
2022-03-17;265,10;265,30;261,80;268,40;261,80;265,30;265,535;1938421;514728665,45;6752;
2022-03-16;262,50;262,70;253,10;262,70;249,30;261,20;258,713;2101810;543628527,35;5975;
2022-03-15;248,50;248,80;246,50;249,30;241,80;248,70;247,643;1305175;323200084,35;3601;
2022-03-14;248,50;248,70;246,60;252,60;243,60;248,40;248,068;1410042;349776222,95;4148;
2022-03-11;245,70;245,90;240,40;247,20;239,10;245,70;244,96;2746366;672706768,8;5730;
2022-03-10;240,20;240,40;240,70;244,70;236,70;240,40;240,457;2247868;540524721;5668;
2022-03-09;237,10;237,30;239,70;242,50;232,10;237,70;236,805;3836648;908535272,6;7931;
2022-03-08;233,30;233,50;234,20;240,80;231,10;234,20;235,117;2297154;540063532,8;6293;
2022-03-07;238,00;238,20;233,70;241,80;231,10;237,40;236,483;3117340;737029843,3;8373;
2022-03-04;242,20;242,40;252,00;254,20;241,10;241,10;244,177;1683134;411169161,45;5652;
2022-03-03;252,70;252,90;253,40;255,00;250,90;253,10;253,031;1331512;336919183,6;3670;
2022-03-02;253,80;253,90;249,80;254,90;244,50;252,80;251,727;2231034;561589855,05;5835;
2022-03-01;251,90;252,10;249,10;255,10;248,60;252,50;252,361;1632040;411864373;4616;
2022-02-28;252,00;252,20;248,20;253,20;244,20;251,60;250,161;2600982;650603477,55;6272;
2022-02-25;253,00;253,20;247,80;253,40;245,40;251,70;251,31;2017972;507093852,5;4993;
2022-02-24;246,50;246,60;247,20;250,30;241,20;245,90;245,793;3001978;737879197,8;8673;
2022-02-23;258,20;258,40;260,10;262,80;257,70;258,00;258,997;1509022;390868219,95;4137;
2022-02-22;258,00;258,20;253,00;260,70;252,40;258,40;258,179;1630956;421129141,55;4597;
2022-02-21;258,60;258,80;270,00;270,80;257,40;258,30;260,082;1730804;450156007,15;6589;
2022-02-18;268,00;268,20;269,50;270,40;266,50;268,70;268,458;1704971;457706742,3;4455;
2022-02-17;268,20;268,40;268,70;271,60;267,70;268,50;269,025;1373793;369596008,85;3813;
2022-02-16;268,30;268,50;265,60;268,70;264,50;267,80;267,501;1531250;409600690,75;4538;
2022-02-15;265,50;265,60;261,20;265,70;260,00;264,60;264,151;1112772;293927807,15;3385;
2022-02-14;261,00;261,10;262,40;263,50;257,10;261,50;260,525;2259145;588547414,1;7941;
2022-02-11;268,80;268,90;270,00;271,60;268,10;268,10;269,204;1263573;340226609,45;4272;
2022-02-10;272,20;272,40;273,40;274,20;270,70;273,30;272,565;1286494;350431465,1;3808;
2022-02-09;273,80;274,00;271,30;275,30;270,40;273,60;273,422;1467590;401283284,55;4878;
2022-02-08;267,50;267,70;271,90;272,00;266,30;267,30;267,902;2076101;556218585,65;5501;
2022-02-07;271,80;272,10;270,00;273,40;267,20;273,40;271,84;2571078;698833361,5;8194;
2022-02-04;266,40;266,50;260,00;266,50;256,10;265,00;262,72;3681182;966905082,35;13614;
2022-02-03;246,50;246,70;257,30;257,30;246,00;247,70;249,689;1743946;435464472,55;5653;
2022-02-02;255,50;255,70;256,00;256,20;253,90;256,00;255,523;1269818;324451010,55;3485;
2022-02-01;253,40;253,60;255,50;257,20;252,40;252,80;253,968;1469534;373239078,1;4509;
2022-01-31;252,20;252,40;250,70;253,80;250,00;253,00;252,65;2199072;555558722,55;4813;
2022-01-28;246,50;246,70;245,30;246,60;243,50;246,30;245,599;1767268;434000000,15;5016;
2022-01-27;245,40;245,50;244,50;247,50;242,20;245,30;245,044;1506490;368969048,02;4660;
2022-01-26;249,80;250,00;246,10;250,80;244,90;248,70;248,52;1235980;307151670;4088;
2022-01-25;245,90;246,10;250,10;250,60;242,80;245,20;246,229;1617605;398346078,75;6083;
2022-01-24;246,50;246,70;256,50;256,50;244,80;246,70;248,374;1908435;474042002,3;5579;
2022-01-21;257,60;257,80;258,00;259,50;254,80;257,80;257,447;1222424;314769927,15;4573;
2022-01-20;261,00;261,20;259,00;261,70;255,80;261,50;260,154;1384084;359581707,15;4098;
2022-01-19;258,10;258,20;255,00;260,10;253,60;258,20;257,366;1828099;470474212;6214;
2022-01-18;258,60;258,80;262,10;262,10;256,60;258,00;258,227;1752180;452413000,2;6780;
2022-01-17;263,50;263,70;260,80;264,70;260,70;263,20;263,179;792537;208578860,25;2998;
2022-01-14;260,80;260,90;267,20;267,70;260,60;260,60;262,33;1276335;334860056,25;5139;
2022-01-13;269,40;269,50;272,70;273,20;268,20;268,90;269,61;1367351;368869731,08;4938;
2022-01-12;272,90;273,10;270,10;274,30;267,10;272,70;271,868;1635721;444694712,3;5689;
2022-01-11;268,00;268,10;268,00;269,10;265,60;268,00;267,15;1971264;526606697,4;5470;
2022-01-10;265,80;266,00;273,00;273,60;264,60;265,30;266,998;1327980;354597014,71;4496;
2022-01-07;271,90;272,00;275,30;276,80;270,80;271,60;273,08;1838427;502059830;5658;
2022-01-05;279,80;279,90;282,70;283,50;279,30;279,40;279,936;655256;183442052,6;1877;
2022-01-04;281,20;281,30;280,50;282,40;279,40;281,80;281,365;1505912;423703429,1;4456;
2022-01-03;279,50;279,70;275,00;280,20;275,00;279,90;279,314;902688;252106994,4;3508;
2021-12-30;276,50;276,70;278,50;279,20;275,30;276,20;276,331;1027912;284052866;4327;
2021-12-29;278,40;278,60;278,00;280,30;278,00;278,40;278,745;1370577;382050557,4;2971;
2021-12-28;277,20;277,40;275,50;279,20;275,50;278,00;277,889;862717;239735473,6;2738;
2021-12-27;275,70;275,90;275,30;276,10;273,60;275,50;275,505;794013;218759958,65;2986;
2021-12-23;275,50;275,60;272,40;275,80;271,10;275,80;274,587;1077145;295732705,65;4155;
2021-12-22;270,90;271,00;267,40;271,50;266,60;271,50;270,287;1228245;331951100;3463;
2021-12-21;266,40;266,60;265,50;267,20;264,10;267,20;266,511;1282830;341868908,25;3761;
2021-12-20;262,60;262,80;259,40;263,10;257,00;263,10;261,566;1009584;264047737,55;4079;
2021-12-17;266,60;266,80;265,90;267,30;263,90;266,00;265,807;2411995;641129221,35;5416;
2021-12-16;266,50;266,70;268,90;269,60;266,00;266,70;267,047;1339505;357715314,05;4995;
2021-12-15;265,10;265,30;263,60;265,30;261,10;265,00;263,962;1609510;424834510;4895;
2021-12-14;261,60;261,80;267,80;269,20;261,60;262,20;263,81;1262937;333302435,65;3646;
2021-12-13;266,50;266,80;269,80;270,90;266,40;266,40;267,254;1499717;400918118,65;3378;
2021-12-10;269,10;269,30;268,00;272,00;267,50;269,60;269,781;895132;241496978,3;2924;
2021-12-09;269,50;269,70;270,00;272,40;268,40;269,50;269,721;1445656;390028905,25;3670;
2021-12-08;267,30;267,40;270,60;275,80;267,30;267,90;270,436;1966578;531872602,85;6312;
2021-12-07;271,30;271,50;272,40;273,00;269,70;270,60;271,054;2047093;554890314,25;5138;
2021-12-06;267,90;268,10;264,00;268,10;262,00;267,60;265,814;1677799;445956307,1;5731;
2021-12-03;259,80;260,00;260,10;261,80;254,70;259,50;259,595;2050063;532205137,9;6376;
2021-12-02;263,30;263,50;262,00;263,70;258,40;263,70;261,965;2020411;529196436,45;5587;
2021-12-01;262,90;263,10;255,90;263,00;255,10;262,80;260,618;1514260;394581328,5;5523;
2021-11-30;254,30;254,60;256,30;258,20;251,40;253,80;254,175;4382443;1113933557,35;8119;
2021-11-29;259,20;259,30;258,00;260,30;257,10;259,00;258,784;1444642;373871041;4966;
2021-11-26;256,30;256,60;259,60;261,60;255,90;255,90;257,985;2092746;539928222,85;8274;
2021-11-25;267,40;267,50;267,90;268,10;266,70;267,30;267,279;1028790;275067270,05;2088;
2021-11-24;266,10;266,30;267,80;268,30;264,60;266,30;266,129;1210949;322257786,95;4610;
