Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;470,70;470,80;469,50;475,10;463,50;470,50;469,636;1318438;619148798,8;6716;
2022-04-06;463,20;463,50;484,00;487,40;459,50;465,90;466,352;1853256;864102481,07;10060;
2022-04-05;480,80;481,20;493,50;497,70;479,80;483,20;486,683;962616;468543039,75;5455;
2022-04-04;494,70;494,80;493,20;499,50;484,60;493,50;493,317;956445;471829855,85;4982;
2022-04-01;495,30;495,50;494,70;496,40;488,60;495,00;494,16;1079242;533292921;7285;
2022-03-31;490,50;490,80;492,00;494,70;482,00;491,70;490,44;2274713;1115567656,36;6871;
2022-03-30;486,80;487,00;475,30;489,50;473,60;487,00;482,165;2474748;1192593338,95;11934;
2022-03-29;492,70;493,00;496,50;502,80;488,60;493,70;495,15;1620989;802711929,7;9009;
2022-03-28;492,70;492,90;487,80;496,80;484,80;493,30;492,127;999125;491685691,49;5417;
2022-03-25;485,60;485,90;513,40;514,60;483,30;485,70;493,568;1445904;713755284,55;7631;
2022-03-24;515,00;515,40;522,00;525,40;510,40;513,40;514,923;977545;503395747,9;5254;
2022-03-23;523,40;524,00;528,60;531,40;513,80;522,00;522,047;838627;437790719,1;4377;
2022-03-22;528,60;529,00;532,60;532,60;523,60;528,80;528,395;785741;415163056,5;4566;
2022-03-21;530,60;531,00;530,80;534,60;524,80;530,60;529,021;812516;429699112;5607;
2022-03-18;530,40;530,80;525,00;531,20;524,60;530,60;529,186;1832150;969334199,3;8140;
2022-03-17;520,60;521,00;526,40;532,00;516,20;524,40;523,815;1688874;884633949,6;8062;
2022-03-16;528,00;528,60;510,80;528,60;503,80;524,20;519,054;1803939;936195238,1;9866;
2022-03-15;494,70;495,00;494,70;498,50;481,90;494,20;492,659;873834;430481483,1;5879;
2022-03-14;497,20;497,50;503,00;505,80;494,00;496,80;498,40;1375916;685795142,65;10445;
2022-03-11;492,10;492,40;484,70;496,50;481,30;492,00;490,093;1958002;959569263,4;10890;
