Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;414,60;414,70;413,00;419,00;409,10;415,60;414,205;772714;320039107,3;4627;
2022-04-06;408,60;408,90;424,20;427,40;405,30;410,10;411,03;1008572;414268646,52;6476;
2022-04-05;421,80;422,00;435,00;437,20;421,50;424,10;428,924;548854;235470247,15;3326;
2022-04-04;436,00;436,10;435,90;440,20;427,00;435,60;435,123;459325;199894127,6;2890;
2022-04-01;436,10;436,20;431,10;437,40;427,40;436,30;434,26;487529;211697343,8;3644;
2022-03-31;429,20;429,40;429,80;434,90;424,60;429,50;429,507;799934;343580473,05;3967;
2022-03-30;427,50;427,80;419,90;428,20;415,20;427,60;421,512;1163315;489955803,95;8121;
2022-03-29;434,20;434,40;439,10;442,70;430,80;434,60;435,727;480893;209521299,75;3956;
2022-03-28;431,20;431,40;428,80;435,40;424,40;431,50;430,397;421216;181287656,6;3210;
2022-03-25;424,90;425,20;449,90;451,40;423,00;425,40;434,16;522303;226770939,25;4264;
2022-03-24;451,60;451,80;458,20;461,40;449,80;450,70;452,81;377220;170846674,25;2279;
2022-03-23;459,60;459,80;460,00;463,20;450,90;458,50;458,41;339068;155427922,7;2752;
2022-03-22;461,30;461,60;466,20;466,20;457,10;460,90;460,687;356110;164051334,35;3083;
2022-03-21;464,00;464,20;467,20;467,20;459,90;463,20;463,15;453127;209864772,75;3242;
2022-03-18;466,70;466,90;456,00;467,90;456,00;467,20;464,624;829030;385177587,15;4942;
2022-03-17;454,00;454,10;464,20;469,00;450,30;456,00;459,184;792553;363875571,5;6072;
2022-03-16;466,00;466,30;449,00;466,40;441,80;462,50;456,928;925859;422969287,95;6809;
2022-03-15;432,90;433,20;429,60;436,70;422,00;432,50;430,638;496891;213973477,75;3722;
2022-03-14;432,40;432,70;444,60;444,60;432,00;433,90;436,801;741252;323876549,05;6027;
2022-03-11;430,50;430,70;424,10;436,00;422,80;430,30;429,725;819880;352323947;5377;
2022-03-10;424,60;424,90;424,30;429,90;416,00;424,10;422,518;960727;405934349,85;7240;
2022-03-09;416,50;416,80;411,30;418,30;399,10;418,30;411,259;1149603;472718170,05;6472;
2022-03-08;398,40;398,60;399,00;414,60;394,40;400,10;404,281;733099;296391708,1;5717;
2022-03-07;411,00;411,20;385,80;416,20;384,60;410,80;404,746;1164026;471304173,9;8750;
2022-03-04;401,90;402,20;411,90;417,00;398,80;400,90;404,90;677264;274242909,1;6847;
2022-03-03;416,40;416,60;432,00;432,20;415,30;415,70;420,633;621613;261481284,6;5808;
2022-03-02;436,40;436,70;416,40;437,60;415,90;434,90;430,063;878868;377930729,1;5425;
2022-03-01;423,00;423,20;432,70;432,70;420,00;423,50;424,731;627568;266540133,1;4506;
2022-02-28;431,00;431,30;420,10;432,70;416,90;432,70;426,684;991543;423019404,75;5064;
2022-02-25;427,00;427,20;416,40;428,10;412,10;428,10;422,816;813060;343768433,35;5688;
2022-02-24;409,10;409,20;401,10;419,70;399,70;410,20;409,886;1190631;488042732,95;10244;
2022-02-23;424,70;424,90;430,50;433,80;423,60;425,20;427,842;535573;229152559,85;4436;
2022-02-22;429,60;429,80;421,20;435,50;419,50;430,00;430,18;1031383;444123278,59;6262;
2022-02-21;430,50;430,60;438,80;441,00;424,20;429,10;430,769;446435;192313948,1;4472;
2022-02-18;435,70;435,90;441,40;443,50;432,30;435,30;436,18;422561;184322621,95;4097;
2022-02-17;443,10;443,30;448,50;451,30;441,60;443,90;445,738;350962;156442899,5;3395;
2022-02-16;445,30;445,50;451,30;453,00;443,90;447,00;447,587;477710;213750063,03;3847;
2022-02-15;450,60;450,80;435,10;451,30;434,40;451,00;447,941;530846;237775998,45;4954;
2022-02-14;434,50;434,70;437,90;439,20;429,90;434,80;434,967;667835;290488072,05;6786;
2022-02-11;450,10;450,30;455,30;457,50;447,00;449,80;451,068;418437;188743533,4;4347;
2022-02-10;460,00;460,20;476,00;476,90;458,70;461,70;463,653;382823;177490955,25;3527;
2022-02-09;472,40;472,60;464,90;475,30;464,10;472,00;470,57;462370;217562796,55;4471;
2022-02-08;459,80;460,10;462,00;466,60;456,40;459,20;460,462;412285;189747118,8;2983;
