Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;10,30;10,50;10,40;10,50;10,30;10,50;10,378;1506;15628,75;16;
2022-04-06;10,35;10,40;10,45;10,65;10,30;10,35;10,427;1652;17225,3;21;
2022-04-05;10,45;10,65;10,50;10,65;10,30;10,45;10,44;2681;27988,55;16;
2022-04-04;10,45;10,75;10,70;10,75;10,40;10,50;10,628;7466;79348,5;24;
2022-04-01;10,60;10,70;10,50;10,70;10,50;10,70;10,606;564;5981,6;8;
2022-03-31;10,50;10,55;10,60;10,60;10,20;10,50;10,493;1608;16873,35;13;
2022-03-30;10,35;10,70;11,00;11,00;10,30;10,60;10,41;2596;27024,25;21;
2022-03-29;10,55;10,65;10,80;10,80;10,30;10,60;10,561;5496;58044,45;26;
2022-03-28;10,80;10,85;10,35;10,95;10,35;10,80;10,75;9613;103340,95;34;
2022-03-25;10,45;10,70;10,40;10,85;10,25;10,35;10,731;5304;56914,4;24;
2022-03-24;10,05;10,40;10,30;10,45;10,00;10,30;10,257;9816;100686,15;37;
2022-03-23;10,30;10,90;10,55;10,55;10,25;10,50;10,353;5877;60845,6;33;
2022-03-22;10,50;10,55;10,95;10,95;10,50;10,55;10,711;5667;60696,65;24;
2022-03-21;10,50;10,75;10,75;10,75;10,35;10,50;10,476;1741;18238,3;24;
2022-03-18;10,30;10,80;10,65;10,95;10,30;10,85;10,585;2125;22493,2;13;
2022-03-17;10,30;10,70;10,50;11,00;10,30;10,30;10,702;3747;40099,65;37;
2022-03-16;10,45;10,50;11,00;11,00;10,45;10,50;10,519;6022;63342,2;25;
2022-03-15;10,25;10,45;10,70;10,95;10,20;10,45;10,394;203;2109,95;14;
2022-03-14;10,70;11,00;10,60;11,15;10,60;10,70;10,748;585;6287,7;10;
2022-03-11;10,60;10,70;10,60;10,70;10,60;10,60;10,623;920;9772,8;14;
2022-03-10;10,70;11,00;10,50;11,20;10,50;10,70;10,787;3135;33816,05;30;
2022-03-09;10,50;10,80;10,35;10,80;10,35;10,50;10,529;3952;41610,6;24;
2022-03-08;10,10;10,85;11,00;11,00;10,00;10,10;10,418;20485;213416,2;55;
2022-03-07;10,50;11,25;10,80;11,25;10,10;11,25;10,727;10319;110686,95;33;
2022-03-04;10,80;11,00;10,85;11,20;10,55;10,80;10,792;5671;61199,45;25;
2022-03-03;10,80;11,05;11,15;11,25;10,65;10,85;11,018;2938;32370,5;18;
2022-03-02;11,00;11,20;11,05;11,20;10,15;11,20;10,979;1076;11813,15;25;
2022-03-01;10,70;11,05;11,15;11,15;10,45;11,05;10,885;7766;84529,35;31;
2022-02-28;11,00;11,15;10,65;11,30;10,65;11,15;10,999;4131;45435,35;38;
2022-02-25;10,65;10,70;10,20;10,90;10,20;10,65;10,536;12299;129577,05;49;
2022-02-24;10,15;10,20;10,00;10,65;9,84;10,20;9,993;21344;213294,92;82;
2022-02-23;10,55;11,00;10,40;11,35;10,40;10,70;10,627;6530;69395,65;54;
2022-02-22;10,20;10,45;10,70;10,70;10,15;10,45;10,328;35574;367409,35;99;
2022-02-21;10,90;11,00;12,40;12,40;10,80;10,95;11,059;15480;171195,2;86;
2022-02-18;11,25;11,60;11,25;11,75;11,25;11,45;11,431;14527;166059,85;64;
2022-02-17;11,30;11,75;12,30;12,60;11,25;11,25;11,876;21709;257807,35;108;
2022-02-16;12,10;12,30;11,85;12,85;11,85;12,20;12,262;27921;342358,95;94;
2022-02-15;11,75;11,85;10,80;13,00;10,80;11,85;11,738;73789;866150,2;253;
2022-02-14;13,10;13,15;13,85;13,85;12,60;13,00;13,024;63062;821302,65;144;
2022-02-11;13,85;14,00;14,00;14,15;13,25;14,00;13,895;11306;157097,65;79;
2022-02-10;14,30;14,35;14,80;15,45;13,70;14,30;14,583;29165;425306;142;
2022-02-09;14,75;15,10;14,75;15,35;13,95;14,80;14,412;36922;532118,7;239;
2022-02-08;14,80;15,00;16,05;17,50;14,65;14,90;16,344;145101;2371480,4;655;
2022-02-07;15,75;16,20;13,35;16,60;13,35;15,90;15,196;143382;2178823,45;488;
2022-02-04;13,30;13,35;12,80;13,40;12,25;13,35;13,094;43628;571272,6;215;
2022-02-03;12,05;12,25;11,90;12,70;11,75;12,20;12,188;47871;583458,05;127;
2022-02-02;11,55;11,80;11,20;12,00;11,20;11,80;11,868;5345;63431,6;53;
2022-02-01;11,20;11,50;11,50;11,90;11,20;11,20;11,507;3317;38167,15;21;
2022-01-31;11,35;11,40;10,95;11,40;10,95;11,35;11,318;5763;65223,75;44;
2022-01-28;10,95;11,05;11,40;11,40;10,60;10,95;10,789;15941;171982,9;50;
2022-01-27;11,00;11,10;11,45;12,45;10,85;11,05;11,42;31456;359231,75;102;
2022-01-26;11,00;11,45;10,80;11,50;10,80;11,40;11,232;15896;178547,95;43;
2022-01-25;11,00;11,20;11,20;11,20;10,75;11,15;10,977;6643;72918,05;59;
2022-01-24;10,80;11,25;11,00;11,60;10,50;11,20;10,802;7260;78423,05;33;
2022-01-21;10,95;11,30;11,15;11,45;10,70;11,00;10,927;3956;43228,5;24;
2022-01-20;11,05;11,40;11,20;11,50;11,20;11,25;11,393;2721;31001,5;20;
2022-01-19;11,10;11,25;10,50;11,50;10,45;11,20;10,931;5156;56360,35;42;
2022-01-18;11,45;11,75;11,20;11,50;11,20;11,50;11,385;7234;82360,3;19;
2022-01-17;11,50;11,70;11,75;11,95;11,40;11,50;11,626;4449;51725,5;27;
2022-01-14;11,60;11,75;11,80;11,80;11,30;11,75;11,587;3028;35084,5;27;
2022-01-13;11,45;11,90;11,90;12,20;11,40;11,90;11,722;2180;25554,6;18;
2022-01-12;11,90;12,05;12,10;12,35;11,80;11,90;12,061;7131;86003,85;34;
2022-01-11;11,80;12,10;11,50;12,25;11,00;12,10;11,437;8674;99200,95;45;
2022-01-10;11,70;11,90;12,10;12,35;11,15;11,70;11,576;12163;140793,7;81;
2022-01-07;12,10;12,25;12,35;12,35;11,80;12,10;12,081;4524;54652,95;49;
2022-01-05;12,00;12,35;12,20;12,35;12,00;12,35;12,263;6272;76912,2;29;
2022-01-04;12,15;12,20;12,30;12,30;12,00;12,20;12,177;1456;17729,55;35;
2022-01-03;11,95;12,30;11,80;12,40;11,25;12,30;11,955;16968;202853,7;67;
2021-12-30;11,55;11,80;11,55;11,85;11,55;11,80;11,793;24420;287987,25;48;
2021-12-29;11,50;11,65;11,50;11,90;11,40;11,55;11,613;6036;70097,4;51;
2021-12-28;11,35;11,50;11,60;11,60;11,30;11,50;11,479;6302;72342,55;37;
2021-12-27;11,25;11,60;11,45;11,55;11,00;11,55;11,345;25623;290699,65;87;
2021-12-23;11,35;11,45;11,15;11,50;11,00;11,45;11,205;8780;98381,25;25;
2021-12-22;10,95;11,00;10,95;11,00;10,85;11,00;10,976;5465;59983,1;19;
2021-12-21;10,90;11,15;10,85;11,05;10,85;10,95;10,987;4858;53376,75;21;
2021-12-20;10,90;11,00;11,00;11,00;10,75;10,85;10,832;5050;54703;20;
2021-12-17;10,95;11,00;11,00;11,00;10,80;11,00;10,955;9754;106856,75;23;
2021-12-16;11,00;11,05;10,90;11,15;10,75;11,00;10,928;9425;102997,6;41;
2021-12-15;10,90;10,95;10,95;11,15;10,90;10,90;10,996;2322;25531,65;30;
2021-12-14;10,90;11,10;12,00;12,00;10,50;10,95;10,974;44041;483289,3;94;
2021-12-13;11,20;11,40;12,00;12,10;11,00;11,20;11,53;25026;288554,8;82;
2021-12-10;12,00;12,20;12,30;12,30;11,95;12,00;12,096;9260;112005,9;38;
2021-12-09;12,30;12,45;12,75;12,75;12,20;12,30;12,316;5494;67664,75;26;
2021-12-08;12,40;12,50;12,20;12,70;12,20;12,50;12,447;1800;22404,15;24;
2021-12-07;12,20;12,40;12,50;12,75;12,20;12,40;12,382;10164;125850,4;48;
2021-12-06;12,60;12,75;13,00;13,00;12,60;12,75;12,804;2916;37336,3;17;
2021-12-03;12,40;13,05;13,50;13,50;12,40;13,00;12,774;18162;232001,65;49;
2021-12-02;13,00;13,30;13,00;13,00;12,95;13,00;12,969;1438;18649,35;14;
2021-12-01;12,50;12,70;13,00;13,00;12,35;13,00;12,876;7432;95692,8;32;
2021-11-30;12,55;12,85;13,00;13,00;12,55;13,00;12,82;16160;207166,75;59;
2021-11-29;12,90;13,00;12,85;13,40;12,85;12,90;13,058;5989;78204,2;36;
2021-11-26;12,60;12,65;13,50;13,65;12,55;12,80;13,042;42246;550960,35;86;
2021-11-25;13,65;13,90;13,30;14,05;13,30;13,90;13,645;3272;44646,5;27;
2021-11-24;13,35;14,05;13,95;14,10;13,75;13,75;13,925;11092;154454,3;28;
2021-11-23;13,85;13,95;14,05;14,10;13,80;13,95;13,936;4307;60023,5;25;
2021-11-22;13,80;14,10;13,75;14,05;13,65;14,05;13,918;2489;34641,95;21;
2021-11-19;13,70;13,75;13,80;14,00;13,55;13,75;13,722;4973;68239,6;24;
2021-11-18;13,75;14,10;14,00;14,10;13,55;13,80;13,836;7871;108902,2;38;
2021-11-17;13,90;14,00;13,60;14,00;13,45;14,00;13,72;8130;111542,4;40;
2021-11-16;13,55;13,75;13,05;13,80;13,05;13,60;13,647;586147;7999110,8;37;
2021-11-15;13,50;13,75;13,30;13,90;13,10;13,75;13,50;17356;234309,8;51;
2021-11-12;13,30;13,60;12,90;14,25;12,65;13,30;13,191;36236;477983,15;82;
2021-11-11;12,80;13,05;12,95;13,20;12,80;12,90;12,983;7691;99855,55;20;
