Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;1,944;1,996;2,005;2,07;1,912;1,946;1,972;86281;170121,24;78;
2022-04-06;1,996;2,00;2,02;2,075;1,99;2,00;1,998;93019;185874,36;64;
2022-04-05;2,02;2,035;2,02;2,085;2,01;2,02;2,025;31313;63414,49;46;
2022-04-04;2,02;2,09;2,04;2,13;1,996;2,02;2,067;77044;159236,23;86;
2022-04-01;2,015;2,035;1,99;2,045;1,982;2,035;2,013;62554;125943,04;74;
2022-03-31;1,992;2,015;2,02;2,05;1,966;1,992;1,99;102718;204421,29;39;
2022-03-30;2,02;2,045;2,01;2,075;2,01;2,02;2,039;13733;28006,68;49;
2022-03-29;2,01;2,05;2,02;2,055;2,01;2,01;2,033;42480;86375,6;73;
2022-03-28;2,005;2,02;2,075;2,075;2,005;2,01;2,026;63980;129647,54;66;
2022-03-25;2,02;2,075;2,065;2,105;2,00;2,075;2,048;39030;79930,29;50;
2022-03-24;2,03;2,065;2,085;2,09;2,01;2,065;2,045;156708;320506,65;75;
2022-03-23;2,04;2,045;2,00;2,06;1,96;2,045;1,987;155755;309508,29;83;
2022-03-22;2,00;2,03;2,065;2,085;1,99;2,00;2,008;151366;303942,07;78;
2022-03-21;2,025;2,065;2,12;2,12;2,025;2,065;2,063;63413;130810,52;58;
2022-03-18;2,10;2,135;2,08;2,145;2,08;2,135;2,113;14773;31207,5;39;
2022-03-17;2,08;2,10;2,105;2,11;2,005;2,08;2,089;52911;110510,64;47;
2022-03-16;2,065;2,085;2,03;2,09;2,00;2,09;2,044;69588;142247,59;47;
2022-03-15;1,946;1,998;2,05;2,145;1,86;2,00;2,00;253644;507281,98;126;
2022-03-14;2,04;2,045;2,06;2,115;2,03;2,04;2,073;103124;213777,23;63;
2022-03-11;2,055;2,12;2,035;2,115;2,03;2,115;2,062;38276;78937,39;34;
2022-03-10;2,05;2,07;2,10;2,185;2,03;2,03;2,061;90549;186648,92;60;
2022-03-09;2,06;2,095;2,09;2,135;2,06;2,095;2,074;71217;147716,9;44;
2022-03-08;2,065;2,085;2,24;2,24;2,055;2,09;2,093;96239;201396,21;84;
2022-03-07;2,065;2,125;2,04;2,18;2,00;2,18;2,056;181143;372488,07;119;
2022-03-04;2,13;2,155;2,29;2,29;2,08;2,13;2,134;157560;336212,7;84;
2022-03-03;2,20;2,24;2,23;2,35;2,22;2,235;2,286;71981;164536,54;74;
2022-03-02;2,22;2,225;2,25;2,29;2,23;2,23;2,253;51540;116106,53;35;
2022-03-01;2,29;2,315;2,38;2,435;2,195;2,29;2,282;146270;333748,91;87;
2022-02-28;2,35;2,38;2,43;2,43;2,34;2,38;2,391;50346;120389,24;62;
2022-02-25;2,41;2,43;2,31;2,43;2,29;2,43;2,384;141874;338281,65;83;
2022-02-24;2,29;2,30;2,38;2,38;2,21;2,29;2,272;242388;550657,94;102;
2022-02-23;2,385;2,39;2,345;2,445;2,32;2,39;2,373;371111;880674;83;
2022-02-22;2,28;2,30;2,29;2,32;2,22;2,28;2,282;276434;630856,29;65;
2022-02-21;2,28;2,305;2,315;2,325;2,28;2,30;2,302;671334;1545469,89;94;
2022-02-18;2,36;2,375;2,405;2,405;2,36;2,375;2,361;220610;520856,87;62;
2022-02-17;2,40;2,405;2,38;2,405;2,335;2,405;2,397;278016;666254,91;84;
2022-02-16;2,38;2,40;2,42;2,42;2,38;2,38;2,391;57614;137747,58;40;
2022-02-15;2,41;2,425;2,395;2,445;2,35;2,425;2,394;308422;738486,11;62;
2022-02-14;2,365;2,39;2,40;2,435;2,255;2,395;2,346;655921;1538702,17;145;
2022-02-11;2,45;2,46;2,42;2,46;2,42;2,46;2,44;208343;508273,66;86;
2022-02-10;2,42;2,43;2,41;2,475;2,40;2,42;2,423;165491;400965,93;69;
2022-02-09;2,37;2,405;2,36;2,47;2,36;2,37;2,417;84213;203556,1;55;
2022-02-08;2,45;2,47;2,47;2,47;2,45;2,45;2,452;78587;192717,89;35;
2022-02-07;2,45;2,475;2,495;2,495;2,41;2,475;2,449;178293;436579,4;53;
2022-02-04;2,46;2,50;2,60;2,625;2,46;2,495;2,541;225195;572146,21;117;
