Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;186,40;186,80;190,00;190,50;186,20;186,20;187,153;69329;12975096,6;646;
2022-04-06;187,20;187,50;193,70;194,80;186,40;188,00;189,782;147562;28004421,2;942;
2022-04-05;193,30;193,90;198,40;198,40;192,80;193,40;194,372;64482;12533559,55;798;
2022-04-04;192,60;193,20;189,20;194,60;187,60;193,70;192,498;64763;12466726,7;691;
2022-04-01;190,20;190,80;194,90;194,90;185,20;190,30;187,433;211962;39728701,6;2256;
2022-03-31;190,90;191,80;190,50;194,10;187,70;192,50;191,451;371986;71222869,7;3000;
2022-03-30;189,80;190,00;197,70;197,70;188,00;190,10;190,23;475629;90478973,9;3053;
2022-03-29;195,20;195,50;197,60;199,00;192,80;196,00;194,354;200293;38929031,2;1666;
2022-03-28;192,90;193,40;192,60;195,90;191,20;193,90;193,235;52900;10217374,5;575;
2022-03-25;192,10;192,50;190,00;195,80;190,00;192,60;192,615;73167;14093365,8;606;
2022-03-24;190,70;191,10;199,90;200,20;190,00;190,00;193,703;80348;15571659,1;936;
2022-03-23;205,00;205,20;209,60;211,80;200,40;204,00;204,261;207807;42446947,6;1695;
2022-03-22;209,20;209,60;209,00;211,60;206,40;208,60;209,659;231911;48622331,4;909;
2022-03-21;207,20;207,60;210,80;211,40;205,20;206,60;207,539;74616;15485643,8;621;
2022-03-18;206,80;207,20;206,80;207,60;203,20;207,60;206,639;216029;44576085,4;757;
2022-03-17;205,00;205,40;201,00;206,80;201,00;204,80;204,558;67841;13877398,6;629;
2022-03-16;200,80;201,00;197,00;203,00;197,00;201,00;201,105;84733;17040897,5;895;
2022-03-15;196,70;197,00;201,80;201,80;195,50;196,50;196,913;84158;16571837,85;848;
2022-03-14;200,40;200,80;195,00;202,20;194,90;199,90;199,635;80366;16043878,1;1042;
2022-03-11;194,50;194,80;194,60;195,50;189,80;194,50;193,099;120796;23325598,55;1194;
2022-03-10;188,50;189,10;193,80;193,80;186,20;189,80;189,884;111443;21161269,8;1159;
2022-03-09;187,90;188,80;182,00;190,70;182,00;189,00;188,935;127279;24047455,4;922;
2022-03-08;181,00;181,30;182,80;187,00;179,80;181,60;182,136;88531;16124669,5;1048;
2022-03-07;182,00;182,40;181,90;186,30;177,30;182,00;181,618;259330;47098289,95;2624;
2022-03-04;184,80;185,30;192,00;194,40;184,60;185,40;187,564;53027;9945890,65;704;
2022-03-03;192,60;192,90;190,00;197,00;190,00;192,80;194,256;71956;13977400,85;843;
2022-03-02;195,50;195,90;195,10;196,90;190,90;195,20;194,972;72326;14100551,6;750;
2022-03-01;195,50;195,80;199,50;200,20;194,30;195,00;196,559;65558;12887239,3;795;
2022-02-28;198,20;198,90;192,60;198,90;192,10;198,90;197,238;113566;22399337,3;890;
2022-02-25;196,90;197,20;193,00;199,70;191,80;197,30;196,536;68948;13550764,4;770;
2022-02-24;191,30;192,40;185,50;195,30;185,50;191,50;191,349;118732;22717528,95;1307;
2022-02-23;197,70;198,00;200,20;203,40;197,50;198,40;199,738;82080;16394327,3;756;
2022-02-22;200,20;200,40;194,50;201,40;191,20;200,20;198,149;156938;31097112,3;949;
2022-02-21;197,60;197,90;208,40;209,00;197,50;197,50;200,816;92708;18617299,1;856;
2022-02-18;208,80;209,40;211,80;212,80;208,00;208,80;209,928;67169;14100609,8;563;
2022-02-17;211,40;211,80;215,00;215,00;211,00;211,60;212,305;118139;25088346,2;1083;
2022-02-16;212,60;212,80;211,20;214,60;210,40;212,40;212,165;149760;31773123,9;1721;
2022-02-15;209,80;210,00;207,60;210,20;205,60;210,20;208,982;118491;24762449,4;1198;
2022-02-14;207,60;208,00;208,60;208,60;202,80;207,60;207,374;180491;37429057,8;1067;
2022-02-11;212,60;213,00;209,60;213,20;208,80;212,00;211,881;464935;98622147,04;1881;
2022-02-10;207,20;207,80;213,00;213,00;202,00;207,00;207,957;152418;31711895,8;865;
2022-02-09;208,20;209,00;201,20;209,60;201,20;208,20;206,73;415709;85939565,7;594;
2022-02-08;202,20;202,80;205,20;208,20;200,60;201,60;203,72;200027;40855801,4;1195;
2022-02-07;205,20;205,80;201,00;206,40;198,60;204,80;203,736;199451;40635468,2;1512;
2022-02-04;201,00;201,60;202,40;204,20;201,00;201,00;202,422;270847;54883194;1637;
2022-02-03;202,00;202,80;204,40;204,40;198,30;202,40;202,099;79541;16075742,6;919;
2022-02-02;202,20;202,60;204,80;204,80;201,40;202,00;202,608;44871;9091251,8;440;
2022-02-01;200,20;200,60;204,60;204,60;199,50;201,00;200,933;54637;10978387,5;547;
2022-01-31;201,20;201,80;199,80;202,80;196,90;201,40;200,457;73664;14766494,8;756;
2022-01-28;197,30;197,70;196,70;197,80;193,20;196,90;196,112;44892;8803837,4;581;
2022-01-27;196,40;196,70;195,00;199,90;193,00;196,70;197,078;62900;12396204,15;744;
2022-01-26;195,80;196,10;188,50;197,00;188,50;195,60;192,123;94688;18192214,95;1105;
2022-01-25;187,90;188,20;189,60;193,30;185,90;188,50;188,674;201502;38018332,85;1053;
2022-01-24;189,50;189,90;195,70;196,30;188,50;189,70;192,00;112004;21506182;1175;
2022-01-21;195,40;195,70;196,60;197,10;193,30;195,60;195,423;53348;10425436,85;614;
2022-01-20;198,30;198,60;193,30;198,90;192,80;198,00;195,691;132114;25850638,35;1413;
2022-01-19;186,60;187,20;182,40;188,50;181,20;187,10;186,883;79403;14840174,85;865;
2022-01-18;183,30;183,60;184,10;184,10;179,10;182,90;182,087;70201;12782681,7;859;
2022-01-17;184,40;185,00;189,60;190,00;184,10;184,10;186,656;45334;8462074,4;656;
2022-01-14;188,00;188,10;191,20;191,30;185,90;188,00;188,522;82285;15512564,4;1092;
2022-01-13;193,30;193,60;184,90;195,10;184,60;193,60;193,287;235921;45599992,5;3326;
2022-01-12;184,80;185,20;184,80;186,60;182,40;184,90;184,566;26175;4831084,5;410;
2022-01-11;182,90;183,20;185,90;187,00;181,40;183,20;183,414;42770;7844556,9;629;
2022-01-10;185,30;185,80;190,40;191,80;185,10;185,90;186,904;48723;9106530,55;650;
2022-01-07;190,30;190,60;198,00;198,00;190,20;190,30;192,409;61246;11784275,9;859;
2022-01-05;197,60;198,00;197,90;198,60;197,20;198,00;197,939;14870;2943357;193;
2022-01-04;198,00;198,40;198,80;200,40;197,20;197,90;198,738;120339;23915913,6;557;
2022-01-03;198,80;199,10;199,80;202,40;198,80;199,20;200,604;131974;26429320,2;580;
2021-12-30;199,90;200,40;199,20;201,00;198,20;199,70;199,695;17811;3556758,6;289;
2021-12-29;199,30;199,70;197,10;199,60;197,10;199,20;198,374;38980;7732607,4;561;
2021-12-28;196,90;197,20;198,20;198,50;196,90;197,20;197,402;13918;2747445;249;
2021-12-27;197,20;197,50;194,30;197,50;193,80;196,90;196,344;15065;2957926;242;
2021-12-23;193,80;194,20;193,90;194,90;193,00;193,70;193,607;18703;3621118,2;334;
2021-12-22;192,00;192,40;192,20;193,20;190,80;192,10;192,077;41195;7912599,7;678;
2021-12-21;191,60;191,90;190,70;194,10;190,70;192,20;192,09;39470;7581790,55;468;
2021-12-20;190,30;190,70;192,90;194,00;188,60;190,80;191,547;67201;12872242,6;850;
2021-12-17;193,30;193,60;190,30;193,70;188,90;193,50;191,98;135699;26051431;937;
2021-12-16;190,20;190,50;190,00;192,50;189,80;190,30;190,535;65254;12431929,55;854;
2021-12-15;190,30;190,70;185,50;190,60;184,60;189,80;187,991;101878;19152151,65;846;
2021-12-14;185,90;186,20;192,20;193,70;185,30;185,70;188,429;58919;11101271,9;769;
2021-12-13;192,40;192,50;200,00;203,40;192,30;192,30;196,307;97967;19231609,4;688;
2021-12-10;200,00;200,20;200,00;200,80;198,60;200,00;199,945;38761;7750084,9;341;
2021-12-09;200,20;200,60;206,20;206,20;200,00;200,20;200,434;37103;7436708;347;
2021-12-08;200,80;201,20;201,80;202,60;198,80;200,60;200,646;58909;11820050,7;524;
2021-12-07;201,60;201,80;198,30;202,60;198,30;201,40;201,473;119176;24010873,3;666;
2021-12-06;198,20;198,50;197,50;200,00;196,10;198,30;197,657;149723;29587121,9;816;
2021-12-03;197,10;197,50;200,80;202,80;197,00;197,50;199,589;150411;30021515,2;713;
2021-12-02;200,40;200,80;204,60;204,60;199,50;200,80;201,042;85121;17113004,6;809;
2021-12-01;204,00;204,60;200,40;207,40;200,40;204,40;203,978;76785;15662449;761;
2021-11-30;201,60;201,80;202,20;206,40;199,00;200,40;200,953;330864;66479721,5;1046;
