Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;28,72;28,78;29,40;29,40;28,64;28,70;28,893;160907;4649075,78;495;
2022-04-06;29,24;29,32;29,60;29,66;28,90;29,40;29,171;134041;3910063,22;628;
2022-04-05;29,46;29,56;29,80;30,40;29,32;29,60;29,885;224434;6707218,19;628;
2022-04-04;29,74;29,80;29,80;30,38;29,54;29,80;29,823;312908;9332260,82;1190;
2022-04-01;29,72;29,78;29,78;30,04;29,56;29,80;29,823;94750;2825617,86;250;
2022-03-31;29,74;29,88;30,44;30,84;29,52;29,80;29,887;229892;6866336,66;507;
2022-03-30;30,32;30,44;29,78;30,46;29,56;30,42;30,056;175743;5283234,38;474;
2022-03-29;30,02;30,10;29,86;30,36;29,60;30,16;30,034;126111;3787554,41;400;
2022-03-28;29,78;29,88;29,06;29,92;28,96;29,86;29,534;91560;2704145,3;374;
2022-03-25;28,94;29,06;28,70;29,20;28,58;29,06;28,907;202771;5861457,46;622;
2022-03-24;28,56;28,66;29,10;29,54;28,52;28,72;28,828;150041;4325306,98;465;
2022-03-23;29,38;29,50;30,00;30,36;29,06;29,52;29,502;214817;6338086,81;563;
2022-03-22;30,00;30,14;30,22;30,42;30,00;30,14;30,186;77582;2341924,14;251;
2022-03-21;30,32;30,44;31,20;31,20;30,18;30,36;30,578;163560;5000702,86;467;
2022-03-18;30,92;31,00;31,00;31,24;30,40;31,24;30,936;230390;7127314,98;533;
2022-03-17;30,86;31,00;30,54;31,04;30,40;31,02;30,777;96920;2982672,88;300;
2022-03-16;30,42;30,52;30,12;30,80;30,08;30,54;30,421;153888;4680767,41;399;
2022-03-15;30,22;30,28;30,90;30,90;30,16;30,40;30,392;72251;2195830,7;291;
2022-03-14;30,74;30,82;30,76;31,26;30,30;30,82;30,757;107832;3315780,72;329;
2022-03-11;30,66;30,74;30,00;31,08;30,00;30,76;30,683;171287;5255790,6;531;
2022-03-10;29,94;30,04;29,82;30,34;29,66;29,94;29,933;232551;6960210,94;661;
2022-03-09;29,84;29,94;30,28;30,58;29,66;29,96;30,075;342233;10293407,44;846;
2022-03-08;29,64;29,76;29,34;30,42;29,20;29,82;29,87;158875;4745628,56;505;
2022-03-07;29,58;29,64;30,02;30,04;28,32;29,46;29,281;470301;13777532,27;1177;
2022-03-04;29,90;30,00;30,00;30,56;29,60;30,02;30,123;262683;7912950,34;727;
2022-03-03;30,22;30,34;31,02;31,56;30,10;30,18;30,584;161504;4939415,01;562;
2022-03-02;31,44;31,50;30,82;31,66;30,40;31,34;31,112;233271;7257431,05;698;
2022-03-01;31,40;31,52;32,12;32,22;31,26;31,34;31,591;155368;4908249,3;409;
2022-02-28;32,14;32,20;31,18;32,30;30,70;32,30;31,824;295276;9396174,66;576;
2022-02-25;31,10;31,22;31,08;31,72;30,68;31,20;31,095;297298;9244590,64;615;
2022-02-24;31,00;31,06;29,70;31,18;29,28;31,08;30,305;358376;10855290,08;881;
2022-02-23;30,30;30,42;30,78;31,18;30,16;30,34;30,69;158286;4857793,63;496;
2022-02-22;30,64;30,78;29,46;31,28;29,06;30,78;30,541;297341;9083450,19;951;
2022-02-21;29,62;29,70;30,34;30,34;29,20;29,70;29,706;241957;7186784,63;763;
2022-02-18;29,88;30,00;30,50;30,52;29,70;29,94;30,019;258144;7748992,04;599;
2022-02-17;30,16;30,20;31,16;31,16;30,12;30,16;30,582;235522;7202496,45;683;
2022-02-16;30,90;31,00;31,60;31,60;30,74;30,90;31,108;173096;5384314,91;564;
2022-02-15;31,00;31,10;30,40;31,12;30,24;31,08;30,711;206074;6328889,16;725;
2022-02-14;30,26;30,34;30,60;30,60;29,70;30,38;30,088;422572;12713386,29;1098;
2022-02-11;30,74;30,82;30,96;31,52;30,36;30,76;30,865;298000;9198120,67;1036;
2022-02-10;31,10;31,14;31,16;33,00;30,20;31,06;31,499;1324252;41717436,14;2176;
2022-02-09;32,00;32,08;31,76;32,08;31,54;31,90;31,799;222767;7083557,27;553;
2022-02-08;31,58;31,66;31,84;31,92;31,38;31,76;31,677;229099;7256352,02;524;
2022-02-07;31,80;31,90;31,80;32,28;31,26;31,86;31,72;295606;9375948,67;825;
2022-02-04;31,98;32,02;33,54;33,54;31,80;31,90;32,224;336980;10858699,5;885;
2022-02-03;33,16;33,22;32,82;33,66;32,56;33,20;33,076;378859;12531001,4;672;
2022-02-02;32,78;32,88;33,00;33,36;32,76;32,82;32,975;131637;4340716,86;617;
2022-02-01;32,68;32,80;33,00;33,06;32,30;32,72;32,635;198237;6469556,03;594;
2022-01-31;32,82;32,90;32,96;33,06;32,32;32,82;32,808;136006;4462105,05;505;
2022-01-28;32,34;32,42;31,88;32,42;31,36;32,34;31,833;205533;6542785,24;536;
2022-01-27;31,72;31,80;31,90;31,98;31,34;31,82;31,686;308783;9784035,35;794;
2022-01-26;32,04;32,12;32,02;32,68;31,80;32,32;32,164;319475;10275508,61;687;
2022-01-25;31,80;31,86;32,10;32,66;31,40;31,80;31,905;434311;13855466,21;1230;
2022-01-24;31,64;31,68;33,70;33,70;31,58;31,90;32,169;705707;22702319,92;2204;
2022-01-21;33,54;33,64;34,38;34,38;33,18;33,62;33,568;203954;6846398,88;882;
2022-01-20;34,24;34,42;33,62;34,52;33,62;34,46;34,149;75460;2576696,38;388;
2022-01-19;33,86;33,96;34,28;34,30;33,64;34,06;33,894;139172;4717206,28;586;
2022-01-18;34,12;34,22;34,14;34,48;33,94;34,28;34,148;141779;4841583,1;484;
2022-01-17;34,54;34,62;35,38;35,40;34,52;34,56;34,846;119109;4150617,71;429;
2022-01-14;35,22;35,34;36,02;36,02;35,04;35,40;35,398;200798;7107937,7;624;
2022-01-13;35,76;35,80;36,14;36,16;35,66;35,76;35,923;116567;4187429,5;389;
2022-01-12;35,96;36,00;36,72;37,18;35,76;36,16;36,124;192380;6949051,52;561;
2022-01-11;36,84;36,88;36,36;37,00;36,10;37,00;36,507;102337;3735962,5;415;
2022-01-10;36,10;36,24;36,06;36,70;35,98;36,36;36,262;191414;6940819,2;597;
2022-01-07;36,02;36,16;37,50;37,50;35,82;36,28;36,199;337089;12201915,64;1253;
2022-01-05;37,48;37,56;38,32;38,36;37,40;37,50;37,691;102938;3878264,58;405;
2022-01-04;38,24;38,38;38,10;38,80;37,90;38,30;38,482;176223;6781531,81;621;
2022-01-03;37,80;37,94;38,10;39,20;37,82;38,04;38,443;162609;6250928,07;516;
2021-12-30;38,26;38,36;38,46;38,56;37,80;38,50;38,179;187444;7156479,83;614;
2021-12-29;38,30;38,38;37,94;38,76;37,58;38,48;38,237;223813;8557956,92;775;
2021-12-28;37,86;37,96;37,14;38,00;37,12;38,00;37,543;309314;11611773,5;875;
2021-12-27;37,16;37,24;37,14;37,56;37,00;37,20;37,268;193491;7209035,61;721;
2021-12-23;37,00;37,04;36,86;37,36;36,70;37,20;37,044;280103;10374018,27;1003;
2021-12-22;36,88;36,94;35,74;37,40;35,18;36,88;36,591;374579;13706085,45;1230;
2021-12-21;35,56;35,62;35,08;35,76;34,70;35,76;35,299;278057;9815396,11;945;
2021-12-20;35,00;35,12;33,82;35,46;33,44;35,22;34,551;6587770;267710499,35;1573;
2021-12-17;34,22;34,26;33,02;34,30;33,00;34,30;33,894;247491;8388101,12;722;
2021-12-16;33,08;33,14;33,02;33,48;32,62;33,04;33,032;166698;5506314,56;798;
2021-12-15;32,82;32,98;33,60;33,70;32,60;32,84;33,023;201773;6663190,8;571;
2021-12-14;33,56;33,66;33,10;33,90;33,10;33,62;33,586;147997;4970567,95;453;
2021-12-13;33,26;33,36;33,56;33,70;33,06;33,10;33,303;207932;6924900,41;577;
2021-12-10;33,46;33,54;33,86;34,04;33,50;33,56;33,643;122654;4126543,56;541;
2021-12-09;33,84;33,90;33,70;34,06;33,62;33,84;33,868;120738;4089117,36;586;
2021-12-08;33,70;33,76;34,18;34,24;33,28;33,70;33,81;192016;6492557,39;634;
2021-12-07;34,14;34,16;33,80;34,16;33,72;34,16;33,975;246167;8363527,73;891;
2021-12-06;33,80;33,90;33,62;33,84;33,06;33,80;33,463;120997;4049152,68;383;
2021-12-03;32,94;33,02;33,68;33,68;32,90;32,90;33,193;194025;6440211,98;553;
2021-12-02;33,46;33,56;33,80;33,80;32,92;33,54;33,328;204907;6829030,25;793;
2021-12-01;33,80;33,86;33,30;34,12;33,18;33,72;33,535;290547;9743658,54;880;
2021-11-30;33,30;33,36;33,00;33,82;32,64;33,26;33,138;596174;19686594,54;747;
2021-11-29;33,34;33,40;33,30;33,38;32,36;33,26;32,917;336766;11085280,02;1070;
2021-11-26;33,12;33,20;33,82;34,04;32,96;33,10;33,432;354731;11859204,14;1094;
2021-11-25;34,44;34,48;33,80;34,74;33,60;34,46;34,183;223117;7626721,35;785;
2021-11-24;33,86;33,88;34,54;34,54;33,82;33,82;34,005;426296;14496134,26;1033;
2021-11-23;34,46;34,52;35,00;35,02;34,12;34,38;34,493;268317;9252885,6;966;
2021-11-22;35,00;35,06;36,38;36,38;34,94;35,00;35,198;397661;13996031,7;1592;
2021-11-19;35,92;36,00;36,68;36,68;35,82;35,88;36,037;469195;16908406,88;1196;
2021-11-18;36,48;36,52;37,42;37,48;36,46;36,62;36,793;303386;11162562,52;1445;
2021-11-17;37,30;37,32;38,10;38,44;37,28;37,40;37,699;235918;8894839,96;906;
2021-11-16;37,96;38,04;38,20;38,26;37,82;38,00;37,988;117497;4463414,76;533;
2021-11-15;38,06;38,12;37,18;38,30;37,06;38,18;37,959;337578;12814466,98;1117;
2021-11-12;37,08;37,12;37,02;37,18;36,54;37,18;36,945;2107455;76102761,03;731;
2021-11-11;36,76;36,82;37,00;37,22;36,72;36,84;36,961;181259;6700614,49;751;
2021-11-10;36,98;37,00;37,72;37,72;36,80;37,00;37,074;146105;5417445,43;665;
2021-11-09;37,18;37,26;38,30;38,94;36,78;37,26;37,39;354117;13230265,55;1357;
2021-11-08;38,14;38,18;39,18;39,20;37,58;38,16;38,134;555175;21181484,34;1841;
2021-11-05;36,86;36,94;36,70;37,32;36,64;37,00;37,017;189740;7023603,06;442;
2021-11-04;36,60;36,74;35,90;36,88;35,86;36,70;36,543;135768;4961349,36;539;
2021-11-03;35,82;35,86;36,18;36,20;35,72;35,86;35,874;81988;2941221,58;403;
2021-11-02;36,10;36,18;35,70;36,44;35,58;36,18;36,124;109408;3952244,8;462;
2021-11-01;35,72;35,78;36,88;37,14;35,40;35,56;36,02;274029;9869236,61;1180;
2021-10-29;36,92;36,94;37,00;37,38;36,62;36,90;37,143;444874;16527315,74;539;
2021-10-28;37,24;37,38;37,38;37,52;36,92;37,36;37,287;53979;2012696;314;
2021-10-27;37,22;37,40;38,10;38,10;36,80;37,38;37,204;174646;6499986,19;656;
2021-10-26;38,00;38,10;38,44;38,48;36,78;38,10;37,637;577499;21809978,95;1460;
2021-10-25;36,74;36,88;37,42;37,42;36,80;36,94;36,994;82503;3052232;487;
2021-10-22;37,30;37,42;37,80;38,00;37,26;37,42;37,59;65589;2465351,68;268;
2021-10-21;37,78;37,88;37,10;37,96;36,80;37,88;37,552;87831;3298852,5;468;
2021-10-20;37,14;37,22;37,70;37,70;36,54;37,10;36,811;110440;4065289,14;484;
2021-10-19;36,68;36,78;38,02;38,02;36,30;36,78;36,799;163880;6029801,46;702;
2021-10-18;37,60;37,68;38,00;38,80;37,42;37,58;37,966;97646;3707205,46;521;
2021-10-15;38,18;38,22;38,06;38,54;37,94;38,18;38,221;180557;6901225,89;621;
2021-10-14;38,20;38,28;37,56;38,28;37,42;38,26;38,042;155120;5901204,72;522;
2021-10-13;37,60;37,72;37,84;38,08;37,46;37,66;37,722;98253;3706232,62;358;
2021-10-12;37,68;37,80;37,90;38,00;37,54;37,72;37,71;85914;3240313,03;543;
2021-10-11;37,78;37,82;37,46;37,90;37,16;37,90;37,686;49641;1870761,32;497;
2021-10-08;37,44;37,52;37,90;37,90;37,30;37,48;37,493;74399;2789415,1;379;
2021-10-07;37,96;37,98;37,80;37,92;36,98;37,84;37,493;128943;4835096,68;474;
2021-10-06;37,46;37,48;37,88;37,88;37,04;37,56;37,373;126122;4713598,7;617;
2021-10-05;37,44;37,54;37,60;37,62;37,04;37,62;37,371;88589;3310569,22;512;
2021-10-04;37,54;37,62;38,20;38,20;37,50;37,64;37,836;81463;3082201,04;352;
2021-10-01;37,98;38,06;37,82;38,20;37,30;38,20;37,853;143955;5448995,4;356;
2021-09-30;37,92;38,00;38,40;38,50;37,82;37,86;38,021;100289;3813400,48;596;
2021-09-29;38,42;38,50;39,00;39,40;38,14;38,40;38,502;204171;7860880,78;757;
2021-09-28;39,20;39,38;39,48;39,58;38,76;39,30;39,20;139274;5459596,81;770;
2021-09-27;39,46;39,50;40,26;40,60;39,40;39,48;39,859;116286;4635090,78;492;
2021-09-24;40,26;40,34;39,62;40,32;39,40;40,30;39,977;76319;3051278,96;273;
2021-09-23;39,62;39,70;39,96;40,10;39,52;39,56;39,75;178044;7077285,78;433;
2021-09-22;39,46;39,50;39,50;40,04;39,36;39,44;39,556;99178;3923155,28;524;
2021-09-21;39,60;39,72;40,78;40,78;39,66;39,72;40,16;124570;5001916,84;428;
2021-09-20;40,58;40,76;40,04;40,80;39,12;40,80;40,102;148095;5938929,74;448;
2021-09-17;40,00;40,10;39,52;40,10;39,42;40,04;39,963;306564;12251028,34;678;
2021-09-16;39,56;39,64;39,46;39,68;39,12;39,52;39,469;123567;4877048,25;726;
2021-09-15;39,52;39,62;40,02;40,24;39,44;39,46;39,657;109617;4347127,48;611;
2021-09-14;40,06;40,12;40,40;40,80;40,02;40,06;40,357;80792;3260547,24;476;
2021-09-13;40,40;40,48;40,40;40,74;40,40;40,40;40,44;70092;2834539,35;497;
2021-09-10;40,42;40,52;40,70;40,72;40,22;40,40;40,433;99095;4006749,77;586;
2021-09-09;40,68;40,78;40,94;41,00;40,56;40,70;40,754;73364;2989955,03;349;
2021-09-08;40,84;40,90;41,12;41,34;40,62;40,94;40,779;417951;17044174;701;
2021-09-07;41,60;41,70;41,28;41,78;40,92;41,60;41,424;131090;5429982,36;849;
2021-09-06;41,14;41,26;42,04;42,06;40,56;41,26;41,17;244115;10049825,95;1019;
2021-09-03;41,96;42,02;42,00;42,72;41,90;42,04;42,517;406975;17302571,57;503;
2021-09-02;42,30;42,42;41,92;42,50;41,82;42,34;42,132;123314;5195460,81;632;
2021-09-01;41,92;42,00;43,20;43,20;41,90;41,90;42,29;137436;5812158,98;612;
2021-08-31;42,46;42,52;42,36;43,06;42,12;42,68;42,648;258362;11018935,44;1275;
2021-08-30;42,18;42,32;41,92;42,62;41,90;42,36;42,121;155438;6547116,68;473;
2021-08-27;42,18;42,30;41,52;42,32;41,48;42,32;42,059;119815;5038992,46;853;
2021-08-26;41,66;41,74;41,60;41,90;41,06;41,90;41,573;95975;3989847,78;685;
2021-08-25;41,28;41,50;41,92;42,34;41,30;41,60;42,015;480502;20188348,22;631;
2021-08-24;42,16;42,42;40,90;42,40;40,56;42,24;41,869;698974;28957935,72;854;
2021-08-23;40,76;41,00;41,42;41,72;40,52;40,90;40,929;127521;5219480,12;634;
2021-08-20;41,30;41,48;41,12;41,60;40,92;41,42;41,283;81231;3353465,6;309;
2021-08-19;40,98;41,04;41,98;41,98;40,80;41,12;41,10;131342;5398104,32;654;
2021-08-18;41,56;41,68;41,60;41,76;41,06;41,68;41,489;96663;4010439,04;494;
2021-08-17;41,00;41,10;41,56;41,60;40,94;41,16;41,118;139583;5739327,64;738;
2021-08-16;41,34;41,38;41,92;41,92;41,22;41,48;41,506;62834;2607966,14;331;
2021-08-13;41,82;41,88;42,00;42,00;41,48;42,00;41,781;58681;2451775,7;308;
2021-08-12;41,58;41,64;41,90;41,90;41,44;41,70;41,645;70929;2953802,4;351;
2021-08-11;41,66;41,74;42,00;42,00;41,50;41,80;41,765;73936;3087975,52;392;
2021-08-10;41,74;41,80;41,70;42,14;41,68;41,86;41,892;78916;3306024,34;335;
2021-08-09;41,54;41,64;41,92;41,92;41,12;41,70;41,488;139986;5807705,4;607;
2021-08-06;41,64;41,72;41,76;41,80;41,06;41,68;41,421;118405;4904366,12;414;
2021-08-05;41,56;41,68;41,84;41,92;41,06;41,76;41,478;191206;7930684,1;576;
2021-08-04;41,76;41,82;42,10;42,10;41,64;41,84;41,888;102387;4289033,63;542;
2021-08-03;42,00;42,10;42,00;42,24;41,70;42,00;42,055;377657;15882263,12;1169;
2021-08-02;41,92;41,96;42,90;42,90;41,72;41,94;42,087;425062;17905749,74;485;
2021-07-30;42,10;42,20;42,10;42,38;41,24;42,14;41,914;256927;10768848,84;693;
2021-07-29;42,02;42,10;41,64;42,08;41,32;42,08;41,838;93576;3915175,72;361;
2021-07-28;41,66;41,78;42,08;42,30;41,56;41,64;41,993;367240;15421663,44;789;
2021-07-27;42,04;42,08;42,32;42,32;41,36;42,08;41,778;155719;6505606,98;595;
2021-07-26;42,18;42,32;42,22;42,98;41,78;42,14;42,376;505730;21429940,04;1742;
2021-07-23;41,96;42,00;41,30;42,38;40,76;41,96;41,751;522092;21799630,77;1260;
2021-07-22;41,44;41,54;40,00;42,08;40,00;41,44;41,099;558077;22936163,32;1603;
2021-07-21;39,30;39,36;38,58;39,40;38,58;39,24;39,069;182550;7133029,45;801;
2021-07-20;38,72;38,78;39,00;39,10;38,52;38,68;38,778;176169;6830926,85;618;
2021-07-19;39,14;39,28;40,00;40,00;38,86;39,10;39,184;234307;9180484,65;667;
2021-07-16;39,56;39,64;39,00;40,08;38,98;39,60;39,621;138834;5500661,56;406;
2021-07-15;38,98;39,02;39,02;39,22;38,16;39,02;38,693;346444;13407062,26;874;
2021-07-14;39,04;39,12;39,36;39,54;39,02;39,02;39,19;84294;3303939,78;301;
2021-07-13;39,30;39,38;39,38;39,68;39,10;39,36;39,426;124807;4920990,5;464;
2021-07-12;39,46;39,52;39,56;39,66;38,70;39,38;39,283;475869;18693381,6;799;
2021-07-09;39,64;39,70;39,70;40,20;39,46;39,56;39,785;184660;7346960,26;588;
2021-07-08;39,80;39,84;39,50;39,82;39,46;39,78;39,666;97322;3860633,78;402;
2021-07-07;39,76;39,84;39,52;39,92;39,16;39,78;39,618;166164;6584047,44;681;
2021-07-06;39,50;39,56;39,32;39,68;39,00;39,52;39,386;176764;6961946,74;577;
