Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;66,60;72,00;71,80;72,80;66,80;72,20;69,658;176;12259,8;11;
2022-04-06;66,80;69,20;69,00;69,20;66,40;69,20;68,618;253;17360,4;12;
2022-04-05;67,60;68,00;67,00;69,40;66,80;69,40;67,486;197;13294,8;8;
2022-04-04;67,20;71,60;68,00;70,00;67,80;70,00;68,209;402;27420;13;
2022-04-01;70,00;71,80;72,40;72,40;68,20;70,00;69,058;281;19405,4;9;
2022-03-31;68,30;72,60;69,70;72,70;67,00;72,70;68,75;1160;79749,6;23;
2022-03-30;66,70;70,60;71,10;72,90;66,00;70,70;68,719;2386;163963;42;
2022-03-29;68,10;72,00;72,20;72,20;69,90;72,00;72,085;1615;116417,6;15;
2022-03-28;68,00;72,00;72,00;72,00;66,70;72,00;70,957;127;9011,5;8;
2022-03-25;68,70;72,00;72,00;72,00;72,00;72,00;72,00;25;1800;1;
2022-03-24;68,00;72,00;;;;72,70;;;;0;
2022-03-23;68,00;72,50;;;;72,70;;;;0;
2022-03-22;67,80;72,70;71,00;72,90;68,90;72,70;72,067;105;7567;9;
2022-03-21;70,60;72,00;67,40;71,90;65,50;70,60;68,446;2840;194386,6;33;
2022-03-18;68,80;69,60;68,80;69,60;65,30;68,80;68,485;1956;133957,1;20;
2022-03-17;66,50;68,70;66,00;68,90;66,00;68,90;67,161;310;20820;7;
2022-03-16;66,90;68,90;65,00;68,90;65,00;68,90;66,83;1322;88348,8;15;
2022-03-15;64,10;66,90;;;;67,90;;;;0;
2022-03-14;65,00;67,80;64,90;67,90;64,90;67,90;65,056;5448;354426,6;15;
2022-03-11;64,90;65,00;64,90;65,00;64,90;64,90;64,975;214;13904,6;7;
2022-03-10;63,30;65,00;65,00;65,00;63,30;65,00;64,709;792;51249,4;26;
2022-03-09;64,00;65,00;69,30;69,30;64,00;65,00;64,979;562;36518;21;
2022-03-08;63,70;66,00;64,70;68,00;63,70;66,00;66,204;187;12380,2;12;
2022-03-07;65,10;66,30;66,10;67,00;65,00;66,40;66,394;883;58625,5;26;
2022-03-04;66,60;69,80;69,80;69,80;66,70;69,80;68,082;493;33564,3;7;
2022-03-03;66,30;69,90;70,00;70,00;66,70;70,00;68,801;337;23186;15;
2022-03-02;70,00;70,90;67,20;70,90;66,00;70,00;69,437;728;50550,3;15;
2022-03-01;67,70;70,00;70,00;70,00;67,70;70,00;68,058;575;39133,3;10;
2022-02-28;69,00;70,00;70,60;71,00;70,00;70,00;70,941;983;69735,4;9;
2022-02-25;67,70;69,00;69,00;69,00;69,00;69,00;69,00;200;13800;2;
2022-02-24;65,80;67,00;65,60;70,00;64,20;67,10;66,917;4454;298049,8;35;
2022-02-23;67,40;69,90;70,00;71,00;68,00;71,00;70,03;734;51401,9;14;
2022-02-22;70,00;70,80;65,70;70,80;65,70;70,00;69,595;721;50177,8;24;
2022-02-21;67,80;70,90;71,50;72,40;69,00;72,40;69,302;2061;142831,7;31;
2022-02-18;70,10;71,50;72,20;72,20;70,00;71,50;70,774;219;15499,4;16;
2022-02-17;70,00;71,70;73,90;73,90;70,00;72,20;70,305;1217;85561,4;25;
2022-02-16;71,00;73,90;;;;74,50;;;;0;
2022-02-15;72,30;74,40;72,50;74,50;72,30;74,50;72,885;147;10714,1;5;
2022-02-14;70,80;71,00;73,80;73,80;69,30;70,80;71,536;3696;264396,3;61;
2022-02-11;71,30;72,90;71,90;74,80;70,20;74,80;72,345;1057;76469,1;23;
2022-02-10;71,30;72,30;74,10;74,10;71,10;73,20;72,318;1817;131401,1;40;
2022-02-09;74,10;74,90;73,90;75,00;73,90;74,90;74,208;249;18477,8;7;
2022-02-08;72,10;73,80;71,00;74,50;70,60;72,00;72,61;3838;278675,5;51;
2022-02-07;69,80;70,50;70,40;71,70;67,60;70,50;69,587;7982;555441,5;54;
2022-02-04;69,10;70,30;72,10;76,00;68,90;70,40;69,736;24523;1710131,2;136;
2022-02-03;74,00;74,90;75,00;76,40;73,30;75,90;74,632;580;43286,8;19;
