Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;323,00;323,30;314,00;323,70;313,90;322,90;320,608;365231;117113947,35;4527;
2022-04-06;313,80;314,10;306,00;315,00;304,30;314,00;311,724;326340;101728233,25;3533;
2022-04-05;305,80;305,90;309,00;312,40;305,10;305,90;307,235;333679;102520127,1;4099;
2022-04-04;310,60;310,90;303,00;315,60;303,00;310,00;310,702;413340;128437359,15;4303;
2022-04-01;302,90;303,30;306,20;308,40;302,90;303,00;304,757;394304;120347206,25;3008;
2022-03-31;307,10;307,40;307,80;309,20;300,50;306,20;305,595;522965;159812541,55;6119;
2022-03-30;306,90;307,00;300,00;307,00;299,30;306,60;304,495;256794;78187577,5;3919;
2022-03-29;299,30;299,50;299,30;303,10;298,00;300,00;300,625;230901;69414554,8;2327;
2022-03-28;298,70;299,20;300,80;301,70;295,10;299,30;298,865;344094;102815006,65;4221;
2022-03-25;298,90;299,40;301,00;305,00;293,40;299,60;298,965;433574;129602065,9;5382;
2022-03-24;300,20;300,40;289,00;300,90;286,40;300,10;295,605;564267;166688565,7;4251;
2022-03-23;290,70;292,00;301,60;305,00;285,30;290,90;292,675;832619;243628578,6;7821;
2022-03-22;289,10;289,50;278,70;289,50;278,70;288,50;285,101;738310;210522218,55;5336;
2022-03-21;272,60;272,90;270,70;273,80;270,20;272,40;271,682;473474;127494356,95;2857;
2022-03-18;269,80;270,30;271,50;271,90;268,20;269,80;269,86;455583;122944321,05;2793;
2022-03-17;270,70;270,90;281,10;282,90;267,50;270,90;272,82;598017;163103139,55;5523;
2022-03-16;280,50;280,70;280,00;283,80;278,10;281,00;280,815;806395;226444093,2;3817;
2022-03-15;278,30;278,40;275,00;279,20;272,00;278,20;276,532;466626;129032742,45;3555;
2022-03-14;274,40;274,50;270,00;279,50;270,00;274,80;274,351;519135;142396362,75;5471;
2022-03-11;266,20;266,30;257,40;268,50;256,20;266,00;264,225;428582;113223031,85;3938;
2022-03-10;257,00;257,40;249,00;258,50;249,00;256,40;254,534;504588;128463013,45;3612;
2022-03-09;248,80;249,00;249,50;253,60;245,30;248,70;247,938;437427;108455801,8;3700;
2022-03-08;249,20;249,30;251,70;253,90;248,90;249,50;251,717;506746;127555856,6;3135;
2022-03-07;251,70;252,10;250,00;254,90;249,00;252,00;251,978;419226;105616800,85;4010;
2022-03-04;254,20;254,50;252,90;255,40;249,60;254,00;253,189;290826;73636180;2798;
2022-03-03;252,60;253,00;251,00;253,90;248,30;252,40;251,49;317558;79850673,4;2833;
2022-03-02;251,30;251,70;255,00;256,70;249,20;250,80;251,629;543581;136793423,85;4068;
2022-03-01;255,00;255,30;249,20;256,30;248,40;255,00;253,148;341881;86534911,3;3550;
2022-02-28;248,90;249,20;242,20;249,40;242,00;248,80;247,128;363673;89867271,65;3114;
2022-02-25;242,60;242,90;238,50;243,00;238,10;242,40;240,994;240082;57856708,6;3141;
2022-02-24;238,50;238,80;236,80;241,00;234,40;238,50;238,596;370858;88486498,2;4178;
2022-02-23;240,00;240,20;240,40;244,10;239,80;240,50;241,40;283944;68545769;2476;
2022-02-22;240,20;240,50;238,00;242,30;237,70;239,90;240,277;249971;60061891,2;2739;
2022-02-21;241,40;241,70;241,50;243,40;240,10;241,40;241,706;257091;62142326,95;2752;
2022-02-18;241,30;241,40;241,10;242,70;238,90;241,90;241,263;250696;60482920,25;2390;
2022-02-17;240,20;240,50;242,00;243,20;240,10;241,10;241,431;194102;46864974,5;1894;
2022-02-16;241,80;242,10;244,60;246,20;241,20;241,60;242,746;273166;66307097,6;2486;
2022-02-15;244,70;244,90;240,50;245,30;240,20;244,60;243,223;310876;75603391,3;3215;
2022-02-14;240,30;240,60;241,90;243,80;238,60;240,50;241,207;325604;78547219,35;2933;
2022-02-11;243,00;243,10;240,30;244,50;240,00;242,90;242,665;180210;43726611,55;1903;
2022-02-10;240,20;240,40;238,90;241,20;238,40;240,20;239,903;210322;50461738,85;2167;
2022-02-09;238,50;238,80;241,00;241,50;238,60;238,90;240,089;199322;47855716,5;2426;
2022-02-08;240,80;241,20;246,90;250,10;240,30;240,80;243,643;254011;61890040,25;2581;
2022-02-07;246,70;247,00;250,50;250,80;244,30;246,80;246,947;228391;56398067,25;2910;
2022-02-04;249,30;249,60;254,00;254,00;248,20;249,30;250,192;457639;114503459,4;3731;
2022-02-03;249,90;250,10;243,00;255,70;243,00;249,40;250,286;729750;182628782,75;6283;
2022-02-02;239,90;240,40;240,30;242,00;239,10;239,10;239,846;375060;89960082,45;3189;
2022-02-01;239,80;240,00;238,50;241,00;237,80;239,50;239,70;238000;57048631;2271;
2022-01-31;237,00;237,30;238,70;240,30;235,70;236,70;236,997;244635;57977303,65;2652;
2022-01-28;236,80;237,10;236,60;237,90;234,50;236,70;236,504;228240;53979424,15;2213;
2022-01-27;234,50;234,90;235,70;235,90;230,60;235,20;233,615;515954;120464768,55;4542;
2022-01-26;236,70;237,00;238,20;240,00;235,70;236,90;237,41;225190;53467974,75;3102;
2022-01-25;238,20;238,50;240,00;242,80;237,90;238,20;239,573;536292;127999934,35;5214;
2022-01-24;238,90;239,00;245,00;248,00;238,80;239,20;241,52;418184;100994843,6;4356;
2022-01-21;245,10;245,20;244,00;245,10;242,50;244,90;244,059;331547;80918521,7;2309;
2022-01-20;244,20;244,50;247,90;247,90;242,90;244,30;244,229;184916;45160809,5;2292;
2022-01-19;244,80;245,10;243,20;246,00;242,70;245,00;244,883;266606;65288229,65;2437;
2022-01-18;243,60;243,80;246,40;246,40;242,40;243,80;243,514;337645;82215380,7;3420;
2022-01-17;245,80;246,10;246,40;248,80;245,80;246,40;246,746;242802;59910407,2;2454;
2022-01-14;246,60;246,80;251,70;251,70;246,30;246,30;248,097;207595;51504896,85;2397;
2022-01-13;251,80;252,10;248,70;252,20;247,60;251,70;251,215;224432;56378998,85;1762;
2022-01-12;248,30;248,50;250,60;251,30;246,90;248,70;249,006;331011;82433180,4;3032;
2022-01-11;250,20;250,50;249,40;252,60;249,40;250,30;250,827;244011;61204139,85;2378;
2022-01-10;249,80;250,10;254,10;254,70;249,10;249,60;250,878;322428;80890488,4;3437;
2022-01-07;252,90;253,10;255,80;255,90;252,10;254,10;253,699;311579;79041102,95;3650;
2022-01-05;255,40;255,60;255,00;258,80;251,60;255,80;254,816;422495;107649192,5;5144;
2022-01-04;263,00;263,30;262,70;264,10;261,00;263,30;262,837;209589;55087175,25;2515;
2022-01-03;262,40;262,60;261,00;263,70;259,30;262,60;262,119;281748;73862146,25;2926;
2021-12-30;260,20;260,50;260,00;261,90;258,50;260,40;260,499;267579;69702469,7;2854;
2021-12-29;259,20;259,60;258,10;260,00;257,70;260,00;259,138;128530;33306864;1694;
2021-12-28;257,30;257,50;259,10;259,40;256,60;257,50;257,609;94058;24230183,95;1945;
2021-12-27;257,30;257,40;256,10;258,60;256,00;257,70;257,516;148495;38239523,45;2271;
2021-12-23;255,10;255,20;256,10;257,30;253,10;255,70;254,937;270126;68873395,8;2528;
2021-12-22;255,00;255,20;255,40;256,60;254,00;255,10;255,329;187393;47849614,25;2057;
2021-12-21;254,80;255,00;254,90;257,40;254,40;255,00;255,767;415947;106383741,25;3047;
2021-12-20;254,50;254,80;250,30;254,80;248,30;254,00;252,826;317575;80159134,3;2664;
2021-12-17;251,50;251,70;247,80;252,50;247,60;251,00;250,643;426561;106908750,8;3164;
2021-12-16;248,20;248,60;245,70;249,60;241,20;247,70;246,031;550382;135430948,5;4535;
2021-12-15;243,70;244,10;246,10;247,70;242,70;244,20;244,168;337495;82415253,8;2678;
2021-12-14;246,50;246,70;246,20;248,40;245,50;246,10;246,828;242483;59853878,35;2290;
2021-12-13;246,00;246,10;244,90;247,10;243,10;246,20;245,57;359350;88158668,75;2393;
2021-12-10;245,60;245,80;249,00;249,40;244,40;245,90;246,111;262605;64628975,05;2638;
2021-12-09;250,90;251,20;251,00;253,10;249,90;250,80;251,03;212278;53287685,15;1829;
2021-12-08;250,80;251,10;251,80;253,90;250,70;250,70;251,715;178443;44917159,7;1743;
2021-12-07;252,10;252,20;248,00;252,50;248,00;251,50;250,81;272468;68337220,65;2498;
2021-12-06;247,70;247,80;245,30;247,90;245,30;247,60;247,147;187396;46315022,15;2002;
2021-12-03;244,00;244,30;246,10;247,40;243,80;244,00;245,303;253412;62162785,2;1812;
2021-12-02;245,90;246,10;248,00;248,60;244,10;246,00;245,741;257874;63366487,35;2719;
2021-12-01;248,50;248,70;245,40;249,30;245,10;248,60;247,491;210320;52045611,05;2087;
2021-11-30;245,60;245,80;246,50;248,20;244,60;245,10;245,926;522659;128541944,35;3466;
2021-11-29;246,90;247,20;243,70;248,20;243,30;247,00;246,209;330150;81280204,55;3291;
2021-11-26;243,00;243,20;245,00;246,60;242,70;243,70;244,862;598321;146507932,9;4765;
2021-11-25;246,60;246,90;244,10;248,00;243,90;246,70;246,533;448754;110619310,15;2974;
2021-11-24;244,20;244,60;244,50;246,80;243,10;244,10;245,194;837533;205355822,1;3540;
2021-11-23;244,00;244,20;243,10;245,10;242,60;244,00;243,998;338750;82653622,5;3057;
2021-11-22;243,20;243,40;239,50;243,60;238,50;243,10;242,216;401716;97280337,3;3319;
2021-11-19;239,40;239,70;235,80;240,40;235,80;239,50;239,09;363584;86927599,8;2692;
2021-11-18;235,10;235,30;235,00;236,20;233,00;234,80;234,761;310659;72932193;2750;
2021-11-17;235,00;235,30;231,00;235,60;229,90;234,70;233,224;431786;100681270,9;3441;
2021-11-16;230,20;230,30;229,00;230,90;228,90;230,10;229,943;356630;82004086,65;3108;
2021-11-15;228,60;228,80;227,00;229,20;227,00;228,10;228,074;251476;57355357,4;2390;
2021-11-12;226,70;227,10;227,00;228,30;225,60;226,80;227,33;190351;43273706,45;2371;
2021-11-11;227,00;227,30;225,70;227,70;225,20;226,90;226,691;329929;74793707,9;3343;
2021-11-10;225,90;226,20;222,00;228,50;221,80;225,60;225,947;814190;184254638,25;5582;
2021-11-09;219,20;219,50;216,40;219,40;215,60;219,10;218,014;190799;41593803,8;1683;
2021-11-08;216,40;216,60;218,00;219,70;214,40;216,40;217,429;371498;80769630,4;2629;
2021-11-05;217,70;218,00;217,40;219,50;217,10;218,00;218,618;129134;28231864,25;1236;
2021-11-04;217,20;217,40;217,20;219,00;216,10;217,30;217,286;311128;67607933,5;2412;
2021-11-03;216,90;217,00;214,40;217,20;213,50;217,10;215,909;238236;51432527,85;2311;
2021-11-02;214,30;214,50;210,40;214,60;210,20;214,40;213,551;245132;52347309,9;2292;
2021-11-01;210,20;210,40;210,60;211,40;209,90;210,40;210,385;198347;41730092,35;2129;
2021-10-29;210,90;211,10;210,20;211,80;209,10;210,50;210,433;213662;44960480,2;2432;
2021-10-28;210,60;210,90;210,10;211,80;207,80;210,50;210,276;248406;52233997,4;2323;
2021-10-27;210,50;210,60;211,40;212,10;209,40;210,10;210,624;350443;73814666,1;2999;
2021-10-26;211,50;211,70;214,30;214,50;209,80;211,40;212,295;412295;87533281,55;3845;
2021-10-25;215,60;215,80;212,30;215,80;210,60;215,00;213,576;536146;114501044,5;4410;
2021-10-22;211,90;212,20;210,90;212,20;208,30;211,90;210,38;382310;80428604,55;2657;
2021-10-21;210,30;210,60;209,20;210,70;205,80;210,30;209,181;493990;103324163,7;3398;
2021-10-20;207,50;207,70;205,70;207,60;205,30;207,60;206,593;312268;64509662,05;2599;
2021-10-19;205,90;206,00;206,20;206,90;205,30;205,70;206,11;206711;42606319,4;2384;
