Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;230,20;230,50;224,90;233,70;224,50;230,60;230,687;619538;142923787,2;5069;
2022-04-06;225,40;226,00;238,80;241,00;221,50;224,70;227,972;1279335;292507555,45;9537;
2022-04-05;238,50;238,80;239,50;243,80;237,50;238,80;240,20;462997;111209997,95;3673;
2022-04-04;239,70;239,80;240,00;240,60;228,30;239,50;235,793;600366;141624927,15;5256;
2022-04-01;238,90;239,20;233,80;240,70;232,00;238,00;237,968;530589;126285858,75;4117;
2022-03-31;241,50;242,10;247,40;247,50;238,70;242,00;242,743;578426;140424789,4;4960;
2022-03-30;246,90;247,10;251,10;252,00;243,70;247,10;247,473;583236;144309226,35;5492;
2022-03-29;250,90;251,20;235,20;251,90;235,20;251,00;245,412;1026484;251960009,15;7324;
2022-03-28;233,70;234,00;231,30;236,30;228,50;232,80;232,388;381957;88755907,8;4373;
2022-03-25;230,70;230,90;233,70;238,30;229,40;230,70;234,564;1270461;298015053;4701;
2022-03-24;234,00;234,30;233,30;238,50;231,20;233,70;234,28;353513;82806177;2611;
2022-03-23;233,30;233,70;237,60;239,20;229,40;233,30;234,054;566227;132285763,5;4330;
2022-03-22;237,00;237,20;239,00;243,10;236,20;237,30;238,638;665878;158851978,72;4592;
2022-03-21;239,10;239,40;238,20;239,90;234,50;239,00;237,377;550430;130757844,2;4078;
2022-03-18;239,30;239,60;235,50;240,40;231,80;238,20;237,276;764671;181362840,55;4672;
2022-03-17;233,10;233,40;236,60;241,80;230,50;233,50;236,416;758001;179197043,75;5429;
2022-03-16;234,60;234,90;223,00;236,20;223,00;234,30;230,748;928602;214250516,4;6231;
2022-03-15;216,80;216,90;221,70;221,70;212,50;217,00;216,284;654130;141404852,4;4836;
2022-03-14;221,80;222,10;220,10;224,10;217,50;221,60;220,93;776819;171626577,25;5632;
2022-03-11;218,80;219,00;212,10;224,80;212,10;218,40;219,477;761655;167187991,25;6358;
2022-03-10;210,30;210,70;218,40;219,80;209,30;210,90;213,673;928707;198134307,76;6599;
2022-03-09;215,50;216,00;206,80;218,90;197,35;216,00;211,933;1531325;324327921,88;9828;
2022-03-08;199,35;199,65;201,70;212,30;196,90;199,75;204,329;1200465;245249387,18;9681;
2022-03-07;206,10;206,40;195,00;213,00;184,15;205,10;199,211;1696861;337773222,67;15816;
2022-03-04;200,00;200,20;210,30;214,10;199,25;200,00;205,418;1111124;228680862,89;10686;
2022-03-03;213,60;213,80;226,60;227,70;211,70;212,90;218,286;1407426;307187874,75;17709;
2022-03-02;231,10;232,10;250,00;253,70;229,60;230,40;238,52;1717214;409795911,35;17659;
2022-03-01;262,70;263,10;268,70;268,70;259,20;262,50;263,327;505536;133122841,4;4768;
2022-02-28;268,50;269,00;255,00;269,30;253,40;269,30;264,844;548582;145263541;4679;
2022-02-25;261,60;261,80;260,00;263,00;254,20;261,50;258,448;833587;215387920,4;7503;
2022-02-24;257,60;257,70;246,60;258,60;245,00;256,40;252,481;913555;230620516,05;9146;
2022-02-23;261,70;261,90;266,90;270,70;261,70;261,80;265,285;396450;105147129,9;4554;
2022-02-22;265,00;265,40;253,00;271,60;252,30;266,00;264,986;449839;119316300,9;4932;
2022-02-21;260,90;261,50;267,00;268,60;260,20;260,70;262,54;453913;119176500,65;4657;
2022-02-18;265,80;266,10;275,00;275,40;265,10;265,80;270,745;494241;133806284,9;5010;
2022-02-17;274,40;274,70;285,20;287,80;273,50;275,00;278,691;479442;133726922,15;4331;
2022-02-16;285,00;285,20;289,40;291,50;283,20;285,70;287,129;307619;88323119;2960;
2022-02-15;288,90;289,40;277,20;290,70;276,90;289,40;286,442;636530;182393045,75;4267;
2022-02-14;278,30;278,60;280,00;280,40;272,30;278,00;276,781;559586;154890042,7;5820;
2022-02-11;285,70;285,90;292,00;292,70;285,00;285,60;288,203;555697;160165811,6;5559;
2022-02-10;295,30;295,70;300,50;301,00;291,70;295,30;295,347;472305;139518604,85;4231;
2022-02-09;299,90;300,20;293,30;303,00;292,40;299,50;299,102;331715;99221586;2921;
2022-02-08;291,00;291,20;298,70;298,70;289,60;290,50;291,577;350330;102146277,05;4012;
2022-02-07;298,40;298,70;293,70;300,80;291,90;298,70;297,031;330673;98228892,6;3114;
2022-02-04;292,00;292,50;292,00;296,50;289,60;292,20;292,035;893025;260807817,75;3478;
2022-02-03;291,10;291,30;297,70;297,70;289,40;290,70;292,253;494863;144610261,55;5297;
2022-02-02;298,30;298,80;304,00;309,50;297,70;298,40;301,272;530860;159972865,55;5984;
2022-02-01;304,00;304,20;296,70;305,50;295,70;303,60;301,637;626734;189036814,15;6382;
2022-01-31;292,10;292,50;286,10;293,80;285,70;292,20;290,615;485331;141018641,25;4896;
2022-01-28;281,20;281,90;283,90;283,90;276,80;281,20;279,848;532206;148919476;5761;
2022-01-27;284,00;284,20;280,00;286,10;276,00;283,90;282,576;735584;207920006,52;6084;
2022-01-26;284,70;285,30;276,10;286,20;274,90;284,00;281,367;533698;150195147,5;6392;
2022-01-25;274,10;274,30;286,00;287,80;274,00;274,00;277,912;1064855;296578788,55;13628;
2022-01-24;283,20;283,40;290,20;290,20;277,40;282,60;283,381;1093499;309891359,55;11928;
2022-01-21;293,50;293,80;299,20;300,50;288,80;292,00;294,556;933989;275136694,65;9724;
2022-01-20;300,60;301,10;296,00;303,00;280,70;301,00;292,607;1415162;413943502,6;16063;
2022-01-19;293,20;293,50;283,60;297,30;278,10;293,30;291,338;546178;159128307,4;6219;
2022-01-18;286,40;286,80;298,60;298,80;285,30;286,00;287,809;676940;194731936,75;7132;
2022-01-17;299,60;300,00;300,60;304,10;293,50;298,60;299,127;349521;104560692,2;3737;
2022-01-14;300,40;300,80;310,00;310,80;300,20;300,50;304,362;460067;140028523,25;6121;
2022-01-13;313,30;313,60;315,70;321,30;311,00;313,70;316,038;408599;129121640,4;4228;
2022-01-12;310,80;311,00;309,90;314,00;305,60;312,10;310,96;429792;133636374,35;4771;
2022-01-11;303,60;303,80;299,00;306,30;299,00;304,20;302,95;410848;124474237,05;4770;
2022-01-10;296,30;296,70;309,00;312,30;294,50;296,30;302,483;411995;124554626,4;7032;
2022-01-07;305,90;306,10;318,30;318,30;304,60;306,50;309,15;447349;138279758,1;6898;
2022-01-05;318,90;319,20;318,80;322,10;315,20;318,30;318,328;171706;54653211,85;2507;
2022-01-04;319,70;320,00;334,30;335,80;318,00;318,80;323,45;587762;190233838,15;8821;
2022-01-03;334,60;334,90;332,50;338,90;330,10;334,30;334,923;242193;81125932,85;3066;
2021-12-30;332,00;332,30;332,80;332,80;328,50;332,20;330,72;208354;68880609,75;2700;
2021-12-29;332,70;332,90;330,90;337,50;329,90;332,90;334,155;216560;72366269,4;2541;
2021-12-28;330,40;330,80;332,00;333,90;329,00;330,80;331,307;171171;56710013,2;2619;
2021-12-27;332,10;332,40;331,80;336,30;331,30;332,00;332,798;213878;71173801,65;3485;
2021-12-23;331,50;332,20;328,10;333,20;324,80;331,80;329,426;274855;90523480,05;3192;
2021-12-22;328,70;329,00;317,00;331,70;317,00;327,80;326,799;378160;123630168,8;4212;
2021-12-21;314,60;314,70;314,70;319,90;312,30;314,70;315,673;284316;89757342,5;3302;
2021-12-20;308,60;308,90;304,90;315,10;302,00;309,40;309,555;261779;81252279,7;3828;
2021-12-17;312,80;313,00;314,00;322,00;310,20;310,90;312,132;362210;113069926,85;3479;
2021-12-16;314,80;315,20;317,00;322,00;314,10;314,10;317,018;329877;104590289,4;3992;
2021-12-15;312,50;312,80;312,00;318,40;310,30;311,40;313,233;243390;76261925,7;2825;
2021-12-14;311,10;311,20;317,00;320,70;310,60;311,80;313,419;268504;84173630,6;3660;
2021-12-13;317,10;317,40;323,50;326,30;317,00;317,00;320,935;260028;83495643,6;3669;
2021-12-10;322,20;322,60;328,00;328,00;322,20;322,80;323,875;278002;90042033,25;3743;
2021-12-09;330,20;330,50;329,90;332,40;328,80;329,10;330,11;261696;86403718,25;3132;
2021-12-08;328,70;329,00;335,00;338,90;327,80;328,00;330,906;391016;129439974,8;4413;
2021-12-07;334,70;335,10;323,20;336,00;323,20;334,60;332,09;379653;126057452,3;4643;
2021-12-06;322,60;322,80;340,70;343,30;321,70;321,70;326,812;524172;171390577,05;5827;
2021-12-03;338,70;339,10;351,60;356,20;338,40;338,80;344,284;398706;137284569,35;6262;
2021-12-02;350,30;350,70;346,30;357,10;344,20;349,20;350,127;401651;140620778,3;6204;
2021-12-01;346,10;346,60;344,50;349,50;339,20;346,30;345,999;344579;119202910,55;3497;
2021-11-30;343,60;343,90;345,00;349,20;342,00;344,00;345,488;439172;151751679,2;4868;
2021-11-29;347,20;347,50;343,00;352,00;343,00;345,90;346,625;242513;84066307,75;3830;
2021-11-26;341,20;341,40;346,00;347,30;335,70;341,60;343,253;512153;176136997,2;5183;
