Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;1318,00;1318,50;1300,00;1324,00;1299,50;1318,00;1313,813;602775;791929814,5;7548;
2022-04-06;1294,00;1295,00;1269,00;1295,50;1260,50;1291,50;1283,82;351091;450731984,75;5260;
2022-04-05;1274,50;1275,00;1255,50;1279,00;1244,50;1276,00;1260,954;331307;417715204;5235;
2022-04-04;1253,00;1254,00;1252,00;1259,50;1248,00;1256,00;1253,937;218349;273795069,5;3911;
2022-04-01;1240,50;1241,50;1240,00;1249,00;1221,50;1241,00;1235,442;306312;378420935;4569;
2022-03-31;1249,00;1249,60;1240,00;1259,60;1233,60;1249,00;1249,805;397406;496657617,6;5523;
2022-03-30;1238,20;1238,40;1226,20;1241,20;1219,00;1238,40;1230,168;292290;359565785,6;4949;
2022-03-29;1230,20;1230,60;1240,80;1243,60;1220,80;1232,60;1231,834;404156;497855574,7;6111;
2022-03-28;1238,40;1238,60;1227,00;1249,20;1227,00;1240,80;1241,233;309397;384033889,5;4770;
2022-03-25;1225,40;1225,80;1223,40;1232,40;1216,40;1225,00;1226,152;374662;459383454,3;5513;
2022-03-24;1220,40;1220,80;1211,20;1222,60;1204,60;1222,60;1215,352;344066;418152550,6;4315;
2022-03-23;1211,20;1211,80;1201,00;1214,80;1196,60;1211,80;1205,987;253868;306157533,8;3921;
2022-03-22;1196,60;1197,40;1201,20;1206,40;1187,60;1196,40;1195,917;263016;314546366;4181;
2022-03-21;1200,60;1201,00;1183,20;1209,60;1178,80;1201,20;1195,125;414077;493443058,9;5376;
2022-03-18;1182,60;1183,00;1190,00;1196,20;1180,00;1185,20;1188,969;425966;506461699,4;5501;
2022-03-17;1175,00;1175,40;1167,00;1181,40;1154,40;1178,80;1169,659;478048;559108685;6613;
2022-03-16;1166,20;1166,40;1179,60;1184,60;1162,40;1165,40;1169,014;508385;594317881,7;6515;
2022-03-15;1175,00;1175,40;1158,60;1176,20;1153,40;1173,80;1165,456;404100;470954160;5680;
2022-03-14;1174,60;1174,80;1174,40;1189,80;1166,00;1174,20;1174,828;508473;597370873,6;6349;
2022-03-11;1174,80;1175,20;1171,60;1187,00;1170,60;1174,40;1178,00;544175;641038947,9;7053;
2022-03-10;1166,20;1166,80;1170,00;1184,00;1151,60;1167,60;1169,943;562729;658361652,5;7413;
2022-03-09;1155,80;1156,20;1159,80;1160,20;1134,00;1158,00;1149,71;641342;737305488,4;8081;
2022-03-08;1136,40;1137,00;1136,60;1146,00;1115,00;1138,60;1132,251;959941;1086541799,2;10743;
2022-03-07;1139,20;1139,40;1115,20;1142,00;1100,80;1136,60;1124,168;798902;898371377,18;11150;
2022-03-04;1137,00;1137,40;1159,40;1169,00;1133,00;1136,00;1145,611;610071;698906778;7516;
2022-03-03;1163,80;1164,40;1202,00;1203,80;1158,60;1163,00;1175,027;481849;566189108,2;6772;
2022-03-02;1210,60;1210,80;1187,80;1212,60;1187,80;1208,80;1199,954;661436;793674359,8;9252;
2022-03-01;1181,60;1182,40;1160,40;1199,60;1160,40;1179,80;1180,493;558323;659089946,1;7561;
2022-02-28;1147,40;1147,80;1130,40;1152,80;1128,80;1147,00;1143,678;507121;579981609,4;6680;
2022-02-25;1138,80;1139,20;1094,00;1142,00;1091,80;1139,80;1122,548;630462;707731831;7923;
2022-02-24;1101,20;1101,40;1102,60;1121,40;1097,20;1100,80;1110,726;1039828;1155041001,5;12678;
2022-02-23;1141,40;1141,80;1142,60;1149,60;1131,40;1140,80;1141,024;677962;773591389,9;9333;
2022-02-22;1143,60;1144,00;1152,40;1165,20;1139,00;1141,60;1150,513;665049;764145594,86;7964;
2022-02-21;1170,20;1170,40;1130,00;1174,00;1130,00;1171,60;1155,337;886361;1020427331,5;9770;
2022-02-18;1124,20;1124,40;1125,00;1139,60;1122,80;1124,00;1128,868;618259;697941267,8;8112;
2022-02-17;1137,20;1137,60;1129,00;1141,80;1123,00;1135,20;1133,543;598923;678903861,28;7921;
2022-02-16;1131,60;1132,00;1114,80;1137,20;1110,00;1131,40;1127,756;773901;872739779,8;10116;
2022-02-15;1115,00;1115,40;1083,20;1121,00;1079,20;1115,20;1106,998;881038;975305496,3;10719;
2022-02-14;1069,60;1069,80;1070,40;1078,00;1061,00;1069,40;1069,401;1079756;1154692211,6;14217;
2022-02-11;1079,60;1080,00;1102,40;1105,00;1069,00;1079,00;1080,327;866119;935705141,4;12279;
2022-02-10;1091,40;1091,80;1058,00;1110,00;1053,40;1093,40;1084,444;1356049;1470496724,6;15495;
2022-02-09;1037,60;1037,80;1035,00;1045,60;1029,60;1040,00;1036,462;574236;595206338,44;6510;
2022-02-08;1032,20;1032,60;1036,40;1043,00;1028,00;1030,40;1034,623;451994;467640477,1;6065;
2022-02-07;1035,20;1035,60;1021,60;1037,20;1018,60;1036,20;1026,807;384059;394336902,4;5026;
2022-02-04;1030,00;1030,40;1040,20;1049,60;1025,60;1030,00;1034,015;437225;452091070,1;5790;
2022-02-03;1039,80;1040,00;1076,60;1080,00;1039,40;1039,40;1051,573;505087;531165823,2;6761;
2022-02-02;1072,40;1072,80;1063,60;1073,60;1057,40;1072,60;1063,917;394982;420264715,96;4809;
2022-02-01;1070,40;1070,80;1071,40;1073,40;1056,40;1071,00;1063,614;865951;920890379,3;9718;
2022-01-31;1082,80;1083,20;1101,60;1106,20;1079,60;1081,40;1086,644;588282;638711521,3;5763;
2022-01-28;1110,40;1110,80;1114,00;1118,40;1099,80;1110,60;1110,313;635905;706038344,9;7783;
2022-01-27;1111,00;1111,60;1050,00;1116,80;1048,00;1112,20;1092,149;840211;917737979,8;8641;
2022-01-26;1065,60;1065,80;1071,20;1080,20;1063,60;1066,00;1069,366;708893;758044531,18;6566;
2022-01-25;1061,40;1061,60;1045,00;1063,00;1032,40;1059,60;1049,196;719140;754704440,7;8088;
2022-01-24;1042,00;1042,60;1086,00;1089,20;1040,60;1040,60;1067,34;757320;808297998,6;9157;
2022-01-21;1089,00;1089,40;1097,00;1106,20;1087,80;1088,20;1096,687;648572;711281667,89;7725;
2022-01-20;1096,60;1097,00;1084,60;1103,60;1077,20;1097,60;1095,01;542637;594196354,3;6268;
2022-01-19;1086,80;1087,20;1084,00;1090,00;1081,60;1086,20;1086,152;591379;642327445,7;6277;
2022-01-18;1081,60;1082,00;1080,00;1083,20;1065,60;1080,60;1077,247;636483;685665492,4;6586;
2022-01-17;1080,40;1080,60;1058,20;1080,80;1058,20;1079,20;1071,175;626669;671397891,06;6612;
2022-01-14;1048,20;1048,80;1033,00;1057,00;1033,00;1050,00;1046,585;654206;684640425;8194;
2022-01-13;1039,40;1039,80;1044,40;1046,00;1037,00;1039,40;1041,664;255376;266017591,9;3541;
2022-01-12;1044,40;1044,80;1046,00;1048,00;1038,00;1045,00;1043,128;457814;477553827,8;5042;
2022-01-11;1046,20;1046,40;1040,00;1050,20;1035,00;1046,00;1042,977;359608;375050258,2;4541;
2022-01-10;1030,20;1030,40;1037,20;1044,00;1030,00;1030,00;1035,999;625590;648059987,9;6317;
2022-01-07;1035,80;1036,20;1038,00;1039,00;1024,80;1035,00;1031,093;479395;494326910,7;5626;
2022-01-05;1041,40;1041,80;1042,60;1049,60;1039,20;1040,00;1043,244;128644;134207649,3;1696;
2022-01-04;1043,40;1043,80;1062,00;1063,40;1040,00;1042,60;1046,371;536143;561005716,8;6603;
2022-01-03;1058,80;1059,00;1058,20;1062,20;1053,00;1060,40;1058,611;344156;364328050,7;3651;
2021-12-30;1062,40;1062,60;1058,20;1064,60;1054,80;1062,80;1061,335;195877;207889019,9;2753;
2021-12-29;1057,40;1057,60;1056,80;1064,80;1056,00;1059,00;1060,313;272833;289290333,5;3281;
2021-12-28;1055,80;1056,00;1051,20;1060,80;1049,20;1056,80;1055,414;224768;237222015,3;3107;
2021-12-27;1050,40;1050,60;1051,00;1054,60;1047,20;1051,20;1051,265;211663;222513977,6;3200;
2021-12-23;1050,00;1050,40;1051,00;1056,20;1047,00;1050,80;1051,265;322279;338801755,8;4152;
2021-12-22;1043,00;1043,40;1045,20;1048,20;1035,20;1043,80;1042,282;226541;236118722,4;2950;
2021-12-21;1042,60;1043,00;1031,20;1044,80;1029,60;1044,80;1038,629;405287;420878934,2;4725;
2021-12-20;1030,00;1030,20;1023,60;1034,80;1012,00;1028,40;1024,141;366385;373899004;5234;
2021-12-17;1034,80;1035,00;1029,40;1037,80;1023,40;1033,60;1032,534;449855;464486170,6;5828;
2021-12-16;1023,80;1024,00;1012,00;1027,20;1007,60;1026,80;1019,755;732863;747329633,5;8881;
2021-12-15;1002,80;1003,20;999,80;1008,00;996,90;1003,00;1003,248;391565;392836739,5;4526;
2021-12-14;1000,20;1000,60;997,60;1007,40;992,70;1002,00;1001,233;758549;759477127,65;8965;
2021-12-13;994,80;995,00;980,80;996,40;978,10;995,40;988,334;402401;397717491,3;4753;
2021-12-10;985,30;985,40;997,00;998,40;978,60;983,60;987,235;639021;630862081,95;7085;
2021-12-09;1002,80;1003,00;998,00;1010,20;997,90;1002,20;1003,298;449602;451082689;4794;
2021-12-08;991,20;991,50;995,10;1006,80;987,10;990,40;996,769;624685;622664854,75;6805;
2021-12-07;994,40;994,50;1003,00;1005,20;980,10;994,10;991,865;1132363;1123166843;11912;
2021-12-06;1013,00;1013,40;996,00;1016,20;995,00;1013,20;1007,071;471249;474570913,5;5314;
2021-12-03;988,80;988,90;999,30;1002,80;985,30;989,70;992,507;366765;364018976,1;5361;
2021-12-02;994,70;994,90;1002,80;1010,60;993,50;993,50;998,519;374611;374059556,85;5267;
2021-12-01;1005,20;1005,60;1002,40;1006,60;994,60;1005,40;1001,555;522909;523724757,35;7180;
2021-11-30;1001,00;1001,60;1004,20;1009,00;987,30;1001,20;999,545;1125058;1124586195,45;12439;
2021-11-29;1017,40;1017,60;1023,40;1027,40;1011,80;1018,00;1018,488;847201;862864434,5;11118;
2021-11-26;1023,80;1024,20;1022,00;1038,00;1013,60;1023,40;1025,00;648287;664471589,1;8896;
2021-11-25;1032,60;1033,00;1032,00;1041,40;1030,80;1032,40;1034,693;518636;536580017,7;7037;
2021-11-24;1031,40;1031,80;1028,60;1033,40;1019,80;1030,60;1027,822;431358;443364438,1;5550;
2021-11-23;1026,20;1026,40;1016,00;1026,20;1007,00;1026,20;1017,475;422256;429636999,6;5360;
2021-11-22;1020,20;1020,40;1021,00;1029,60;1015,00;1019,20;1020,492;609868;622382352,4;7198;
2021-11-19;1019,00;1019,40;1011,80;1027,40;1007,20;1020,60;1019,93;736092;750775778,5;8837;
2021-11-18;1006,60;1007,00;1029,40;1030,00;1000,00;1006,60;1013,958;1097736;1113309263,9;11972;
2021-11-17;1029,00;1029,40;1024,00;1042,60;1023,20;1029,80;1032,162;648267;669225089,16;7877;
2021-11-16;1020,60;1021,00;1055,00;1055,80;1011,00;1019,40;1028,593;986467;1014663574,82;12245;
2021-11-15;1053,80;1054,20;1052,40;1074,40;1037,00;1055,00;1049,779;704075;739138588,19;9196;
2021-11-12;1031,20;1031,60;1049,80;1080,60;1027,60;1031,20;1049,928;1377744;1446554224,2;18884;
2021-11-11;1099,20;1099,60;1100,00;1102,00;1094,20;1096,40;1098,163;271224;297847616,63;3642;
2021-11-10;1096,60;1096,80;1081,40;1097,00;1079,40;1097,00;1091,803;386895;422410009,7;5267;
2021-11-09;1079,00;1079,40;1084,00;1089,20;1071,00;1079,20;1080,089;358502;387195535,93;4328;
2021-11-08;1086,80;1087,20;1088,00;1099,40;1078,60;1087,20;1089,934;395888;431489591,8;4727;
2021-11-05;1087,00;1087,40;1095,00;1100,80;1087,00;1087,00;1094,821;166069;181819044;2288;
2021-11-04;1095,20;1095,60;1090,60;1100,80;1090,40;1095,40;1095,989;420496;460851786,9;4563;
2021-11-03;1091,20;1091,60;1094,60;1101,00;1087,80;1090,60;1093,687;284179;310801098,8;4567;
2021-11-02;1095,80;1096,20;1067,00;1096,40;1067,00;1095,80;1082,051;521237;563996739,2;6741;
2021-11-01;1067,40;1067,60;1075,00;1079,40;1063,40;1067,00;1068,814;148384;158584560,4;2557;
2021-10-29;1068,40;1068,80;1058,40;1070,00;1054,40;1067,60;1064,253;242827;258446704,62;3276;
2021-10-28;1067,80;1068,20;1060,00;1078,00;1052,40;1069,20;1065,74;284594;303301255,7;3433;
2021-10-27;1060,60;1061,00;1074,00;1079,20;1060,40;1060,40;1070,959;370996;397497436,3;5013;
2021-10-26;1066,80;1067,00;1060,00;1072,20;1060,00;1068,60;1067,488;392460;418934839,6;5566;
2021-10-25;1057,00;1057,40;1064,00;1072,40;1055,60;1057,40;1064,614;247236;263209799,1;4172;
2021-10-22;1063,80;1064,20;1052,20;1067,40;1050,20;1064,00;1060,40;325024;344667823,8;4662;
2021-10-21;1050,60;1051,00;1041,00;1052,40;1038,60;1049,40;1045,976;223357;233627748,2;3348;
2021-10-20;1040,20;1040,60;1046,60;1046,60;1035,00;1040,80;1040,699;228881;238194629,7;3564;
2021-10-19;1040,60;1041,00;1030,00;1041,60;1021,60;1040,00;1029,605;339215;349234972,1;4831;
2021-10-18;1031,60;1032,00;1038,00;1042,20;1031,00;1034,00;1035,723;335155;347112337;4435;
2021-10-15;1040,80;1041,20;1046,80;1046,80;1038,40;1041,60;1041,897;293730;306037880,4;4245;
2021-10-14;1042,60;1042,80;1053,60;1053,60;1040,80;1043,00;1043,853;381145;397859694,8;5103;
2021-10-13;1054,00;1054,20;1059,40;1061,00;1038,60;1054,00;1049,491;425338;446380135,68;6404;
2021-10-12;1059,60;1059,80;1062,60;1080,00;1055,80;1059,40;1065,534;330774;352471356,5;5693;
2021-10-11;1070,20;1070,80;1062,00;1072,60;1051,20;1069,20;1064,629;238975;254415760,2;3726;
2021-10-08;1060,00;1060,20;1062,40;1068,00;1056,20;1061,40;1061,467;294504;312607041;4154;
2021-10-07;1059,80;1060,20;1052,00;1062,20;1047,00;1060,40;1055,924;230584;243476799,9;3091;
2021-10-06;1048,20;1048,60;1045,40;1055,40;1028,80;1048,00;1041,467;386942;402985022,8;6542;
2021-10-05;1052,80;1053,20;1052,00;1059,00;1048,80;1052,80;1053,977;284816;300177514,5;4495;
2021-10-04;1050,20;1050,80;1040,00;1053,60;1035,00;1050,20;1048,642;393685;412829538,2;5026;
2021-10-01;1040,60;1041,00;1047,80;1051,00;1028,40;1040,00;1040,562;344606;358578061,7;5701;
2021-09-30;1055,80;1056,20;1050,00;1061,80;1045,20;1055,80;1055,455;614399;648471306,1;6568;
2021-09-29;1044,20;1044,60;1016,60;1044,20;1012,60;1042,00;1032,562;568541;587061723,9;6125;
2021-09-28;1000,40;1000,80;1020,00;1026,40;1000,00;1000,00;1012,038;705261;713807036,2;8406;
2021-09-27;1022,00;1022,40;1055,00;1055,20;1021,80;1022,80;1034,964;451486;467275593,8;5483;
2021-09-24;1046,60;1046,80;1050,00;1063,00;1045,00;1047,40;1053,68;651788;686761650,9;8189;
2021-09-23;1027,00;1027,40;1023,00;1031,60;1022,40;1028,00;1027,702;446544;458917724,5;5379;
2021-09-22;1015,60;1016,00;1029,00;1032,80;1009,60;1013,20;1017,611;343629;349732781,6;4684;
2021-09-21;1028,40;1028,80;1013,60;1030,80;1008,20;1027,40;1021,473;515662;526384338,2;6439;
2021-09-20;1013,40;1014,00;978,00;1014,80;974,20;1013,80;993,298;939595;933370277,7;10905;
2021-09-17;961,10;961,40;974,30;981,50;960,30;964,00;969,042;381637;369826626,25;3572;
2021-09-16;968,80;969,00;968,30;984,60;968,30;968,40;975,526;353652;344996728,5;4522;
