Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;108,00;109,00;110,50;112,00;107,00;107,50;109,848;20770;2281547;198;
2022-04-06;112,00;112,50;117,50;117,50;111,00;111,00;112,329;16006;1797931;182;
2022-04-05;114,00;117,00;117,50;118,00;111,00;116,00;114,954;35726;4106861,5;350;
2022-04-04;116,00;117,50;119,50;120,00;115,50;118,00;117,302;25976;3047034;262;
2022-04-01;117,50;118,50;117,50;118,50;115,50;118,50;117,24;24883;2917286;247;
2022-03-31;114,50;115,00;114,50;116,00;114,00;114,00;115,219;15396;1773906;163;
2022-03-30;114,50;115,00;116,00;117,50;114,50;114,50;115,581;15691;1813574,5;163;
2022-03-29;116,50;117,50;114,00;118,00;114,00;116,50;116,658;16784;1957984,5;197;
2022-03-28;113,50;114,50;113,00;119,50;113,00;113,50;113,983;36364;4144889,5;272;
2022-03-25;112,00;113,00;112,00;114,50;109,00;112,00;112,515;9378;1055164;142;
2022-03-24;112,00;113,00;115,00;115,00;111,00;113,00;113,325;16404;1858990;163;
2022-03-23;113,00;114,00;112,50;115,00;109,00;114,50;112,595;21336;2402332,5;201;
2022-03-22;111,00;112,50;113,00;114,50;107,50;111,00;111,737;36823;4114481;326;
2022-03-21;111,00;112,50;109,00;112,50;108,50;112,00;110,381;20017;2209491,5;225;
2022-03-18;107,00;107,50;106,00;112,50;105,00;106,50;108,339;31993;3466044;243;
2022-03-17;104,50;105,50;104,50;106,50;101,50;106,00;104,807;23536;2466950,5;139;
2022-03-16;102,50;103,50;98,80;103,50;97,00;103,50;100,461;15532;1560363;148;
2022-03-15;98,80;99,00;104,00;105,50;98,60;98,60;101,769;18822;1915495,7;151;
2022-03-14;104,00;105,00;104,00;107,00;104,00;104,00;105,168;16426;1727483,5;129;
2022-03-11;103,00;104,00;102,00;104,00;102,00;104,00;103,095;7911;815586,5;101;
2022-03-10;102,00;102,50;103,50;105,50;102,00;102,00;103,224;15528;1602868,5;152;
2022-03-09;100,50;102,00;98,00;102,50;97,60;100,50;99,595;28347;2823221;164;
2022-03-08;96,40;97,60;93,60;98,40;93,60;97,60;96,366;17448;1681392,2;135;
2022-03-07;96,40;97,00;98,60;98,80;93,00;97,00;95,502;33637;3212406;304;
2022-03-04;98,80;101,00;101,50;104,00;98,80;98,80;101,063;14582;1473694;190;
2022-03-03;102,00;103,50;107,50;107,50;102,00;102,00;103,972;21694;2255566,5;212;
2022-03-02;107,00;107,50;100,00;107,00;98,80;107,00;102,511;34111;3496750,3;252;
2022-03-01;103,00;103,50;102,00;108,00;98,80;100,50;104,115;82109;8551181,2;547;
2022-02-28;104,50;105,00;100,50;106,00;100,50;104,00;104,476;30184;3153496;250;
2022-02-25;98,00;98,60;94,60;101,50;94,60;98,60;97,579;16725;1632015,3;151;
2022-02-24;94,00;95,00;100,50;100,50;93,20;94,00;95,879;41197;3949909,9;285;
2022-02-23;103,50;104,50;102,50;108,00;102,00;102,50;104,24;59040;6098311,5;198;
2022-02-22;102,00;103,00;99,80;108,00;96,20;102,00;102,511;72018;7294747,6;313;
2022-02-21;98,20;101,50;96,40;104,00;95,80;101,50;96,809;134896;13067176,2;269;
2022-02-18;96,00;97,00;95,20;98,00;91,00;97,00;95,59;150109;14347702,2;359;
2022-02-17;86,60;87,80;85,80;90,00;84,20;87,80;87,913;17731;1558782;63;
2022-02-16;85,40;87,60;89,60;89,60;86,40;86,60;87,304;1925;168059,4;21;
2022-02-15;88,20;89,60;83,80;90,00;83,20;89,60;85,465;9314;796016,4;55;
2022-02-14;83,40;84,00;84,00;85,00;80,80;84,80;84,135;27720;2332231,8;61;
2022-02-11;84,40;85,80;80,80;85,80;80,80;85,80;82,609;8630;712918,4;54;
2022-02-10;82,20;83,20;80,00;83,00;77,40;83,00;80,895;23079;1866984,8;82;
2022-02-09;79,60;80,00;79,40;80,20;77,60;80,00;79,668;4908;391008,6;28;
2022-02-08;79,60;80,00;80,80;80,80;79,60;79,60;79,80;5440;434114,2;28;
2022-02-07;81,00;81,40;79,60;81,40;79,60;81,00;80,163;4715;377967;34;
2022-02-04;78,80;80,00;81,60;81,60;78,80;79,20;79,91;4227;337779,6;32;
2022-02-03;78,20;78,60;79,20;85,20;78,20;78,60;78,986;4716;372497,2;38;
2022-02-02;77,00;78,80;78,80;80,20;77,00;78,80;79,001;14177;1120002,6;68;
2022-02-01;78,20;78,60;80,40;83,00;78,80;78,80;80,551;3347;269605,6;33;
2022-01-31;79,00;79,80;80,60;81,00;77,40;80,00;79,428;15180;1205711,6;73;
2022-01-28;80,40;80,80;82,80;82,80;80,20;80,40;80,656;3149;253985,6;21;
2022-01-27;82,20;82,40;77,80;83,40;77,80;82,40;81,793;10522;860621,2;71;
2022-01-26;79,20;79,40;79,80;80,40;77,60;79,20;78,739;6565;516918,2;44;
2022-01-25;77,00;78,40;78,40;81,80;77,00;78,20;79,851;12139;969306,2;67;
2022-01-24;77,40;78,60;83,60;83,60;76,00;78,40;79,161;16657;1318580;116;
2022-01-21;83,20;84,40;87,80;87,80;82,00;84,40;83,449;10603;884811,6;78;
2022-01-20;84,60;87,80;81,60;87,80;80,60;87,80;81,912;10431;854418,8;47;
2022-01-19;82,40;83,00;82,00;84,60;81,40;82,80;82,731;4949;409437;45;
2022-01-18;82,00;82,80;85,40;86,60;81,20;82,80;83,397;16213;1352110,8;88;
2022-01-17;85,20;85,60;85,20;86,60;84,20;85,40;84,878;6351;539061,2;58;
2022-01-14;85,40;86,20;87,40;88,00;85,00;85,20;86,462;13680;1182804,2;78;
2022-01-13;86,80;87,40;89,40;89,40;86,00;87,80;87,438;6709;586621;48;
2022-01-12;89,20;89,60;89,00;90,80;89,00;89,40;89,778;8535;766258;45;
2022-01-11;88,00;89,00;86,40;89,60;86,40;89,00;88,778;4004;355465,2;48;
2022-01-10;88,00;88,20;90,40;90,40;85,60;87,80;88,386;14086;1244998,2;112;
2022-01-07;90,20;90,60;93,40;93,80;90,20;90,40;91,907;21205;1948885,8;133;
2022-01-05;93,20;93,80;88,00;93,80;86,80;93,80;90,719;20372;1848125,6;157;
2022-01-04;87,40;87,60;86,40;87,60;85,80;87,60;87,02;8527;742022,4;79;
2022-01-03;86,40;87,00;82,80;87,00;82,80;86,40;85,334;10687;911965,6;77;
2021-12-30;82,80;83,00;82,60;82,80;81,40;82,80;82,164;5668;465707,4;23;
2021-12-29;81,80;82,60;82,40;83,00;81,40;82,60;82,04;4268;350147,4;25;
2021-12-28;81,80;82,20;83,00;83,00;81,20;82,20;82,376;4105;338154;42;
2021-12-27;82,00;83,00;81,00;83,40;80,00;83,00;82,327;11461;943551,4;59;
2021-12-23;80,40;81,00;80,40;81,60;80,40;81,00;81,107;3052;247538,6;19;
2021-12-22;80,60;81,40;80,00;81,40;80,00;80,60;80,539;3602;290101,2;19;
2021-12-21;80,00;80,60;80,60;80,60;79,20;80,00;80,176;6418;514569,4;25;
2021-12-20;80,00;81,00;79,80;81,20;78,20;78,60;79,763;6812;543345,2;69;
2021-12-17;78,80;79,60;80,00;80,00;78,60;79,80;79,37;9077;720443,4;41;
2021-12-16;79,40;80,00;79,40;80,80;79,40;80,00;80,142;5642;452161,2;26;
2021-12-15;79,00;79,60;81,60;81,60;79,00;79,00;79,929;7072;565255,2;57;
2021-12-14;80,20;81,00;82,00;82,20;79,80;80,20;81,107;4400;356871,4;29;
