Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;105,60;105,80;105,00;106,60;104,20;105,80;105,614;19369;2045628,6;55;
2022-04-06;105,40;106,40;107,40;107,60;103,40;106,40;106,061;4136;438666,6;37;
2022-04-05;106,60;107,60;108,40;110,20;104,00;107,40;108,833;15766;1716062,1;141;
2022-04-04;107,60;108,60;105,00;109,00;105,00;108,00;107,632;5297;570161,4;60;
2022-04-01;106,00;106,80;104,40;110,00;104,40;105,00;105,215;10033;1055618,6;86;
2022-03-31;104,60;105,00;98,50;105,80;98,50;104,00;104,343;31593;3295973,6;273;
2022-03-30;101,20;101,60;107,20;107,20;97,20;102,00;102,126;48693;5017629,65;271;
2022-03-29;102,60;103,80;100,20;105,00;98,90;105,00;102,644;27508;2823889,7;335;
2022-03-28;101,00;102,00;100,60;102,80;100,60;102,00;101,866;8030;817987;79;
2022-03-25;100,80;104,00;102,00;105,00;98,20;100,60;102,217;8646;883770,4;111;
2022-03-24;102,00;104,80;103,00;104,40;100,00;101,80;102,988;23204;2389735,4;129;
2022-03-23;105,60;107,00;109,20;109,20;104,80;108,00;106,763;2113;225590,2;47;
2022-03-22;109,60;110,00;113,40;114,60;109,00;109,60;111,462;32255;3579582,7;87;
2022-03-21;113,20;113,60;115,60;115,60;112,20;113,20;113,32;19102;2164639,6;77;
2022-03-18;115,40;116,20;115,60;117,20;113,40;115,80;115,381;8639;996774,9;179;
2022-03-17;114,60;115,60;114,20;116,60;113,80;115,60;115,375;8880;1024266,1;117;
2022-03-16;113,00;115,00;117,40;117,40;111,80;113,80;113,969;4907;559245,2;86;
2022-03-15;112,80;114,20;118,20;124,00;113,00;115,00;116,96;5551;652265,4;124;
2022-03-14;114,60;117,40;115,00;119,40;114,80;118,20;117,81;3600;424114,4;93;
2022-03-11;114,00;115,40;113,40;119,00;112,40;114,80;115,787;4565;528567,4;94;
2022-03-10;115,00;116,80;119,20;124,00;113,40;113,40;119,846;4197;503010;121;
2022-03-09;117,20;122,20;111,80;124,00;111,80;119,00;119,197;4189;499317;145;
2022-03-08;109,20;111,80;105,00;114,00;105,00;111,80;111,616;3425;382285,2;85;
2022-03-07;114,20;115,80;115,80;125,20;110,20;110,20;116,448;6914;805120,8;173;
2022-03-04;115,80;117,20;123,20;125,20;115,80;115,80;122,063;4303;525238,4;132;
2022-03-03;124,00;127,00;122,00;130,40;122,00;124,40;127,23;3924;499248,8;92;
2022-03-02;128,00;129,20;129,20;131,40;126,00;128,00;128,089;4364;559126,6;76;
2022-03-01;129,40;130,60;130,00;133,60;124,20;129,20;128,661;4308;554329,4;95;
2022-02-28;130,80;139,80;130,80;137,00;129,00;133,80;132,373;18699;2475242,4;141;
2022-02-25;129,40;130,60;122,80;130,60;122,80;130,60;128,857;4119;530763,8;106;
2022-02-24;124,60;127,60;124,00;129,60;110,80;128,00;121,698;9293;1130934,6;212;
2022-02-23;125,00;130,40;126,00;129,60;125,00;129,60;126,328;5787;730809,2;112;
2022-02-22;125,80;128,80;127,00;130,00;121,20;126,00;127,348;12823;1631699,8;296;
2022-02-21;130,00;130,80;132,00;136,20;129,40;131,00;133,354;4249;566620,4;122;
