Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-07;117,60;118,40;114,20;119,80;114,20;117,40;117,797;5717;673442,4;101;
2022-04-06;116,60;117,40;120,00;120,00;113,80;114,20;115,421;12325;1422485,2;177;
2022-04-05;115,40;116,60;114,60;118,80;113,20;115,20;116,889;11697;1367247,4;172;
2022-04-04;116,60;118,20;115,60;117,20;113,20;114,60;114,76;4452;510910,2;93;
2022-04-01;114,80;115,40;112,20;117,80;112,20;115,60;115,651;4962;573862,4;86;
2022-03-31;112,20;114,00;118,80;118,80;112,00;112,20;113,697;7570;860422,1;124;
2022-03-30;115,00;117,00;113,00;117,60;112,40;114,60;113,871;6614;753080;113;
2022-03-29;112,00;112,80;109,00;113,00;109,00;112,00;112,168;6668;747936,8;196;
2022-03-28;109,60;110,40;106,20;110,60;106,20;109,00;107,944;82618;8918326,6;578;
2022-03-25;111,60;112,60;111,20;111,60;107,60;111,60;109,727;16702;1825250,2;172;
2022-03-24;109,40;110,80;112,00;113,00;108,80;110,20;110,988;17612;1954712,2;167;
2022-03-23;112,40;113,00;114,40;114,40;111,60;111,60;113,125;3440;389150,4;59;
2022-03-22;114,00;115,00;117,80;117,80;113,60;114,40;114,639;9926;1137907,6;117;
2022-03-21;115,20;115,60;115,60;115,60;113,40;115,60;114,742;3821;438428;89;
2022-03-18;115,20;116,00;114,00;117,80;112,00;116,80;114,817;17203;1973575,9;163;
2022-03-17;112,00;113,00;112,60;115,00;110,20;112,00;112,762;21586;2434923,6;174;
2022-03-16;111,20;112,00;110,00;114,00;110,00;112,00;111,885;16889;1890103,2;143;
2022-03-15;106,40;107,40;110,00;113,00;106,60;106,60;108,278;3916;423662,2;69;
2022-03-14;109,00;110,00;105,60;112,80;105,60;108,80;109,014;18733;2042156;157;
2022-03-11;107,80;108,20;107,00;110,40;104,20;105,60;108,218;16288;1762660;155;
2022-03-10;106,20;106,60;100,80;109,40;100,80;107,00;106,077;27837;2952877,8;234;
2022-03-09;100,60;101,60;103,00;104,60;98,00;100,80;101,594;29916;3039277,1;382;
2022-03-08;99,70;102,80;100,60;105,40;98,00;98,00;101,662;35596;3619338,05;383;
2022-03-07;102,20;105,40;109,20;109,20;100,00;100,80;103,044;38861;4006803,5;420;
2022-03-04;109,60;110,20;109,20;113,00;108,00;109,60;109,614;14867;1629801,4;209;
2022-03-03;111,40;113,40;112,40;118,80;110,00;111,40;112,212;8591;964008,8;129;
2022-03-02;113,00;114,80;111,00;115,20;110,00;115,00;112,381;8469;951755;94;
2022-03-01;112,20;113,40;115,00;116,80;112,40;113,40;114,569;8017;918497,6;96;
2022-02-28;115,00;116,00;117,80;117,80;112,40;115,00;115,856;7602;880737,8;167;
2022-02-25;117,80;118,60;120,00;120,00;111,00;118,60;115,606;32435;3748380,8;424;
2022-02-24;118,00;119,60;122,40;122,40;113,20;117,00;116,997;46123;5435425,8;222;
2022-02-23;123,00;123,80;123,60;127,60;122,80;123,20;124,167;312304;36777749,2;195;
2022-02-22;122,40;123,40;120,40;124,80;120,20;123,60;123,10;9511;1170800;101;
2022-02-21;125,00;125,40;129,00;129,00;120,20;125,40;123,758;18332;2268361,2;225;
2022-02-18;126,80;127,80;130,80;131,00;122,00;126,00;128,161;31356;4018626,8;291;
2022-02-17;130,00;130,60;130,00;135,20;126,80;130,80;131,236;38075;4996826,6;441;
2022-02-16;124,20;125,80;122,60;125,80;121,00;124,20;122,994;21080;2592719,2;168;
2022-02-15;120,40;123,40;120,40;124,00;120,40;122,00;122,354;5768;705753,6;112;
2022-02-14;120,40;121,00;123,00;123,00;117,00;120,40;119,909;21202;2542300,4;231;
2022-02-11;124,40;125,60;126,40;127,00;124,20;125,20;125,431;4491;563309;98;
2022-02-10;126,40;127,00;129,40;130,20;125,40;126,40;126,624;5939;752021,4;84;
2022-02-09;129,00;129,40;126,60;129,60;125,60;129,40;127,614;9552;1218444,4;101;
2022-02-08;125,40;126,20;126,80;126,80;124,00;125,00;125,285;5191;650353,2;75;
2022-02-07;126,00;127,20;127,60;127,60;123,80;126,20;124,938;11518;1439031,8;141;
2022-02-04;125,60;127,80;133,00;133,00;120,60;127,80;128,229;3785;485346;54;
2022-02-03;129,20;134,60;128,20;131,00;127,60;128,80;129,163;7579;978922,6;102;
2022-02-02;129,20;129,80;128,40;130,60;127,60;129,00;129,309;6509;841674,2;98;
2022-02-01;128,40;129,00;127,00;131,80;126,20;128,40;128,01;22224;2844888,6;182;
2022-01-31;127,00;127,60;128,20;129,80;126,20;127,00;127,557;4430;565075,8;93;
2022-01-28;127,00;128,00;126,80;128,00;123,60;128,00;125,839;14566;1832977,2;157;
2022-01-27;126,00;126,80;127,00;128,00;124,00;126,80;126,349;3092;390672;66;
2022-01-26;127,60;129,40;123,80;140,40;121,20;127,40;126,537;17034;2149310,8;228;
2022-01-25;125,80;126,40;129,60;129,60;124,60;126,00;125,949;46154;5813064,4;327;
2022-01-24;127,80;129,80;128,80;129,60;121,00;129,60;125,342;41294;5176841,8;461;
2022-01-21;130,40;130,80;129,00;132,00;127,60;130,40;130,313;5988;780312,4;88;
2022-01-20;131,00;132,80;131,00;133,40;128,00;131,20;130,142;14693;1912170,8;130;
2022-01-19;130,40;130,80;132,40;135,60;127,20;131,00;131,434;22033;2895890,4;266;
2022-01-18;132,60;133,00;137,20;137,40;129,00;131,80;131,56;23946;3150340,4;331;
2022-01-17;137,40;138,00;137,40;143,20;137,40;137,40;138,91;5852;812901,8;105;
2022-01-14;137,80;138,40;140,40;140,40;135,60;137,40;137,371;8468;1163211,4;168;
2022-01-13;140,20;141,60;143,00;145,80;137,80;140,40;141,56;8577;1213567,2;178;
2022-01-12;141,80;143,60;147,80;149,40;140,20;141,60;144,337;20459;2953083;396;
2022-01-11;147,60;147,80;140,00;155,80;140,00;147,80;147,752;41642;6158327,6;595;
2022-01-10;139,20;140,00;138,00;144,60;138,00;140,00;140,87;18683;2635036,1;399;
2022-01-07;136,40;138,20;138,60;138,60;134,20;136,20;136,905;9597;1313874,8;151;
2022-01-05;138,60;139,40;138,00;141,20;137,20;138,60;139,409;4110;573541,6;99;
2022-01-04;137,40;138,00;136,80;139,00;134,80;138,00;137,463;7437;1023018,8;103;
2022-01-03;136,00;136,80;137,40;137,40;135,00;136,80;136,129;3230;439695,4;67;
2021-12-30;137,60;139,00;140,60;142,00;136,80;137,60;139,819;8529;1191703;117;
2021-12-29;137,80;140,00;129,20;140,40;129,20;140,40;134,925;23308;3144825,6;250;
2021-12-28;133,00;134,20;134,00;134,80;133,00;133,00;133,841;6892;922429,8;125;
2021-12-27;132,80;134,00;131,20;134,00;130,00;134,00;132,133;9196;1215097,4;146;
2021-12-23;131,20;131,60;132,20;134,40;129,60;131,20;131,722;7490;986594,2;117;
2021-12-22;131,40;132,00;133,20;133,20;130,20;132,00;131,427;2931;385213,6;82;
2021-12-21;131,00;131,80;135,00;135,00;131,00;131,60;132,894;5954;791252,2;109;
2021-12-20;131,60;133,80;133,60;135,00;128,20;135,00;130,642;55209;7212635;265;
2021-12-17;132,20;133,40;130,20;135,00;126,60;133,60;130,892;55588;7282469,4;348;
2021-12-16;130,20;131,40;124,60;131,80;121,20;130,20;126,972;64484;8186479,6;388;
2021-12-15;124,00;124,60;124,80;128,00;121,80;124,60;124,355;46213;5746813,8;281;
2021-12-14;125,00;126,00;127,20;128,80;121,40;124,80;125,666;12913;1622718,2;135;
2021-12-13;126,60;127,20;129,40;131,80;126,40;127,20;129,037;7164;924418,8;133;
2021-12-10;128,80;129,80;128,80;132,00;126,00;129,40;129,234;8577;1108440,6;99;
2021-12-09;127,00;127,60;128,00;128,60;125,20;128,60;127,097;12832;1630864,6;121;
2021-12-08;125,00;128,00;124,60;128,20;124,00;128,20;125,863;6115;769651;67;
2021-12-07;124,40;125,60;125,20;126,60;124,20;124,60;125,165;7919;991180,4;111;
2021-12-06;124,60;125,60;126,40;139,20;123,00;124,60;126,002;14211;1790610;177;
2021-12-03;128,00;128,40;133,60;139,80;127,60;128,00;130,371;10196;1329262,4;137;
2021-12-02;130,80;133,40;134,00;134,00;129,00;133,60;131,604;11381;1497779;145;
2021-12-01;134,20;136,00;129,40;136,20;126,60;136,20;130,937;22138;2898690,8;272;
