Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;578,00;579,00;585,60;592,00;573,40;581,00;580,944;181154;105229203,3;2344;
2022-04-08;585,60;586,60;600,40;603,80;582,00;587,40;589,321;153189;90294322,6;2260;
2022-04-07;592,20;592,80;602,20;605,00;590,00;595,00;596,574;174702;104228677,8;2454;
2022-04-06;594,00;595,80;628,40;631,20;594,00;599,00;605,73;357889;216788160,2;3593;
2022-04-05;630,80;631,40;623,60;635,40;623,40;629,80;630,322;142864;90058920,5;2291;
2022-04-04;624,80;625,80;617,00;629,00;608,20;624,60;623,822;125570;78320340,2;2011;
2022-04-01;616,00;617,00;621,80;624,40;600,00;616,60;610,602;191588;116963766,8;2258;
2022-03-31;620,60;621,20;619,40;628,20;613,40;621,40;621,329;316149;196424852,7;2585;
2022-03-30;614,80;616,00;619,00;623,00;604,80;614,80;611,613;149768;91596789;2310;
2022-03-29;615,40;616,20;610,00;618,80;603,00;618,80;612,765;184590;113125439,4;2270;
2022-03-28;601,20;601,60;594,00;603,80;588,20;603,20;597,546;186285;111279712,8;3053;
2022-03-25;595,20;595,80;590,40;606,40;588,20;594,00;598,524;269778;161441243;3034;
2022-03-24;591,20;591,80;611,40;613,80;588,40;590,60;594,637;210964;125473005,1;3015;
2022-03-23;612,20;613,00;638,60;643,60;608,40;610,20;614,895;263572;162041432,2;3295;
2022-03-22;634,40;635,40;641,00;643,60;633,20;636,20;638,141;379276;241995431;2857;
2022-03-21;640,00;640,40;642,00;648,40;628,80;640,60;637,558;541041;344882865,1;4003;
2022-03-18;639,80;640,40;624,00;643,60;619,60;643,60;636,827;530858;337986420,5;5504;
2022-03-17;623,00;623,60;615,20;628,80;613,40;622,60;620,936;264217;164077232;3384;
2022-03-16;610,80;611,40;600,80;620,20;599,40;611,20;611,692;202214;123700335,7;2931;
2022-03-15;590,00;590,60;596,80;600,00;585,40;590,60;592,337;151040;89531603,8;1927;
2022-03-14;601,60;602,00;599,00;614,80;588,00;602,00;601,191;147901;88908980;2537;
2022-03-11;591,00;592,40;579,00;596,40;574,80;591,00;588,047;156407;91971542,6;2272;
2022-03-10;575,00;575,80;584,40;589,80;566,00;576,60;579,663;319549;185295848,2;3156;
2022-03-09;575,00;575,80;551,40;579,80;550,40;577,80;572,34;318390;182232496,7;3509;
2022-03-08;541,80;542,40;541,60;568,00;535,60;542,60;549,784;278212;152947334;3775;
2022-03-07;551,20;551,60;560,00;568,40;540,00;549,80;551,893;318955;176042099,7;4587;
2022-03-04;572,40;573,20;581,80;590,20;569,80;569,80;575,575;185600;106831987,6;2654;
2022-03-03;586,20;587,40;588,60;601,40;583,20;586,40;590,489;166016;98087069,3;3097;
2022-03-02;594,40;595,60;575,60;595,80;570,20;591,40;585,612;195790;114631830,5;2862;
2022-03-01;584,80;585,60;592,80;595,60;573,80;582,60;585,119;165892;97060923,2;2556;
2022-02-28;593,20;593,80;567,00;594,00;565,00;593,20;588,36;249975;147051559,5;2972;
2022-02-25;578,80;579,40;571,20;589,00;564,00;579,80;578,512;243594;140905925,4;3909;
2022-02-24;562,60;563,00;540,00;571,40;540,00;562,60;556,337;439249;244503465,7;5805;
2022-02-23;570,80;571,80;588,80;594,80;566,40;572,40;575,118;287534;165359842,6;4189;
2022-02-22;584,00;584,20;555,60;587,40;551,20;584,80;578,338;274765;158922923;4490;
2022-02-21;568,00;568,80;588,40;589,80;561,00;568,20;571,458;322602;184378918,1;4182;
2022-02-18;586,40;587,00;596,00;604,40;583,00;588,40;592,694;195092;115628337;2989;
2022-02-17;598,60;599,40;616,00;620,20;597,60;598,20;603,091;177775;107242373,4;2616;
2022-02-16;614,40;614,60;609,60;618,60;606,40;616,80;614,01;189820;116540086,3;2996;
2022-02-15;610,00;610,40;590,00;615,80;589,20;608,20;605,268;286062;173123996,8;3707;
2022-02-14;589,20;590,00;618,00;618,00;569,00;586,60;586,481;391657;229657192,13;5559;
2022-02-11;620,20;621,80;603,60;622,40;593,20;618,40;612,612;253321;155158058;3856;
2022-02-10;605,00;605,20;603,60;607,20;586,20;604,60;600,634;193368;116141742,4;3038;
2022-02-09;603,00;603,40;584,80;603,00;583,60;601,40;597,514;173403;103612475,8;2655;
2022-02-08;576,80;577,40;599,00;604,80;576,80;578,80;585,352;216045;126485640,9;2715;
2022-02-07;599,40;599,60;603,40;606,80;588,40;598,20;595,885;176414;105099068,5;2577;
2022-02-04;600,20;600,80;625,60;628,20;599,80;600,00;608,698;207949;126648776,7;3122;
2022-02-03;625,40;626,20;636,00;636,40;620,80;626,20;627,734;196476;123226523,1;2737;
2022-02-02;637,80;638,20;625,00;640,80;621,40;637,60;634,845;191058;121261965,8;2683;
