Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;45,28;45,96;45,96;46,54;45,00;45,30;45,834;30464;1395563,19;229;
2022-04-08;45,30;45,72;44,78;45,76;43,50;45,72;45,013;23946;1077795,99;277;
2022-04-07;44,28;44,68;46,32;46,32;43,58;45,00;44,521;27326;1216587,94;185;
2022-04-06;;;46,95;47,40;43,50;46,74;46,858;818938;38371209,97;390;
2022-04-05;46,56;46,94;46,90;47,80;45,58;46,86;46,874;37214;1744428,85;398;
2022-04-04;45,68;47,00;45,60;48,00;44,42;47,00;46,929;28076;1317558,12;229;
2022-04-01;43,52;45,46;45,42;46,62;43,54;45,60;45,007;16331;735031,18;221;
2022-03-31;45,95;46,85;47,40;47,55;45,45;47,00;46,646;8303;387301,55;125;
2022-03-30;45,90;46,45;48,95;48,95;46,05;47,00;46,984;12951;608493,2;134;
2022-03-29;48,25;48,95;47,25;49,00;47,25;48,60;48,389;22580;1092791,38;168;
2022-03-28;46,95;47,65;47,95;48,35;45,20;47,40;46,456;14659;680750,7;188;
2022-03-25;46,30;49,00;47,00;48,40;46,10;47,95;47,039;31739;1492969,95;205;
2022-03-24;48,00;48,50;49,00;49,00;46,70;47,95;48,223;9524;459273,25;115;
2022-03-23;47,80;48,55;48,55;49,60;46,55;49,00;48,855;66599;3254250,63;291;
2022-03-22;48,55;48,95;48,50;49,00;46,60;48,55;48,75;10932;532929,3;151;
2022-03-21;47,60;48,45;47,60;49,00;46,35;48,70;48,51;13715;665197,85;139;
2022-03-18;47,00;47,60;48,65;49,20;46,75;47,60;47,618;17708;843218,65;147;
2022-03-17;48,45;48,95;50,60;51,20;48,00;48,20;48,952;31659;1549606,95;301;
2022-03-16;49,70;50,10;50,80;51,00;48,30;50,00;49,948;33940;1695237,45;267;
2022-03-15;48,90;49,45;51,80;52,20;48,00;49,50;50,63;123780;6256130,48;366;
2022-03-14;51,80;52,50;51,40;54,00;51,40;51,80;53,036;63743;3379395,1;419;
2022-03-11;50,30;50,50;49,00;51,00;49,00;50,20;50,61;24509;1240412,5;209;
2022-03-10;49,00;49,10;48,55;50,40;48,55;49,00;49,052;18388;901999,73;214;
2022-03-09;48,50;48,65;48,85;49,80;47,10;48,50;48,285;43198;2085793,45;369;
2022-03-08;47,10;48,80;46,25;48,85;45,40;47,60;46,529;35636;1658239,98;288;
2022-03-07;;;46,80;48,95;44,00;47,45;46,543;60495;2821605;377;
2022-03-04;47,00;47,50;50,00;50,20;46,00;46,85;47,718;29615;1419780,54;166;
2022-03-03;48,35;49,45;49,50;50,00;48,40;48,95;49,057;135281;6641324,65;160;
2022-03-02;48,35;50,10;49,00;52,90;48,30;50,00;50,878;66945;3384847,23;230;
2022-03-01;50,30;51,00;50,00;51,00;48,70;50,00;49,663;17358;865714,25;128;
2022-02-28;50,60;51,00;48,20;52,30;46,30;50,00;49,427;138096;6825620,65;317;
2022-02-25;47,55;48,40;46,50;49,10;46,50;48,20;48,255;24659;1190585,8;278;
2022-02-24;47,05;47,80;45,35;48,55;44,25;46,40;46,573;39077;1820348,75;314;
2022-02-23;47,15;48,10;46,20;48,75;46,20;47,70;47,545;57431;2737597,73;263;
2022-02-22;46,05;46,55;44,00;48,10;44,00;46,05;46,849;23622;1106783,18;215;
2022-02-21;46,00;46,35;45,80;48,65;43,50;45,60;45,478;39611;1800671,16;366;
2022-02-18;45,55;46,00;45,50;48,15;44,25;45,75;46,239;113005;5215539,93;289;
2022-02-17;45,20;45,40;46,10;46,85;45,15;45,50;45,72;62490;2855964,08;272;
2022-02-16;46,10;46,50;47,40;48,20;46,05;46,15;46,784;48942;2289580,86;254;
2022-02-15;46,30;48,00;49,35;49,35;45,15;47,40;46,169;36534;1686889,45;297;
2022-02-14;45,35;45,50;48,20;48,20;45,15;45,15;45,639;52543;2398110,83;350;
2022-02-11;47,85;48,70;48,15;49,25;47,30;48,65;48,481;11256;545702,5;189;
2022-02-10;48,85;49,20;48,00;50,50;47,75;48,60;48,935;13549;663017,05;161;
2022-02-09;49,95;50,20;47,50;50,50;47,50;50,30;49,392;12515;618144,4;142;
2022-02-08;48,45;48,70;48,85;49,50;46,85;47,40;47,96;52105;2498945,05;422;
2022-02-07;49,85;50,10;50,50;51,00;49,00;49,50;50,117;49736;2492624,85;263;
2022-02-04;49,40;50,40;49,80;50,90;49,45;50,50;50,139;31492;1579024,1;225;
2022-02-03;50,60;51,00;52,10;52,70;50,10;50,20;50,74;23001;1167211,9;246;
2022-02-02;53,00;53,50;50,00;53,50;50,00;52,90;52,403;28294;1482694,2;217;
2022-02-01;50,20;50,50;50,60;51,40;50,00;50,10;50,495;25468;1286361,15;231;
2022-01-31;50,60;50,90;51,50;51,90;49,60;50,70;50,774;70818;3595589,85;383;
2022-01-28;51,00;51,10;54,00;54,00;50,80;51,50;51,35;64949;3335107,8;527;
2022-01-27;52,00;52,60;53,10;54,20;52,00;53,00;53,147;56161;2984789;351;
2022-01-26;52,50;53,00;52,10;53,30;51,90;53,20;52,918;27002;1428995,7;220;
2022-01-25;51,80;52,20;51,50;53,50;49,85;52,50;52,241;79610;4158879,35;474;
2022-01-24;50,90;51,20;54,00;54,00;49,45;50,90;51,092;83017;4220467,13;443;
2022-01-21;53,90;54,30;54,70;55,10;53,00;54,00;54,297;37724;2048280,2;291;
2022-01-20;54,90;55,10;55,20;56,90;54,50;54,90;55,188;27741;1530929,9;200;
2022-01-19;54,90;55,20;54,90;56,00;53,90;55,20;55,299;31925;1765760,5;179;
2022-01-18;54,80;55,10;56,80;57,40;54,60;55,20;55,542;58096;3224909,2;442;
2022-01-17;56,90;57,20;59,20;59,20;56,40;58,10;57,294;43540;2494991,65;280;
2022-01-14;58,00;58,30;57,70;60,00;56,20;59,20;58,112;44301;2574413,6;426;
2022-01-13;58,30;58,60;59,50;59,90;57,60;59,90;59,172;35456;2098002,9;264;
2022-01-12;58,20;58,60;60,80;60,90;58,20;60,00;59,87;48563;2907120,9;295;
2022-01-11;59,90;60,30;59,00;60,80;59,00;60,50;60,13;39702;2386894,7;353;
2022-01-10;58,40;58,80;63,00;63,00;57,70;58,70;59,174;81239;4807208,2;872;
2022-01-07;62,70;63,00;64,00;64,50;62,20;63,00;63,032;64095;4040030,1;404;
2022-01-05;62,90;63,30;63,00;64,00;61,80;64,00;63,225;25891;1636823,5;186;
2022-01-04;62,20;63,10;64,60;65,50;63,00;63,00;64,42;48370;3116006,4;356;
2022-01-03;64,30;64,60;65,10;66,40;63,80;64,50;64,67;29261;1892467,9;278;
2021-12-30;64,70;64,90;64,50;65,00;63,70;65,00;64,798;88185;5714194,5;355;
2021-12-29;63,70;64,30;64,90;65,30;63,80;64,50;64,66;25946;1677666,7;266;
2021-12-28;64,30;64,50;64,20;65,60;64,00;64,70;64,828;38946;2524624,1;250;
2021-12-27;64,30;64,60;64,50;65,00;63,70;64,60;64,509;15794;1018840;194;
2021-12-23;64,00;64,20;63,40;64,50;62,90;64,50;63,771;22628;1442251,9;217;
2021-12-22;62,10;63,80;61,00;64,00;60,60;63,40;61,776;111126;6868119,6;541;
2021-12-21;60,40;60,70;59,60;61,00;59,30;61,00;60,188;453874;27317463,1;479;
2021-12-20;59,50;59,80;60,20;61,70;59,30;59,50;60,13;83804;5038936,4;743;
2021-12-17;60,80;61,00;63,00;63,00;60,20;61,00;60,948;478377;28976522,7;612;
2021-12-16;61,20;61,50;63,10;63,80;60,90;61,60;62,014;41306;2564923,2;352;
2021-12-15;61,80;62,90;62,40;64,50;61,70;62,30;63,046;32837;2071108,55;281;
2021-12-14;62,70;63,20;65,10;65,20;62,50;64,50;64,315;108621;6986004,5;507;
2021-12-13;63,90;64,10;66,10;66,90;63,60;65,10;64,783;67315;4360896,3;549;
2021-12-10;65,10;65,90;65,60;66,40;63,10;65,90;64,987;22065;1433943,5;193;
2021-12-09;65,10;65,40;65,00;66,90;64,00;65,60;65,334;32390;2116180,3;314;
2021-12-08;63,60;65,10;67,30;68,80;62,40;65,00;65,015;86819;5644496,5;487;
2021-12-07;66,90;67,10;65,80;68,80;65,00;67,30;67,002;52410;3511689,4;302;
2021-12-06;65,90;66,10;67,80;67,80;65,40;65,80;66,313;92402;6127362,85;444;
2021-12-03;67,20;67,70;68,70;69,00;66,00;67,80;67,426;67140;4526623,95;439;
2021-12-02;68,20;68,70;69,10;69,90;67,50;68,40;68,119;44551;3034766,9;324;
2021-12-01;69,40;69,60;70,30;70,90;68,70;69,50;69,923;96239;6729231,4;244;
2021-11-30;68,80;69,40;69,70;70,20;67,60;70,20;69,80;753946;52623105,9;496;
2021-11-29;69,30;69,60;69,80;71,90;68,60;69,60;70,193;27887;1956342,7;237;
2021-11-26;69,80;70,30;72,20;72,20;68,00;70,00;69,648;168098;11708184,5;371;
2021-11-25;71,20;71,60;74,60;76,80;71,10;71,40;72,367;159177;11529190,3;377;
2021-11-24;74,10;74,40;77,80;78,00;72,90;74,30;74,992;173815;13034814,5;535;
2021-11-23;77,90;78,10;79,00;79,00;77,00;77,80;77,863;84994;6617873,3;499;
2021-11-22;78,60;79,20;76,40;79,80;76,00;79,00;78,478;47993;3766400,8;432;
2021-11-19;76,70;76,90;76,40;76,80;76,00;76,40;76,288;33350;2544154,5;211;
2021-11-18;76,00;76,30;76,20;76,70;75,50;76,40;76,113;92805;7063653,8;492;
2021-11-17;75,80;76,00;74,80;76,80;74,80;76,00;75,694;173988;13169771;591;
2021-11-16;74,80;75,00;73,90;75,20;73,20;74,70;74,549;53056;3955290,3;275;
2021-11-15;73,80;74,00;74,70;74,70;73,30;74,10;73,983;66632;4929603;401;
2021-11-12;75,00;75,10;74,60;75,00;74,30;75,00;74,802;562691;42090148,4;663;
2021-11-11;74,50;74,60;74,60;74,70;74,00;74,50;74,348;278080;20674736;429;
2021-11-10;74,10;74,20;74,00;74,50;73,40;74,50;73,977;336705;24907445,55;388;
2021-11-09;73,90;74,00;73,70;74,00;73,40;74,00;73,809;212720;15700517,35;385;
2021-11-08;73,70;73,90;73,40;73,90;73,40;73,70;73,555;340242;25013412,5;422;
2021-11-05;73,00;73,30;72,00;73,50;71,80;73,40;72,88;237000;17252025,1;369;
2021-11-04;71,50;71,60;70,20;71,80;69,10;71,80;70,866;245466;17395796,5;699;
2021-11-03;69,50;70,00;70,50;70,50;69,00;70,20;69,979;71100;4976149,7;275;
2021-11-02;70,30;70,50;68,90;71,00;68,00;70,50;70,019;173764;12255654,5;455;
2021-11-01;68,00;68,20;67,60;68,50;67,60;68,00;67,971;27435;1864781,2;197;
2021-10-29;67,40;67,50;68,00;69,00;67,30;67,50;67,721;327029;22146552,15;1068;
2021-10-28;67,80;67,90;68,00;68,10;67,80;67,80;67,824;93574;6347024,25;321;
2021-10-27;67,90;68,00;68,50;68,60;67,40;68,00;68,28;506854;34608056,9;692;
2021-10-26;68,10;68,20;69,70;69,80;67,40;68,00;68,682;402972;27643191,75;746;
2021-10-25;69,10;69,20;69,90;70,10;69,10;69,10;69,249;271869;18826569,7;750;
2021-10-22;69,10;69,20;70,40;70,40;69,00;69,00;69,365;216063;14987650,4;470;
2021-10-21;69,90;70,00;71,10;71,40;69,90;70,00;70,122;375396;26323557;1066;
2021-10-20;71,50;71,70;71,00;73,10;69,90;71,50;71,868;667332;48051342,65;1816;
2021-10-19;70,92;70,95;68,76;71,00;67,98;71,00;69,107;1153391;79781421,24;2626;
2021-10-18;68,95;68,98;70,21;70,39;68,02;68,76;68,80;1312580;90268508,97;3454;
2021-10-15;71,19;71,20;75,00;75,20;67,58;71,00;72,337;12721279;919337630,82;20165;
