Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;126,40;126,60;130,20;131,20;126,20;126,20;127,802;207753;26551210,4;1243;
2022-04-08;130,50;130,70;133,00;133,00;128,50;130,20;130,40;164376;21434889,3;1232;
2022-04-07;133,40;133,80;133,00;136,10;131,60;133,00;133,587;152216;20334130,5;1129;
2022-04-06;132,70;133,10;133,20;134,20;130,00;132,30;132,089;136978;18093130,9;1104;
2022-04-05;133,60;134,00;138,00;138,10;133,20;133,20;135,502;129126;17500313,95;1219;
2022-04-04;138,20;138,60;137,10;138,60;134,00;138,00;137,126;138437;18983341,6;1071;
2022-04-01;136,50;136,80;134,50;137,90;133,90;136,80;136,246;155293;21158289,7;1077;
2022-03-31;134,20;134,40;132,10;135,40;132,10;134,50;134,322;248789;33417830,85;1481;
2022-03-30;131,70;131,90;133,50;134,40;131,30;132,00;132,233;130879;17306575,9;1067;
2022-03-29;133,00;133,40;127,90;133,50;127,90;133,40;131,082;165955;21737269,25;1241;
2022-03-28;127,10;127,40;130,00;130,00;127,00;127,50;128,101;136651;17505235,6;991;
2022-03-25;125,00;125,30;126,10;126,80;125,10;125,40;125,766;95739;12040703,7;730;
2022-03-24;126,40;126,70;129,10;130,10;125,90;126,10;127,241;159713;20321977,7;1026;
2022-03-23;128,80;129,00;132,50;133,70;127,30;129,10;129,861;174376;22640872,2;1271;
2022-03-22;132,30;132,50;131,00;133,10;130,10;132,40;131,581;165176;21734370,85;1062;
2022-03-21;132,40;132,60;131,50;134,40;130,80;132,50;132,801;138781;18432118,4;961;
2022-03-18;132,10;132,40;135,10;135,90;131,40;131,40;132,313;280334;37091830,9;1327;
2022-03-17;133,40;133,70;133,10;135,50;132,30;133,70;133,827;163602;21894294,2;1203;
2022-03-16;133,10;133,40;127,80;133,80;127,80;133,10;131,894;185273;24436083,7;1318;
2022-03-15;126,40;126,60;129,50;129,50;125,70;126,30;127,224;181418;23080804,2;1336;
2022-03-14;130,10;130,30;126,00;131,00;126,00;130,00;129,49;154058;19949050,85;1121;
2022-03-11;125,40;125,70;124,20;127,80;123,20;125,00;125,131;220898;27640841,3;1630;
2022-03-10;122,90;123,00;123,60;124,60;121,60;123,00;122,862;180878;22223011,05;1197;
2022-03-09;123,30;123,60;119,80;124,80;119,80;123,20;122,892;210580;25878247,2;1491;
2022-03-08;117,80;118,10;116,30;120,80;115,40;117,70;118,033;300608;35481607,3;2157;
2022-03-07;116,90;117,40;116,10;119,70;111,50;116,70;116,219;349466;40614009,3;2020;
2022-03-04;118,50;118,90;116,10;120,60;116,10;118,20;118,333;203528;24086690,6;1636;
2022-03-03;119,20;119,50;120,80;123,70;119,00;119,00;121,151;217023;26293561,05;1526;
2022-03-02;121,40;121,80;122,10;122,20;118,20;120,80;120,112;308850;37095403,8;2184;
2022-03-01;122,80;122,90;126,70;126,70;121,80;122,10;123,824;212111;26260968,45;1203;
2022-02-28;123,60;124,00;118,00;124,30;118,00;123,80;122,042;172861;21096267,8;959;
2022-02-25;120,50;120,80;121,00;123,00;118,70;120,30;120,783;366710;44290581,2;2130;
2022-02-24;119,30;119,80;118,00;121,70;115,70;119,40;118,553;279173;33094163,75;1645;
2022-02-23;123,30;123,70;124,40;129,10;123,10;123,30;125,38;139652;17509828,4;997;
2022-02-22;125,60;126,00;121,10;128,30;118,30;125,60;124,046;245320;30434161,9;1832;
2022-02-21;122,80;123,00;126,50;127,50;122,40;122,40;123,765;189937;23506795,45;1375;
2022-02-18;126,80;127,20;128,70;130,90;126,40;126,80;128,336;164917;21163666,25;1281;
2022-02-17;129,90;130,50;134,00;134,80;129,90;130,10;132,369;152572;20196623,4;1030;
2022-02-16;134,70;135,00;138,50;140,40;133,20;134,40;135,975;259163;35241696,25;1644;
2022-02-15;134,50;134,80;131,30;135,20;130,20;134,40;133,889;110433;14785787,1;969;
2022-02-14;131,60;132,00;134,40;134,40;127,70;131,30;130,114;302198;39307553,75;2486;
2022-02-11;136,20;136,50;136,00;137,60;134,20;136,50;135,825;167974;22813468,3;1407;
2022-02-10;135,70;136,00;139,50;143,50;134,20;135,60;138,754;259845;36053928,65;1976;
2022-02-09;139,30;140,00;136,00;140,70;131,30;139,50;135,55;477646;64744326,5;3233;
2022-02-08;139,50;139,90;138,90;142,30;138,40;140,00;140,026;123307;17266035,4;950;
2022-02-07;139,20;139,50;140,00;140,60;137,00;139,90;138,817;69076;9588948,95;625;
2022-02-04;139,00;139,40;142,80;142,80;136,30;138,90;138,762;124683;17301382,5;869;
2022-02-03;140,70;141,00;142,90;142,90;139,20;140,60;140,515;106203;14923048;721;
2022-02-02;142,60;142,80;141,50;144,50;141,50;142,90;142,895;155111;22164607,4;1011;
2022-02-01;140,40;140,60;138,70;141,80;138,70;140,90;140,496;143874;20213882,7;1063;
2022-01-31;138,70;138,90;140,00;140,00;136,30;138,70;138,124;178907;24711421,3;1391;
2022-01-28;135,20;135,50;133,50;135,40;132,30;135,10;134,043;82106;11005560;691;
