Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;144,15;144,30;142,95;145,40;142,25;144,20;143,95;307484;44262424,07;1515;
2022-04-08;143,10;143,45;143,00;143,95;141,80;142,95;142,973;281895;40303992,4;1740;
2022-04-07;142,00;142,30;142,85;144,90;141,65;142,00;142,66;446474;63709177,33;1859;
2022-04-06;142,00;142,15;144,10;144,35;139,65;142,55;142,187;674675;95915021,03;1859;
2022-04-05;142,55;142,70;140,20;143,05;139,90;143,05;141,887;924001;130925529,18;1936;
2022-04-04;140,50;140,60;141,20;141,70;138,65;140,35;140,212;443601;62197823,98;1174;
2022-04-01;140,70;140,80;139,90;141,80;139,65;140,35;140,77;376586;53038846,06;1711;
2022-03-31;140,00;140,10;140,55;141,95;138,70;139,75;139,707;681802;95258949,96;1547;
2022-03-30;141,00;141,20;142,00;142,05;138,90;140,45;140,62;514482;72349119,58;2342;
2022-03-29;141,15;141,40;141,95;143,55;140,90;141,20;142,108;581896;82695604,12;2795;
2022-03-28;140,50;140,60;143,80;144,05;140,10;140,70;141,512;599910;84898935,89;2546;
2022-03-25;141,50;141,60;137,90;142,20;137,00;141,25;140,566;779657;109594514,03;4367;
2022-03-24;136,00;136,20;133,65;136,15;132,50;135,95;135,077;497180;67139982,13;2065;
2022-03-23;134,20;134,35;135,00;136,00;133,00;133,60;133,83;554253;74171831,56;2049;
2022-03-22;133,95;134,05;131,90;134,85;131,40;134,10;133,339;861467;114869769,17;2052;
2022-03-21;132,00;132,15;131,25;132,80;130,75;131,45;131,571;801966;105562997,13;3358;
2022-03-18;130,45;130,80;132,50;134,05;130,00;131,00;131,045;712415;93358568,9;3170;
2022-03-17;132,35;132,50;133,30;134,55;131,25;132,15;132,497;296273;39254034,29;1783;
2022-03-16;132,90;133,05;130,35;133,15;129,90;132,65;132,386;771442;102128703,48;2426;
2022-03-15;128,40;128,50;130,30;130,40;127,80;127,80;128,265;499942;64125433,93;1477;
2022-03-14;130,70;130,80;129,40;132,45;128,50;130,65;130,52;565259;73774829,57;2331;
2022-03-11;127,90;128,00;128,25;130,95;127,50;128,20;128,681;529930;68196165,36;3607;
2022-03-10;128,25;128,50;129,35;130,10;126,50;128,40;128,378;544687;69923670,08;2474;
2022-03-09;127,75;127,90;124,90;130,10;124,15;128,00;127,579;502709;64134784,63;1942;
2022-03-08;123,40;123,55;122,00;126,50;121,25;123,55;124,347;358103;44531574,17;2308;
2022-03-07;124,10;124,25;121,40;126,30;119,25;124,20;122,833;800822;98359514,57;3611;
2022-03-04;124,90;125,10;127,00;127,00;122,60;125,35;124,529;493345;61434409,23;2234;
2022-03-03;127,80;128,00;131,25;132,30;127,45;127,75;129,048;216303;27913345,48;1567;
2022-03-02;131,65;131,85;129,15;132,25;127,80;131,55;130,663;401058;52403112,14;2193;
2022-03-01;131,00;131,20;133,55;134,10;130,15;130,70;131,52;429669;56512426,42;1957;
2022-02-28;133,65;133,95;133,80;135,90;132,25;133,55;133,61;448613;59939278,86;1921;
2022-02-25;135,70;135,75;132,80;136,00;131,00;135,70;134,361;301500;40509432,28;1692;
2022-02-24;132,75;132,90;129,70;133,20;126,70;132,80;131,473;731620;96123524,02;3269;
2022-02-23;135,45;135,60;135,75;138,00;135,25;135,25;135,702;368069;49966487,83;1452;
2022-02-22;135,40;135,65;130,00;136,60;129,35;135,40;135,131;373755;50565055,39;1939;
2022-02-21;135,25;135,40;139,55;140,20;133,90;135,15;135,652;437649;59389425,08;2140;
2022-02-18;139,60;139,80;138,80;139,80;137,10;139,55;138,635;450980;62511982,22;2015;
2022-02-17;138,65;138,90;142,80;143,35;138,60;138,60;139,474;655245;91430442,39;2052;
2022-02-16;142,70;142,80;144,50;145,50;142,65;143,00;143,697;316364;45462116,73;1501;
2022-02-15;144,00;144,15;141,00;144,35;140,85;144,35;143,526;308805;44311152,2;1572;
2022-02-14;141,15;141,30;144,00;144,55;141,15;141,65;142,227;454343;64614139,23;2348;
2022-02-11;147,15;147,30;147,00;147,55;145,55;147,10;146,841;226098;33200316,68;1320;
2022-02-10;147,45;147,55;147,95;149,00;146,00;147,25;147,362;371109;54691944,96;1801;
2022-02-09;147,40;147,50;146,35;149,25;146,30;147,40;147,593;276845;40855868,01;1387;
2022-02-08;145,15;145,35;144,55;146,90;144,55;145,30;145,489;283726;41282498,61;1514;
2022-02-07;144,70;144,85;145,55;146,40;144,05;144,05;144,521;352045;50885821,15;1357;
2022-02-04;144,35;144,65;146,85;147,25;144,05;144,30;144,748;444079;64289754,68;2018;
2022-02-03;146,60;146,80;148,40;148,80;146,05;146,55;147,108;245241;36074017,94;1546;
2022-02-02;148,80;149,00;151,00;151,50;148,40;148,40;149,137;305936;45630302,77;1509;
2022-02-01;150,15;150,35;147,55;150,95;147,20;149,95;149,796;430926;64545022,81;1979;
2022-01-31;146,65;146,80;151,80;151,80;144,05;147,00;146,658;815149;119533594,25;3870;
2022-01-28;149,20;149,45;154,30;154,80;145,30;150,45;149,503;1266790;189366300,74;5266;
2022-01-27;147,50;147,95;148,70;150,00;145,60;148,50;148,413;562039;83409988,29;3370;
2022-01-26;149,15;149,30;148,65;150,05;147,85;149,75;149,10;571272;85036258,55;2923;
2022-01-25;147,30;147,40;145,45;148,40;145,15;147,45;147,23;530271;78229963,7;2963;
2022-01-24;143,45;143,65;148,70;148,85;142,25;144,00;144,966;792227;114862681,98;4527;
2022-01-21;149,80;150,00;157,00;157,90;149,30;149,65;152,216;988640;150465734,42;5385;
2022-01-20;161,85;162,10;162,50;163,00;160,85;162,65;162,125;690469;111939170,85;3266;
2022-01-19;161,75;161,90;158,65;163,75;157,90;161,80;161,581;792392;128343626,89;1887;
2022-01-18;158,70;158,95;160,55;160,55;158,40;159,40;159,334;355734;56681222,14;1933;
2022-01-17;160,60;160,75;160,80;161,60;160,20;161,25;161,083;259171;41747186,14;1506;
2022-01-14;160,80;160,90;164,30;164,30;160,25;160,90;161,246;512915;82712036;2890;
2022-01-13;164,30;164,40;164,90;166,70;163,70;165,10;165,014;430055;70962363;2194;
2022-01-12;164,50;164,55;166,05;166,90;164,10;164,90;165,322;379698;62777419,94;2220;
2022-01-11;165,30;165,50;167,25;168,55;164,75;165,70;165,942;329016;54601810,4;1956;
2022-01-10;166,30;166,50;172,30;172,40;165,75;167,05;167,693;562992;94413089,33;2994;
2022-01-07;172,10;172,20;172,50;173,20;170,60;172,30;172,329;649246;111884858,52;3031;
2022-01-05;171,25;171,40;169,75;172,50;169,60;172,50;171,584;392338;67316175,63;1596;
2022-01-04;168,45;168,70;167,05;169,50;166,70;169,40;168,507;834365;140583355,82;3198;
2022-01-03;166,65;166,85;170,95;171,10;166,55;166,65;167,866;649807;109088655,5;3408;
2021-12-30;170,45;170,70;170,80;171,30;168,30;170,70;170,107;582374;99060026,25;2755;
2021-12-29;170,65;170,75;166,75;170,80;166,50;170,75;169,432;609502;103259988,82;3047;
2021-12-28;166,85;166,90;166,20;167,70;165,75;167,40;166,899;387064;64599079,18;2150;
2021-12-27;165,85;166,00;163,80;167,70;163,80;166,20;166,228;357430;59415891,14;2353;
2021-12-23;163,35;163,50;162,45;165,20;161,95;163,50;163,913;804601;131884838,75;4648;
2021-12-22;160,90;161,05;159,70;161,20;158,30;161,05;160,428;770310;123575607,99;4255;
2021-12-21;158,95;159,05;162,50;163,35;156,30;159,25;159,309;1819625;289870264,98;8855;
2021-12-20;162,20;162,70;179,95;179,95;161,80;162,00;166,06;2050893;340740890,54;11210;
2021-12-17;181,85;181,95;181,35;184,00;180,85;181,70;182,054;588524;107163657,84;2126;
2021-12-16;182,25;182,30;185,40;185,85;182,00;182,00;182,842;907670;165977844,99;2646;
2021-12-15;182,20;182,55;185,75;186,00;181,60;182,15;182,946;549795;100619685,87;1991;
2021-12-14;185,55;185,75;187,55;188,90;184,85;185,95;186,473;285592;53278425,28;1527;
2021-12-13;186,90;187,05;186,10;190,20;185,50;187,15;188,022;433259;81473629,89;1628;
2021-12-10;185,50;185,70;187,00;187,25;183,90;186,20;185,775;279503;51917204,09;1331;
2021-12-09;186,55;186,65;186,70;188,25;183,30;186,70;185,698;955341;177168918,77;4009;
2021-12-08;186,70;186,90;190,60;190,75;186,20;186,70;187,343;598467;112132797,56;4042;
2021-12-07;189,75;190,05;190,00;192,35;189,65;190,90;190,945;349200;66679889,23;2351;
