Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;235,60;236,20;237,20;237,60;233,20;235,40;235,73;211854;49924807,8;1102;
2022-04-08;237,20;237,80;239,40;239,40;232,60;238,00;235,386;173136;40753778,3;1337;
2022-04-07;235,80;236,00;236,60;238,20;232,80;236,00;235,889;91779;21644808,4;805;
2022-04-06;235,80;236,80;235,20;236,80;229,40;236,80;233,865;550612;128767117,6;2125;
2022-04-05;235,00;235,20;231,60;236,00;231,00;235,00;234,599;99968;23453994,2;964;
2022-04-04;231,40;231,80;237,20;237,20;225,40;231,20;228,798;377399;86467533,67;1164;
2022-04-01;223,00;223,40;223,00;225,00;218,80;225,00;222,93;101572;22643368,2;841;
2022-03-31;219,40;220,20;215,40;220,40;212,00;220,20;215,366;247149;53228189,8;1171;
2022-03-30;213,80;214,60;215,00;217,20;210,40;215,40;214,355;257461;55040305,6;861;
2022-03-29;214,20;214,40;210,20;214,80;206,20;214,80;210,066;277834;58402181,3;852;
2022-03-28;204,80;205,40;198,80;206,60;198,80;205,80;204,722;183759;37618879,6;924;
2022-03-25;200,60;201,20;200,00;205,00;197,90;200,60;201,417;90986;18326199,4;818;
2022-03-24;198,50;199,20;205,00;205,20;195,70;198,50;199,415;88769;17700879,4;923;
2022-03-23;205,00;205,20;204,60;209,60;200,80;204,80;203,17;223547;45418398,4;1164;
2022-03-22;208,00;208,20;206,20;208,60;202,40;208,00;206,989;159916;33069905,5;1203;
2022-03-21;206,80;207,40;206,00;208,00;201,20;206,20;203,268;197200;40081440,1;1234;
2022-03-18;205,20;205,80;201,00;205,80;197,00;204,40;202,168;129767;26234705,6;1075;
2022-03-17;198,30;198,70;194,00;201,00;193,40;198,90;197,997;92776;18369698,2;1118;
2022-03-16;192,90;193,30;188,00;193,40;187,50;193,40;190,908;129902;24796515,15;1494;
2022-03-15;184,10;184,70;185,30;187,90;179,50;185,00;184,245;546252;100645781,1;1777;
2022-03-14;190,20;190,80;173,70;194,00;170,60;189,70;181,304;337175;61134695,2;3493;
2022-03-11;167,40;168,10;164,00;173,40;164,00;167,50;169,748;121932;20693588,9;1303;
2022-03-10;166,60;167,00;171,50;171,80;165,40;166,50;167,776;76710;12870084;714;
2022-03-09;167,60;167,90;161,10;168,20;156,70;167,40;164,62;124748;20534628,7;1124;
2022-03-08;156,10;157,50;154,20;166,60;154,20;156,90;163,074;386360;63020224,1;939;
2022-03-07;159,10;160,10;156,70;163,00;154,50;159,10;158,496;114097;18081749,8;1232;
2022-03-04;162,00;162,70;163,80;169,10;161,10;161,70;163,228;84451;13784738,2;880;
2022-03-03;166,50;167,20;171,30;173,30;166,30;166,30;169,177;83172;14070781,7;994;
2022-03-02;170,90;171,40;170,00;172,20;163,80;171,30;168,756;103122;17401783,15;1179;
2022-03-01;169,70;170,10;170,40;171,40;162,40;169,50;168,228;83898;14114688,4;923;
2022-02-28;171,40;171,70;169,60;172,40;164,80;171,20;169,618;137321;23289779,5;1203;
2022-02-25;166,70;166,90;162,00;167,60;160,70;167,60;165,192;69225;11435419,7;814;
2022-02-24;162,50;162,90;155,00;163,20;153,50;162,00;157,552;152469;24020339,3;1560;
2022-02-23;162,90;163,40;161,00;165,00;160,60;163,70;163,391;95723;15642872,31;965;
2022-02-22;160,50;161,10;156,50;162,50;153,00;161,30;159,184;159637;25409320,15;1563;
2022-02-21;157,00;157,50;160,50;160,70;150,00;157,00;157,868;87801;13863170,8;852;
2022-02-18;160,40;160,70;164,80;165,90;160,40;160,70;162,122;71429;11580057,7;623;
2022-02-17;164,10;164,40;170,90;170,90;163,80;164,60;167,051;86693;14482294,1;857;
2022-02-16;170,00;170,40;171,80;173,10;167,70;170,40;169,782;67684;11491842,5;678;
2022-02-15;171,60;172,00;168,30;173,00;167,80;172,00;170,867;84986;14521275,6;1087;
2022-02-14;167,20;167,60;165,00;167,90;160,10;167,40;165,382;182624;30202747,2;1864;
2022-02-11;166,40;166,90;179,00;179,80;166,10;166,10;170,355;142522;24283985,55;1647;
2022-02-10;180,60;181,10;188,70;190,30;180,00;180,70;182,619;83592;15265566,15;828;
2022-02-09;187,90;188,60;184,50;189,40;184,20;188,70;187,469;61291;11490152,7;694;
2022-02-08;183,00;183,40;187,20;189,90;181,20;184,50;185,364;80359;14895715,8;681;
2022-02-07;188,60;189,10;189,70;191,20;185,50;189,70;188,844;106710;20154857,05;1301;
2022-02-04;189,10;189,70;191,90;192,50;187,80;189,70;189,593;65768;12469112,35;742;
2022-02-03;188,50;188,90;194,70;194,80;187,20;188,00;189,67;73966;14029302,4;982;
2022-02-02;194,30;194,90;194,80;198,50;194,50;194,70;195,883;95869;18779062,4;920;
2022-02-01;193,50;194,00;192,60;194,50;189,70;194,10;192,523;103375;19901999,05;1123;
2022-01-31;189,10;189,50;194,30;194,30;185,20;188,90;188,578;119652;22563741,15;1228;
2022-01-28;183,80;184,30;181,30;184,50;176,90;184,30;181,117;184490;33396135,2;1367;
2022-01-27;180,80;181,00;178,00;183,20;176,20;181,30;180,673;354856;64095041,95;1691;
2022-01-26;181,60;182,10;179,70;185,30;179,00;181,80;182,158;101262;18445039,2;1030;
2022-01-25;179,50;180,10;181,00;182,50;177,10;179,70;179,938;120065;21612497,8;1504;
2022-01-24;179,00;179,40;184,00;184,50;177,00;178,90;179,602;144647;25984284,1;1481;
2022-01-21;186,70;187,20;185,00;188,30;183,90;186,00;186,022;126934;23611860,25;1354;
2022-01-20;188,20;188,70;185,70;191,20;180,70;188,60;188,043;182955;34408009,62;1823;
2022-01-19;184,30;184,60;176,80;188,40;174,60;184,90;183,903;194165;35715169,7;1985;
2022-01-18;179,00;179,40;185,20;185,20;176,70;178,90;179,198;293275;52547244,57;2519;
2022-01-17;185,40;185,90;193,90;195,70;181,70;185,60;185,526;302135;56053688,2;3044;
2022-01-14;193,00;193,30;202,20;202,20;192,00;193,80;195,943;176787;34645676,85;1927;
2022-01-13;206,40;207,00;222,00;222,00;205,80;206,00;210,965;48781;10291066,4;743;
2022-01-12;218,00;218,40;219,00;222,00;214,20;219,00;219,492;291825;64049768,6;1260;
2022-01-11;214,00;214,60;211,20;216,20;211,20;215,20;214,023;64468;13797253;1166;
2022-01-10;210,80;211,40;221,00;222,60;210,60;210,60;216,005;134920;29148192,4;1459;
2022-01-07;221,60;222,00;229,60;230,20;220,00;220,40;222,728;99105;22068649,6;1007;
2022-01-05;231,80;232,40;233,40;233,40;229,60;232,40;231,553;35854;8302126,2;647;
2022-01-04;233,00;233,60;250,00;253,00;232,00;233,40;239,744;104059;24980068,8;1506;
2022-01-03;247,60;248,40;262,00;264,00;242,00;246,80;248,506;142325;35357701,7;1808;
2021-12-30;261,20;261,80;259,40;262,40;257,80;262,00;260,414;27383;7130916,4;440;
2021-12-29;258,40;258,80;261,40;261,40;256,40;259,20;258,884;29845;7726261,6;529;
