Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;108,40;108,90;114,00;114,50;108,20;109,30;109,946;210079;23090939,6;1545;
2022-04-08;113,70;114,00;111,30;116,80;109,80;113,90;113,316;313988;35582058;2159;
2022-04-07;116,60;116,90;121,40;121,40;116,50;116,90;118,594;143675;17039212,8;1012;
2022-04-06;119,60;120,00;124,70;125,20;119,00;120,00;120,761;151299;18265461,65;1030;
2022-04-05;124,30;124,50;128,00;129,50;124,20;124,70;126,585;118001;14937147,3;1109;
2022-04-04;130,60;131,00;125,90;131,30;125,00;131,20;129,347;113615;14695878,4;942;
2022-04-01;125,70;126,00;121,10;126,70;121,00;125,90;124,822;138192;17249344;777;
2022-03-31;120,90;121,20;127,80;128,20;121,00;121,10;123,322;224794;27802584,45;1201;
2022-03-30;126,50;126,80;126,60;129,20;125,40;127,00;127,431;109014;13892848,65;967;
2022-03-29;128,20;128,50;121,10;128,90;120,70;128,90;125,121;156026;19522093,6;1313;
2022-03-28;120,10;120,50;124,00;124,30;119,80;121,10;121,574;102113;12414274,5;1012;
2022-03-25;121,20;121,70;124,20;126,30;120,80;121,70;123,299;88275;10884199,6;836;
2022-03-24;122,90;123,30;127,00;127,00;120,30;123,00;123,081;167886;20662949,8;1369;
2022-03-23;126,20;126,40;132,10;132,70;125,00;127,10;127,368;138728;17668978,8;1273;
2022-03-22;131,10;131,40;127,40;132,10;127,40;132,00;130,102;136073;17703363;1064;
2022-03-21;129,50;129,90;130,10;130,70;127,40;130,30;129,144;130111;16804105;1134;
2022-03-18;129,30;129,50;129,30;132,10;128,20;130,10;129,744;247274;32081480,8;1735;
2022-03-17;128,90;129,30;129,50;133,50;128,50;129,30;131,013;313609;41083685,9;1974;
2022-03-16;129,20;129,60;137,70;137,70;126,90;129,40;129,712;438362;56860051,85;3046;
2022-03-15;130,80;131,20;138,50;144,80;130,00;131,30;133,703;757407;101177888,66;4740;
2022-03-14;153,30;153,80;148,30;155,30;148,20;153,10;152,616;102367;15622791,9;918;
2022-03-11;148,20;148,40;145,80;151,50;145,20;148,60;148,724;85767;12755568,7;660;
2022-03-10;145,50;145,90;147,60;148,90;144,60;145,80;146,541;186440;27357696,35;1283;
2022-03-09;146,50;146,90;135,70;148,00;135,70;146,50;143,483;129002;18504580,7;1181;
2022-03-08;135,80;136,00;133,00;138,50;131,00;135,60;134,564;116440;15668592,95;1304;
2022-03-07;134,30;135,00;135,00;138,80;129,30;134,20;133,732;148474;19855900,35;1393;
2022-03-04;138,00;138,30;142,40;143,80;137,50;137,80;140,391;105747;14845869,5;982;
2022-03-03;143,20;143,50;149,90;151,70;143,10;143,10;146,825;73654;10815157,55;631;
2022-03-02;150,30;150,60;149,50;153,60;147,40;149,80;150,324;132635;19938280;1033;
2022-03-01;150,10;150,60;155,80;155,80;149,30;149,80;150,753;117611;17731178,85;1143;
2022-02-28;154,90;155,60;142,50;155,80;140,90;155,80;151,399;141556;21441487,2;1113;
2022-02-25;144,00;144,40;144,60;147,50;141,40;144,30;143,783;107515;15458960,15;758;
2022-02-24;144,60;145,30;134,60;145,80;134,60;144,90;139,146;176504;24559945,4;1533;
2022-02-23;142,00;142,30;144,70;147,40;141,80;141,80;144,245;115978;16731399,6;954;
2022-02-22;145,80;146,10;140,00;148,30;138,60;145,80;145,947;137860;20120700;1057;
2022-02-21;143,80;144,20;147,00;148,00;140,60;143,40;143,769;88315;12696766,15;814;
2022-02-18;147,50;147,90;154,70;155,00;147,20;147,20;150,994;59191;8937390;527;
2022-02-17;156,60;156,80;160,80;162,40;156,00;156,00;158,454;63854;10117878,3;629;
2022-02-16;161,10;161,40;161,30;166,80;160,80;162,60;163,492;129242;21130627,85;1013;
