Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;99,10;99,30;102,90;103,40;99,15;99,40;100,478;140411;14108293,23;964;
2022-04-08;102,70;103,00;105,70;105,70;102,40;102,90;103,497;195939;20281112,55;936;
2022-04-07;104,80;105,20;108,20;108,20;104,10;104,40;104,676;192312;20131938,2;853;
2022-04-06;105,10;105,30;107,50;107,80;104,60;105,20;105,497;161161;17004278,7;723;
2022-04-05;107,60;107,80;112,90;112,90;107,40;107,50;109,022;142767;15566069,55;744;
2022-04-04;112,40;112,80;111,40;113,10;110,50;112,90;112,48;53942;6066463,6;362;
2022-04-01;111,80;112,10;109,20;112,10;108,60;111,50;111,014;91648;10174740,9;434;
2022-03-31;107,90;108,30;109,70;110,00;107,80;108,50;108,734;194106;21105094,2;924;
2022-03-30;109,80;110,10;112,40;112,40;108,80;109,60;109,767;152670;16753834,65;719;
2022-03-29;111,70;112,00;113,00;113,20;111,00;112,40;112,037;170000;19046768,45;963;
2022-03-28;111,50;111,70;110,50;112,10;110,50;111,60;111,595;78403;8748750,4;467;
2022-03-25;110,20;110,50;111,80;112,20;109,60;110,00;110,485;111647;12335527,8;505;
2022-03-24;111,60;111,90;114,60;114,60;111,10;111,80;112,233;90148;10117530,3;415;
2022-03-23;113,00;113,30;113,60;115,90;112,40;113,20;113,414;91665;10396075,85;445;
2022-03-22;114,80;115,10;115,60;116,00;113,70;115,40;115,096;175354;20182497,6;741;
2022-03-21;115,20;115,50;117,60;117,60;114,10;115,20;116,143;253470;29439730,85;678;
2022-03-18;116,00;116,40;117,30;117,30;115,30;116,20;116,268;204307;23753638,8;714;
2022-03-17;116,10;116,30;115,20;117,50;114,70;116,20;116,204;179795;20892048,7;906;
2022-03-16;115,80;116,00;117,20;117,20;114,00;116,30;115,723;124519;14409752,3;721;
2022-03-15;113,40;113,50;117,10;117,10;112,90;113,80;113,956;122627;13974347,6;742;
2022-03-14;117,40;117,60;115,60;118,40;115,00;117,50;116,932;99607;11647223,3;620;
2022-03-11;114,20;114,50;113,40;116,80;113,30;114,60;114,822;181652;20857206,75;823;
2022-03-10;112,80;113,10;112,10;114,10;111,20;113,20;112,544;183473;20646921,7;724;
2022-03-09;111,90;112,30;109,30;114,10;109,30;112,10;112,164;244156;27464414,4;734;
2022-03-08;109,00;109,30;106,20;110,70;104,30;109,20;108,679;263783;28666974,95;1204;
2022-03-07;106,10;106,40;107,00;108,30;102,40;106,20;105,045;239059;25111789,85;1043;
2022-03-04;108,50;108,90;109,60;110,80;107,10;108,80;108,552;153725;16687093,05;820;
2022-03-03;110,70;111,00;114,00;114,70;110,40;110,40;112,448;120134;13510910,38;533;
2022-03-02;113,90;114,20;111,00;114,70;110,70;113,50;112,837;140350;15835822,5;795;
2022-03-01;112,50;112,80;115,20;115,30;112,00;112,40;113,18;144515;16355734,45;984;
2022-02-28;115,00;115,10;109,10;115,70;109,10;115,70;114,109;228308;26051676,3;853;
2022-02-25;111,40;111,90;112,80;113,10;109,10;111,60;111,027;862068;95536432,15;695;
2022-02-24;110,20;110,60;108,60;112,30;107,50;110,30;110,212;365043;40216364,6;1761;
2022-02-23;112,90;113,10;112,70;114,90;112,10;113,00;113,304;331430;37566292,2;575;
2022-02-22;113,40;113,60;112,70;114,70;110,00;113,70;113,594;151196;17175045,9;802;
2022-02-21;113,50;113,80;116,20;116,20;112,10;113,20;113,734;748159;85090706,45;1071;
2022-02-18;115,90;116,30;116,80;117,70;114,70;116,20;116,057;155494;18045297,8;720;
2022-02-17;116,30;116,50;119,00;119,30;116,20;116,80;117,836;884316;104200556,45;1738;
2022-02-16;119,20;119,60;126,20;127,00;118,40;119,10;121,291;519682;63012223,7;2501;
2022-02-15;116,60;116,80;115,00;119,90;113,80;116,80;117,098;619279;72582616,45;2532;
2022-02-14;110,00;110,30;111,10;111,10;108,20;109,80;109,404;117924;12901311,25;739;
