Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;321,50;323,00;336,00;336,00;320,50;320,50;324,882;41712;13551488,5;619;
2022-04-08;333,00;334,00;327,50;337,50;325,00;331,00;330,918;84556;27981071;932;
2022-04-07;328,00;329,50;326,00;336,00;324,00;327,50;329,25;42847;14107294,25;508;
2022-04-06;326,50;328,50;336,00;338,50;323,50;326,00;327,912;43836;14374351,5;667;
2022-04-05;337,50;338,50;349,00;354,00;335,00;336,00;343,177;45107;15479703;627;
2022-04-04;347,50;349,00;340,50;348,50;337,00;346,00;344,25;45594;15696635,25;572;
2022-04-01;337,50;338,50;337,00;339,50;330,50;338,00;335,588;52340;17563291,75;591;
2022-03-31;337,50;338,50;343,50;343,50;334,00;337,00;337,694;45734;15444055,5;547;
2022-03-30;335,50;336,50;339,50;340,50;329,00;338,00;335,676;49044;16462870;625;
2022-03-29;338,00;339,00;328,00;339,50;324,00;338,00;334,614;63601;21281790,25;986;
2022-03-28;319,00;320,00;311,00;324,50;311,00;320,50;319,977;48534;15529778;791;
2022-03-25;314,50;315,50;335,50;335,50;314,50;315,00;318,858;79568;25370904;848;
2022-03-24;323,50;325,00;334,50;336,00;317,00;323,00;323,806;73974;23952437,75;1017;
2022-03-23;335,50;336,50;352,00;353,00;331,50;335,50;339,881;79395;26983998,5;1090;
2022-03-22;353,00;354,50;355,00;357,50;340,50;352,50;350,964;137402;48226673,25;1590;
2022-03-21;335,50;337,00;330,50;336,50;325,00;336,00;330,354;217605;71818287;1327;
2022-03-18;341,00;342,00;334,00;348,00;328,00;330,50;331,602;805853;267314751,5;2215;
2022-03-17;333,00;334,00;334,00;339,50;325,00;334,00;328,245;222519;73041484;1106;
2022-03-16;330,50;331,50;320,50;334,50;319,50;330,50;329,503;124776;41114325,25;1257;
2022-03-15;310,50;311,50;315,00;321,00;308,50;310,00;312,681;94754;29627772,5;1288;
2022-03-14;322,00;323,50;322,00;332,50;319,00;322,50;324,732;89389;29027376,25;1231;
2022-03-11;316,00;317,00;314,00;323,00;314,00;316,00;318,385;111782;35589997,5;1454;
2022-03-10;313,50;314,50;330,00;335,50;310,00;314,00;321,316;151024;48526645,25;1879;
2022-03-09;323,00;324,00;308,50;324,50;306,00;324,00;318,78;127186;40544751,75;2133;
2022-03-08;297,50;299,00;303,50;311,00;293,50;298,50;301,387;121816;36711714,25;1899;
2022-03-07;302,00;303,00;300,00;311,50;283,00;303,50;296,506;155300;46046386,25;1917;
2022-03-04;304,50;306,00;318,00;320,00;302,50;305,50;310,785;102080;31724087,75;1379;
2022-03-03;319,00;320,00;350,00;350,00;318,50;318,50;326,987;100579;32888863,75;1458;
2022-03-02;332,00;333,50;312,00;334,50;310,50;332,50;323,591;72638;23506043;1272;
2022-03-01;324,50;325,50;334,50;340,00;322,00;325,00;329,13;75928;24990014;1461;
2022-02-28;329,50;330,50;332,50;336,50;317,00;334,50;329,838;116914;38562744,25;1546;
2022-02-25;339,50;340,50;332,00;344,00;325,50;338,00;336,011;93779;31518850;1339;
2022-02-24;330,50;332,00;315,00;335,00;314,00;328,00;325,173;155458;50546618,25;2179;
2022-02-23;341,00;343,00;345,00;350,00;337,00;342,50;343,948;70653;24301106;1243;
2022-02-22;337,00;337,50;326,00;346,50;315,00;339,00;335,266;125330;42018544;2029;
2022-02-21;329,50;331,00;336,00;353,00;323,00;330,50;334,324;190166;63557077,5;3129;
2022-02-18;336,50;337,50;340,00;340,00;328,50;337,50;333,714;78590;26224743,5;1507;
2022-02-17;341,00;342,00;347,00;355,00;341,00;341,50;347,047;55825;19380959,25;993;
2022-02-16;348,00;348,50;344,50;352,00;340,50;347,00;347,035;61710;21415623,5;964;
2022-02-15;344,00;345,50;332,50;346,00;332,50;343,00;341,702;63014;21534494,75;1172;
2022-02-14;334,50;335,00;334,00;336,50;319,00;332,50;328,182;106456;34937836;2134;
2022-02-11;346,50;347,00;364,00;365,00;342,00;345,00;347,337;156254;54266732;2626;
2022-02-10;368,00;369,00;371,00;398,00;366,50;371,00;377,554;304656;115009556,5;2879;
2022-02-09;360,50;362,00;344,00;363,00;343,50;360,00;357,934;39548;14158885,5;649;
2022-02-08;344,00;345,00;375,00;375,00;340,50;342,50;346,578;46363;16071180,75;963;
2022-02-07;363,00;364,00;357,00;367,50;356,00;363,00;361,183;62278;22494033;1186;
2022-02-04;354,00;355,00;354,00;357,50;352,00;354,50;354,934;31592;11211929,5;606;
2022-02-03;352,50;353,50;367,50;369,50;350,00;351,50;355,232;39166;13913012;899;
2022-02-02;364,50;365,50;375,00;375,00;360,00;365,50;365,068;44376;16200239;767;
2022-02-01;356,50;358,00;350,50;363,00;350,50;360,00;358,552;44852;16082189,25;923;
2022-01-31;349,00;350,50;340,00;354,50;339,00;349,50;345,423;87118;30091857;1603;
2022-01-28;336,00;338,50;340,50;341,00;332,00;337,50;336,207;28353;9532508,5;615;
2022-01-27;338,00;340,00;343,50;345,00;333,50;340,50;340,607;36434;12409671,5;779;
2022-01-26;341,50;343,00;332,00;343,50;332,00;343,50;338,916;88751;30074044,75;1554;
2022-01-25;331,00;333,50;335,00;345,50;330,00;332,00;338,255;74319;25139973,25;1455;
2022-01-24;335,00;337,00;360,50;360,50;328,00;335,00;336,42;135769;45672904,25;2239;
2022-01-21;359,50;360,50;361,00;367,00;352,00;360,50;359,16;109319;39205123,74;1460;
2022-01-20;368,00;369,00;364,00;370,00;355,50;370,00;365,613;25871;9460742,5;682;
2022-01-19;364,00;366,00;355,00;371,50;350,00;364,00;363,80;44596;16227709,5;1000;
2022-01-18;358,50;359,50;375,00;375,00;354,00;359,00;360,966;69183;24970767,5;1211;
2022-01-17;376,00;378,00;376,00;383,00;365,00;376,00;374,202;52265;19557863,5;1077;
2022-01-14;376,50;377,00;384,00;389,50;376,00;377,00;382,545;50736;19408780;1229;
2022-01-13;392,00;393,50;397,00;399,00;387,50;392,00;393,456;42579;16752767,75;979;
2022-01-12;396,50;397,50;385,00;407,00;383,50;397,00;398,057;66088;26332995;1283;
2022-01-11;382,00;383,00;386,50;399,00;380,00;381,50;386,551;89736;34686594,5;1421;
2022-01-10;386,00;387,50;417,00;418,00;379,00;386,50;390,928;212292;82991113,25;2608;
2022-01-07;416,00;417,00;445,00;445,00;415,50;415,50;426,386;80747;34409019;1732;
2022-01-05;449,50;450,00;446,00;453,00;444,50;450,00;447,87;54456;24389281;476;
2022-01-04;445,00;446,50;461,50;461,50;444,00;446,50;451,987;46184;20852141,25;1046;
2022-01-03;456,50;457,50;447,50;464,50;447,50;455,00;458,304;41227;18894508,5;890;
2021-12-30;447,50;448,50;449,50;453,00;445,00;447,00;448,26;15060;6750800,25;479;
2021-12-29;447,00;448,00;450,50;457,50;444,00;449,00;449,455;43932;19743295,25;831;
2021-12-28;445,50;446,50;447,50;451,50;442,00;446,00;447,722;47126;21093641;982;
2021-12-27;433,50;434,50;435,50;444,50;434,00;436,50;440,01;30350;13346063,5;714;
2021-12-23;427,50;430,00;423,50;432,50;420,50;429,50;426,372;22103;9424096;565;
2021-12-22;418,50;420,50;402,50;421,00;402,50;416,50;414,538;30208;12522398,25;636;
2021-12-21;403,00;404,00;405,00;408,00;397,00;402,00;401,806;57761;23208844;672;
2021-12-20;402,00;403,00;395,50;406,00;386,50;404,50;399,715;41225;16477282;769;
2021-12-17;405,00;406,00;405,50;406,50;396,00;403,50;400,963;49995;20046118;949;
2021-12-16;404,00;405,00;412,00;417,00;403,00;405,00;407,59;51513;20996177,5;1302;
2021-12-15;404,50;406,00;397,00;407,50;396,50;405,00;402,548;43670;17579284,5;1051;
2021-12-14;396,50;399,00;425,00;429,50;395,00;395,00;403,165;122717;49475562,75;1636;
2021-12-13;423,50;427,00;423,00;437,50;423,00;425,50;431,106;37694;16251293;809;
2021-12-10;424,50;425,00;432,00;432,00;421,50;423,50;425,494;28340;12058490;576;
2021-12-09;427,00;430,00;428,50;440,00;426,50;432,00;434,318;140814;61158039;788;
2021-12-08;426,00;426,50;420,00;434,50;419,50;426,00;427,465;91564;39140635,25;819;
2021-12-07;419,00;420,00;397,00;423,00;397,00;420,00;417,411;70634;29483376;823;
2021-12-06;395,50;396,50;405,00;412,00;390,50;395,50;397,63;40994;16300491;1011;
2021-12-03;406,00;407,50;416,00;420,00;405,50;406,00;411,903;31416;12940657,25;804;
2021-12-02;414,50;415,50;418,50;421,00;403,50;415,50;413,338;39208;16206157;876;
2021-12-01;422,50;424,50;429,00;429,00;410,00;424,50;417,386;62453;26066359,25;1220;
2021-11-30;420,00;421,00;413,00;428,00;406,00;428,00;423,664;111106;47070157;957;
2021-11-29;417,00;418,00;400,00;421,50;400,00;417,00;410,793;56475;23190867,25;962;
2021-11-26;401,00;402,00;410,00;414,00;400,00;400,00;407,288;76068;30981876,5;1078;
2021-11-25;418,50;419,00;415,00;425,50;412,00;419,00;418,635;31706;13273238;685;
2021-11-24;409,50;410,50;411,50;420,00;403,00;409,50;408,998;46315;18942859,75;899;
2021-11-23;413,50;415,50;429,50;429,50;406,00;411,50;421,356;149266;62890236,5;1132;
2021-11-22;429,50;431,50;433,50;440,00;428,00;429,50;434,183;54043;23464571;1092;
2021-11-19;435,00;436,00;439,00;444,00;433,50;433,50;438,508;87068;38180007,5;1924;
2021-11-18;439,50;440,50;417,00;441,50;413,50;438,50;424,952;179939;76445940,75;1479;
2021-11-17;412,50;413,00;407,00;416,00;406,50;412,00;412,003;28874;11896260,5;537;
