Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;298,20;299,40;308,20;309,60;298,20;298,20;302,456;52745;15952922,2;1154;
2022-04-08;308,60;309,20;315,80;319,80;306,80;308,20;311,208;45429;14137864,9;914;
2022-04-07;315,20;315,80;311,80;320,60;308,40;314,40;315,043;70109;22086933;1084;
2022-04-06;311,40;312,00;319,60;322,00;308,40;311,80;312,961;81290;25438846,1;1579;
2022-04-05;319,80;320,00;328,20;333,60;319,00;319,60;325,757;81972;26705349,1;1495;
2022-04-04;326,60;327,20;317,80;328,80;309,00;328,00;321,527;106075;34105787,8;1533;
2022-04-01;315,60;316,00;308,20;316,80;303,80;316,00;310,573;78059;24243312,9;1265;
2022-03-31;308,20;308,40;312,20;315,60;303,40;308,20;308,095;91683;28246977,1;1492;
2022-03-30;311,00;311,40;319,00;319,80;305,40;311,60;310,513;83720;25996143,4;1824;
2022-03-29;317,60;318,20;308,60;318,60;305,40;318,60;313,809;115329;36191230,2;1950;
2022-03-28;300,00;300,60;299,20;304,40;294,20;301,60;299,305;76695;22954929,9;1544;
2022-03-25;297,60;298,40;298,00;308,00;296,00;299,20;300,934;71856;21623915,6;1605;
2022-03-24;296,80;297,40;304,40;306,20;296,20;297,60;299,813;66842;20044122,7;1277;
2022-03-23;303,80;304,60;310,60;315,60;300,60;304,40;305,655;103318;31579535,4;1519;
2022-03-22;310,20;310,60;317,40;318,20;309,00;310,60;312,372;69678;21764918,2;1212;
2022-03-21;317,60;318,20;318,20;320,20;310,80;317,40;315,19;99756;31441014;1784;
2022-03-18;316,60;317,40;308,00;317,60;305,20;317,00;314,046;147643;46346159,1;1844;
2022-03-17;307,40;308,00;308,00;314,80;303,60;307,20;308,566;142014;43827517,1;2103;
2022-03-16;304,40;305,00;292,00;306,00;292,00;305,00;301,929;99902;30170046,2;1738;
2022-03-15;286,40;287,20;297,00;297,00;280,40;286,20;286,751;82470;23649127;1749;
2022-03-14;299,00;299,80;292,40;304,00;290,00;299,40;296,106;73099;21644960,2;1342;
2022-03-11;289,00;289,60;284,00;293,80;284,00;289,00;289,575;89415;25892313,4;1428;
2022-03-10;283,20;283,60;292,40;296,60;280,40;284,00;285,822;97630;27904334;1596;
2022-03-09;285,40;286,20;280,00;287,80;273,60;286,40;281,941;123410;34795157,6;2127;
2022-03-08;270,00;270,80;272,40;287,00;267,80;271,20;276,485;112904;31216196,4;2177;
2022-03-07;275,80;276,40;262,60;283,60;257,00;276,00;270,226;170148;45978581,9;2938;
2022-03-04;271,60;272,40;276,20;288,20;270,40;272,40;277,071;144911;40152199,3;3063;
2022-03-03;283,20;284,20;297,60;298,20;282,00;282,00;289,069;62704;18125785,4;1351;
2022-03-02;299,00;299,60;292,80;301,00;285,60;297,60;295,30;97394;28760700,6;1619;
2022-03-01;295,80;296,80;304,20;307,00;290,80;294,40;296,97;89897;26696921,8;2219;
2022-02-28;300,80;301,60;281,20;304,20;277,80;304,20;295,579;141076;41694335,8;2567;
2022-02-25;286,20;286,80;290,80;297,60;278,00;287,40;284,741;152932;43540635;3200;
2022-02-24;286,20;287,40;273,00;288,00;260,00;286,40;271,944;274561;74634656,9;4845;
2022-02-23;287,60;288,20;296,80;300,00;287,60;290,00;293,173;105394;30927432,96;1890;
2022-02-22;296,80;297,60;276,60;302,20;273,00;299,00;294,588;114664;33778707,3;2032;
2022-02-21;284,00;284,40;296,80;299,40;275,40;284,20;283,537;163126;46252280;3289;
2022-02-18;296,80;297,20;304,00;305,80;294,80;297,20;299,938;86728;26017722;1811;
2022-02-17;307,80;308,60;315,00;319,20;305,40;308,40;311,846;105624;32938369,2;1572;
2022-02-16;315,00;315,80;326,00;326,00;311,80;315,00;317,746;112470;35739021,2;1838;
2022-02-15;324,40;325,00;304,00;325,40;303,60;324,40;320,229;107148;34307966,5;1540;
2022-02-14;303,40;304,00;307,20;307,20;292,20;304,40;299,86;150782;45212797;3093;
2022-02-11;317,20;317,80;316,00;321,80;314,80;317,00;317,879;42329;13455505,6;885;
2022-02-10;321,40;322,20;330,00;331,40;315,20;321,20;321,676;73008;23484920,6;1268;
2022-02-09;327,20;328,00;314,00;328,80;314,00;328,20;324,741;62153;20182015,2;906;
2022-02-08;311,20;312,00;317,00;319,40;309,00;312,60;312,09;58070;18122879,9;1279;
2022-02-07;317,80;318,80;318,60;321,20;312,80;317,00;317,024;50022;15858130,4;1010;
2022-02-04;317,00;317,80;326,00;326,00;315,00;317,20;318,472;64521;20548159,4;1250;
2022-02-03;321,20;321,80;332,60;333,40;318,00;321,80;323,111;90669;29288572,9;2162;
2022-02-02;332,60;333,20;330,00;338,40;329,00;332,60;334,844;72324;24217965,1;1718;
2022-02-01;324,40;325,20;325,60;333,00;320,00;325,40;325,667;102628;33419262,9;2068;
2022-01-31;320,20;320,80;313,00;322,60;313,00;318,40;318,677;96191;30654322,2;2090;
2022-01-28;308,00;308,60;304,00;308,20;300,20;307,00;304,086;89423;27192295,1;1841;
2022-01-27;303,60;304,20;299,80;309,20;296,40;303,20;303,649;69827;21204237,5;1880;
2022-01-26;306,40;307,20;300,00;312,00;298,80;305,80;304,833;103121;31442036;2393;
2022-01-25;299,00;299,80;296,20;310,60;295,60;298,40;300,991;134730;40561625,3;3497;
2022-01-24;295,00;295,60;312,00;312,00;290,20;294,00;299,561;178087;53280352;4775;
2022-01-21;315,20;316,00;317,40;318,40;307,80;313,00;313,328;108112;33875955;2831;
2022-01-20;322,00;322,60;319,40;323,40;311,20;322,80;318,714;91341;29118123,4;2282;
2022-01-19;318,60;319,20;314,80;328,80;309,00;319,40;321,555;89961;28940181,2;2497;
2022-01-18;318,00;318,60;331,00;331,20;316,60;317,20;321,004;117342;37667142,2;2968;
2022-01-17;331,20;332,00;333,00;336,80;324,20;330,60;329,228;126846;41761960,8;2797;
2022-01-14;333,20;333,60;354,00;354,00;330,80;330,80;339,357;170665;57915330,6;4762;
2022-01-13;354,40;355,20;363,20;364,80;351,80;356,60;359,267;103978;37351663,1;2065;
2022-01-12;363,60;364,40;368,20;371,00;358,00;365,00;365,532;69888;25548748,4;1765;
2022-01-11;362,80;363,60;368,80;374,40;359,80;363,20;364,455;114472;41744121,9;2973;
2022-01-10;366,00;366,20;398,20;402,20;361,40;365,60;374,044;190195;71138888,5;5787;
2022-01-07;399,60;400,20;410,00;410,00;397,60;398,00;402,53;111128;44732460,9;2951;
2022-01-05;414,20;414,60;422,80;427,00;412,00;416,40;416,332;41360;17219457,8;1207;
2022-01-04;422,40;423,20;429,60;433,00;421,40;422,80;427,448;79756;34091355,1;2006;
2022-01-03;429,00;429,60;438,40;443,80;428,20;429,40;434,378;87816;38145299,8;2078;
2021-12-30;439,80;440,40;429,20;441,60;424,20;438,20;435,893;107201;46731935,9;2022;
2021-12-29;427,60;428,60;423,80;429,00;418,40;429,00;426,459;43899;18721106;1263;
2021-12-28;422,40;423,00;426,40;431,60;422,40;424,60;427,655;41769;17862704,8;1527;
2021-12-27;425,00;426,00;417,80;430,40;417,60;426,20;426,084;50408;21478031;1673;
2021-12-23;416,40;417,40;407,40;417,60;407,40;417,40;413,542;52350;21648907,8;1284;
2021-12-22;405,60;406,00;397,20;406,20;396,80;406,00;402,838;34515;13903850,4;921;
2021-12-21;393,20;394,00;398,20;405,00;391,40;395,20;395,884;55886;22124332,4;1203;
2021-12-20;392,20;392,80;380,80;396,20;379,00;392,00;390,607;47073;18387018,2;1346;
2021-12-17;394,40;395,20;390,20;395,40;385,80;391,00;390,41;115508;45095415,4;1794;
2021-12-16;392,40;393,20;399,80;402,00;391,60;391,60;396,301;71949;28515862,6;1363;
2021-12-15;386,00;386,80;382,60;387,00;381,00;384,40;384,20;50608;19443582;1211;
2021-12-14;382,40;382,60;396,20;397,60;380,80;382,60;387,661;62561;24252331,4;1837;
2021-12-13;395,80;396,20;400,80;411,60;395,20;396,40;402,486;53336;21468517,7;1276;
2021-12-10;399,80;400,20;404,60;405,20;398,00;400,60;401,38;33158;13308968,2;961;
2021-12-09;403,80;404,40;405,20;408,40;399,80;404,60;404,12;56930;23006142,7;1154;
2021-12-08;405,00;406,20;412,20;417,00;401,80;405,20;407,221;91713;37343926,3;1607;
2021-12-07;409,40;410,40;397,00;411,20;397,00;411,20;407,89;68798;28062059,6;1440;
2021-12-06;393,40;394,20;404,60;410,20;390,00;394,60;395,69;89458;35397558,6;1718;
2021-12-03;401,00;401,20;418,80;422,00;400,00;401,00;407,937;67784;27651472;1799;
2021-12-02;415,60;416,20;426,80;428,80;407,60;415,40;416,741;92849;38704324,1;2317;
2021-12-01;431,80;432,40;430,80;434,40;419,80;431,60;429,063;113087;48521489,3;1863;
2021-11-30;430,20;431,60;429,80;443,60;425,60;430,40;434,198;118182;51266591,5;2189;
2021-11-29;438,00;438,40;416,40;439,20;416,40;435,80;431,768;120800;52157179,6;2423;
2021-11-26;414,20;414,40;407,00;427,60;404,20;413,60;417,906;115309;48189916,3;2584;
2021-11-25;428,40;429,20;409,00;431,40;409,00;427,60;424,886;115672;49142491,9;2577;
2021-11-24;409,60;410,40;419,00;425,60;406,00;409,00;412,591;101977;42074647,4;2823;
2021-11-23;420,60;421,00;451,20;451,20;419,00;419,00;429,611;139875;60090985,2;4083;
2021-11-22;451,80;452,80;466,00;474,60;451,20;451,60;463,664;83185;38569560,7;1938;
2021-11-19;465,20;466,00;462,00;468,00;460,80;466,20;465,18;71354;33192467;1510;
2021-11-18;460,40;461,00;457,00;461,80;453,80;460,80;458,856;55232;25345350,4;1197;
2021-11-17;457,20;457,80;451,80;461,20;447,00;457,00;455,286;70549;32120082,6;1554;
2021-11-16;454,40;455,20;444,40;455,40;440,20;451,80;447,833;76779;34384805,8;2135;
2021-11-15;444,60;445,40;435,00;446,60;426,40;443,60;441,826;168229;74327362,4;2129;
2021-11-12;435,00;435,60;403,00;436,60;403,00;435,40;426,79;183060;78120370,8;3625;
2021-11-11;401,00;402,00;405,00;405,00;379,00;405,00;390,638;234838;91710459,9;5277;
2021-11-10;407,40;407,80;421,00;421,00;399,20;408,80;405,524;98766;40051987,7;2288;
2021-11-09;421,40;422,20;418,40;423,80;416,00;421,00;420,034;41475;17420925,2;1196;
2021-11-08;418,20;419,20;418,00;424,60;416,20;418,40;419,922;53000;22256728,4;1422;
2021-11-05;417,60;418,00;418,00;425,60;416,00;418,20;420,111;46254;19429773,4;1014;
2021-11-04;417,60;417,80;411,60;418,40;407,20;418,00;413,191;45538;18815972,2;1097;
2021-11-03;410,40;411,20;404,00;411,80;400,60;411,40;409,248;54815;22422564,3;1226;
2021-11-02;403,20;404,20;404,20;407,00;396,40;404,00;401,767;47602;19124906,2;1127;
2021-11-01;404,20;404,80;398,40;408,20;398,40;404,60;404,782;44519;18020815,3;1634;
2021-10-29;399,20;400,20;406,00;415,80;398,00;398,20;404,49;71930;29096110,4;1615;
2021-10-28;404,40;404,80;396,40;404,80;394,20;404,80;401,256;37091;14882979,2;965;
2021-10-27;395,80;396,40;405,80;406,40;395,60;396,40;399,159;71278;28451971,3;1793;
2021-10-26;405,60;406,20;399,80;409,60;399,80;405,80;405,764;50955;20676063,8;1378;
2021-10-25;401,40;402,00;402,00;404,20;394,00;399,60;398,052;77294;30768240,4;2222;
2021-10-22;401,20;401,80;399,20;405,40;397,20;401,00;401,127;44849;17990473,6;1040;
2021-10-21;398,20;398,40;391,40;399,20;387,60;399,00;395,07;44321;17509889,6;1066;
2021-10-20;391,00;391,60;392,60;402,00;387,40;391,40;394,729;115970;45776771,6;2450;
2021-10-19;394,20;394,60;391,60;395,40;389,40;392,40;392,325;51517;20210462;1411;
2021-10-18;391,00;391,60;387,20;391,40;375,80;391,00;386,889;97738;37813993,7;2136;
2021-10-15;382,20;382,40;377,20;385,40;376,40;382,40;381,586;75485;28804031,8;1442;
2021-10-14;376,00;376,40;375,00;382,40;371,40;375,40;376,778;87356;32913821,8;2071;
2021-10-13;372,00;372,60;359,80;375,40;354,00;372,60;369,12;88089;32514718,4;1524;
2021-10-12;358,60;359,40;349,00;359,80;345,00;359,80;354,749;55332;19628944;1279;
2021-10-11;349,00;349,40;356,60;356,60;343,20;350,60;348,18;55408;19291969,6;1641;
2021-10-08;356,60;357,20;360,40;363,00;354,20;356,60;358,212;51604;18485176,8;1079;
2021-10-07;359,80;360,40;358,80;361,20;350,80;360,40;356,594;72533;25865849,2;1959;
2021-10-06;353,80;354,20;358,80;358,80;348,80;355,00;353,501;64599;22835791;1960;
2021-10-05;357,60;358,40;352,80;358,80;344,80;358,80;351,378;115288;40509694,2;2585;
2021-10-04;352,40;353,00;361,40;362,20;351,20;352,80;356,278;61881;22052305,1;1688;
2021-10-01;361,20;361,80;358,60;362,80;353,20;361,60;359,864;48023;17281744;1384;
2021-09-30;363,20;363,80;362,00;368,20;359,00;363,20;362,92;58715;21308770,4;1475;
2021-09-29;357,60;358,20;361,60;368,00;357,40;359,20;361,054;56043;20234408;1540;
2021-09-28;360,80;361,40;372,60;372,60;359,40;361,80;364,127;102528;37333018,2;3248;
2021-09-27;373,20;373,80;381,00;385,40;370,60;372,60;375,961;76992;28946612,4;2282;
2021-09-24;380,20;380,60;385,20;385,60;377,00;380,60;380,772;59158;22525973,4;2007;
