Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;225,90;226,10;228,40;230,40;225,50;226,00;227,058;467394;106149514,3;2701;
2022-04-08;229,40;229,60;231,70;233,20;228,10;229,60;230,698;716040;165192907,05;3403;
2022-04-07;230,60;230,90;233,70;235,30;229,50;230,20;231,382;622926;144150925,8;4537;
2022-04-06;231,40;231,60;240,80;242,40;231,10;232,70;235,016;776197;182448073,75;4786;
2022-04-05;240,80;241,10;238,40;243,50;238,20;241,10;241,025;695895;167730778;4316;
2022-04-04;238,40;238,70;233,40;239,70;231,30;238,40;237,53;450037;106895392;3255;
2022-04-01;233,20;233,60;230,20;233,70;223,80;233,00;230,345;797831;183744204,85;4440;
2022-03-31;233,70;233,80;232,90;235,50;230,20;233,30;233,285;871636;203320571,95;3617;
2022-03-30;231,80;232,00;231,50;232,20;227,00;231,40;230,026;665377;153031745,15;4365;
2022-03-29;230,50;230,80;232,70;233,20;229,00;231,50;230,98;524509;121142233,55;3296;
2022-03-28;229,30;229,60;227,00;230,40;226,30;230,40;229,032;497609;113952028,6;3483;
2022-03-25;226,70;227,00;221,80;230,30;220,90;227,50;226,608;1897996;430094049,65;5500;
2022-03-24;221,60;221,70;228,40;229,30;221,40;221,40;224,486;1910685;428683558,95;6202;
2022-03-23;228,70;229,10;238,50;240,00;227,30;228,10;232,336;2376489;552121425,95;7055;
2022-03-22;239,60;239,80;241,40;243,30;239,20;239,80;241,126;2614341;630376593,2;6297;
2022-03-21;242,20;242,40;240,20;244,50;239,30;241,80;241,423;1694305;408872287,46;7313;
2022-03-18;239,70;240,10;241,10;242,00;235,70;240,60;239,543;2647454;634124865,1;8448;
2022-03-17;239,10;239,50;233,40;240,40;233,20;239,10;238,636;1010512;241118012,3;5242;
2022-03-16;232,80;233,20;227,80;237,10;227,80;232,30;233,064;1247714;290789094,15;5475;
2022-03-15;224,20;224,70;227,80;228,80;223,70;224,90;226,258;1410416;319124816,65;5925;
2022-03-14;230,00;230,30;224,50;234,70;224,20;229,50;228,826;1034413;236685802,5;7426;
2022-03-11;223,80;224,20;215,00;225,20;214,80;222,70;222,038;977261;217006294,3;6597;
2022-03-10;215,00;215,30;215,70;219,20;211,70;214,90;215,996;1094270;236369592,9;7171;
2022-03-09;216,60;216,70;210,20;218,30;208,60;216,20;215,469;893065;192429120,3;6023;
2022-03-08;206,20;206,40;198,00;209,40;197,00;206,20;206,009;1161310;239349953,5;6670;
2022-03-07;201,60;202,10;205,00;207,70;196,80;201,30;201,757;1446231;291791569,06;10320;
2022-03-04;208,50;208,90;211,80;217,50;207,80;208,30;210,667;1048142;220781887,1;6340;
2022-03-03;213,60;213,90;214,40;219,30;212,30;212,90;215,475;875249;188612470,05;5744;
2022-03-02;214,50;214,70;208,40;215,50;206,50;214,60;211,94;1104968;234191162,75;6549;
2022-03-01;209,80;210,10;209,10;213,30;205,30;209,90;209,448;871831;182598013,1;6029;
2022-02-28;211,70;211,90;204,60;212,60;203,30;211,60;210,033;1200370;252076796,8;5942;
2022-02-25;210,00;210,30;203,10;212,00;202,00;209,30;208,408;1134489;236437200,55;5708;
2022-02-24;200,20;200,70;194,00;203,40;191,60;200,80;197,303;1503488;296427339,38;11291;
