Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;549,00;550,50;570,00;570,00;548,50;553,00;553,758;33362;18473652,25;662;
2022-04-08;564,50;566,00;582,00;582,00;561,00;564,50;565,73;31741;17956839,5;524;
2022-04-07;572,00;573,50;577,50;594,00;571,00;574,50;576,712;31374;18093762;594;
2022-04-06;576,50;577,50;582,50;585,50;574,00;577,50;577,708;63442;36651070,75;902;
2022-04-05;585,50;586,00;576,00;587,00;575,00;585,50;582,164;52808;30742535,75;999;
2022-04-04;584,00;586,00;580,00;591,00;576,00;587,00;586,254;39634;23234524,75;618;
2022-04-01;580,00;581,00;575,00;583,50;565,00;580,50;574,695;59393;34132320,5;892;
2022-03-31;569,00;570,50;570,50;570,50;560,00;569,00;567,907;116128;65949318;639;
2022-03-30;557,00;559,00;556,50;562,00;546,00;559,00;556,717;74344;41382135,5;534;
2022-03-29;556,00;557,50;531,00;559,50;531,00;559,50;550,338;55482;30530416,5;902;
2022-03-28;522,00;523,00;523,00;529,50;515,50;525,50;524,105;38151;19995386,5;486;
2022-03-25;524,50;526,00;516,50;531,00;512,00;524,50;523,725;44004;23045857,5;526;
2022-03-24;520,50;521,50;570,00;570,00;514,50;517,00;519,902;78116;40613956;824;
2022-03-23;528,00;530,50;548,50;552,50;522,50;530,00;532,941;79933;42605764;1503;
2022-03-22;552,50;553,50;551,00;559,00;545,00;551,50;552,344;121842;67266992;1295;
2022-03-21;552,50;554,00;547,00;554,00;544,00;551,00;550,055;46703;25686313;757;
2022-03-18;546,50;548,00;545,00;549,00;532,50;549,00;545,748;63632;34725321;763;
2022-03-17;543,00;544,50;528,00;549,50;528,00;545,00;542,284;41868;22704709;796;
2022-03-16;536,50;538,00;520,00;543,50;519,00;535,00;537,967;132929;71347293,75;1180;
2022-03-15;518,00;519,50;515,50;521,50;503,50;515,50;515,336;57291;29524388,75;922;
2022-03-14;516,50;517,00;518,00;524,50;500,50;515,50;515,46;69968;36064024,75;1287;
2022-03-11;506,00;508,00;493,00;508,00;489,80;506,50;498,125;92892;46271781,1;1812;
2022-03-10;489,20;489,60;481,00;496,40;481,00;490,60;491,353;42350;20808798,4;888;
2022-03-09;488,00;489,00;469,00;496,80;469,00;489,00;489,752;45496;22281752;988;
2022-03-08;470,80;472,00;471,00;482,20;465,80;472,20;472,154;40063;18915913,6;793;
2022-03-07;468,40;469,60;465,00;479,80;457,80;467,60;467,978;134240;62821733,7;3028;
2022-03-04;477,20;478,80;489,40;494,60;476,40;479,20;487,132;32663;15911203,2;620;
2022-03-03;490,20;491,40;501,00;501,00;486,80;489,40;493,372;34132;16839235,6;930;
2022-03-02;491,20;492,60;487,00;493,40;473,00;492,20;486,931;52159;25397869,4;1044;
2022-03-01;488,80;489,20;498,40;498,40;478,80;487,00;487,458;37021;18046397,1;939;
2022-02-28;492,80;493,60;480,00;493,60;480,00;492,00;490,189;46249;22670855,4;567;
2022-02-25;488,20;489,40;478,00;493,00;476,40;489,20;488,518;38111;18617914,2;751;
2022-02-24;479,80;480,60;462,80;486,80;460,80;476,80;472,841;56292;26616987,6;1301;
2022-02-23;481,00;482,00;532,50;532,50;476,60;484,00;485,851;49880;24235580,9;1094;
2022-02-22;489,80;491,00;475,00;496,60;462,80;491,20;483,953;49114;23767365,6;1216;
2022-02-21;475,60;476,40;489,00;492,40;467,40;475,00;475,646;32985;15689793,8;565;
2022-02-18;489,80;492,20;499,60;511,00;489,80;493,60;500,208;34169;17091523,7;564;
2022-02-17;506,00;507,50;517,50;517,50;506,00;506,00;508,813;24009;12214389;396;
2022-02-16;516,50;517,50;507,00;518,00;507,00;517,50;514,443;33576;17272819,5;682;
2022-02-15;506,00;507,00;495,00;508,00;490,40;506,00;503,641;25762;12974770,65;460;
2022-02-14;496,20;497,60;508,00;508,00;484,40;498,00;493,798;29464;14547760,6;709;
2022-02-11;508,00;510,00;511,50;511,50;501,50;509,00;505,579;24548;12410954,5;525;
2022-02-10;508,50;509,50;509,00;515,00;500,00;511,50;509,734;13065;6659668;344;
2022-02-09;512,00;513,50;498,20;516,50;498,20;511,00;513,092;82253;42203342,75;393;
2022-02-08;497,60;499,00;500,00;510,00;493,00;500,00;500,538;31278;15653997,8;516;
2022-02-07;505,50;506,50;510,00;512,50;504,00;504,50;507,498;24055;12208068;456;
2022-02-04;509,50;511,00;523,00;523,00;509,50;511,00;513,757;23233;11936104,5;471;
2022-02-03;518,00;519,50;526,00;528,00;515,00;521,00;519,951;27001;14039183,5;468;
2022-02-02;525,00;526,50;522,50;533,00;522,50;526,00;527,562;39028;20590273,25;690;
2022-02-01;523,50;524,50;530,00;532,50;520,00;523,50;525,162;29845;15686495;502;
2022-01-31;529,50;530,00;520,00;531,50;520,00;527,00;527,107;50039;26360645,25;790;
2022-01-28;516,00;517,50;510,00;518,00;505,50;516,00;514,605;39536;20345486,5;601;
2022-01-27;517,00;519,50;527,50;543,50;515,50;518,50;519,693;29914;15546208,25;495;
2022-01-26;527,00;528,00;514,50;528,50;514,50;527,50;526,389;30618;16116979;562;
2022-01-25;513,00;514,50;520,00;522,00;509,00;514,50;514,831;34130;17571167;711;
2022-01-24;510,50;512,50;530,00;530,00;506,00;511,50;513,652;35257;18109842,5;905;
2022-01-21;530,00;531,00;540,00;540,00;526,00;530,00;531,926;23654;12582187;503;
2022-01-20;542,00;543,00;534,00;546,50;531,50;542,00;539,596;73415;39614525;1082;
2022-01-19;517,00;519,00;511,00;527,00;508,00;518,50;519,276;28717;14911440;694;
2022-01-18;510,00;511,00;520,50;520,50;505,50;511,00;510,767;43352;22142643;570;
2022-01-17;523,00;524,50;523,00;527,00;510,50;520,50;522,022;82079;42847005,5;658;
2022-01-14;521,50;523,00;529,00;536,00;519,50;523,00;524,911;25869;13578935;608;
2022-01-13;530,00;531,50;531,50;543,00;528,00;529,50;533,348;19678;10495403;419;
2022-01-12;536,00;537,50;540,50;559,50;526,50;537,50;535,556;21264;11387997,5;502;
2022-01-11;531,50;533,00;525,50;537,50;525,00;530,50;529,988;36128;19147155;883;
2022-01-10;525,50;526,50;541,00;546,00;518,00;525,50;525,116;51516;27051775,75;1026;
2022-01-07;543,50;545,50;570,00;570,00;533,50;545,00;544,695;63760;34729256,75;1322;
2022-01-05;563,50;565,00;561,00;567,50;561,00;567,50;565,331;18344;10370397,5;420;
2022-01-04;561,00;562,50;575,50;575,50;557,50;561,00;563,654;31449;17726124,5;702;
