Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;92,05;92,40;94,00;94,00;90,65;92,50;91,902;147906;13592170,05;800;
2022-04-08;93,30;93,55;93,85;93,85;91,10;93,70;92,734;106110;9840282;779;
2022-04-07;90,65;91,05;89,50;92,95;87,60;91,10;91,109;147092;13400390,3;798;
2022-04-06;89,95;90,35;93,15;93,15;88,55;90,20;90,463;399082;36102481,56;1175;
2022-04-05;92,90;93,20;97,00;99,25;92,75;93,15;95,859;417489;40020306,26;1544;
2022-04-04;96,90;97,25;91,60;97,50;90,85;97,30;94,384;374634;35360081,3;1049;
2022-04-01;91,20;91,50;92,75;92,75;89,70;91,25;91,374;152543;13938622,9;733;
2022-03-31;92,54;92,76;93,10;94,82;91,32;92,14;92,549;438113;40546668,38;1238;
2022-03-30;93,90;94,28;96,88;96,88;92,02;94,00;94,00;162568;15281474,41;884;
2022-03-29;96,06;96,40;92,84;97,60;92,84;96,80;96,364;258730;24934882,64;998;
2022-03-28;92,38;92,80;97,38;97,38;90,00;92,84;92,871;147459;13691948,53;699;
2022-03-25;89,90;90,06;92,60;94,72;89,50;89,78;91,711;240694;22080275,46;1096;
2022-03-24;89,62;89,98;92,02;94,42;89,24;89,90;90,921;311421;28313781,21;1491;
2022-03-23;92,84;93,00;93,64;97,18;92,00;92,28;92,955;880840;81879540,25;1486;
2022-03-22;96,12;96,94;93,40;96,94;92,46;96,10;95,275;142187;13540042,03;706;
2022-03-21;93,88;94,18;95,52;95,52;91,26;94,32;93,097;191638;17831066,67;900;
2022-03-18;95,52;95,72;91,22;95,68;90,66;95,60;93,912;372318;34965309,16;1513;
2022-03-17;91,14;91,24;90,00;93,56;89,70;91,22;91,434;302752;27681315,33;1816;
2022-03-16;90,12;90,30;85,00;90,38;83,70;90,00;88,491;371552;32870783,29;1847;
2022-03-15;82,32;83,08;82,00;84,26;79,80;83,14;83,419;912169;76058005,44;2210;
2022-03-14;81,02;81,40;79,76;82,66;75,10;82,00;80,161;572550;45899194,39;1674;
2022-03-11;77,56;77,70;76,96;80,32;75,56;78,10;78,545;262440;20611973,71;1552;
2022-03-10;75,34;75,78;79,02;79,02;75,02;75,46;76,152;206217;15704289,06;919;
2022-03-09;77,06;77,26;70,90;77,48;70,48;77,10;75,038;489819;36759840,47;1621;
2022-03-08;70,62;70,66;68,70;77,00;68,70;70,90;72,338;546333;39531495,67;1860;
2022-03-07;74,80;75,40;75,00;78,18;71,52;74,90;74,93;308256;23210369,03;1521;
2022-03-04;77,14;77,32;81,70;82,14;76,76;77,02;78,358;434095;34015070,5;1656;
2022-03-03;81,70;82,12;86,16;87,30;81,68;81,70;84,171;373884;31568374,59;1401;
2022-03-02;85,02;85,30;83,60;86,16;82,74;85,12;84,35;3096949;252331392,55;2261;
2022-03-01;85,56;85,64;88,90;89,04;83,50;85,00;85,154;556817;47416598,86;2476;
2022-02-28;89,20;89,26;86,10;90,00;85,12;90,00;88,481;783588;69322761,52;3189;
2022-02-25;88,20;88,54;90,00;91,42;86,70;88,34;88,716;393585;34914519,07;2523;
2022-02-24;88,40;88,82;83,50;90,42;83,50;88,16;87,378;846639;73978176,36;3286;
2022-02-23;94,54;94,86;95,54;96,30;90,20;94,40;93,848;606711;56977650,52;2596;
2022-02-22;94,70;94,80;95,60;98,08;83,62;95,54;92,669;1200964;111431699,6;7261;
2022-02-21;98,02;98,40;99,00;99,00;93,28;97,48;96,972;463987;44397781,1;2040;
2022-02-18;99,40;99,80;112,00;112,00;98,40;99,34;102,06;745429;76178851,84;3448;
2022-02-17;112,30;112,50;123,60;127,10;112,00;112,00;116,406;376056;43762289,54;2478;
2022-02-16;122,75;123,45;123,35;124,60;120,65;123,00;122,493;334181;40622295,88;1118;
2022-02-15;122,80;123,15;118,00;123,80;117,50;123,35;122,043;306871;37451106,7;1207;
2022-02-14;118,45;118,75;116,70;119,40;113,05;118,55;115,543;464637;53554068,05;2056;
2022-02-11;121,55;122,00;126,35;126,35;121,10;121,10;122,651;121671;14923498,68;908;
2022-02-10;126,60;126,85;129,70;132,70;126,30;126,65;128,709;250678;32271862,78;1256;
2022-02-09;129,10;129,45;123,65;131,10;121,85;129,70;128,285;310388;39813907,75;1645;
2022-02-08;119,20;119,75;122,85;123,85;117,70;119,40;119,865;178387;21382808,8;1119;
2022-02-07;122,20;122,40;122,55;124,25;121,05;122,90;122,568;89516;10971672,8;861;
2022-02-04;122,75;123,40;124,05;124,80;120,90;123,30;123,103;149924;18455997,65;986;
2022-02-03;123,65;123,95;132,20;132,20;122,40;123,80;124,608;194247;24199120,11;1095;
2022-02-02;130,95;131,30;126,50;133,00;126,50;131,25;130,264;353704;46069533,47;1546;
2022-02-01;126,55;126,80;129,50;129,50;123,35;126,55;125,777;210198;26437705,9;1206;
2022-01-31;123,00;123,30;119,80;123,55;118,65;123,05;121,664;309707;37642217,82;1105;
2022-01-28;117,85;118,15;117,70;118,20;114,80;118,15;116,816;266346;31105126,59;1247;
2022-01-27;117,55;118,15;116,85;118,30;113,90;117,60;115,827;1781949;205743747,83;1431;
2022-01-26;117,95;118,15;120,00;121,55;117,80;118,50;119,329;334400;40023223,85;1315;
2022-01-25;119,05;119,40;120,45;121,85;116,20;119,40;119,874;326352;39113645,93;1688;
2022-01-24;118,40;118,65;126,00;126,00;116,45;118,30;121,903;629009;76655736,29;4272;
2022-01-21;126,50;126,75;125,75;128,00;123,85;126,25;126,164;232385;29316732,73;1461;
2022-01-20;127,30;127,55;123,60;127,75;121,45;127,75;125,079;653882;81785163,21;1107;
2022-01-19;121,65;121,90;115,50;123,80;115,50;122,40;120,923;323096;39062490,66;1535;
2022-01-18;119,60;119,85;121,50;121,50;115,60;119,95;118,592;338343;40126519,53;1916;
2022-01-17;123,00;123,35;120,50;123,40;117,50;122,50;121,356;222506;26994929,46;1069;
2022-01-14;119,60;119,80;122,60;123,20;119,40;120,50;120,667;522887;63161333,43;2272;
2022-01-13;125,35;125,65;131,00;131,00;123,75;125,95;126,657;150582;19072652,3;1064;
2022-01-12;127,75;128,05;129,70;131,65;127,00;128,25;128,482;168189;21608534,46;1144;
2022-01-11;128,75;129,40;129,05;132,75;126,30;129,70;129,943;1208824;157078373,6;3201;
2022-01-10;127,50;127,85;130,00;133,10;126,70;128,15;130,595;809410;105778546,66;3249;
2022-01-07;130,75;131,15;137,00;137,60;127,75;131,05;130,995;607034;79532297,74;4227;
2022-01-05;139,55;139,75;140,80;141,05;135,60;140,45;138,24;209104;28903603,65;1402;
2022-01-04;140,65;140,90;154,05;155,45;139,70;140,60;145,251;528147;76743265,43;4263;
2022-01-03;150,30;150,70;145,05;151,15;145,05;151,15;148,052;476185;70490934,55;2179;
2021-12-30;144,70;145,00;143,05;145,75;142,75;144,35;144,435;70110;10125570,03;752;
2021-12-29;142,90;143,05;146,25;148,30;142,00;142,50;144,19;135500;19531517,34;943;
2021-12-28;145,70;146,60;140,95;153,30;140,90;146,00;147,82;339398;50185528,43;2099;
2021-12-27;139,75;140,25;139,95;141,65;139,30;141,05;140,551;190519;26772872,45;1480;
2021-12-23;139,95;140,35;141,80;141,80;138,95;140,30;140,07;81857;11471182,41;730;
2021-12-22;139,70;140,05;139,70;143,00;139,70;140,85;141,245;143632;20289792,9;1145;
2021-12-21;137,60;137,90;137,45;142,10;137,20;138,50;140,034;186005;26054009,07;1654;
2021-12-20;136,55;136,85;137,45;137,45;132,75;136,45;135,442;146305;19815824,75;1254;
2021-12-17;139,70;140,05;133,55;140,60;132,00;138,55;138,274;1505835;208188206,8;1902;
2021-12-16;133,60;133,80;140,75;142,45;133,70;135,00;136,557;253719;34664230,82;1837;
2021-12-15;137,60;137,90;137,00;138,30;134,05;137,80;136,784;146219;19999698,36;1320;
2021-12-14;137,10;137,40;141,65;147,45;136,80;136,80;141,459;984686;139251263,74;2658;
2021-12-13;134,90;135,55;134,55;139,75;134,55;135,35;137,071;214097;29385602,8;1523;
2021-12-10;134,35;134,60;132,60;136,35;130,90;134,45;133,721;164636;22018982,55;1231;
2021-12-09;132,85;132,90;136,90;136,90;130,75;133,10;133,374;230262;30707961,16;1754;
2021-12-08;135,20;135,95;131,90;136,70;131,35;135,00;134,349;172300;23168742,34;1362;
2021-12-07;130,60;130,95;125,70;131,05;125,60;131,05;129,517;134177;17375878,79;824;
2021-12-06;124,65;125,00;131,20;132,50;124,65;125,10;126,38;343860;43455684,58;2019;
2021-12-03;126,00;126,35;129,00;132,20;126,00;126,05;128,501;208548;26803918,11;1636;
2021-12-02;128,80;129,30;137,60;137,60;127,55;128,45;129,934;295205;38360072,09;2318;
2021-12-01;136,90;137,65;135,05;138,80;133,45;137,75;137,015;246504;33799068,6;1753;
2021-11-30;136,60;137,00;137,90;139,15;135,00;135,00;135,439;1334848;180820046,12;2526;
2021-11-29;139,65;139,85;133,60;140,00;133,60;139,40;137,328;257598;35379146,3;1704;
2021-11-26;133,60;134,00;131,85;137,80;131,00;133,55;134,665;537296;72381463,83;1626;
2021-11-25;136,75;137,15;135,00;141,20;134,15;136,65;137,185;325666;44671915,22;1936;
2021-11-24;134,05;134,25;132,70;136,60;131,70;133,75;134,004;366193;49072132,54;2117;
