Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;22,50;22,90;22,70;23,00;22,10;23,00;22,711;4546;103244,1;23;
2022-04-08;22,60;23,60;23,30;23,90;22,70;22,70;23,397;3270;76420,5;33;
2022-04-07;23,30;23,80;24,00;24,00;23,20;23,30;23,425;3493;81821,7;32;
2022-04-06;23,40;23,80;24,80;25,00;23,40;23,50;23,852;12182;290569,5;35;
2022-04-05;24,80;25,60;26,00;26,40;24,80;24,80;25,799;10563;272519,5;44;
2022-04-04;25,30;25,90;24,60;26,50;24,60;25,30;25,447;16983;432171,1;64;
2022-04-01;24,60;24,90;24,80;25,10;23,80;24,60;23,981;6575;157674,9;27;
2022-03-31;24,80;26,00;26,00;26,00;24,80;24,80;25,225;4424;111595,8;51;
2022-03-30;24,20;25,80;25,20;25,20;23,40;24,80;24,304;13169;320053;44;
2022-03-29;24,60;25,40;23,00;25,60;23,00;25,40;24,493;2990;73235;26;
2022-03-28;23,80;24,40;24,00;24,80;23,80;24,40;24,258;4408;106927,6;28;
2022-03-25;23,80;24,20;25,40;25,40;23,80;24,20;24,307;5592;135922;38;
2022-03-24;24,00;24,40;25,60;25,80;24,20;24,20;25,213;4054;102213,4;20;
2022-03-23;25,00;25,80;25,60;25,60;24,80;25,00;25,052;6129;153544;40;
2022-03-22;26,20;26,60;29,80;29,80;26,00;26,20;26,538;17591;466820,8;37;
2022-03-21;26,20;26,80;26,20;27,40;26,00;26,20;26,587;10041;266958;55;
2022-03-18;25,80;26,80;25,60;26,40;24,80;25,80;25,172;5752;144791,2;36;
2022-03-17;24,60;25,80;24,00;25,40;23,80;25,40;24,606;8430;207431,8;52;
2022-03-16;24,60;24,80;22,20;24,80;22,20;24,80;24,226;2507;60734,4;23;
2022-03-15;23,40;23,80;23,40;24,20;23,20;24,00;23,382;3370;78797,6;18;
2022-03-14;24,00;24,60;23,60;24,60;23,20;24,20;23,932;9109;217994,4;46;
2022-03-11;23,20;23,80;23,00;24,20;23,00;24,00;23,668;12933;306097,8;37;
2022-03-10;23,20;23,80;23,80;24,20;23,20;23,20;23,673;3316;78501;32;
2022-03-09;23,40;23,80;21,40;24,40;21,20;23,80;23,378;40965;957662,4;114;
2022-03-08;21,40;22,00;21,60;22,00;21,40;21,40;21,678;9415;204096;38;
2022-03-07;21,40;22,60;21,80;22,40;21,00;21,40;21,532;12395;266891,2;62;
2022-03-04;22,00;22,40;23,60;23,60;21,20;22,00;22,269;39719;884486,2;51;
2022-03-03;22,60;23,60;23,40;23,60;22,20;23,60;22,835;7721;176308;27;
2022-03-02;23,20;23,40;23,00;23,40;22,20;23,40;22,815;7011;159955,6;21;
2022-03-01;23,00;23,80;24,00;24,00;22,80;23,00;23,508;30039;706169,6;37;
2022-02-28;23,60;24,00;24,40;24,60;23,40;24,00;23,857;21071;502697,4;49;
2022-02-25;24,00;24,60;24,40;25,40;23,40;24,40;24,393;57375;1399530,2;50;
2022-02-24;24,20;24,40;23,60;24,40;23,20;24,40;24,003;144362;3465165,8;203;
2022-02-23;24,20;24,80;25,60;25,60;24,20;24,20;24,266;5206;126329;26;
2022-02-22;25,00;25,60;24,00;25,60;23,40;25,60;24,516;4927;120790;44;
2022-02-21;24,00;24,80;25,80;25,80;24,00;25,00;24,384;68382;1667392,8;79;
2022-02-18;25,20;25,80;26,00;26,00;25,80;25,80;25,93;2921;75742;22;
2022-02-17;26,00;26,60;27,20;27,60;26,00;26,00;26,791;4508;120772;26;
2022-02-16;26,60;27,00;25,80;27,00;25,80;27,00;26,547;5051;134088,6;25;
2022-02-15;25,80;26,40;24,20;26,00;24,20;25,80;25,624;5938;152157;29;
