Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;22,26;22,30;22,80;22,82;22,14;22,32;22,334;625003;13958288,93;750;
2022-04-08;22,80;22,86;22,98;23,22;22,68;22,80;22,924;1407962;32247393,72;404;
2022-04-07;22,98;23,06;23,32;23,54;22,98;22,98;23,158;301716;6987225,8;458;
2022-04-06;23,22;23,30;24,82;24,86;23,18;23,28;23,593;863141;20372315,84;948;
2022-04-05;24,86;24,96;25,38;25,98;24,82;24,82;25,251;311191;7858870,09;579;
2022-04-04;25,36;25,46;24,70;25,66;24,70;25,42;25,333;430392;10903124,85;640;
2022-04-01;24,74;24,80;24,50;24,94;23,76;24,76;24,522;510750;12516163,35;751;
2022-03-31;24,50;24,60;24,50;25,00;24,45;24,50;24,614;1214237;29887520,7;654;
2022-03-30;24,45;24,55;24,90;25,00;23,60;24,45;23,964;1415659;33923053,08;527;
2022-03-29;24,85;24,90;24,05;25,15;23,85;24,90;24,446;1250847;30584549,36;1826;
2022-03-28;23,55;23,65;24,15;24,25;23,55;23,65;23,745;345531;8204649,33;444;
2022-03-25;23,85;23,95;23,50;24,45;23,40;23,90;24,007;1273550;30575105,29;1026;
2022-03-24;23,85;23,95;25,00;25,30;23,70;23,70;24,185;1586999;38379674,75;1232;
2022-03-23;24,90;25,00;25,90;26,15;24,60;25,10;24,85;2601921;64657450,28;857;
2022-03-22;25,90;26,00;26,00;26,45;25,75;25,95;26,093;478405;12483269,7;415;
2022-03-21;26,00;26,10;26,30;26,85;25,60;26,00;26,148;672509;17579549,28;606;
2022-03-18;25,95;26,05;25,00;26,35;24,80;26,35;26,071;2438432;63529126,6;1027;
2022-03-17;25,00;25,10;24,20;25,10;24,20;24,95;24,826;571034;14176675,7;597;
2022-03-16;24,20;24,25;23,95;24,55;23,70;24,10;24,185;784537;18973759,25;643;
2022-03-15;23,40;23,45;24,20;24,20;23,30;23,35;23,543;771759;18166693,97;689;
2022-03-14;24,25;24,35;23,50;24,80;23,40;24,20;24,102;646961;15592001,25;893;
2022-03-11;23,25;23,30;22,90;24,10;22,85;23,30;23,44;727948;17061831,55;691;
2022-03-10;23,00;23,05;23,35;23,70;22,90;22,90;23,266;664091;15448890,52;658;
2022-03-09;23,30;23,40;21,90;23,55;21,90;23,30;23,155;3087921;71618227,76;840;
2022-03-08;21,55;21,65;21,55;22,45;21,25;21,65;21,698;1439972;31244253,21;730;
2022-03-07;21,55;21,60;21,30;22,30;20,80;21,55;21,592;2012753;43476603,3;1404;
2022-03-04;22,10;22,20;22,70;23,20;22,00;22,10;22,493;932404;20972850;889;
2022-03-03;22,65;22,75;23,20;23,50;22,60;22,70;22,958;880097;20204935,8;802;
2022-03-02;23,20;23,30;22,80;23,40;22,15;23,20;22,863;835663;19105564,95;767;
2022-03-01;22,90;22,95;23,65;23,75;22,70;22,85;23,109;720719;16655372,98;760;
2022-02-28;23,70;23,75;23,55;23,95;23,15;23,70;23,622;1150426;27173386,93;829;
2022-02-25;24,00;24,10;24,05;24,75;23,50;24,00;24,113;997844;24061341,15;892;
2022-02-24;24,15;24,25;22,55;24,55;22,55;24,05;23,80;906607;21576189,7;1176;
2022-02-23;24,40;24,45;25,05;25,45;24,30;24,40;24,677;403024;9945463,4;456;
2022-02-22;25,05;25,10;23,40;25,30;23,35;25,05;24,768;726435;17998615,77;684;
2022-02-21;24,25;24,35;25,40;25,40;23,95;24,20;24,421;1088116;26572843,27;1321;
2022-02-18;25,45;25,55;25,70;26,20;25,25;25,45;25,743;626728;16140925,86;602;
2022-02-17;25,95;26,00;26,80;27,20;25,90;25,90;26,217;408993;10724919,05;466;
2022-02-16;26,90;26,95;26,10;26,95;26,10;26,80;26,729;2412201;64470910,18;493;
2022-02-15;25,95;26,05;25,00;26,10;24,95;25,95;25,783;449163;11578153,13;536;
2022-02-14;25,30;25,40;25,60;25,60;24,85;25,30;25,261;971297;24538927,18;1010;
2022-02-11;26,25;26,35;26,20;26,40;25,80;26,35;26,142;211602;5531586,85;319;
2022-02-10;26,30;26,35;26,15;26,45;25,60;26,45;26,30;366718;9644654,05;368;
2022-02-09;26,20;26,25;25,70;26,55;25,65;26,25;26,213;295082;7734823,5;330;
2022-02-08;25,70;25,75;26,25;26,35;25,65;25,70;25,859;519016;13426126,55;551;
2022-02-07;26,25;26,40;26,30;26,40;25,70;26,25;26,151;411921;10771506,22;499;
2022-02-04;26,00;26,10;26,95;27,00;26,00;26,15;26,42;645292;17048914,63;658;
2022-02-03;26,95;27,05;27,20;27,30;26,50;27,10;26,889;534446;14362771,73;666;
2022-02-02;27,25;27,30;27,25;27,85;27,10;27,10;27,306;992429;27091326,86;734;
2022-02-01;27,00;27,10;27,00;27,20;26,75;27,00;26,987;615291;16605454,49;664;
2022-01-31;26,75;26,85;26,65;27,10;26,65;26,70;26,773;709755;19002553,65;693;
2022-01-28;26,35;26,40;26,70;26,70;25,70;26,35;26,163;881672;23067323;967;
2022-01-27;26,40;26,50;26,10;26,65;25,70;26,45;26,342;1154538;30413232,29;1168;
2022-01-26;26,70;26,85;25,75;26,85;25,65;26,80;26,465;812543;21503623,98;749;
2022-01-25;25,65;25,75;25,80;26,00;25,35;25,70;25,741;1575225;40550070,98;1185;
2022-01-24;25,60;25,70;26,35;26,35;25,35;25,75;25,589;1259078;32219066,38;1284;
2022-01-21;26,40;26,50;26,95;26,95;26,15;26,35;26,449;852268;22540450,91;1168;
2022-01-20;27,00;27,10;26,45;27,20;26,20;27,05;26,852;473058;12702669,6;667;
2022-01-19;26,40;26,45;26,00;26,95;25,80;26,45;26,545;925257;24562250,82;1048;
2022-01-18;26,20;26,30;27,35;27,40;26,20;26,20;26,678;1323939;35320174,25;1557;
2022-01-17;27,30;27,35;27,70;27,70;26,80;27,30;27,162;663268;18015752,5;914;
2022-01-14;27,70;27,80;28,15;28,40;27,65;27,70;27,869;675423;18823163,05;953;
2022-01-13;28,55;28,60;29,00;29,40;28,40;28,55;28,883;374920;10829019,45;596;
2022-01-12;28,85;28,95;28,10;28,95;27,60;28,95;28,652;1844064;52837165,49;1533;
2022-01-11;28,70;28,80;28,80;29,25;28,45;28,70;28,772;902172;25956913,55;1233;
2022-01-10;28,80;28,90;30,95;30,95;28,75;28,75;29,31;1548129;45381772,68;1670;
2022-01-07;30,90;30,95;32,00;32,55;30,80;30,95;31,483;773561;24354558,08;1147;
2022-01-05;32,00;32,15;32,10;32,30;31,90;32,25;32,128;211773;6803982,02;391;
2022-01-04;32,20;32,30;32,95;33,00;32,10;32,35;32,365;587225;19005144,62;757;
2022-01-03;32,50;32,65;32,65;33,50;32,50;32,65;32,826;635888;20873867,75;869;
2021-12-30;32,70;32,85;32,00;32,80;32,00;32,65;32,534;361099;11747979,57;553;
2021-12-29;32,05;32,15;32,00;32,40;31,75;32,20;32,072;306774;9838931,45;526;
2021-12-28;31,90;32,00;31,75;32,00;31,45;32,00;31,851;304965;9713375,15;494;
2021-12-27;31,70;31,85;31,05;31,85;30,90;31,75;31,471;464376;14614152,15;678;
2021-12-23;31,00;31,10;30,70;31,30;30,60;31,10;30,974;349520;10826182,2;508;
2021-12-22;30,75;30,80;30,65;30,95;30,50;30,75;30,686;836382;25665028,9;697;
2021-12-21;30,50;30,55;30,30;31,15;30,10;30,55;30,602;1246475;38144322,95;1184;
2021-12-20;30,40;30,45;30,95;30,95;30,30;30,45;30,569;742350;22693188,8;1004;
2021-12-17;31,30;31,45;31,00;31,45;30,30;31,20;31,149;1943860;60550129,08;739;
2021-12-16;30,95;31,05;31,45;31,50;30,70;31,05;31,046;1108333;34408929,64;1032;
2021-12-15;30,95;31,00;30,75;31,25;30,20;31,00;30,833;854021;26331885,53;825;
2021-12-14;30,70;30,75;30,95;31,55;30,55;30,70;31,066;757656;23541677,23;788;
2021-12-13;31,20;31,30;31,55;32,20;31,00;31,20;31,603;456795;14435849,9;658;
2021-12-10;31,90;32,00;31,50;32,05;31,45;31,90;31,825;363955;11582847,2;482;
2021-12-09;31,75;31,85;31,95;32,55;31,70;31,80;32,018;400814;12832993,43;587;
2021-12-08;32,10;32,20;32,30;32,75;32,05;32,05;32,341;733543;23723407,85;789;
2021-12-07;32,40;32,45;31,40;32,55;31,35;32,30;32,18;798690;25702137,48;641;
2021-12-06;31,30;31,40;31,90;32,55;31,30;31,45;31,748;868763;27581541;935;
2021-12-03;31,90;32,00;32,95;33,20;31,90;31,95;32,537;1524308;49599068,96;946;
2021-12-02;33,05;33,10;32,90;33,25;32,40;32,95;32,795;978692;32086456,25;1249;
2021-12-01;33,15;33,25;33,10;33,55;31,90;33,05;33,01;1178345;38843245,88;1483;
2021-11-30;32,85;32,90;32,25;33,40;31,85;33,25;33,089;3718569;122965482,53;1659;
2021-11-29;32,50;32,60;31,90;33,05;31,85;32,40;32,604;886758;28911537,75;1057;
2021-11-26;32,10;32,15;32,45;33,15;32,05;32,10;32,67;1280272;41860469,4;1336;
2021-11-25;33,30;33,40;32,45;33,55;32,40;33,40;33,129;746981;24734430,7;990;
2021-11-24;32,40;32,50;32,00;33,25;32,00;32,45;32,569;1211575;39468159,5;1328;
2021-11-23;32,05;32,10;33,00;33,00;31,85;31,85;32,052;1339016;42922609,74;1178;
2021-11-22;33,05;33,10;33,05;33,60;33,00;33,00;33,281;899365;29932326,88;1234;
2021-11-19;33,00;33,05;32,70;33,05;32,55;33,00;32,855;850274;27936433,69;1092;
2021-11-18;32,70;32,75;32,10;32,75;31,85;32,75;32,485;965295;31357201,13;1166;
2021-11-17;32,10;32,20;31,65;32,20;31,45;32,10;31,924;814802;26011367,09;1036;
2021-11-16;31,60;31,75;31,30;31,75;30,95;31,65;31,381;748426;23485530,24;1159;
2021-11-15;31,20;31,25;30,30;31,25;30,15;31,20;30,975;705304;21844418,8;817;
2021-11-12;30,50;30,60;30,40;30,65;30,20;30,40;30,405;926450;28169037,83;802;
2021-11-11;30,35;30,40;30,00;30,40;29,85;30,40;30,222;380772;11507160,67;588;
2021-11-10;29,90;30,00;30,05;30,15;29,60;29,95;29,892;490017;14647478,63;581;
2021-11-09;29,95;30,00;29,60;30,05;29,55;30,05;29,939;695756;20830391,08;733;
2021-11-08;29,45;29,50;29,85;29,90;29,25;29,50;29,464;802739;23651485,95;778;
2021-11-05;29,75;29,85;30,00;30,25;29,75;29,95;30,008;1074006;32228709,85;641;
2021-11-04;29,80;29,85;29,25;29,95;29,25;29,95;29,77;1117762;33276098,94;1020;
2021-11-03;29,25;29,30;28,90;29,30;28,75;29,30;29,13;903925;26329830,6;734;
2021-11-02;28,70;28,85;28,60;29,00;28,25;28,85;28,713;699971;20098225,65;808;
2021-11-01;28,45;28,55;28,40;29,25;28,40;28,55;28,782;1024690;29493143,81;1125;
2021-10-29;28,35;28,50;28,80;29,30;28,35;28,50;28,684;1579944;45319365,8;1693;
2021-10-28;28,70;28,75;28,10;29,05;28,05;28,80;28,637;2702378;77393085,51;1272;
