Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;292,00;293,00;294,00;295,00;292,00;292,00;293,21;19635;5757178;176;
2022-04-08;294,00;294,50;291,50;295,50;291,50;294,00;293,647;5133;1507290;103;
2022-04-07;291,50;293,50;294,00;295,50;290,50;291,50;293,104;5690;1667763,5;143;
2022-04-06;292,50;294,50;292,50;295,50;292,00;294,00;292,866;9795;2868619,5;169;
2022-04-05;293,00;293,50;293,00;295,50;291,00;292,50;293,082;18152;5320022,5;283;
2022-04-04;293,00;293,50;292,00;294,50;289,50;293,50;292,172;20855;6093250;222;
2022-04-01;292,00;292,50;291,50;292,50;289,00;292,00;290,84;10336;3006119;164;
2022-03-31;290,50;292,00;294,00;294,00;290,50;291,50;291,909;2895;845075,5;97;
2022-03-30;292,00;293,00;294,50;294,50;291,00;293,00;292,606;5717;1672826,5;178;
2022-03-29;297,50;299,00;299,50;299,50;293,00;297,50;295,689;42787;12651655,5;454;
2022-03-28;298,00;299,50;304,50;304,50;296,00;300,00;299,68;19326;5791622,5;304;
2022-03-25;302,00;303,00;304,50;306,00;302,00;302,00;304,541;6722;2047125,5;111;
2022-03-24;302,00;303,00;304,00;304,00;301,00;303,00;303,049;12495;3786596;127;
2022-03-23;304,00;304,50;306,00;306,00;302,50;304,50;303,947;10179;3093875;115;
2022-03-22;306,00;307,00;304,00;308,50;303,50;306,00;306,097;11354;3475422;127;
2022-03-21;304,00;305,00;306,00;306,50;304,00;304,00;305,00;9980;3043902,5;156;
2022-03-18;305,50;306,50;301,50;307,00;301,50;306,50;303,782;11095;3370456;186;
2022-03-17;301,50;302,50;299,00;302,50;299,00;301,50;301,50;6340;1911511;126;
2022-03-16;299,00;299,50;294,50;302,00;294,50;299,00;299,227;11558;3458466,5;146;
2022-03-15;294,00;295,00;297,00;297,50;294,00;294,50;295,936;8443;2498588,5;114;
2022-03-14;297,50;298,50;296,00;301,50;296,00;298,00;299,117;12577;3761988,5;137;
2022-03-11;294,50;295,50;287,00;296,50;285,50;295,50;292,832;19918;5832620,5;151;
2022-03-10;287,00;287,50;288,00;288,00;281,50;287,00;284,915;14617;4164607,5;218;
2022-03-09;284,00;285,00;283,00;287,00;283,00;284,00;285,053;19966;5691363;230;
2022-03-08;282,00;283,00;279,00;283,50;276,00;282,00;280,747;19664;5520606;257;
2022-03-07;278,50;279,50;284,50;284,50;276,50;279,50;280,116;28362;7944645,5;516;
