Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;98,75;98,90;98,35;100,70;97,55;98,70;98,585;120120;11841990,33;1951;
2022-04-08;98,60;98,95;101,10;104,60;96,85;98,30;99,526;297977;29654430,46;3589;
2022-04-07;101,90;102,40;108,00;109,00;101,00;101,00;103,853;360638;37453346;4321;
2022-04-06;109,50;110,00;111,40;113,20;108,10;109,90;110,007;107777;11856246,4;1415;
2022-04-05;111,60;111,90;113,80;116,50;111,10;111,40;113,869;106950;12200881,2;1266;
2022-04-04;113,60;114,00;113,00;114,60;110,40;113,70;112,422;110237;12393109,7;1336;
2022-04-01;112,10;112,40;111,80;112,40;109,20;112,00;110,973;83499;9266127,8;891;
2022-03-31;110,90;111,30;115,00;115,00;110,45;111,00;111,752;82646;9235875,4;1135;
2022-03-30;112,60;112,85;115,50;116,00;110,80;112,90;112,556;177380;19965214,45;1683;
2022-03-29;115,15;115,45;109,20;115,45;108,90;115,20;113,536;231466;26292892,85;1537;
2022-03-28;109,05;109,40;108,00;109,90;106,55;108,75;107,802;164881;17774469,45;1374;
2022-03-25;107,10;107,50;107,20;111,30;106,50;107,65;109,303;111729;12213965,39;1337;
2022-03-24;107,60;107,85;109,85;110,40;107,45;107,50;108,416;61206;6635715,9;761;
2022-03-23;110,00;110,25;114,80;115,35;109,60;109,85;112,439;134646;15137705,49;931;
2022-03-22;112,05;112,60;113,75;113,75;110,50;112,00;111,963;121853;13641783,54;1296;
2022-03-21;113,30;113,40;110,40;113,75;109,35;113,75;110,983;171561;19042822,21;1189;
2022-03-18;110,55;110,75;110,00;111,50;108,85;109,90;109,932;219783;24161520,75;1661;
2022-03-17;108,75;108,95;108,00;111,60;107,15;108,95;108,756;141157;15354607,44;1266;
2022-03-16;106,00;106,15;103,05;106,80;103,00;106,65;105,19;189819;19962309,64;1728;
2022-03-15;101,15;101,40;104,00;104,00;100,70;100,95;101,631;98393;9999754,58;1310;
2022-03-14;103,85;104,50;104,60;105,20;102,65;104,00;104,155;141189;14705560,25;1490;
2022-03-11;102,35;102,65;101,30;104,60;101,00;102,85;102,733;310843;31935356,56;2303;
2022-03-10;101,35;101,70;104,00;104,10;100,35;101,15;101,648;217586;22117059,68;1840;
2022-03-09;102,05;102,40;98,50;102,50;98,50;102,35;101,223;161758;16373411,77;1115;
2022-03-08;97,40;98,00;97,90;103,45;96,66;98,04;99,557;173151;17238526,31;1438;
2022-03-07;98,28;98,58;97,00;101,20;93,76;98,00;96,888;295082;28589866,3;3076;
2022-03-04;99,96;100,05;100,00;103,30;98,82;100,50;100,533;187036;18803299,76;2031;
2022-03-03;102,00;102,10;108,00;109,25;101,30;101,80;105,006;132846;13949564;1739;
2022-03-02;107,80;108,15;104,00;108,65;102,25;108,00;105,857;192884;20418194,58;1964;
2022-03-01;106,30;106,50;109,50;110,00;104,35;106,20;106,588;193039;20575701,8;2345;
2022-02-28;109,35;109,55;106,60;110,30;105,35;110,00;108,319;221092;23950396,36;2387;
2022-02-25;108,15;108,55;106,20;111,00;104,75;108,65;108,132;150273;16249312;2287;
2022-02-24;105,60;106,00;100,45;106,50;98,62;106,10;102,396;309488;31690876,03;3164;
2022-02-23;106,40;106,90;110,00;112,95;106,45;106,90;108,892;104285;11355688,6;1498;
2022-02-22;109,80;110,15;101,20;113,00;100,00;110,30;108,253;234255;25358696,9;2597;
2022-02-21;106,70;107,05;114,00;114,65;104,30;106,60;107,277;234602;25166805,25;3567;
2022-02-18;114,20;114,90;118,00;118,00;114,10;114,30;115,637;115384;13342674,35;1501;
2022-02-17;118,25;118,55;117,95;121,80;117,65;118,00;119,152;175005;20852224,4;1899;
2022-02-16;120,05;120,35;121,75;122,95;118,20;119,80;119,684;80275;9607629,8;965;
2022-02-15;121,15;121,65;114,75;123,30;113,25;121,75;119,514;155726;18610522,45;1675;
2022-02-14;115,40;115,75;116,80;116,80;111,05;115,10;113,677;273230;31060182,6;2905;
2022-02-11;120,50;120,70;122,00;122,45;118,90;120,60;120,34;54731;6585447,3;834;
2022-02-10;122,20;122,70;125,00;126,00;118,80;123,10;122,117;76257;9313300,56;961;
2022-02-09;123,50;123,90;120,40;125,05;119,60;124,00;122,303;102306;12512226,6;1554;
2022-02-08;118,75;119,05;118,60;119,55;116,60;119,00;118,456;70756;8378972,39;922;
2022-02-07;118,35;118,75;119,20;119,85;116,75;118,90;118,518;99669;11812018,56;1178;
2022-02-04;118,90;119,05;121,40;123,35;116,50;119,20;118,771;134630;15981196,45;1985;
2022-02-03;121,65;121,95;130,00;130,15;120,85;121,00;124,076;157520;19540982,61;2384;
2022-02-02;128,85;129,15;125,65;130,45;125,05;128,60;128,437;138234;17754342,15;1756;
2022-02-01;124,00;124,30;124,45;124,85;121,25;124,35;123,105;187474;23078850,66;2076;
2022-01-31;121,65;122,00;118,80;122,75;117,80;120,95;120,36;129783;15621425,15;1334;
2022-01-28;115,50;115,80;115,65;115,70;112,05;115,65;113,823;93366;10627208,55;1654;
2022-01-27;115,45;115,50;114,60;117,40;111,15;115,00;115,684;180786;20914101,1;2403;
2022-01-26;115,60;115,85;111,50;116,55;110,10;115,00;113,797;222270;25293867,46;3071;
2022-01-25;111,60;112,00;109,40;115,00;109,40;111,50;112,266;274522;30822993,73;3783;
2022-01-24;108,10;108,55;118,50;118,50;106,50;108,00;110,625;416485;46073039,2;5873;
2022-01-21;118,85;119,50;119,20;121,40;117,40;118,60;119,296;137446;16397075;2151;
2022-01-20;122,45;122,90;121,00;122,70;116,00;122,25;119,815;159678;19131819,55;2488;
2022-01-19;120,55;121,15;116,60;124,65;112,50;120,90;119,92;167970;20143202,95;2116;
2022-01-18;118,05;118,25;122,65;123,50;117,05;117,75;118,845;138685;16481979,65;2359;
2022-01-17;123,15;123,60;122,45;124,00;118,70;122,65;121,755;143504;17472393,35;1948;
2022-01-14;122,35;122,95;126,00;126,05;121,30;122,45;123,109;235890;29038767,54;2517;
2022-01-13;126,15;126,55;127,30;128,90;124,60;126,00;126,762;119557;15156345,08;1834;
2022-01-12;128,75;129,00;130,40;131,70;127,85;128,95;129,223;141190;18248998,23;1875;
2022-01-11;129,00;129,05;127,45;132,20;125,90;129,40;128,946;191560;24705480,6;2613;
2022-01-10;127,65;128,15;141,30;142,90;125,30;127,45;130,756;421480;55014801,03;6490;
2022-01-07;141,40;141,70;148,95;148,95;140,60;141,30;144,169;209104;30144549,93;3785;
2022-01-05;148,45;148,70;149,00;152,00;147,75;149,00;149,00;63102;9403629,52;1012;
2022-01-04;149,45;149,80;151,05;152,75;147,95;149,55;149,702;190146;28470870,59;2177;
2022-01-03;149,10;149,35;147,95;154,90;147,75;149,10;151,884;218788;33242831,38;2779;
2021-12-30;147,05;147,50;144,65;147,50;142,75;147,15;144,912;151298;21921956,85;1672;
2021-12-29;144,20;144,30;144,40;145,60;143,00;144,60;144,29;80371;11602103,61;1199;
2021-12-28;144,20;144,45;145,75;146,90;143,05;144,35;144,986;116106;16837559,13;1528;
2021-12-27;143,10;143,45;143,00;146,10;142,05;144,20;143,82;232763;33488674,59;2406;
2021-12-23;143,80;144,00;141,95;145,95;141,15;143,95;143,275;178526;25572918,42;2215;
