Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;76,00;76,10;80,54;80,54;75,46;75,84;77,019;1342288;103399666,45;5024;
2022-04-08;80,76;80,86;80,48;82,20;79,82;80,88;81,091;941936;76367867,14;3136;
2022-04-07;79,08;79,12;80,00;82,14;78,92;79,06;80,129;1112941;89169742,05;3533;
2022-04-06;79,44;79,64;81,00;81,96;77,92;79,18;79,563;2205498;175445325,87;3969;
2022-04-05;81,24;81,30;82,64;83,32;80,66;81,26;81,453;1046902;85279251,07;3270;
2022-04-04;83,04;83,16;80,94;83,38;78,82;82,64;82,232;961973;79090716,16;2414;
2022-04-01;80,20;80,24;81,66;82,90;80,06;80,46;81,29;2106032;171223197,92;2486;
2022-03-31;81,20;81,32;82,44;83,00;80,68;81,46;81,409;687266;55948128,31;1739;
2022-03-30;82,54;82,66;83,50;83,78;81,02;82,44;82,31;1047239;86182092,02;3130;
2022-03-29;83,30;83,40;79,14;84,26;78,96;83,50;82,526;1212987;100064976,52;3391;
2022-03-28;77,72;77,86;75,80;78,48;75,40;77,96;77,39;1058320;81912649,19;3429;
2022-03-25;75,54;75,62;77,00;77,56;74,88;75,62;76,088;1176555;89478779,73;3859;
2022-03-24;76,54;76,70;81,30;81,50;76,24;76,30;77,785;2283677;177628277,56;5828;
2022-03-23;80,20;80,26;85,36;85,90;79,70;80,08;81,289;1329832;108122893,9;5054;
2022-03-22;84,98;85,06;85,62;86,00;83,80;85,14;85,095;675136;57437798,56;2283;
2022-03-21;85,22;85,28;84,50;86,38;84,38;85,34;85,36;1034172;88301328,09;3203;
2022-03-18;84,52;84,66;84,42;85,72;83,04;84,56;84,455;1048285;88525836,19;3621;
2022-03-17;84,06;84,14;86,50;86,50;83,52;83,70;84,27;944426;79592972,74;2509;
2022-03-16;85,26;85,32;84,96;85,86;83,02;85,44;85,095;1407216;119743536,36;3556;
2022-03-15;81,52;81,66;83,04;83,04;79,08;81,70;81,303;1232455;100194252,85;3686;
2022-03-14;83,40;83,48;82,00;84,90;81,46;83,62;83,488;1094042;91347610,54;3324;
2022-03-11;80,94;81,02;81,92;82,54;80,28;81,14;81,439;1779420;144900853,19;3383;
2022-03-10;81,42;81,50;85,40;86,02;80,78;80,86;82,768;1155781;95674220,95;3932;
2022-03-09;84,56;84,64;82,50;84,84;81,64;84,84;83,332;1112076;92667042,94;3416;
2022-03-08;79,72;79,86;78,00;81,68;77,06;80,00;80,074;881486;70592892,15;3079;
2022-03-07;78,90;78,98;77,40;81,10;75,12;78,54;77,748;1534858;119457727,6;5023;
2022-03-04;81,04;81,24;81,86;84,06;80,04;80,48;81,343;2389132;194319231,59;3679;
2022-03-03;83,40;83,56;86,28;87,58;83,02;83,08;84,40;789764;66681478,96;2600;
2022-03-02;86,88;86,98;86,90;88,12;84,32;86,54;86,453;1583204;136445487,85;4070;
2022-03-01;87,02;87,18;91,60;91,66;86,82;86,98;88,357;928286;82036438,71;3489;
2022-02-28;91,70;91,80;87,34;92,04;87,34;92,04;90,737;1226333;111269458,93;3703;
2022-02-25;88,96;89,06;88,98;89,76;86,22;89,00;88,365;1420895;125236471,41;4066;
2022-02-24;87,56;87,60;85,42;88,30;83,00;87,84;85,447;2238334;191453721,98;5784;
2022-02-23;90,52;90,80;92,68;94,10;89,84;90,50;91,199;958969;87581771,49;2576;
2022-02-22;91,92;92,12;89,20;93,80;88,94;92,14;92,206;846457;78119999,7;2823;
2022-02-21;90,60;90,74;93,74;94,56;89,22;90,78;90,622;1495082;135543205,15;3431;
2022-02-18;93,90;94,02;96,44;97,26;93,20;93,74;94,461;983265;92896820,9;2772;
2022-02-17;97,08;97,22;99,26;100,05;96,72;96,72;98,44;1185804;116742479,44;2374;
2022-02-16;99,50;99,58;100,60;101,05;98,66;99,44;99,563;687461;68443386,96;1973;
2022-02-15;100,05;100,15;97,22;100,45;96,96;99,78;99,205;750926;74490795,25;2322;
2022-02-14;97,52;97,62;96,32;97,72;94,68;97,22;96,368;1545214;148933734,38;4945;
2022-02-11;99,50;99,66;100,25;101,25;98,76;99,60;99,771;883869;88191630,23;3568;
2022-02-10;101,65;101,85;102,00;102,90;100,55;101,85;101,839;966700;98450779,55;1993;
2022-02-09;101,30;101,45;99,36;102,95;98,94;101,05;101,49;1936343;196437992,56;3552;
2022-02-08;97,66;97,70;98,80;99,78;96,74;98,14;97,853;1240363;121354381,78;4205;
2022-02-07;98,60;98,68;100,00;100,65;97,82;98,50;98,645;716702;70695578,02;2662;
2022-02-04;99,40;99,64;103,50;103,80;99,22;99,62;100,099;1175453;117624932,26;3570;
2022-02-03;103,35;103,50;103,50;104,85;102,50;103,50;103,611;1945356;201629009,05;2624;
2022-02-02;103,50;103,60;102,55;104,60;101,55;103,40;102,944;1721352;177245508,78;5714;
2022-02-01;101,85;102,00;103,65;105,30;101,55;102,30;102,825;1269946;130579220,97;3689;
2022-01-31;102,30;102,45;107,65;108,25;100,65;102,30;103,224;1422384;146819082,82;4883;
2022-01-28;105,75;105,85;105,95;105,95;102,45;105,95;104,582;1902525;198947664,35;6107;
2022-01-27;107,10;107,35;109,55;109,55;98,20;106,30;104,573;4099973;428254152,02;14289;
2022-01-26;101,65;101,85;101,20;102,90;100,50;101,60;101,899;2010897;204910686,24;3246;
2022-01-25;99,68;99,84;101,60;102,75;98,00;100,10;100,15;1818301;181980142,28;5242;
2022-01-24;100,60;100,75;105,00;105,55;99,36;100,35;100,81;1327246;133788103,44;5043;
2022-01-21;105,60;105,80;106,00;107,20;104,55;105,65;106,045;685107;72663622,47;3122;
2022-01-20;107,90;108,10;108,10;108,75;106,70;108,15;108,075;1097384;118605551,2;4624;
2022-01-19;106,75;106,95;106,95;108,85;106,00;107,20;107,717;1322918;142501550,72;4231;
2022-01-18;107,35;107,65;112,90;112,90;107,40;107,95;108,834;1067129;116121637,79;3764;
2022-01-17;112,95;113,10;112,95;114,00;110,85;113,15;112,59;385323;43383392,16;1549;
2022-01-14;112,50;112,60;115,00;115,95;112,10;112,95;113,771;702657;79954351,34;2772;
2022-01-13;116,45;116,55;118,90;119,05;115,90;116,65;117,27;710444;83322205,58;2406;
2022-01-12;118,85;119,05;120,00;120,70;116,70;118,90;118,857;613070;72838260,38;2241;
2022-01-11;119,10;119,25;115,00;120,35;115,00;119,50;118,628;813450;96462281,81;2586;
2022-01-10;114,40;114,55;117,70;118,00;113,80;114,80;115,823;980245;113533590,6;2444;
2022-01-07;116,60;116,75;121,00;121,00;115,65;116,65;117,416;1015061;119193238,05;4334;
2022-01-05;121,15;121,30;120,40;121,65;120,20;121,10;120,954;424229;51317258,1;1890;
2022-01-04;119,80;119,90;122,05;123,20;119,45;119,55;120,737;1852826;223736344,82;6217;
2022-01-03;121,80;121,90;119,40;123,10;119,35;121,50;121,774;525924;64043614,11;2108;
2021-12-30;119,40;119,60;119,75;120,60;118,35;118,95;119,155;328358;39129264,2;1443;
2021-12-29;119,55;119,60;120,70;121,00;119,00;119,80;119,799;334946;40128582,31;1567;
2021-12-28;120,15;120,35;119,20;120,75;119,20;120,55;120,129;413140;49630648,54;1649;
2021-12-27;118,85;119,05;117,05;120,30;116,80;119,15;118,956;384679;45756081,23;1725;
