Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;73,12;73,20;75,24;75,60;73,00;73,18;73,718;1063217;78381778;1962;
2022-04-08;75,32;75,44;75,24;75,88;74,68;75,32;75,387;939429;70820877,97;2154;
2022-04-07;74,66;74,76;73,80;75,74;73,56;74,94;74,834;753583;56393156,95;1646;
2022-04-06;73,14;73,20;76,62;76,76;72,60;73,44;73,732;1207353;89015076,22;2355;
2022-04-05;76,56;76,64;78,70;78,78;76,34;76,66;77,356;626694;48480771,14;1458;
2022-04-04;77,04;77,16;78,10;78,28;76,24;77,34;77,337;679967;52589385,88;1318;
2022-04-01;77,02;77,14;74,24;77,54;74,00;77,18;76,78;1171288;89928728,35;2442;
2022-03-31;74,14;74,20;75,50;75,68;73,92;74,22;74,465;1355508;100972262,88;2500;
2022-03-30;75,28;75,36;77,76;77,76;74,24;75,42;75,318;1253663;94419653,02;2562;
2022-03-29;77,28;77,44;75,00;78,50;74,28;77,82;76,21;2080248;158422704,18;4609;
2022-03-28;74,14;74,22;75,08;76,00;74,08;74,50;74,551;1429299;106557259,87;2923;
2022-03-25;74,82;74,88;77,44;77,84;74,70;75,08;75,845;1473113;111745651,89;3242;
2022-03-24;77,52;77,56;77,60;78,76;76,98;77,68;77,73;1003858;78029755,61;2296;
2022-03-23;77,00;77,04;79,08;79,74;76,56;77,14;77,434;1079383;83565886,3;2860;
2022-03-22;78,40;78,52;76,96;79,24;76,38;78,56;78,072;990943;77331624,89;2206;
2022-03-21;76,56;76,64;77,28;77,56;75,00;76,96;76,497;1144813;87892980,73;2255;
2022-03-18;76,56;76,72;76,92;77,20;75,12;77,14;76,759;2015373;154687789,65;2734;
2022-03-17;77,14;77,22;78,20;78,64;76,40;76,92;77,327;939783;72672063,94;2360;
2022-03-16;77,04;77,10;75,38;77,52;74,74;77,28;76,477;1651545;126230015,9;3392;
2022-03-15;73,90;74,00;75,18;75,40;72,86;73,98;73,979;979170;72437725,27;1998;
2022-03-14;75,22;75,38;74,88;76,64;73,68;75,18;75,01;1381046;103607236,46;2653;
2022-03-11;74,48;74,60;74,00;75,52;73,42;74,28;74,41;1107835;82455870,09;3068;
2022-03-10;73,62;73,72;77,22;77,80;73,48;73,66;74,604;996414;74353915,21;2716;
2022-03-09;76,44;76,54;77,18;79,04;75,44;76,58;77,006;1346729;103709443,85;3083;
2022-03-08;74,90;75,06;73,92;77,66;73,20;75,10;75,574;916683;69272226,13;2833;
2022-03-07;75,08;75,24;75,00;77,62;72,28;74,88;74,533;1542750;115001576,39;3338;
2022-03-04;76,94;77,02;79,60;80,30;76,84;77,42;77,83;1363643;106154773,23;3289;
2022-03-03;80,46;80,58;81,74;82,18;80,00;80,42;80,858;716626;57946649,49;1822;
2022-03-02;81,88;81,94;79,54;82,22;78,82;81,74;80,909;1569466;126965826,04;3868;
2022-03-01;81,50;81,60;82,14;82,22;79,02;81,10;80,954;1072338;86807101,88;2520;
2022-02-28;81,66;81,86;79,20;82,30;78,16;82,30;81,106;1389676;112702066,44;3287;
2022-02-25;80,28;80,40;79,00;80,50;78,24;80,50;79,568;1974934;157105816,79;4986;
2022-02-24;80,22;80,34;78,00;82,38;78,00;80,34;80,274;2395689;192242345,03;5519;
2022-02-23;83,26;83,70;83,08;84,70;83,00;83,32;83,641;1120349;93728562,18;2494;
2022-02-22;82,20;82,48;79,88;82,98;79,38;82,98;82,371;2352967;193936273,11;4242;
2022-02-21;81,56;81,64;84,00;85,22;81,42;81,66;82,538;1275555;105564686,8;3164;
2022-02-18;83,52;83,74;85,44;85,70;83,14;83,94;84,041;1213086;101954871,34;2445;
2022-02-17;85,12;85,30;88,46;89,92;85,04;85,86;86,744;1571782;136376994,93;3734;
2022-02-16;88,48;88,58;89,38;91,46;88,46;88,60;89,64;3170487;284223021,79;7333;
2022-02-15;88,74;88,90;86,00;89,56;83,60;88,60;86,859;8167408;709310763,3;16828;
2022-02-14;88,02;88,18;96,64;96,74;86,84;87,68;89,534;4599582;412061119,16;12418;
2022-02-11;98,96;99,04;99,78;100,00;97,78;98,92;98,977;465722;46094435,12;1392;
