Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;;;189,00;189,00;189,00;189,00;189,00;57;10773;2;
2022-04-08;;;186,00;188,00;186,00;188,00;186,933;15;2804;5;
2022-04-07;;;186,00;186,00;186,00;186,00;186,00;2;372;1;
2022-04-06;;;;;;185,00;;;;0;
2022-04-05;;;;;;185,00;;;;0;
2022-04-04;;;185,00;185,00;185,00;185,00;185,00;61;11285;6;
2022-04-01;;;;;;200,00;;;;0;
2022-03-31;;;200,00;200,00;200,00;200,00;200,00;57;11400;3;
2022-03-30;;;200,00;200,00;200,00;200,00;200,00;17;3400;2;
2022-03-29;;;187,00;187,00;187,00;187,00;187,00;23;4301;1;
2022-03-28;;;186,00;186,00;186,00;186,00;186,00;51;9486;3;
2022-03-25;;;;;;185,00;;;;0;
2022-03-24;;;185,00;185,00;185,00;185,00;185,00;2;370;1;
2022-03-23;;;;;;195,00;;;;0;
2022-03-22;;;195,00;195,00;195,00;195,00;195,00;25;4875;1;
2022-03-21;;;194,00;195,00;194,00;195,00;194,50;200;38900;6;
2022-03-18;;;;;;190,00;;;;0;
2022-03-17;;;;;;190,00;;;;0;
2022-03-16;;;192,00;192,00;190,00;190,00;190,005;392;74482;9;
2022-03-15;;;190,00;190,00;190,00;190,00;190,00;4;760;2;
2022-03-14;;;186,00;186,00;186,00;186,00;186,00;110;20460;7;
2022-03-11;;;;;;185,00;;;;0;
2022-03-10;;;185,00;185,00;185,00;185,00;185,00;4;740;1;
2022-03-09;;;;;;179,00;;;;0;
2022-03-08;;;176,00;179,00;176,00;179,00;178,954;131;23443;6;
2022-03-07;;;175,00;175,00;175,00;175,00;175,00;33;5775;4;
2022-03-04;;;173,00;175,00;173,00;175,00;174,461;356;62108;11;
2022-03-03;;;;;;170,00;;;;0;
2022-03-02;;;170,00;170,00;170,00;170,00;170,00;59;10030;2;
2022-03-01;;;195,00;195,00;195,00;195,00;195,00;182;35490;8;
2022-02-28;;;206,00;206,00;202,00;202,00;202,736;201;40750;8;
2022-02-25;;;202,00;206,00;202,00;206,00;205,784;37;7614;7;
2022-02-24;;;206,00;206,00;206,00;206,00;206,00;26;5356;4;
2022-02-23;;;208,00;208,00;208,00;208,00;208,00;3;624;1;
2022-02-22;;;;;;202,00;;;;0;
2022-02-21;;;218,00;218,00;202,00;202,00;217,695;105;22858;5;
2022-02-18;;;220,00;220,00;220,00;220,00;220,00;342;75240;6;
2022-02-17;;;;;;240,00;;;;0;
2022-02-16;;;228,00;240,00;228,00;240,00;234,00;6;1404;3;
2022-02-15;;;228,00;228,00;228,00;228,00;228,00;1;228;1;
2022-02-14;;;210,00;230,00;210,00;230,00;227,904;229;52190;9;
2022-02-11;;;238,00;238,00;238,00;238,00;238,00;27;6426;4;
2022-02-10;;;238,00;238,00;238,00;238,00;238,00;12;2856;2;
2022-02-09;;;238,00;238,00;238,00;238,00;238,00;22;5236;6;
2022-02-08;;;238,00;238,00;238,00;238,00;238,00;222;52836;7;
2022-02-07;;;238,00;238,00;238,00;238,00;238,00;1;238;1;
2022-02-04;;;238,00;238,00;238,00;238,00;238,00;67;15946;3;
2022-02-03;;;240,00;240,00;238,00;240,00;238,529;204;48660;4;
2022-02-02;;;240,00;240,00;240,00;240,00;240,00;297;71280;10;
2022-02-01;;;230,00;240,00;230,00;240,00;239,727;660;158220;13;
2022-01-31;;;230,00;230,00;230,00;230,00;230,00;1004;230920;12;
2022-01-28;;;210,00;210,00;210,00;210,00;210,00;362;76020;20;
2022-01-27;;;230,00;230,00;228,00;228,00;229,987;151;34728;4;
2022-01-26;;;226,00;228,00;226,00;228,00;226,912;136;30860;8;
2022-01-25;;;204,00;230,00;204,00;230,00;208,464;2761;575568;26;
2022-01-24;;;232,00;232,00;202,00;202,00;212,403;650;138062;13;
2022-01-21;;;236,00;236,00;236,00;236,00;236,00;11;2596;2;
2022-01-20;;;244,00;244,00;244,00;244,00;244,00;228;55632;8;
2022-01-19;;;242,00;242,00;242,00;242,00;242,00;310;75020;6;
2022-01-18;;;244,00;244,00;244,00;244,00;244,00;25;6100;6;
2022-01-17;;;248,00;248,00;248,00;248,00;248,00;1148;284704;14;
2022-01-14;;;222,00;246,00;222,00;246,00;239,518;597;142992;14;
2022-01-13;;;;;;252,00;;;;0;
2022-01-12;;;252,00;252,00;252,00;252,00;252,00;210;52920;6;
2022-01-11;;;250,00;252,00;250,00;252,00;251,141;1358;341050;12;
2022-01-10;;;250,00;250,00;250,00;250,00;250,00;5;1250;2;
2022-01-07;;;250,00;250,00;250,00;250,00;250,00;55;13750;5;
2022-01-05;;;250,00;250,00;250,00;250,00;250,00;1120;280000;13;
2022-01-04;;;248,00;252,00;248,00;252,00;250,566;145;36332;9;
2022-01-03;;;248,00;248,00;248,00;248,00;248,00;152;37696;7;
2021-12-30;;;246,00;248,00;246,00;248,00;246,13;769;189274;19;
2021-12-29;;;246,00;246,00;246,00;246,00;246,00;184;45264;12;
2021-12-28;;;234,00;234,00;234,00;234,00;234,00;100;23400;4;
2021-12-27;;;250,00;250,00;230,00;230,00;232,821;631;146910;30;
2021-12-23;;;232,00;232,00;230,00;230,00;231,905;210;48700;7;
2021-12-22;;;230,00;230,00;228,00;228,00;228,391;1023;233644;16;
2021-12-21;;;244,00;244,00;230,00;230,00;234,696;575;134950;16;
2021-12-20;;;226,00;246,00;226,00;246,00;235,278;194;45644;13;
2021-12-17;;;226,00;226,00;226,00;226,00;226,00;1;226;1;
2021-12-16;;;246,00;246,00;226,00;226,00;231,612;278;64388;10;
2021-12-15;;;246,00;246,00;246,00;246,00;246,00;35;8610;7;
2021-12-14;;;240,00;240,00;234,00;234,00;236,182;55;12990;6;
2021-12-13;;;216,00;234,00;216,00;234,00;223,586;87;19452;12;
2021-12-10;;;234,00;234,00;214,00;214,00;232,75;16;3724;2;
2021-12-09;;;;;;234,00;;;;0;
2021-12-08;;;236,00;236,00;234,00;234,00;235,927;441;104044;7;
2021-12-07;;;230,00;234,00;230,00;234,00;231,436;266;61562;11;
2021-12-06;;;232,00;232,00;228,00;228,00;228,956;427;97764;12;
2021-12-03;;;234,00;234,00;232,00;232,00;233,281;278;64852;6;
2021-12-02;;;242,00;242,00;234,00;234,00;234,136;59;13814;7;
2021-12-01;;;240,00;240,00;240,00;240,00;240,00;7;1680;4;
2021-11-30;;;240,00;242,00;240,00;242,00;241,852;54;13060;3;
2021-11-29;;;250,00;250,00;242,00;242,00;247,987;151;37446;17;
2021-11-26;;;228,00;240,00;228,00;240,00;238,885;495;118248;14;
2021-11-25;;;230,00;230,00;228,00;228,00;229,923;261;60010;8;
2021-11-24;;;;;;230,00;;;;0;
2021-11-23;;;230,00;230,00;230,00;230,00;230,00;708;162840;22;
2021-11-22;;;250,00;250,00;222,00;222,00;230,836;225;51938;10;
2021-11-19;;;252,00;252,00;252,00;252,00;252,00;61;15372;5;
2021-11-18;;;250,00;250,00;250,00;250,00;250,00;585;146250;8;
2021-11-17;;;256,00;256,00;250,00;250,00;253,952;1740;441876;31;
2021-11-16;;;234,00;250,00;234,00;250,00;237,058;257;60924;20;
2021-11-15;;;225,00;230,00;225,00;230,00;226,846;467;105937;21;
2021-11-12;;;219,50;221,00;219,50;221,00;220,25;4;881;2;
2021-11-11;;;205,50;219,50;205,50;219,50;219,331;166;36409;7;
2021-11-10;;;220,50;220,50;220,00;220,00;220,293;341;75120;10;
2021-11-09;;;221,50;221,50;220,00;220,00;221,354;113;25013;4;
