Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;144,90;144,98;145,42;147,42;144,44;144,86;145,616;1393137;202932016,73;4836;
2022-04-08;145,82;145,88;144,82;146,44;141,72;146,00;144,705;1671795;241905083,3;6663;
2022-04-07;144,14;144,20;139,50;146,74;139,50;143,90;144,343;2918808;421461061,99;9682;
2022-04-06;138,30;138,38;141,74;142,28;137,30;138,50;138,578;2219508;307570063,65;9001;
2022-04-05;142,00;142,08;144,14;144,90;141,68;142,16;142,934;1914402;273960705,3;4966;
2022-04-04;144,64;144,70;141,98;145,20;139,50;144,12;143,143;2699624;386566691,42;7556;
2022-04-01;142,74;142,82;143,56;144,66;141,90;142,74;142,894;1546258;220952723,25;5786;
2022-03-31;143,75;143,85;150,05;150,80;143,10;143,10;145,031;2998958;435036568,4;8477;
2022-03-30;155,15;155,25;157,65;157,65;153,25;154,65;154,606;2420426;374203154,43;9230;
2022-03-29;157,40;157,50;147,75;158,40;146,50;157,35;154,588;4698544;726404026,14;12342;
2022-03-28;145,60;145,70;147,00;147,10;143,65;145,70;145,193;2331135;338410353,08;7134;
2022-03-25;144,90;145,00;145,50;146,15;142,85;145,25;144,656;1941808;280847763,3;6492;
2022-03-24;145,20;145,35;146,00;147,65;143,25;145,40;145,183;2460837;357252577,03;8355;
2022-03-23;146,75;146,85;152,15;153,50;146,00;146,00;148,28;3518779;522225919,48;12115;
2022-03-22;154,80;154,85;156,00;156,00;153,60;154,65;154,748;2105537;325820500,94;6194;
2022-03-21;155,85;155,95;158,30;158,80;154,65;155,75;156,059;2341223;365560206,94;8302;
2022-03-18;158,35;158,45;159,75;160,90;157,55;158,70;158,706;3018404;479020552,74;6753;
2022-03-17;160,00;160,10;165,10;165,25;157,90;159,75;160,512;2294499;368261162,75;9328;
2022-03-16;166,00;166,30;164,30;166,25;161,40;165,65;164,076;1715334;281386556,26;5174;
2022-03-15;161,20;161,30;160,00;162,95;157,80;161,00;160,93;1640149;263873196,32;4582;
