Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;193,40;193,60;196,15;197,05;192,05;193,90;194,092;1102230;213927683,33;5088;
2022-04-08;197,10;197,30;196,45;197,55;194,35;197,05;196,196;1176420;230754185,05;5179;
2022-04-07;194,55;194,70;194,70;196,90;193,30;194,45;194,788;1073021;209010245,81;4249;
2022-04-06;193,50;193,65;203,80;206,10;191,65;194,35;195,456;1962462;383744474,58;4874;
2022-04-05;203,10;203,40;204,20;208,90;202,20;203,50;204,422;814796;166588334,3;4111;
2022-04-04;205,10;205,30;203,10;206,30;198,75;204,50;203,578;763692;155456837,72;3424;
2022-04-01;202,20;202,40;202,00;204,90;200,20;202,80;202,771;734580;148932507,75;3442;
2022-03-31;201,10;201,20;201,30;203,60;199,25;202,20;202,161;1416365;286302875,95;3575;
2022-03-30;199,40;199,65;205,60;205,60;196,95;199,40;199,217;1102173;219512513,14;5041;
2022-03-29;202,90;203,10;199,00;205,50;197,45;202,80;202,41;979739;198282396,28;4477;
2022-03-28;194,30;194,35;194,20;195,35;191,55;194,55;193,915;1189410;230616327,32;5655;
2022-03-25;192,95;193,20;196,05;196,60;191,95;193,25;193,734;1134729;219842780,94;7408;
2022-03-24;196,70;197,05;203,60;206,30;194,55;196,00;197,523;2045826;404161621,47;7520;
2022-03-23;208,70;208,90;210,60;211,80;206,80;208,70;208,791;718394;149992217,7;3885;
2022-03-22;210,60;210,70;212,20;212,40;209,10;210,30;210,335;775148;163040819,05;4661;
2022-03-21;211,80;212,00;208,10;212,50;207,40;211,50;210,586;886500;186487643,7;4467;
2022-03-18;208,40;208,60;212,80;213,90;208,00;208,50;209,022;2448998;511953555,7;6909;
2022-03-17;212,20;212,40;213,00;216,00;211,10;211,60;212,676;1634966;347762647,7;7038;
2022-03-16;210,30;210,60;213,50;214,50;206,60;210,80;210,337;1488390;313030555,45;8177;
2022-03-15;208,10;208,50;208,80;211,20;203,90;207,80;208,206;1255105;261353553,85;6939;
2022-03-14;211,40;211,50;209,00;215,30;205,90;210,70;210,478;1574841;331336371,2;8156;
2022-03-11;205,00;205,40;200,20;207,10;199,20;206,60;204,813;2552619;522698637,76;11741;
2022-03-10;198,45;198,80;196,50;200,10;192,60;199,90;198,039;2201860;435951471,01;12143;
2022-03-09;195,70;195,85;189,10;196,75;187,85;195,85;193,446;1999391;386497600,58;9580;
2022-03-08;185,75;186,05;179,25;189,50;178,55;186,00;185,924;2279979;423273247,31;8410;
2022-03-07;182,20;182,30;172,85;187,55;171,45;182,40;181,92;2118365;385410319,6;9864;
2022-03-04;175,75;175,90;177,75;178,90;174,35;175,95;176,264;1360023;239765517,93;7124;
2022-03-03;180,10;180,40;182,45;184,35;179,30;179,70;181,077;1142347;206872401,57;5655;
2022-03-02;184,30;184,60;171,50;184,55;168,55;183,20;179,095;1649553;295456720,74;7369;
2022-03-01;174,70;174,85;177,45;179,05;172,30;174,50;175,286;1717667;301032106,79;6306;
2022-02-28;178,05;178,40;180,50;182,45;173,40;179,05;178,76;2361914;422205663,53;7339;
2022-02-25;184,05;184,40;181,40;185,15;180,20;184,25;183,649;1105981;203091748,64;4953;
2022-02-24;180,05;181,20;178,90;183,10;176,65;180,50;180,103;1422653;256188272,3;5774;
2022-02-23;185,95;186,10;187,05;189,95;185,60;185,60;186,782;759700;141939760,74;4212;
2022-02-22;188,00;188,10;182,95;190,05;182,60;188,20;187,208;1002162;187610156,75;5419;
2022-02-21;188,20;188,30;191,80;192,35;185,70;188,10;188,806;747816;141232764,58;3407;
2022-02-18;189,90;190,10;191,70;191,70;188,25;190,10;190,089;607718;115517148,24;2736;
2022-02-17;191,25;191,35;197,35;198,70;191,20;192,10;193,978;722305;140263331,29;4122;
2022-02-16;197,25;197,45;194,70;197,35;194,00;197,25;196,635;701846;137992649,32;2634;
2022-02-15;195,10;195,20;190,20;195,90;189,40;194,45;194,161;880825;171014868,04;2994;
2022-02-14;189,60;189,70;188,60;190,90;185,55;189,90;189,174;786829;148834260,85;3413;
2022-02-11;192,35;192,55;195,90;197,45;191,85;192,65;193,613;991088;191904719,38;4227;
2022-02-10;197,65;197,95;202,30;202,90;197,05;197,85;198,44;764107;151638514,63;3705;
2022-02-09;202,10;202,30;193,05;202,60;192,20;201,60;200,603;1072219;215078191,01;4062;
2022-02-08;195,35;195,50;195,95;197,65;193,75;195,50;195,486;650480;127144670,74;2930;
2022-02-07;195,95;196,10;198,60;199,05;195,10;196,10;196,39;925126;181689872,24;4021;
