Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;163,65;164,00;166,00;166,15;162,65;164,05;163,863;465744;76315086,08;3381;
2022-04-08;165,50;165,60;164,00;165,85;163,85;165,80;165,023;532906;87939778,28;2885;
2022-04-07;163,85;164,15;166,00;167,95;163,70;164,10;165,098;728998;120441033,1;1794;
2022-04-06;165,25;165,50;172,45;173,70;163,05;166,20;168,335;1174664;197716754,06;2595;
2022-04-05;171,65;171,85;172,20;176,00;170,60;172,45;172,768;692792;119197422,45;2744;
2022-04-04;172,75;172,95;171,20;173,10;168,15;172,20;171,32;286001;49002350,7;2010;
2022-04-01;169,80;170,05;170,50;173,65;169,10;170,35;172,083;1625771;279759371,14;1653;
2022-03-31;170,65;170,90;172,65;172,65;168,25;170,55;170,485;448357;76431344,08;1878;
2022-03-30;168,65;168,95;172,00;172,20;167,10;167,85;168,089;591784;99469625,63;2872;
2022-03-29;172,55;172,70;170,00;173,35;166,35;172,00;171,396;2155417;369822186,84;2495;
2022-03-28;163,30;163,40;162,75;164,30;161,20;163,85;163,153;410376;66954622,28;3461;
2022-03-25;162,60;162,90;164,60;165,30;161,85;162,50;163,35;767759;125634408,06;3869;
2022-03-24;164,50;164,80;170,00;173,75;163,85;164,60;166,437;635402;105765012,11;4809;
2022-03-23;175,55;175,65;177,00;178,55;174,55;175,65;175,776;274860;48318755,72;2173;
2022-03-22;177,45;177,80;179,85;179,85;176,45;177,50;177,53;402600;71384963,29;2492;
2022-03-21;178,25;178,50;177,50;179,15;176,70;178,75;177,842;586048;104215315,76;3139;
2022-03-18;177,25;177,60;180,05;180,65;175,95;177,50;177,806;1034207;184033674,03;3367;
2022-03-17;178,95;179,05;181,00;183,70;178,55;179,20;180,593;381245;68842232,5;3312;
2022-03-16;178,40;178,75;180,15;181,00;174,90;178,65;177,846;413876;73603865,57;4087;
2022-03-15;176,00;176,35;176,80;178,05;172,30;176,40;176,111;380187;66944764,48;3212;
2022-03-14;178,05;178,60;175,00;181,20;173,35;177,40;177,114;408087;72279259,93;4773;
2022-03-11;172,70;172,80;170,15;174,50;168,95;173,10;172,133;1017219;175100033,17;5906;
2022-03-10;169,00;169,30;169,75;170,70;165,00;169,15;168,212;806516;135664154,47;7523;
2022-03-09;168,40;168,60;160,00;169,60;160,00;169,60;165,929;715625;118697741,66;3301;
2022-03-08;157,70;157,95;153,10;161,70;151,95;158,15;158,147;803993;127111244,57;4353;
2022-03-07;155,35;155,95;146,70;160,60;146,55;156,45;156,175;935103;146149644,85;4405;
2022-03-04;150,60;150,80;152,15;152,65;149,15;150,45;150,508;294190;44277504,07;1719;
2022-03-03;153,35;153,55;155,55;156,50;152,95;153,55;154,48;215593;33305969,55;1715;
2022-03-02;156,85;157,10;147,25;157,15;145,20;156,35;152,958;466472;71334057,53;2807;
2022-03-01;150,10;150,35;153,00;153,75;148,00;150,20;151,068;362874;54821154,29;1816;
2022-02-28;153,45;153,70;153,15;155,35;149,55;154,10;153,468;663658;101849576,08;3441;
2022-02-25;156,45;156,70;156,00;157,40;153,95;156,70;156,008;491183;76615860,45;3185;
2022-02-24;154,10;155,15;150,65;158,30;150,65;154,60;154,704;441916;68369736,86;2208;
2022-02-23;161,40;161,65;163,00;164,80;161,25;161,40;162,628;209907;34141866,82;2193;
2022-02-22;163,20;163,35;157,00;164,55;157,00;163,20;162,108;448418;72693665,92;3394;
2022-02-21;162,00;162,35;164,00;164,65;160,00;161,70;162,027;284426;46080317,75;1681;
2022-02-18;163,65;163,95;164,65;165,00;161,15;163,60;163,429;189569;30981646,12;1174;
2022-02-17;164,60;164,70;168,95;170,80;164,65;165,50;167,471;255096;42725129,74;2475;
2022-02-16;168,90;169,20;167,15;169,45;166,90;168,80;168,558;243711;41074920,52;1621;
2022-02-15;167,30;167,45;162,00;167,80;161,70;167,15;166,691;261542;43599174,6;1791;
2022-02-14;162,30;162,40;161,35;162,90;158,55;162,00;161,12;308519;49706142,5;1714;
2022-02-11;164,40;164,80;167,45;168,60;164,50;164,80;166,176;180842;30056451,28;1162;
