Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;54,20;54,35;56,35;56,35;54,05;54,55;54,676;159435;8717173,05;514;
2022-04-08;55,30;55,40;56,50;56,50;54,75;55,70;55,402;421100;23329855,05;1111;
2022-04-07;54,95;55,20;55,40;56,40;54,80;55,00;55,599;354706;19727690,64;957;
2022-04-06;55,30;55,50;60,30;60,30;53,70;55,35;55,068;1900833;104626966,5;1319;
2022-04-05;58,00;58,15;59,75;60,20;57,95;58,00;59,034;329052;19425822,73;1215;
2022-04-04;59,45;59,75;58,60;60,15;58,25;59,75;59,445;188092;11179944,23;657;
2022-04-01;58,50;58,70;57,95;58,90;57,20;58,70;58,256;215158;12533801,58;639;
2022-03-31;57,55;57,65;58,00;58,00;56,85;57,95;57,707;269902;15575144,81;764;
2022-03-30;56,95;57,05;59,50;59,50;56,35;57,20;57,106;171662;9803002,99;810;
2022-03-29;58,50;58,70;57,00;58,75;56,95;58,75;58,059;222270;12904661,4;691;
2022-03-28;56,55;56,70;55,70;56,80;55,50;56,75;56,332;229851;12947747,78;769;
2022-03-25;55,10;55,25;54,30;55,20;53,85;55,00;54,465;383617;20893786,9;727;
2022-03-24;53,80;53,95;56,85;56,95;53,75;54,05;54,906;160029;8786487,8;568;
2022-03-23;56,70;56,85;58,00;59,65;56,55;56,85;58,056;2041562;118524306,48;516;
2022-03-22;59,30;59,60;59,70;60,20;59,00;59,20;59,876;683782;40923374,95;534;
2022-03-21;59,75;59,90;59,75;60,40;58,85;59,75;59,513;111044;6608631,1;564;
2022-03-18;59,75;59,85;58,95;59,90;58,70;59,70;59,136;351515;20788043,08;623;
2022-03-17;59,15;59,30;59,00;59,35;57,90;58,95;58,744;168048;9870665,55;656;
2022-03-16;58,65;58,80;57,30;58,90;57,00;58,65;58,106;153079;8894451,9;566;
2022-03-15;56,45;56,55;57,05;57,35;55,50;56,40;56,649;692718;39241988,1;927;
2022-03-14;56,95;57,05;55,15;58,15;54,80;57,05;56,342;618142;34828284,61;1407;
