Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;359,50;359,90;376,00;377,60;359,50;359,70;365,327;750640;274600864,5;5009;
2022-04-08;375,40;376,40;378,50;380,60;370,80;377,60;377,104;553730;208806106,8;3481;
2022-04-07;371,40;371,80;370,80;386,10;364,70;370,00;374,846;643279;241198919,05;4951;
2022-04-06;364,20;364,90;380,70;385,40;360,50;367,90;369,671;1138589;421014550,85;6893;
2022-04-05;383,20;384,70;382,90;398,10;378,50;383,60;388,68;930218;361440657,25;7637;
2022-04-04;382,80;383,50;373,80;385,30;368,00;382,50;380,536;526992;200514168,55;4691;
2022-04-01;372,60;374,00;375,00;376,50;366,40;371,50;372,044;494212;183835005,6;4070;
2022-03-31;370,50;370,70;366,50;379,30;365,20;372,10;373,382;1109011;414085684,3;6752;
2022-03-30;365,20;365,60;365,00;369,10;355,60;365,50;363,067;740205;268707350,7;6071;
2022-03-29;362,50;363,00;348,90;362,90;340,90;362,40;356,094;843156;299930113,25;6610;
2022-03-28;340,80;341,10;337,80;345,50;331,60;342,70;339,64;600365;203877454,95;4256;
2022-03-25;339,10;339,60;340,90;354,20;337,60;337,60;343,083;656242;225359123,45;4947;
2022-03-24;339,40;340,00;338,40;346,70;334,10;340,50;339,387;695799;236092002,35;4907;
2022-03-23;339,20;340,50;349,00;353,30;339,00;340,50;343,034;690083;236757980,2;5192;
2022-03-22;347,90;348,20;352,00;352,80;341,50;347,50;346,961;989263;343208085,35;7173;
2022-03-21;355,50;355,90;355,00;361,00;348,90;354,40;355,259;1061578;377250812,3;7368;
2022-03-18;354,00;354,30;345,00;355,70;336,10;355,00;350,338;1370037;479761457,75;6812;
2022-03-17;341,40;341,60;335,00;359,00;330,30;341,00;345,476;2159762;746386861,4;16822;
2022-03-16;330,60;331,00;320,10;335,30;311,70;327,90;325,005;2165629;703843053,7;11987;
2022-03-15;294,20;294,50;301,90;301,90;287,60;293,10;294,157;979041;288031138,75;5162;
2022-03-14;302,90;303,40;303,40;312,20;298,60;302,80;304,519;1193902;363885021,15;7779;
2022-03-11;299,50;299,70;283,70;302,20;282,00;300,20;294,518;1652631;487028825,7;8061;
