Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;92,70;93,10;97,00;97,00;92,50;92,50;93,702;14445;1353521,9;181;
2022-04-08;94,80;94,90;92,80;97,00;92,70;94,50;95,104;33781;3212699;266;
2022-04-07;92,70;93,00;92,80;94,30;92,60;92,80;93,33;31234;2915066,1;198;
2022-04-06;92,30;92,70;93,00;94,50;91,80;92,80;92,809;36259;3365162;296;
2022-04-05;92,70;93,40;92,10;94,20;92,10;92,30;93,235;38878;3624809,8;255;
2022-04-04;92,80;93,20;92,20;94,00;92,00;92,00;92,775;39004;3618577,55;261;
2022-04-01;92,50;92,90;92,00;92,90;90,90;92,20;91,948;32804;3016253,9;281;
2022-03-31;90,50;91,30;93,10;93,70;90,60;90,60;91,162;31188;2843013,45;234;
2022-03-30;93,10;93,30;94,20;94,90;91,80;93,00;93,029;45917;4271629,1;420;
2022-03-29;93,80;94,10;94,50;97,00;93,20;94,20;95,458;62520;5968011,6;588;
2022-03-28;94,50;94,80;91,20;94,80;90,80;94,00;93,193;58626;5463518,8;455;
2022-03-25;90,90;91,30;91,60;92,10;90,40;90,50;91,30;27310;2493388,1;159;
2022-03-24;91,00;91,30;89,90;91,60;89,90;91,50;90,864;19327;1756134;148;
2022-03-23;89,60;90,20;92,10;93,30;89,70;90,20;91,303;24492;2236018,1;202;
2022-03-22;91,80;92,00;91,90;92,30;91,30;92,10;91,897;30977;2846612,5;239;
2022-03-21;91,90;92,10;90,00;93,20;89,00;91,80;91,427;61386;5610563,8;380;
2022-03-18;88,90;89,30;86,70;89,50;86,50;89,50;88,745;71205;6319085,9;234;
2022-03-17;86,30;86,80;86,10;86,80;85,40;86,70;86,108;33518;2886183,4;199;
2022-03-16;85,40;86,00;85,50;86,60;85,00;85,80;85,672;81898;7016211,5;319;
2022-03-15;84,80;85,10;87,20;87,20;84,00;84,60;84,716;150067;12713109,9;424;
