Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;89,72;89,77;91,91;92,01;89,65;89,81;90,44;7172930;648773523,1;9774;
2022-04-08;92,20;92,24;91,38;94,77;90,36;92,16;92,716;11394149;1056770059,74;15844;
2022-04-07;90,45;90,48;89,85;91,07;89,80;90,45;90,565;7209847;652969218,96;9566;
2022-04-06;89,47;89,51;90,50;91,75;88,93;89,85;89,993;11825180;1064230360,35;13971;
2022-04-05;90,60;90,61;89,73;90,89;89,72;90,89;90,557;8542533;773562260,82;13263;
2022-04-04;89,75;89,76;89,91;90,97;89,47;89,73;90,003;7090272;637655663,22;10984;
2022-04-01;89,02;89,06;87,34;89,07;86,81;89,04;88,465;10378300;915439780,45;12275;
2022-03-31;86,14;86,20;87,71;87,77;86,02;86,30;86,384;11106790;959480356,64;10218;
2022-03-30;87,47;87,49;85,87;88,17;85,00;87,54;87,113;13193128;1148400538;14942;
2022-03-29;86,01;86,05;88,93;89,30;85,51;85,87;87,223;10327915;900940098,14;16965;
2022-03-28;87,12;87,15;87,00;87,24;84,81;87,24;86,43;9841764;850543335,39;13348;
2022-03-25;86,68;86,75;86,15;87,10;85,72;86,49;86,518;6669726;577056241,22;9956;
2022-03-24;86,60;86,66;86,12;86,98;85,49;86,44;86,427;7266804;628056306,35;8032;
2022-03-23;85,17;85,22;86,45;87,40;84,96;85,38;85,792;7699685;660767806,8;10914;
2022-03-22;86,20;86,24;86,70;86,90;85,84;86,06;86,297;5034379;434471620,52;8025;
2022-03-21;86,38;86,42;85,69;86,98;85,31;86,32;86,315;7042281;609128798,19;9936;
2022-03-18;84,76;84,78;84,30;85,37;83,68;85,37;84,889;11914457;1011256882,46;11526;
2022-03-17;84,48;84,50;84,40;84,80;83,27;84,37;84,192;9044705;761478809,26;12101;
2022-03-16;83,69;83,73;84,56;84,63;82,10;83,80;83,528;13790074;1151704266,59;15082;
2022-03-15;82,63;82,68;83,29;84,15;81,76;83,14;82,948;7865767;652428792,07;10878;
2022-03-14;83,69;83,74;83,43;84,42;82,56;83,72;83,551;9221886;770473619;14221;
2022-03-11;82,59;82,63;81,53;84,85;81,35;82,20;82,658;14518359;1200140112,23;19291;
2022-03-10;80,93;80,95;81,58;83,16;80,59;81,26;81,452;11858183;965869506,28;16938;
2022-03-09;81,30;81,36;81,33;84,17;80,69;81,48;82,236;14831147;1219669490,75;21887;
2022-03-08;78,61;78,65;77,00;80,22;76,54;78,79;78,908;10033756;791755775,94;15915;
2022-03-07;78,04;78,09;78,25;79,73;76,00;77,84;77,784;16492259;1282813445,55;25423;
2022-03-04;80,72;80,75;78,75;81,70;78,65;80,50;80,223;16260221;1304556349,77;22862;
2022-03-03;78,44;78,49;78,00;80,66;77,20;78,58;78,796;19985767;1574648153,41;29989;
2022-03-02;77,09;77,18;76,99;78,25;72,56;76,92;75,331;46644825;3513065766,84;73595;
2022-03-01;85,66;85,69;84,00;87,00;83,70;85,19;84,993;21960568;1867717616,33;32453;
2022-02-28;87,90;87,94;90,37;90,59;86,87;87,90;88,181;22213705;1958645763,34;30643;
2022-02-25;95,27;95,32;93,40;95,39;91,52;95,23;94,224;9926413;935134734,22;16557;
2022-02-24;92,60;92,65;89,69;92,95;88,11;92,54;91,125;11658620;1062201163,5;17731;
2022-02-23;93,06;93,09;94,47;95,59;92,92;93,00;93,963;7155570;672524514,75;11310;
2022-02-22;93,85;93,89;91,56;94,86;91,50;94,00;93,725;9433816;884666038,63;13567;
2022-02-21;93,96;93,99;94,37;95,79;93,43;93,95;94,358;8396124;792272518,9;13460;
2022-02-18;94,42;94,45;96,36;97,79;93,97;94,13;95,195;16118222;1534186043,69;22995;
2022-02-17;98,17;98,20;99,11;100,28;95,84;98,21;97,80;31566847;3086915316,48;49663;
2022-02-16;99,11;99,17;114,18;114,18;98,44;99,11;102,453;50463610;5170480337,93;88930;
2022-02-15;115,86;115,92;114,56;116,22;114,16;115,80;115,666;6671339;771645982,64;9450;
2022-02-14;114,76;114,80;114,90;115,46;112,86;115,14;114,547;7319165;838348324,77;11975;
2022-02-11;116,90;116,96;116,20;117,32;116,02;116,78;116,783;4138021;483247578,68;6706;
2022-02-10;116,44;116,50;116,02;117,18;115,80;116,60;116,548;4980594;580377891,75;8077;
2022-02-09;116,18;116,22;115,76;116,34;115,26;116,02;115,928;4804445;556963782,98;8397;
2022-02-08;115,46;115,52;115,46;116,46;114,40;115,46;115,352;8621036;994404732,52;10733;
2022-02-07;115,42;115,48;114,30;115,52;113,10;115,46;114,854;5644101;648228361,77;9071;
2022-02-04;113,48;113,52;114,56;115,08;113,06;113,76;113,925;6373156;726092972,78;11521;
2022-02-03;114,48;114,56;114,60;115,90;114,12;114,82;114,98;6796529;781503824,81;11045;
2022-02-02;114,06;114,14;115,38;115,96;113,46;114,08;114,381;6964067;796560493,85;10958;
2022-02-01;115,04;115,12;115,00;115,38;113,24;114,88;114,503;7258762;831044471,45;10508;
2022-01-31;114,92;114,98;114,38;115,38;113,98;114,80;114,783;7846959;900687255,21;9195;
2022-01-28;113,02;113,06;114,50;114,86;111,96;113,02;113,112;9172867;1037487751,5;14582;
2022-01-27;113,86;113,92;109,76;114,24;109,32;113,98;112,744;9542434;1075873024,88;15401;
