Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;226,50;227,00;232,50;232,50;225,50;227,00;227,755;9786;2228806;175;
2022-04-08;230,00;230,50;229,00;231,00;227,00;231,00;228,45;25977;5934433,5;218;
2022-04-07;226,50;227,50;226,50;229,00;224,50;227,50;226,579;9607;2176811,5;213;
2022-04-06;225,00;225,50;222,00;226,50;220,50;226,50;223,138;10314;2301445,5;179;
2022-04-05;222,00;223,00;225,00;227,00;222,00;222,00;224,248;7652;1715949;172;
2022-04-04;225,00;225,50;226,50;227,50;223,50;225,00;225,011;10476;2357216,5;238;
2022-04-01;226,50;228,00;227,50;228,50;223,00;226,50;225,707;4369;986218;112;
2022-03-31;222,00;222,50;224,50;225,00;220,50;223,00;222,236;10051;2233676;204;
2022-03-30;222,00;223,00;228,00;229,50;221,50;222,50;223,756;19852;4441817,5;270;
2022-03-29;227,00;228,00;218,00;231,00;218,00;227,50;229,166;161870;37095148,5;447;
2022-03-28;216,50;217,50;225,00;225,00;215,50;217,00;216,516;152396;32997424,25;453;
2022-03-25;215,50;216,50;217,00;217,50;214,00;216,50;215,715;12694;2738279,5;228;
2022-03-24;222,00;223,50;226,50;226,50;221,50;221,50;222,916;11333;2526310;170;
2022-03-23;226,50;227,00;231,00;232,00;226,50;226,50;229,352;9732;2232053;118;
2022-03-22;231,50;232,00;230,50;232,50;229,50;231,00;231,271;11770;2722058;161;
2022-03-21;231,00;232,00;235,00;235,00;230,00;230,00;232,294;50850;11812160;874;
2022-03-18;233,00;234,00;231,00;235,00;229,50;235,00;231,94;8956;2077250,5;185;
2022-03-17;231,00;232,00;239,00;239,00;228,00;231,00;231,451;11316;2618700;262;
2022-03-16;236,50;238,00;233,50;239,50;233,50;239,50;235,49;18685;4400129,5;218;
2022-03-15;231,50;232,00;237,00;237,00;231,50;231,50;234,329;7674;1798238;143;
2022-03-14;238,00;239,00;233,00;240,00;231,50;240,00;236,61;11817;2796025;169;
2022-03-11;230,50;232,00;229,00;233,00;226,50;230,50;228,713;7691;1759033,5;125;
2022-03-10;229,50;230,50;238,00;238,00;224,00;229,00;227,745;13815;3146297,5;160;
2022-03-09;228,50;229,50;227,50;232,00;226,50;228,50;229,24;9787;2243576;126;
2022-03-08;225,50;226,50;229,50;230,00;221,50;224,00;225,791;11649;2630233,5;191;
2022-03-07;225,00;226,00;218,50;228,00;217,50;224,50;221,837;21985;4878139;314;
2022-03-04;228,00;229,50;234,50;235,50;226,00;226,50;229,803;15874;3647759;234;
2022-03-03;236,00;237,00;240,50;241,00;235,00;236,00;237,442;10127;2404579,5;144;
2022-03-02;239,00;239,50;240,00;242,00;233,00;238,50;237,118;17120;4059451;241;
2022-03-01;240,50;241,00;243,50;247,00;240,00;240,00;242,835;10529;2556805,5;164;
2022-02-28;245,00;246,00;254,50;254,50;243,00;243,00;247,042;15812;3906225,5;285;
2022-02-25;252,50;253,50;241,50;256,00;241,50;256,00;249,445;7072;1764225,25;165;
2022-02-24;241,50;242,50;248,00;248,00;240,50;240,50;244,981;25256;6187239;306;
2022-02-23;252,00;253,00;253,00;254,50;252,00;253,50;253,454;21431;5431763;228;
2022-02-22;252,00;253,00;252,50;254,50;251,50;253,00;252,645;12736;3217681,5;240;
2022-02-21;255,50;256,50;263,50;264,00;255,00;255,00;258,231;16447;4247126,5;230;
2022-02-18;263,00;264,00;263,50;266,50;263,00;263,00;265,026;8274;2192680,5;242;
2022-02-17;263,00;264,00;263,50;265,50;263,50;263,50;264,371;9795;2589518;172;
2022-02-16;264,00;265,00;265,00;266,00;262,50;263,50;264,22;5557;1468268;91;
2022-02-15;265,50;266,50;264,50;266,50;264,00;265,00;265,044;6812;1805567;110;
2022-02-14;263,50;264,00;266,50;267,00;261,50;263,50;263,56;15261;4022183,5;225;
2022-02-11;269,00;269,50;264,50;269,50;264,50;268,50;266,435;9376;2497998,5;184;
2022-02-10;264,00;265,00;264,00;266,00;261,00;263,00;263,851;5121;1351173;113;
2022-02-09;262,50;263,00;262,00;266,00;262,00;262,50;264,227;23902;6315550,5;199;
2022-02-08;263,00;263,50;262,00;265,50;261,50;261,50;263,087;5406;1422247,5;118;
2022-02-07;260,50;261,00;262,00;263,00;259,00;260,00;260,333;13484;3510326,5;219;
2022-02-04;260,00;260,50;261,50;265,00;259,50;259,50;261,911;13423;3515631,5;233;
2022-02-03;260,50;261,50;265,00;265,00;259,50;259,50;262,083;13530;3545955,5;191;
2022-02-02;264,00;265,00;266,00;267,50;261,50;263,50;263,823;11635;3069581,5;246;
2022-02-01;265,50;266,00;262,00;266,50;262,00;265,50;264,377;15358;4060298;194;
2022-01-31;261,00;261,50;264,00;264,50;260,00;260,00;262,085;8986;2355099,5;197;
2022-01-28;263,50;264,00;261,50;264,00;260,00;263,00;261,622;16157;4227020,5;255;
2022-01-27;261,00;262,00;258,50;263,00;255,50;261,00;259,749;20965;5445702;351;
2022-01-26;258,00;259,00;266,50;266,50;253,50;257,50;261,066;65352;17061323;916;
2022-01-25;273,50;274,50;268,00;274,50;268,00;273,00;271,061;20279;5496835,5;281;
2022-01-24;268,00;269,00;269,50;272,00;265,50;268,00;268,018;15372;4119968,5;292;
2022-01-21;270,00;270,50;272,50;272,50;269,50;269,50;270,991;6740;1826478,5;141;
2022-01-20;273,50;274,00;274,00;275,00;273,50;275,00;274,148;5484;1503429,5;116;
2022-01-19;271,50;272,50;271,00;274,00;269,50;272,50;271,31;14552;3948217;137;
2022-01-18;271,00;271,50;278,00;278,00;270,50;271,00;272,781;34411;9386650;310;
2022-01-17;278,00;278,50;277,50;279,50;277,00;278,50;277,973;13502;3753187,5;179;
2022-01-14;277,00;278,00;276,00;278,00;273,00;277,50;275,334;8094;2228545;159;
2022-01-13;276,50;277,00;277,50;279,00;276,00;276,50;277,122;18204;5044706,5;215;
2022-01-12;278,00;279,00;283,50;284,00;278,00;278,50;280,101;16005;4482862,5;316;
2022-01-11;283,00;284,00;286,50;288,50;282,50;283,50;285,444;10683;3049099,5;195;
2022-01-10;287,50;288,00;293,00;294,00;287,50;288,00;290,747;11984;3484305,5;203;
2022-01-07;292,00;292,50;292,00;294,00;289,50;291,50;291,942;8869;2589449;182;
2022-01-05;293,50;294,50;295,50;295,50;292,50;293,50;293,434;8606;2525341,5;92;
2022-01-04;293,50;294,50;295,50;296,00;293,00;293,50;293,858;11522;3385823,5;149;
2022-01-03;294,00;295,00;295,50;296,50;292,00;294,00;294,214;13967;4108930;222;
2021-12-30;295,50;296,00;295,00;296,50;293,50;296,00;295,018;62940;18568517;302;
2021-12-29;294,50;295,50;294,50;296,50;293,00;295,00;294,876;25244;7443942,5;335;
2021-12-28;293,00;293,50;292,50;293,50;290,50;293,50;292,114;101023;29510185,75;305;
2021-12-27;292,00;292,50;285,50;292,50;285,00;292,50;290,695;118615;34480325,25;338;
2021-12-23;285,00;286,00;280,50;286,00;280,50;285,50;282,703;42455;12001412,25;392;
2021-12-22;279,00;280,00;281,00;281,50;276,50;280,00;278,507;12622;3515314,5;178;
2021-12-21;280,00;281,00;285,50;285,50;280,00;280,00;282,217;13171;3717082,5;233;
2021-12-20;283,00;284,00;284,50;285,00;282,00;282,50;283,291;14721;4170326,5;143;
2021-12-17;287,00;288,50;284,00;288,50;281,50;287,00;286,181;43393;12418228,5;280;
2021-12-16;285,00;286,00;283,00;286,00;281,00;285,00;282,895;59074;16711729;286;
2021-12-15;282,00;282,50;288,50;288,50;279,00;281,50;281,002;28599;8036343;303;
2021-12-14;288,00;288,50;287,50;290,00;286,50;288,50;287,677;40888;11762527;272;
2021-12-13;287,50;288,00;288,00;290,00;286,00;287,00;287,916;19166;5518149,5;189;
2021-12-10;287,50;288,00;284,50;289,00;284,50;287,50;287,246;41640;11960915,5;254;
2021-12-09;284,00;285,50;288,50;289,50;284,50;284,50;286,049;14470;4139130,5;164;
2021-12-08;286,50;287,50;287,50;292,00;285,50;286,50;288,952;28525;8242365,5;282;
2021-12-07;289,50;290,00;289,00;291,50;289,00;289,00;290,17;5304;1539059;111;
2021-12-06;288,00;288,50;286,00;289,00;285,00;289,00;286,029;8066;2307107;125;
2021-12-03;284,00;284,50;288,50;289,00;283,50;283,50;287,146;6233;1789781;108;
2021-12-02;286,50;287,00;284,00;287,50;283,00;287,00;284,71;8528;2428005;189;
2021-12-01;284,00;284,50;287,00;287,00;283,50;284,00;284,617;5611;1596983,5;180;
2021-11-30;286,50;287,50;290,00;290,50;286,00;287,50;288,304;9147;2637112;147;
2021-11-29;291,50;292,00;293,00;294,50;290,50;291,50;292,693;28700;8400230,5;318;
2021-11-26;292,50;293,00;297,50;297,50;289,50;293,00;292,632;15154;4434542,5;256;
2021-11-25;299,00;299,50;299,00;301,00;298,50;299,50;299,715;89251;26749857;356;
2021-11-24;298,50;299,00;302,00;303,00;298,50;299,00;300,833;7904;2377784;119;
2021-11-23;302,50;303,00;305,50;306,50;302,00;302,00;304,149;18013;5478638,5;176;
2021-11-22;305,00;305,50;304,00;309,00;304,00;305,00;306,384;37784;11576416,5;379;
2021-11-19;299,50;301,00;299,50;301,00;297,50;299,50;299,761;53835;16137656;250;
2021-11-18;298,00;298,50;301,50;303,00;298,00;299,50;300,617;5781;1737866,5;89;
2021-11-17;300,50;301,50;298,50;301,50;296,00;301,50;299,353;29583;8855745,5;164;
2021-11-16;298,50;299,00;297,00;299,50;295,00;299,50;297,669;18343;5460147;164;
2021-11-15;296,50;297,00;295,50;297,00;293,50;297,00;295,00;8294;2446732;115;
2021-11-12;294,50;295,00;295,00;296,50;293,00;296,00;294,619;11197;3298847,5;152;
2021-11-11;294,00;295,00;291,00;297,50;291,00;294,00;293,306;67991;19938276,75;489;
2021-11-10;287,50;288,00;284,00;288,50;284,00;288,50;286,358;22670;6491745;203;
2021-11-09;283,50;284,00;281,50;284,50;281,00;284,00;282,355;43890;12392557;207;
2021-11-08;280,50;281,50;284,50;284,50;280,00;281,50;282,08;5015;1414632;97;
2021-11-05;283,00;284,00;286,00;286,00;283,00;283,50;283,814;2319;658165;62;
2021-11-04;284,50;285,00;285,50;286,00;283,50;285,00;284,584;3413;971286,5;91;
2021-11-03;283,00;284,00;285,50;285,50;281,00;285,00;283,515;5592;1585413;73;
2021-11-02;284,50;285,00;281,50;286,00;279,50;286,00;282,846;7572;2141712,5;115;
2021-11-01;281,00;281,50;278,50;283,00;277,50;281,00;281,401;11295;3178426;120;
2021-10-29;277,00;277,50;275,00;278,00;272,00;278,00;274,937;4453;1224294,5;120;
