Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;226,30;226,50;230,00;230,10;225,20;227,30;227,101;1477477;335543149,95;3741;
2022-04-08;230,10;230,20;230,00;230,70;226,40;230,70;229,216;1845523;422950808,15;5647;
2022-04-07;226,80;227,10;225,90;228,90;224,10;228,10;227,508;1671878;380313942,75;4053;
2022-04-06;225,00;225,20;222,60;225,50;219,90;225,50;224,267;1535572;344258859,9;3986;
2022-04-05;222,10;222,30;224,50;226,00;221,60;222,70;223,381;1534595;342751327,33;4789;
2022-04-04;224,70;224,90;227,10;227,90;222,80;224,10;224,485;1277903;286868576,5;4852;
2022-04-01;227,30;227,50;223,00;228,40;223,00;227,00;226,604;1388467;314628341,95;5042;
2022-03-31;222,20;222,40;224,00;224,90;220,70;222,20;222,094;2041185;453394895,65;4441;
2022-03-30;222,70;222,90;228,30;229,30;221,70;223,10;223,29;1794220;400640667,05;6057;
2022-03-29;227,70;227,90;220,00;231,00;218,30;228,30;227,301;2480301;563543513,55;6852;
2022-03-28;216,70;216,80;214,20;220,30;214,20;217,70;217,561;2133427;464193049,1;7206;
2022-03-25;213,60;213,80;213,20;215,20;211,90;213,10;213,282;1596138;340422812,85;6285;
2022-03-24;220,80;221,00;221,50;222,30;217,60;220,50;219,917;2180383;479458639,05;6742;
2022-03-23;222,70;222,90;228,10;229,60;221,40;221,40;223,741;1992983;445973415,05;6323;
2022-03-22;227,30;227,60;229,10;229,50;227,20;228,10;228,103;2459599;561042843,35;8697;
2022-03-21;229,10;229,30;232,10;232,70;227,70;228,60;229,629;1850302;429811278,75;6549;
2022-03-18;231,60;231,80;229,60;232,60;228,10;232,10;231,478;2210284;511566711,95;5751;
2022-03-17;230,80;230,90;235,90;236,70;227,00;230,60;230,67;2758283;636281713;9907;
2022-03-16;235,60;235,80;232,50;235,90;231,70;235,60;234,631;2186845;512948309,55;5951;
2022-03-15;230,70;230,90;235,50;235,90;230,00;230,00;231,416;1837331;425274913,8;5388;
2022-03-14;237,30;237,50;231,70;237,90;229,90;237,10;235,393;1776984;418238755,5;6966;
2022-03-11;230,00;230,20;230,00;231,70;225,60;229,80;229,141;2013671;461424140,3;7088;
2022-03-10;229,70;229,90;229,60;230,20;223,00;229,60;227,903;2357608;537239856,25;10029;
2022-03-09;228,10;228,20;227,80;231,60;225,40;228,40;228,312;2599555;593502189,8;7842;
2022-03-08;224,90;225,10;221,50;229,40;221,40;224,70;225,298;2008859;452608617,1;7397;
