Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;986,70;987,30;996,50;1005,60;979,80;986,40;989,61;821522;812987209,15;15130;
2022-04-08;1011,60;1012,40;1064,00;1065,00;999,20;1014,20;1021,349;1069970;1092890200,4;18735;
2022-04-07;1053,40;1053,80;1072,00;1082,20;1039,80;1053,20;1061,231;876103;929800390,5;14028;
2022-04-06;1058,00;1058,40;1120,00;1129,00;1055,60;1063,00;1082,864;1021395;1106052394,5;16836;
2022-04-05;1130,80;1131,60;1073,00;1134,80;1071,20;1130,20;1116,371;1271960;1420033795,6;22267;
2022-04-04;1070,00;1070,40;989,90;1075,20;982,70;1073,00;1043,516;973040;1015210079,65;14690;
2022-04-01;983,00;983,70;972,60;996,00;962,50;988,00;981,94;626880;615548941,2;11063;
2022-03-31;972,10;972,80;1007,80;1025,60;967,90;968,10;987,011;946145;933879541,85;14011;
2022-03-30;1006,00;1006,60;1035,00;1036,80;1000,20;1006,40;1010,61;614665;621198740,5;9890;
2022-03-29;1024,60;1025,00;1016,00;1033,80;999,00;1027,80;1018,502;1118834;1139236900,6;17642;
2022-03-28;1002,20;1002,60;1044,00;1046,60;999,10;1000,00;1014,859;871700;884549570,7;15360;
2022-03-25;1047,40;1048,20;1048,20;1086,00;1040,80;1043,80;1060,871;643254;682463612,2;10055;
2022-03-24;1046,00;1046,60;1054,80;1069,60;1032,00;1045,00;1050,119;577194;606300006,1;7882;
2022-03-23;1049,40;1050,20;1072,60;1077,40;1041,40;1049,60;1054,442;399843;421575393,3;7430;
2022-03-22;1063,40;1064,00;1058,00;1069,80;1040,60;1064,60;1060,167;479030;507856433,8;7919;
2022-03-21;1057,60;1058,00;1087,20;1090,20;1038,00;1057,80;1060,22;738327;782385085,1;13519;
2022-03-18;1073,00;1074,00;1036,00;1078,00;1016,00;1073,40;1053,05;1072141;1129057848;16061;
2022-03-17;1033,20;1033,80;1031,60;1071,60;1024,60;1035,20;1046,557;1118115;1170370215,1;20362;
2022-03-16;1036,80;1037,40;989,30;1040,40;985,20;1032,40;1017,352;1162467;1182593755,6;20288;
2022-03-15;961,70;962,40;940,00;971,90;916,80;965,60;944,756;1043925;985624650,5;17096;
2022-03-14;956,70;956,90;1011,00;1022,80;950,40;950,40;973,846;961406;936225802,7;16360;
