Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-04-11;133,75;133,95;134,80;135,90;133,60;134,20;134,69;353462;47605019,1;1147;
2022-04-08;134,60;134,70;135,00;136,30;134,25;134,80;135,095;277036;37434987,03;1458;
2022-04-07;134,05;134,30;134,30;136,60;133,50;134,30;134,655;284209;38275125,97;1075;
2022-04-06;133,65;133,75;138,00;139,20;133,40;134,50;134,641;783964;105552704,88;1739;
2022-04-05;137,90;138,05;137,85;140,85;137,65;137,95;138,411;445641;61682164,6;1624;
2022-04-04;139,30;139,40;137,30;140,35;136,25;139,10;139,075;357748;49753571,72;1403;
2022-04-01;136,75;137,00;138,95;139,55;133,80;137,05;136,503;520750;71066110,79;1768;
2022-03-31;139,50;139,60;137,50;141,75;136,75;139,50;139,601;552116;77072952,62;1830;
2022-03-30;137,00;137,10;138,35;138,35;135,05;137,05;136,677;422916;57803261,76;1891;
2022-03-29;138,60;138,90;135,60;139,30;135,40;139,30;137,777;559817;77135387,06;1576;
2022-03-28;134,05;134,25;133,10;136,25;132,90;134,45;134,496;452349;60844343,66;1998;
2022-03-25;133,95;134,15;132,65;136,20;132,20;134,25;134,038;662814;88821655,05;2488;
2022-03-24;132,70;132,85;147,10;147,10;132,35;132,65;134,849;1092111;147310825,41;3502;
2022-03-23;140,70;140,90;149,00;149,65;140,55;141,00;142,814;372180;53150466,66;1788;
2022-03-22;148,55;148,80;149,00;150,90;147,75;148,95;149,14;463962;69204377,43;1781;
2022-03-21;149,05;149,20;149,35;150,75;147,80;148,90;148,934;351493;52316359,8;1403;
2022-03-18;148,95;149,10;147,45;149,35;146,35;149,35;148,732;801620;119200353,59;3047;
2022-03-17;148,35;148,50;147,20;149,90;147,05;148,55;148,504;324038;48121927,49;1847;
2022-03-16;146,65;146,80;143,55;148,80;143,35;146,45;146,539;529476;77606633,02;1911;
2022-03-15;142,65;142,80;144,80;145,95;142,40;142,50;143,988;450627;64896600,06;1956;
2022-03-14;146,35;146,55;144,45;148,45;144,10;146,20;146,324;344116;50355057,47;1775;
2022-03-11;144,20;144,30;142,00;144,90;139,95;144,05;143,464;476540;68369175,94;2597;
2022-03-10;139,45;139,65;139,85;142,10;138,05;139,65;139,969;427125;59784425,35;2759;
2022-03-09;139,40;139,55;137,00;140,20;134,70;139,40;138,839;524407;72797437,56;2452;
2022-03-08;132,95;133,10;131,30;137,30;131,00;133,00;133,567;481003;64246706,09;2651;
2022-03-07;133,75;133,85;132,65;136,80;129,40;133,65;133,091;911856;121337718,89;3841;
2022-03-04;136,75;136,95;138,95;141,55;136,30;136,35;137,727;356527;49105195,87;2130;
2022-03-03;140,25;140,45;142,05;143,85;139,80;140,45;141,46;533621;75640982,29;2093;
2022-03-02;142,55;142,65;139,50;143,35;138,80;142,35;141,861;565274;80172859,6;2506;
2022-03-01;140,70;140,85;140,55;143,15;138,10;140,75;140,523;607028;85296932,75;2889;
2022-02-28;141,90;142,10;135,90;142,20;135,75;142,00;140,835;754401;106224814,3;2155;
2022-02-25;139,10;139,20;136,80;141,50;135,25;138,90;138,701;569793;79038297,8;2802;
2022-02-24;134,65;135,00;133,10;138,00;129,10;134,50;133,474;992885;132492527,92;4265;
2022-02-23;138,65;138,75;140,00;142,40;137,90;138,35;139,024;798362;111037837,51;3043;
2022-02-22;139,85;140,00;133,90;141,05;133,60;140,00;139,225;863307;120241984,69;4034;
2022-02-21;137,05;137,15;145,00;145,70;137,10;137,25;139,518;710747;99203919,41;2937;
2022-02-18;145,30;145,40;146,85;149,60;144,95;145,10;146,563;478068;70079312,9;2137;
2022-02-17;147,90;148,10;148,75;149,65;147,00;147,55;148,181;614740;91097849,63;2867;
2022-02-16;148,90;149,00;146,50;148,95;145,00;148,90;147,919;593948;87848911,11;2725;
2022-02-15;146,15;146,20;141,90;147,20;141,25;145,85;145,153;724837;105207717,06;3212;
2022-02-14;142,35;142,50;141,15;142,70;138,30;141,90;141,149;715847;101033360,48;2843;
2022-02-11;143,15;143,30;142,65;144,20;141,50;143,25;143,001;671509;96022408,93;3359;
2022-02-10;144,00;144,15;143,45;144,40;139,35;144,40;142,483;691451;98519246,95;2911;
2022-02-09;142,80;142,90;141,20;143,95;140,40;143,00;142,756;889125;126912098,12;3069;
2022-02-08;139,05;139,25;145,00;147,70;138,65;138,65;142,137;1104970;156738266,33;4788;
2022-02-07;144,80;145,05;137,00;147,35;136,20;144,50;142,031;1323582;187911011,4;5021;
2022-02-04;137,15;137,35;139,55;139,95;136,70;137,00;138,702;1022662;141846331,08;2123;
2022-02-03;139,00;139,05;139,25;140,95;137,75;139,15;139,02;558501;77645266,17;2548;
2022-02-02;140,00;140,20;141,20;141,60;140,05;140,10;140,738;488456;68744347,98;1320;
2022-02-01;139,85;140,00;139,15;140,25;137,60;140,00;139,377;825879;115108229,69;1618;
2022-01-31;138,40;138,70;138,25;139,00;135,35;138,15;137,495;706351;97117489,03;3230;
2022-01-28;136,25;136,45;138,00;138,00;132,95;136,60;135,641;507107;68772056,13;1987;
2022-01-27;137,45;137,75;136,30;139,30;135,50;137,70;137,995;549209;75787692,15;1345;
2022-01-26;138,45;138,60;134,25;138,80;134,05;138,45;137,616;528911;72787073,98;1598;
2022-01-25;134,10;134,25;134,85;136,10;133,20;134,25;134,61;601054;80970785,67;1957;
2022-01-24;134,25;134,40;138,15;139,00;133,80;134,30;135,217;413219;55899921,13;2406;
2022-01-21;139,25;139,40;139,00;140,25;138,25;139,30;139,029;387392;53851503,66;1403;
2022-01-20;140,20;140,45;138,80;141,55;137,55;140,30;140,114;520436;72943131,54;1563;
2022-01-19;137,25;137,55;136,00;139,10;135,00;137,50;137,746;501735;69115317,59;1895;
2022-01-18;136,40;136,45;137,50;137,55;133,95;136,70;136,173;777941;105852720,61;2343;
2022-01-17;137,75;137,95;139,65;140,50;137,40;137,50;138,256;260393;36002605,68;1332;
2022-01-14;140,10;140,20;141,55;142,05;139,65;139,65;140,556;241540;33952144,51;1255;
2022-01-13;142,90;143,00;141,00;146,05;141,00;143,10;143,822;392422;56451608,41;2206;
2022-01-12;141,00;141,10;139,55;141,20;137,50;141,00;139,80;404340;56512313,14;2314;
2022-01-11;139,75;139,85;142,60;143,80;139,10;139,55;140,203;459270;64391870,94;1949;
2022-01-10;141,85;141,95;145,90;146,10;141,50;142,05;142,613;497117;70897604,5;2203;
2022-01-07;145,75;145,95;150,05;150,30;144,45;145,90;146,003;700087;102219566,11;3028;
2022-01-05;150,40;150,55;151,20;151,85;149,60;150,30;150,655;235699;35512932,38;1036;
2022-01-04;151,25;151,45;152,60;153,45;150,75;151,50;151,723;301053;45683240,49;1276;
2022-01-03;151,55;151,70;151,80;154,70;151,50;151,85;152,457;220131;33562495,04;1072;
2021-12-30;151,65;151,80;150,85;152,00;150,00;151,55;151,372;285394;43197740,14;897;
2021-12-29;150,65;150,90;150,55;151,80;149,45;150,65;150,553;181615;27342438,51;1089;
2021-12-28;150,35;150,70;149,60;150,65;148,60;150,45;150,068;153647;23057108,35;779;
2021-12-27;149,85;150,05;146,05;150,35;145,80;149,55;149,212;160153;23898078,13;835;
2021-12-23;146,10;146,25;146,05;147,70;145,35;146,10;146,046;343875;50221565,48;2407;
2021-12-22;145,35;145,45;145,90;146,80;144,80;145,95;145,665;391748;57063206,57;1962;
2021-12-21;145,60;145,80;143,90;147,05;143,90;145,85;145,887;420006;61276228,09;1895;
2021-12-20;143,85;143,95;142,65;146,40;142,65;143,60;144,323;485278;70046208,09;2513;
2021-12-17;147,55;147,80;146,55;148,55;143,90;147,30;146,797;886010;130047171,1;2516;
2021-12-16;146,80;146,90;148,90;149,00;145,10;146,70;146,791;689872;101265109,49;2745;
2021-12-15;146,60;146,75;142,20;146,85;142,20;146,15;145,677;880969;128350112,31;2050;
2021-12-14;141,80;141,95;143,45;145,55;140,90;141,70;142,352;553023;78766524,2;1747;
2021-12-13;143,20;143,35;145,95;146,50;141,45;143,20;143,685;540104;77622787,15;1922;
2021-12-10;145,70;145,90;147,20;148,60;145,10;145,90;145,992;447690;65362064,55;2010;
2021-12-09;148,05;148,20;146,10;149,30;146,10;147,85;147,916;841356;124454277,4;3127;
2021-12-08;145,70;145,85;150,65;151,25;145,20;145,80;147,062;626650;92204690,13;2595;
2021-12-07;151,40;151,50;150,60;153,50;150,60;151,20;151,445;301966;45732944,94;1209;
2021-12-06;151,25;151,30;151,20;152,15;149,70;151,00;150,959;237008;35777799,35;1297;
2021-12-03;149,95;150,10;152,25;153,20;149,40;150,00;151,089;277690;41959743,82;1492;
2021-12-02;151,65;151,70;151,75;152,80;150,10;151,45;151,232;283098;42810985,67;1720;
2021-12-01;152,85;153,10;151,05;154,60;150,55;153,00;152,415;268264;40884035,68;1371;
2021-11-30;151,60;151,85;152,50;154,10;149,95;151,05;151,293;843031;127560210,52;2114;
2021-11-29;152,65;152,75;152,20;155,95;151,50;152,50;153,432;501780;77022351,5;2200;
2021-11-26;152,20;152,35;154,20;156,55;152,20;152,30;153,64;610018;94170519,37;1846;
2021-11-25;159,00;159,10;156,40;159,75;154,95;158,95;158,28;272323;43090709,47;1260;
2021-11-24;156,40;156,60;154,00;157,25;153,35;156,10;155,045;399617;61951811,76;2438;
2021-11-23;154,15;154,35;155,50;156,20;153,45;153,45;154,121;501137;77245067,53;2123;
2021-11-22;156,55;156,70;159,95;160,45;156,30;156,60;157,904;595582;94076501,61;2187;
2021-11-19;159,95;160,10;157,30;160,30;155,60;159,95;158,881;569032;90397088,74;2420;
2021-11-18;156,35;156,70;154,35;157,75;153,60;156,60;156,098;742926;115974937,73;2986;
2021-11-17;153,25;153,40;152,60;154,00;151,90;153,50;153,312;1463221;224553631,98;1720;
2021-11-16;152,75;153,05;147,65;153,00;146,90;152,60;151,248;489527;74036784,65;2303;
2021-11-15;147,20;147,40;148,00;148,40;147,05;147,30;147,518;232545;34305704,52;1087;
2021-11-12;148,15;148,20;147,60;148,30;146,75;148,00;147,795;233357;34486408,93;1192;
2021-11-11;147,40;147,50;146,70;149,90;146,70;147,25;148,013;342551;50706013,43;1509;
2021-11-10;147,35;147,40;148,65;149,45;146,85;147,75;148,161;447260;66257858,98;1484;
2021-11-09;148,65;148,80;147,20;149,05;146,90;148,50;148,248;443475;65744729,81;1322;
2021-11-08;147,25;147,50;150,10;150,45;146,25;147,90;148,10;527793;78165650,01;1665;
2021-11-05;150,10;150,35;149,35;150,95;148,00;150,05;149,629;259106;38777736,74;1120;
2021-11-04;149,35;149,50;143,50;149,70;143,50;149,35;148,014;668337;99004076,32;3807;
2021-11-03;143,00;143,10;145,10;145,15;142,75;143,30;143,424;650557;93308119,57;1894;
2021-11-02;145,10;145,15;143,70;146,60;142,90;145,10;144,955;319214;46274677,09;1663;
2021-11-01;143,70;143,85;145,20;145,80;143,35;143,70;144,315;379322;54744083,39;2659;
2021-10-29;145,15;145,35;148,35;148,35;143,40;145,20;145,46;546174;79442229,11;2511;
2021-10-28;147,80;147,90;146,95;148,50;146,50;148,35;147,969;508705;75257956,16;1420;
2021-10-27;146,95;147,05;144,20;147,40;144,10;147,00;146,492;193577;28356539,73;1332;
2021-10-26;144,45;144,60;145,70;146,45;144,30;144,80;145,253;310600;45116700,58;1382;
2021-10-25;145,80;146,00;145,10;147,00;143,55;145,85;145,814;529736;77240384,52;2719;
2021-10-22;144,85;145,05;143,15;145,45;141,90;145,30;144,038;471898;67961732,96;2077;
2021-10-21;142,90;143,15;141,90;147,00;140,85;143,15;144,063;682351;98295708,03;2775;
2021-10-20;144,65;144,70;145,00;145,20;140,25;144,55;143,24;771227;110471722,76;3773;
2021-10-19;144,65;144,80;145,05;145,40;143,05;144,75;144,485;249303;36020055,89;1632;
2021-10-18;144,90;145,05;145,50;145,95;143,95;145,00;144,949;327707;47499190,87;1662;
2021-10-15;145,40;145,50;144,80;145,60;143,55;145,50;145,214;508676;73862725,85;2172;
2021-10-14;144,30;144,40;143,50;144,40;142,25;144,30;143,714;555262;79799326,2;2629;
2021-10-13;143,15;143,30;140,95;143,50;139,65;142,95;142,196;490053;69754588,38;1839;
2021-10-12;140,80;140,95;136,20;140,95;135,80;140,75;139,864;530386;74169445,09;2035;
2021-10-11;137,00;137,10;137,15;137,55;133,45;137,55;136,668;872902;119280291,19;2313;
2021-10-08;137,45;137,50;136,45;138,00;135,75;137,15;137,143;989331;135680776,42;3366;
2021-10-07;136,30;136,45;134,00;136,95;133,15;136,40;135,561;481519;65266418,89;2684;
2021-10-06;133,10;133,30;133,10;133,60;130,90;133,40;132,536;592615;78542147,23;2864;
2021-10-05;133,70;133,80;134,35;134,90;132,45;133,65;133,607;308147;41170607,63;1992;
2021-10-04;134,45;134,55;136,75;136,90;134,05;134,35;134,884;410862;55428827,8;2023;
2021-10-01;136,90;137,00;130,40;137,20;129,55;136,75;135,179;391693;52987062,06;1659;
2021-09-30;132,85;132,95;134,20;136,90;132,50;132,50;133,206;695214;92647595,09;2298;
